p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-75.51,31.61,42.67,47.63,48.68,-24.54,-39.51,-71.11,-90.23,-96.62,আ
-76.55,31.19,42.15,46.97,49.23,-25.16,-37.45,-69.21,-87.12,-94.74,আ
-75.4,31.93,42.54,47.84,49.17,-30.79,-37.02,-67.21,-86.71,-94.3,আ
-76.58,31.89,41.76,46.61,48.07,-29.2,-38.75,-68.96,-86.83,-93.34,আ
-76.36,31.25,41.66,46.74,48.26,-25.94,-38.56,-69.46,-88.49,-95.28,আ
-76.44,31.48,41.76,46.67,47.95,-25.55,-39.2,-70.6,-89.09,-94.71,আ
-77.12,31.69,42.36,47.27,48.36,-27.88,-39.35,-71.64,-91.08,-96.6,আ
-80.08,32.51,43.72,47.74,48.2,-22.35,-43.16,-77.8,-98.34,-104.38,আ
-81.84,36.8,48.47,51.07,50.66,-57.5,-45.5,-82.02,-103.58,-109.08,আ
-85.05,31.08,41.38,44.64,45.09,0.0,-48.0,-83.66,-102.94,-107.9,আ
-84.9,38.27,50.36,51.78,50.63,-109.67,-51.29,-91.57,-114.73,-121.49,আ
-82.31,37.45,49.03,49.53,48.0,-158.31,-55.07,-96.33,-119.31,-126.3,আ
-83.15,37.41,49.22,49.78,49.07,-161.49,-56.56,-98.41,-119.12,-124.08,আ
-81.82,36.45,47.08,47.38,46.01,-155.38,-56.22,-96.82,-116.78,-123.91,আ
-85.0,36.43,47.5,48.41,47.31,-137.19,-52.89,-92.24,-113.58,-120.15,আ
-82.59,33.34,43.4,46.36,47.62,161.34,-50.1,-88.65,-106.46,-114.7,আ
-82.15,35.16,45.8,46.06,45.73,158.16,-56.71,-99.2,-119.47,-123.72,আ
-81.25,34.74,45.08,46.44,46.47,164.08,-55.58,-96.0,-115.6,-120.62,আ
-82.46,36.24,46.97,47.93,47.54,167.95,-54.43,-94.75,-115.7,-120.95,আ
-81.9,35.36,45.86,46.47,46.13,161.35,-55.36,-95.7,-115.88,-121.27,আ
-80.7,33.26,44.38,45.58,44.52,161.88,-61.02,-101.66,-122.51,-128.98,আ
-80.39,36.53,47.05,46.81,45.23,132.43,-60.28,-105.07,-125.12,-130.79,আ
-79.8,37.22,47.55,47.01,45.2,133.98,-61.68,-106.57,-126.53,-131.94,আ
-78.52,37.12,46.95,46.5,45.06,140.76,-64.47,-110.17,-128.9,-133.71,আ
-80.1,36.89,47.65,47.47,46.05,137.55,-59.5,-103.18,-124.06,-129.56,আ
-78.71,37.53,47.88,47.23,45.64,140.86,-62.54,-107.15,-126.53,-131.9,আ
-79.21,36.62,46.9,46.86,45.43,136.37,-61.02,-105.03,-124.82,-130.06,আ
-78.95,36.61,47.01,46.98,45.28,138.56,-61.08,-105.24,-125.06,-130.95,আ
-78.9,37.67,48.15,47.4,45.45,137.95,-62.27,-107.43,-127.28,-132.14,আ
-77.9,35.31,45.51,45.89,44.58,131.23,-62.3,-105.87,-125.04,-130.64,আ
-78.25,36.72,46.87,46.45,45.03,138.57,-63.2,-107.14,-126.56,-131.71,আ
-80.17,36.55,47.11,47.47,46.16,136.45,-60.27,-104.06,-123.94,-129.67,আ
-80.25,36.45,46.95,47.53,46.4,140.51,-60.19,-103.43,-123.97,-129.76,আ
-80.82,37.04,47.64,48.22,46.95,138.93,-59.43,-102.5,-122.99,-128.47,আ
-80.68,37.38,48.23,48.19,46.61,140.11,-60.17,-104.64,-125.26,-130.86,আ
-81.71,36.55,47.28,47.5,46.82,138.43,-60.22,-104.07,-124.54,-129.35,আ
-81.52,36.72,47.17,47.53,46.45,137.78,-61.18,-104.75,-125.06,-130.24,আ
-80.7,37.46,48.02,48.51,47.57,144.81,-60.58,-103.79,-123.61,-129.02,আ
-80.41,36.2,46.63,47.95,47.19,144.5,-58.55,-99.65,-119.69,-126.5,আ
-81.0,37.22,47.82,48.24,46.94,138.77,-59.69,-103.1,-124.01,-129.62,আ
-81.68,37.7,48.59,49.04,47.83,138.95,-59.33,-102.78,-123.83,-129.21,আ
-61.2,41.8,49.53,47.64,45.9,-169.31,-73.92,-123.2,-142.33,-147.34,আ
-68.64,40.24,48.89,47.39,45.31,-169.91,-68.17,-114.98,-133.76,-139.76,আ
-66.87,37.6,46.29,46.48,45.24,-179.57,-66.7,-111.39,-130.43,-136.95,আ
-65.83,38.51,47.82,48.46,47.39,-165.84,-65.14,-109.57,-128.94,-135.21,আ
-67.98,41.46,51.72,51.91,50.35,-156.7,-62.19,-106.11,-127.41,-133.95,আ
-73.62,41.3,51.23,50.81,49.07,-164.2,-61.23,-106.8,-127.45,-133.28,আ
-73.13,36.85,46.78,47.43,45.99,-179.82,-63.98,-107.52,-127.13,-134.62,আ
-73.5,38.71,49.5,50.3,49.4,-173.79,-61.17,-105.13,-125.96,-131.27,আ
-74.83,38.84,50.36,51.78,50.72,-171.6,-58.35,-100.4,-122.62,-129.38,আ
-73.68,36.3,47.47,49.11,48.29,179.14,-60.24,-101.36,-121.01,-127.63,আ
-73.64,38.1,48.95,50.63,49.4,-176.19,-60.41,-102.17,-122.31,-129.94,আ
-74.79,36.7,47.95,50.26,49.89,177.42,-60.45,-101.75,-120.44,-124.78,আ
-74.24,36.78,48.18,50.33,49.3,177.35,-58.55,-100.57,-121.6,-127.77,আ
-74.12,37.22,48.65,50.96,50.04,176.79,-58.79,-100.18,-120.87,-126.81,আ
-75.11,38.03,49.8,51.67,50.04,-178.91,-55.97,-96.86,-119.11,-127.61,আ
-75.72,36.23,46.38,48.81,48.41,174.08,-57.67,-97.71,-117.58,-126.81,আ
-72.86,36.56,44.48,45.82,45.06,173.21,-65.75,-112.3,-128.87,-135.26,আ
-76.29,36.22,45.88,48.38,47.64,174.46,-58.28,-101.45,-118.89,-126.99,আ
-78.57,37.04,46.61,49.41,48.76,179.8,-58.02,-102.09,-119.5,-126.87,আ
-76.53,37.87,48.0,50.1,49.29,-179.43,-59.14,-101.67,-118.26,-126.36,আ
-76.01,36.09,46.42,49.52,49.03,176.29,-57.1,-97.15,-114.8,-123.29,আ
-77.87,35.47,45.25,48.14,47.7,171.17,-59.42,-101.46,-117.67,-125.1,আ
-72.97,34.7,44.0,45.53,44.14,167.31,-63.94,-109.41,-126.02,-133.25,আ
-70.09,37.09,46.26,48.02,47.06,172.93,-65.96,-110.7,-127.56,-134.3,আ
-71.67,37.74,47.57,49.43,48.41,176.19,-61.66,-106.27,-124.49,-131.65,আ
-73.03,38.27,48.41,50.23,48.78,178.21,-60.17,-104.88,-123.72,-131.13,আ
-65.6,45.5,55.61,51.88,0.0,-159.63,-70.85,-121.6,-142.37,79.82,আ
-64.3,41.67,51.48,49.47,49.95,-170.93,-73.22,-120.27,-138.27,-143.6,আ
-65.18,44.66,54.17,50.01,49.38,-164.88,-71.78,-120.69,-138.27,-144.34,আ
-64.47,45.78,56.03,52.74,52.46,-162.79,-69.34,-118.42,-136.96,-143.47,আ
-63.82,47.69,58.12,53.88,53.1,-160.73,-68.67,-120.04,-139.92,-146.14,আ
-63.5,46.53,55.87,51.22,50.13,-161.53,-72.65,-125.24,-143.59,-149.8,আ
-68.07,34.92,42.89,42.94,45.32,-155.5,-73.81,-119.61,-129.85,-131.27,আ
-72.26,34.19,42.73,43.64,44.99,-138.02,-63.45,-108.0,-120.36,-124.82,আ
-71.35,36.08,44.99,46.36,47.92,-141.35,-63.35,-107.39,-120.49,-125.56,আ
