label,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
অ,-2.48,-6.39,1.1,-3.82,-7.33,-88.17,-21.17,-1.14,12.7,16.72
অ,-0.86,-6.99,0.33,-4.44,-7.68,-88.85,-20.75,-0.59,13.31,16.48
অ,-0.82,-7.64,0.34,-4.28,-7.57,-88.38,-20.95,-0.99,13.02,16.2
অ,-0.48,-6.83,0.8,-3.75,-7.1,-87.37,-19.36,0.68,14.26,17.29
অ,-0.69,-6.89,0.65,-4.21,-7.26,-86.8,-18.96,1.17,14.4,17.26
অ,-0.55,-6.57,1.36,-3.73,-6.96,-86.65,-18.45,1.41,14.83,17.52
অ,-0.47,-6.81,1.04,-4.02,-6.94,-86.92,-17.8,1.83,14.66,17.66
অ,-7.65,-12.1,-6.31,-9.48,-9.91,-77.75,-3.65,17.15,24.53,24.92
অ,-3.02,-8.18,-1.73,-5.59,-7.17,-78.12,-8.4,12.82,22.32,23.23
অ,-4.66,-14.92,-7.94,-9.03,-11.3,-91.99,-19.78,1.45,14.21,16.71
অ,-4.05,-16.95,-10.45,-10.91,-13.42,-94.77,-23.96,-2.81,10.31,13.67
অ,-2.07,-16.87,-10.58,-10.66,-13.81,-101.6,-30.48,-9.84,4.63,8.76
অ,0.11,-19.8,-14.01,-16.36,-14.78,-106.95,-33.69,-14.0,-2.79,4.77
অ,1.27,-20.35,-14.45,-13.85,-14.81,-105.19,-31.83,-11.3,3.55,8.33
অ,1.25,-20.82,-15.06,-14.07,-15.04,-106.85,-33.41,-13.56,1.29,6.36
অ,1.86,-23.09,-16.51,-16.92,-17.17,-107.7,-33.65,-14.41,-1.91,4.61
অ,2.13,-21.41,-14.26,-14.07,-16.09,-107.95,-33.61,-14.23,-0.44,5.47
অ,-8.83,-29.82,-23.11,-21.92,-22.88,-106.31,-28.74,-9.62,2.1,7.13
অ,-10.79,-31.87,-25.81,-23.78,-23.3,-104.66,-26.82,-6.54,4.68,8.85
অ,-4.97,-22.11,-15.91,-17.0,-18.08,-90.73,-15.73,4.92,15.52,17.83
অ,-5.34,-21.87,-15.6,-16.7,-17.96,-90.85,-15.94,4.68,15.2,17.62
অ,-5.72,-21.81,-15.57,-16.75,-17.81,-90.88,-15.78,4.77,15.34,17.86
অ,4.08,-13.51,-6.53,-9.67,-11.95,-89.46,-18.86,2.54,15.32,17.55
অ,4.43,-13.42,-6.18,-9.22,-11.77,-89.21,-18.29,2.96,15.67,17.95
অ,4.9,-12.87,-5.47,-8.8,-11.3,-89.27,-18.34,3.06,15.5,17.77
অ,10.12,-8.48,-1.42,-7.36,-8.61,-84.83,-16.65,5.12,16.81,18.9
অ,16.31,-3.5,4.48,-0.38,-2.95,-82.77,-14.53,7.42,22.86,22.5
অ,13.64,-6.42,0.34,-3.91,-6.08,-80.35,-13.46,8.82,22.91,22.72
অ,1.06,-7.82,-0.91,-6.85,-8.99,-69.81,-0.13,22.8,34.17,32.49
অ,0.15,-7.7,-0.34,-5.92,-7.97,-72.15,-1.54,20.51,33.39,31.88
অ,0.48,-6.76,-0.01,-5.67,-7.7,-72.67,-1.29,20.9,33.61,31.95
অ,0.0,-7.25,-0.48,-5.89,-7.96,-71.6,-0.36,21.93,34.22,32.25
অ,11.73,0.82,9.15,2.56,-1.04,-72.3,-5.0,17.87,31.73,29.64
অ,10.92,0.16,8.59,2.21,-1.43,-71.89,-5.03,17.88,31.45,29.57
অ,10.37,0.25,8.57,2.16,-1.56,-72.32,-4.73,17.89,31.4,29.51
অ,10.35,0.73,9.14,2.76,-1.04,-71.84,-4.85,17.89,31.24,29.33
অ,18.8,1.27,10.21,4.61,-0.29,-87.68,-21.15,-0.4,16.61,18.05
অ,18.77,2.15,10.89,4.79,0.06,-85.66,-19.03,2.49,18.27,19.6
অ,18.83,2.71,11.47,5.38,0.08,-85.47,-18.84,2.68,18.58,19.92
অ,0.97,-10.13,-2.03,-4.82,-9.31,-102.63,-30.29,-10.51,6.71,10.75
অ,-2.81,-11.01,-2.08,-4.4,-9.85,-102.17,-30.07,-9.86,7.0,11.23
অ,-3.21,-10.99,-2.16,-4.61,-10.0,-101.95,-29.8,-9.82,7.1,11.29
অ,-7.46,-13.96,-5.69,-8.22,-12.76,-99.09,-26.43,-6.16,9.33,13.23
অ,-10.32,-15.32,-7.67,-9.56,-13.84,-96.08,-22.56,-2.53,11.77,14.95
অ,-10.08,-16.58,-8.37,-9.82,-13.78,-94.62,-20.66,-0.96,13.19,16.08
অ,-11.74,-14.53,-8.01,-12.78,-15.95,-79.71,-5.96,14.54,25.3,25.41
অ,-12.4,-16.32,-10.0,-13.79,-16.49,-80.28,-5.89,14.6,25.15,25.24
অ,-12.04,-15.64,-9.4,-13.37,-16.15,-79.33,-5.83,14.69,25.37,25.44
অ,-3.38,-9.59,-2.38,-6.95,-9.89,-74.44,-3.34,18.67,29.92,28.57
অ,-3.14,-9.31,-1.94,-6.49,-9.47,-74.16,-3.45,18.58,29.89,28.48
অ,-3.38,-9.61,-2.14,-6.57,-9.79,-74.4,-3.55,18.43,29.65,28.43
অ,-3.58,-10.41,-3.49,-7.71,-10.43,-73.88,-3.13,18.99,29.93,28.42
অ,-1.07,-7.89,-0.25,-5.25,-8.84,-74.56,-4.58,17.57,29.3,28.05
অ,-1.3,-8.39,-0.64,-5.49,-8.65,-74.25,-3.99,18.12,29.87,28.36
অ,4.53,-2.93,6.14,0.8,-3.66,-76.75,-7.51,14.9,28.28,26.79
অ,6.59,-1.44,7.19,1.57,-2.98,-72.87,-5.39,17.4,30.13,28.25
অ,6.7,-1.13,7.35,1.53,-3.13,-73.5,-5.52,17.16,29.85,28.03
অ,6.85,-1.16,7.36,1.51,-3.25,-73.25,-5.36,17.54,29.91,27.98
অ,8.55,4.02,11.91,4.45,0.08,-62.75,3.37,28.16,38.88,34.39
