serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-52.65,-38.36,-39.24,-41.64,-43.92,-56.88,4.43,19.58,22.96,27.47
2,-57.53,-43.31,-42.93,-43.40,-43.86,-63.70,-0.64,12.24,15.04,19.27
3,-59.52,-44.94,-44.47,-45.57,-46.28,-58.37,6.76,20.39,21.75,25.29
4,-58.06,-43.35,-41.88,-43.17,-44.26,-52.60,3.92,16.16,17.61,21.85
5,-55.49,-41.03,-39.55,-41.07,-42.19,-54.09,5.77,18.65,20.65,24.87
6,-55.18,-41.02,-39.02,-40.25,-41.72,-56.46,2.77,15.96,18.40,23.19
7,-55.19,-40.54,-38.70,-40.16,-41.34,-55.88,3.72,16.97,19.30,23.37
8,-55.03,-39.86,-38.17,-39.92,-41.07,-56.16,2.94,16.21,18.91,23.09
9,-54.81,-40.51,-39.80,-41.41,-42.58,-53.55,4.45,17.78,20.04,24.18
10,-53.84,-40.05,-38.84,-40.78,-42.22,-52.91,4.88,18.23,20.82,24.81
11,-56.00,-41.14,-40.16,-41.54,-42.34,-53.31,4.87,18.02,20.19,24.11
12,-55.37,-38.83,-38.88,-40.60,-41.91,-52.79,4.60,18.50,21.04,25.26
13,-55.15,-38.15,-38.25,-40.12,-41.23,-53.17,3.93,17.66,20.83,25.09
14,-48.86,-33.53,-34.60,-37.91,-39.07,-49.45,8.66,23.84,26.92,31.22
15,-43.99,-28.96,-29.89,-34.54,-36.32,-49.53,11.42,27.93,31.43,36.03
16,-40.75,-27.38,-28.62,-33.89,-34.90,-46.32,16.30,33.37,36.35,40.19
17,-37.45,-24.89,-26.48,-32.46,-33.58,-45.11,17.72,35.77,39.13,42.98
18,-37.24,-22.45,-22.95,-28.97,-30.52,-51.03,14.92,33.18,37.31,41.24
19,-34.57,-20.03,-20.44,-27.27,-29.28,-51.47,14.34,33.41,37.64,42.34
20,-38.19,-21.26,-20.61,-26.19,-28.76,-60.11,6.77,24.76,30.06,35.03
21,-40.99,-22.86,-21.45,-26.10,-29.05,-64.53,2.50,19.79,25.78,31.45
22,-45.74,-27.73,-26.35,-29.45,-31.43,-64.19,0.84,17.06,22.24,27.70
23,-50.90,-31.43,-29.84,-31.28,-31.99,-68.87,-2.66,12.99,18.68,24.35
24,-52.80,-32.63,-31.14,-32.17,-32.71,-68.15,-3.16,11.99,17.47,23.35
25,-56.38,-36.00,-34.30,-34.67,-35.08,-68.06,-4.99,9.75,14.68,20.51
26,-60.06,-39.49,-38.04,-37.21,-36.51,-67.47,-4.45,9.16,13.81,19.24
27,-62.28,-41.06,-39.71,-38.80,-37.50,-62.33,-0.50,12.89,16.13,20.97
28,-59.93,-40.79,-40.40,-40.20,-38.89,-58.46,0.23,13.98,17.05,21.86
29,-59.92,-41.35,-41.15,-41.17,-39.24,-52.60,3.84,17.29,19.48,23.76
30,-58.53,-40.62,-41.23,-42.13,-40.62,-47.41,8.42,22.48,23.82,27.60
31,-57.91,-39.52,-39.40,-39.50,-38.22,-52.50,4.64,18.79,21.27,25.79
32,-52.67,-33.37,-32.61,-33.65,-33.44,-60.85,1.16,16.79,21.56,27.26
33,-51.36,-32.90,-32.30,-33.61,-33.36,-60.64,0.73,16.49,21.38,27.13
34,-50.34,-30.55,-29.34,-31.27,-31.51,-63.17,1.44,17.43,22.78,28.60
35,-49.86,-30.20,-29.04,-30.76,-30.61,-63.23,1.11,17.42,23.00,28.73
36,-43.48,-26.12,-26.06,-29.71,-29.41,-55.23,8.66,26.46,31.23,35.96
37,-41.80,-25.91,-25.60,-29.14,-28.83,-53.35,10.69,28.53,33.04,37.40
38,-42.09,-26.22,-25.52,-29.22,-28.91,-54.74,9.45,27.21,32.03,36.56
39,-42.51,-25.83,-26.18,-29.60,-29.57,-53.43,8.12,26.23,31.43,35.58
40,-43.21,-27.27,-27.73,-30.86,-30.90,-52.49,8.98,26.42,31.18,35.68
41,-44.96,-27.51,-27.71,-30.37,-30.74,-56.98,5.33,22.60,27.63,32.36
42,-46.42,-28.55,-28.08,-30.27,-30.53,-60.17,2.50,19.58,24.99,30.05
43,-45.26,-27.89,-27.37,-30.06,-30.75,-58.70,3.40,20.32,26.02,31.12
44,-50.56,-31.31,-30.61,-31.92,-32.27,-62.85,-0.37,15.42,20.94,26.25
45,-54.00,-34.28,-33.04,-32.71,-32.38,-67.41,-5.63,9.36,15.67,21.58
46,-55.91,-34.85,-33.46,-32.74,-32.63,-70.08,-8.01,6.44,13.14,19.46
