serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-38.46,-2.77,-0.90,-17.39,-19.35,-113.04,-3.62,13.99,16.73,25.39
2,-41.67,-0.47,-0.63,-17.61,-19.41,-111.70,-3.00,14.13,16.57,25.30
3,-42.37,-3.53,-3.19,-19.89,-20.49,-115.18,-3.36,13.41,15.84,23.68
4,-45.50,-5.51,-4.62,-19.56,-20.74,-109.71,-0.25,17.17,19.15,27.03
5,-44.62,-6.08,-4.42,-19.09,-20.29,-112.73,-4.05,12.51,15.59,24.23
6,-48.38,-6.96,-7.11,-22.21,-23.54,-104.41,2.44,19.81,21.68,29.49
7,-48.73,-8.23,-5.87,-20.53,-21.51,-111.40,-5.26,10.62,13.67,22.43
8,-56.41,-7.99,-8.19,-22.76,-23.97,-99.57,5.08,21.88,23.04,29.61
9,-55.07,-7.11,-5.56,-19.73,-20.64,-99.26,2.22,19.41,21.35,28.56
10,-47.24,-7.27,-6.80,-21.47,-22.23,-102.89,2.35,20.66,22.87,30.15
11,-50.08,-8.58,-8.87,-23.64,-24.54,-102.40,3.75,21.06,22.50,28.86
12,-51.18,-8.24,-8.46,-23.08,-23.97,-99.87,4.59,22.02,23.57,30.23
13,-53.14,-9.84,-10.25,-24.70,-25.20,-95.18,4.71,21.46,22.85,29.37
14,-51.55,-6.71,-7.12,-22.27,-23.38,-93.62,5.28,23.04,24.21,30.97
15,-51.48,-7.20,-7.47,-22.23,-23.10,-94.21,5.34,23.26,24.84,31.44
16,-48.85,-4.06,-5.01,-20.82,-22.50,-87.45,7.07,25.97,26.71,33.23
17,-47.15,-4.78,-5.63,-21.26,-22.66,-87.67,6.34,25.10,26.31,33.09
18,-48.31,-5.24,-6.62,-21.36,-22.49,-72.29,9.30,28.20,28.86,35.70
19,-50.37,-6.03,-7.09,-22.07,-23.15,-81.56,8.75,27.33,28.41,35.01
20,-46.46,-4.30,-4.28,-19.95,-21.45,-91.39,5.97,24.89,25.87,33.09
21,-45.03,-5.27,-5.28,-20.46,-22.66,-86.49,3.14,21.87,23.54,30.23
22,-47.12,-3.61,-2.49,-18.17,-20.41,-89.04,4.23,23.69,25.18,33.17
23,-48.14,-5.18,-4.79,-19.85,-22.09,-85.16,5.65,25.32,26.87,34.36
24,-46.59,-3.01,-3.83,-19.46,-21.98,-80.70,7.09,26.45,27.15,34.24
25,-45.50,-2.19,-1.90,-18.14,-21.37,-86.21,3.09,22.32,23.65,31.32
26,-48.63,-4.84,-3.51,-19.06,-21.78,-86.92,4.89,23.94,25.43,32.56
27,-51.30,-6.44,-3.57,-18.43,-20.93,-89.41,5.09,23.92,25.82,33.30
28,-50.79,-7.82,-6.15,-21.00,-23.29,-85.96,5.84,24.80,26.14,32.91
29,-48.21,-6.30,-4.84,-20.00,-22.47,-85.12,3.81,23.20,24.63,32.04
30,-49.45,-7.49,-5.75,-20.54,-22.63,-84.78,4.18,23.06,24.55,32.02
31,-47.85,-6.41,-4.82,-19.93,-22.20,-82.23,4.41,23.69,25.14,32.55
32,-46.36,-5.22,-5.13,-21.09,-23.36,-78.77,3.83,22.97,24.15,31.14
33,-49.22,-5.82,-4.50,-19.29,-21.43,-66.31,8.49,27.95,28.99,36.12
34,-37.79,-6.76,-5.34,-20.70,-23.35,-100.88,3.22,21.26,24.12,32.34
35,-33.72,-12.25,-9.80,-22.78,-24.21,-100.11,5.20,24.75,26.79,34.20
36,-29.16,-12.42,-9.64,-22.58,-23.47,-101.98,3.55,22.81,25.45,33.26
37,-29.74,-12.32,-8.60,-22.25,-23.44,-102.05,4.41,23.49,25.98,33.80
38,-28.07,-8.84,-5.30,-19.93,-21.50,-100.84,3.33,22.84,25.28,33.47
39,-29.91,-9.13,-3.65,-17.53,-18.70,-104.45,3.68,23.49,26.19,34.41
40,-30.40,-10.00,-6.03,-19.92,-21.63,-100.56,4.58,23.92,26.24,34.11
41,-32.74,-8.45,-3.83,-18.13,-19.87,-99.73,4.43,24.43,26.74,34.88
