serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-73.90,-45.29,-53.89,-44.81,-41.56,9.81,-20.10,2.57,6.55,13.07
2,-75.48,-52.93,-61.57,-49.67,-44.15,25.07,-21.44,2.46,4.48,10.67
3,-74.17,-46.17,-47.19,-42.27,-38.45,12.36,-12.30,11.78,14.24,17.85
4,-71.60,-43.54,-45.11,-41.38,-37.68,8.38,-11.88,10.75,14.76,18.83
5,-68.44,-46.98,-48.37,-44.02,-40.07,17.52,-7.08,14.05,16.50,20.08
6,-67.42,-43.71,-45.18,-41.12,-37.94,12.08,-7.78,13.67,17.16,21.10
7,-66.22,-44.93,-46.82,-42.82,-39.36,15.16,-6.94,14.07,17.32,21.31
8,-65.67,-44.71,-46.30,-42.45,-39.17,15.48,-6.32,15.36,18.29,22.18
9,-65.68,-43.61,-45.32,-41.90,-38.81,13.79,-6.23,15.44,18.72,22.66
10,-61.84,-42.70,-44.82,-42.38,-39.17,13.04,-2.63,19.51,22.37,25.74
11,-59.34,-41.78,-44.42,-42.76,-39.64,12.23,-0.13,22.23,25.22,28.54
12,-64.23,-42.54,-45.10,-41.71,-38.59,8.77,-6.94,14.77,18.99,23.32
13,-64.02,-42.49,-44.86,-41.68,-38.66,9.10,-6.21,15.67,19.52,23.77
14,-64.50,-42.68,-45.01,-41.79,-38.51,9.14,-7.21,14.43,18.81,23.27
15,-68.26,-43.01,-45.45,-41.36,-37.97,5.61,-12.13,9.45,14.85,20.12
16,-71.42,-43.78,-46.28,-41.29,-37.88,3.98,-15.83,5.54,11.42,17.05
17,-74.14,-46.48,-48.76,-43.07,-39.43,10.39,-18.78,2.63,8.67,14.06
18,-72.69,-47.54,-50.01,-44.40,-40.86,16.99,-15.39,6.27,10.71,15.45
19,-75.09,-52.88,-55.58,-48.49,-43.36,34.06,-19.21,1.09,5.39,10.06
20,-83.36,-49.69,-51.35,-43.09,-38.15,13.92,-34.17,-13.65,-3.63,3.52
21,-79.61,-51.88,-55.65,-47.07,-41.79,8.97,-27.57,-7.31,-0.97,6.66
22,-77.31,-44.46,-44.31,-37.56,-35.11,10.69,-21.91,0.22,6.73,12.89
23,-78.51,-49.17,-49.76,-41.89,-38.50,28.79,-23.61,-2.65,3.38,9.00
24,-78.84,-50.34,-51.06,-42.74,-39.13,33.34,-24.53,-4.31,2.26,8.28
25,-80.16,-48.82,-49.80,-42.03,-38.74,27.57,-25.33,-5.19,1.52,7.87
26,-78.10,-39.53,-40.05,-34.28,-32.71,-24.64,-27.09,-5.88,3.46,11.01
27,-72.86,-36.80,-37.38,-32.73,-31.88,-20.61,-21.35,0.52,9.04,16.03
28,-71.67,-36.17,-36.66,-31.98,-31.14,-21.61,-20.42,1.89,10.07,16.90
29,-68.97,-35.96,-36.47,-32.45,-31.65,-13.42,-15.47,7.18,14.40,19.87
30,-68.70,-38.47,-39.59,-35.95,-34.23,-0.86,-11.39,10.95,15.85,20.77
31,-70.42,-39.86,-41.21,-36.84,-35.00,2.67,-13.09,8.99,14.46,19.29
32,-72.32,-40.99,-42.56,-37.49,-35.54,7.46,-14.68,6.60,11.83,17.07
33,-76.07,-44.33,-45.95,-39.36,-37.12,15.84,-18.52,1.87,7.67,13.42
34,-77.00,-45.46,-47.15,-40.10,-37.60,20.67,-19.68,0.44,6.03,11.96
35,-76.35,-39.77,-41.02,-35.41,-33.98,-3.57,-21.03,-0.27,6.97,13.47
36,-69.78,-33.00,-33.85,-29.81,-29.54,-18.00,-17.55,4.11,11.97,18.61
37,-63.63,-29.42,-30.06,-27.75,-28.13,-15.35,-11.41,11.11,18.09,24.04
38,-61.01,-30.09,-31.48,-30.03,-30.09,-10.56,-7.37,15.41,21.44,26.78
39,-61.17,-32.95,-34.56,-32.58,-32.02,-4.18,-5.22,17.38,22.23,27.26
40,-57.54,-29.52,-30.66,-29.96,-29.78,-6.52,-2.83,20.22,25.50,30.48
41,-58.03,-29.57,-30.74,-29.87,-29.34,-9.66,-4.03,19.15,24.64,29.62
42,-64.15,-32.82,-34.60,-32.71,-33.03,-7.16,-9.07,13.20,19.03,24.94
43,-69.23,-35.41,-37.00,-33.21,-32.08,-10.00,-15.16,6.46,13.04,19.29
44,-69.34,-38.72,-40.93,-36.85,-35.27,-0.96,-13.45,7.94,13.82,19.52
45,-67.11,-40.30,-42.66,-38.79,-37.44,6.40,-9.85,11.74,16.17,21.47
46,-65.12,-40.47,-42.90,-39.48,-37.80,9.00,-6.91,15.04,18.69,23.03
47,-60.70,-36.51,-39.28,-37.20,-36.04,3.67,-3.14,19.44,23.13,27.38
48,-57.69,-33.52,-35.66,-34.43,-33.63,1.79,-0.42,22.91,26.74,31.14
49,-55.56,-31.15,-33.23,-32.35,-31.60,-1.72,0.41,23.83,27.94,32.18
50,-55.11,-28.78,-30.91,-30.58,-30.39,-5.95,-0.76,22.69,27.39,32.04
51,-56.23,-28.92,-30.93,-30.40,-30.08,-7.78,-2.41,21.01,26.21,30.99
52,-57.32,-27.25,-28.90,-28.30,-28.55,-13.32,-5.09,17.95,24.06,29.16
53,-57.66,-27.43,-29.01,-28.46,-28.72,-13.88,-5.68,17.41,23.55,28.90
54,-60.84,-28.86,-30.38,-28.77,-29.25,-16.41,-8.84,13.68,20.32,26.18
55,-62.51,-29.72,-31.23,-29.60,-29.71,-16.23,-9.77,12.48,19.28,25.02
56,-64.95,-32.92,-34.48,-31.80,-31.40,-11.71,-10.78,11.41,17.59,22.79
57,-64.44,-36.23,-38.25,-35.33,-34.33,-0.88,-6.79,15.34,19.99,24.66
58,-64.91,-36.05,-37.97,-35.01,-34.83,-1.49,-7.24,14.37,19.06,25.00
59,-60.73,-33.68,-35.81,-34.02,-33.33,-2.94,-3.99,18.90,23.27,27.96
60,-58.15,-30.46,-32.30,-31.45,-31.37,-6.95,-2.68,20.41,25.13,29.96
61,-57.24,-29.98,-31.68,-30.79,-30.46,-6.72,-1.81,21.64,26.23,31.00
62,-55.04,-27.28,-29.36,-29.03,-29.16,-9.73,-1.11,22.79,27.86,32.58
63,-55.17,-25.83,-27.47,-27.28,-27.60,-14.67,-2.95,20.59,26.24,31.18
64,-59.25,-28.95,-30.46,-29.09,-28.84,-14.69,-6.05,16.82,22.77,27.62
65,-64.05,-31.49,-32.74,-30.31,-30.29,-17.13,-11.12,11.16,17.82,23.54
66,-63.13,-33.07,-34.77,-32.77,-32.78,-11.51,-8.03,14.63,20.28,25.65
67,-59.81,-31.80,-33.66,-32.20,-31.84,-8.62,-4.01,18.96,23.72,28.65
68,-58.10,-28.54,-30.11,-29.47,-29.95,-12.82,-4.48,18.70,24.27,29.17
69,-61.66,-36.43,-39.15,-36.47,-34.99,-4.17,-4.71,18.69,23.31,26.81
