serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-56.48,-28.13,23.66,7.58,-0.29,-73.54,-19.27,12.73,17.84,25.20
2,-53.36,-25.54,21.60,5.29,-2.95,-60.19,-9.03,21.67,23.89,29.21
3,-52.28,-23.74,24.64,7.59,-0.84,-64.14,-10.31,21.79,24.19,29.58
4,-73.87,-43.32,10.55,-1.97,-8.24,-94.29,-30.87,-5.11,2.39,12.05
5,-67.74,-38.18,14.56,0.59,-6.91,-68.94,-17.90,6.97,12.37,20.12
6,-69.40,-40.29,12.67,-0.32,-7.53,-68.86,-17.28,6.49,12.21,19.79
7,-64.50,-35.64,16.95,2.88,-5.01,-68.72,-15.79,9.49,14.75,21.91
8,-66.05,-36.84,16.38,2.66,-5.13,-72.01,-18.76,6.49,12.49,20.08
9,-66.05,-37.71,14.23,-0.21,-8.15,-67.02,-16.75,7.41,12.34,19.55
10,-72.55,-42.46,10.64,-2.06,-8.97,-66.16,-17.14,5.42,10.84,18.41
11,-72.33,-41.63,11.16,-1.91,-8.34,-65.45,-17.52,5.46,10.91,18.60
12,-71.76,-41.01,12.46,-0.38,-7.03,-75.35,-20.06,3.57,9.80,17.77
13,-71.79,-40.11,14.03,0.92,-6.37,-85.72,-24.33,0.34,7.58,16.31
14,-73.07,-41.68,12.41,-0.29,-6.93,-85.04,-24.82,-0.48,6.74,15.61
15,-71.69,-40.73,12.92,0.14,-6.99,-80.57,-22.88,1.26,8.19,16.74
16,-72.25,-41.16,12.57,-0.02,-7.13,-82.09,-22.76,1.16,8.16,16.64
17,-64.24,-33.48,20.44,5.47,-3.40,-79.11,-19.68,6.04,12.43,20.89
18,-62.15,-31.50,22.23,6.74,-2.61,-79.85,-20.41,5.85,12.69,21.06
19,-67.13,-36.66,19.55,4.15,-4.46,-84.78,-22.35,1.91,8.87,17.70
20,-65.05,-34.32,22.34,6.80,-2.18,-95.75,-27.93,-2.82,5.58,15.43
21,-66.51,-35.78,21.08,6.48,-2.06,-98.06,-29.22,-4.26,4.63,14.76
22,-66.88,-36.10,20.69,6.01,-2.60,-95.68,-28.06,-3.25,5.43,15.31
23,-68.13,-37.53,18.63,4.42,-3.86,-94.59,-26.88,-2.19,6.07,15.50
24,-65.68,-35.22,21.40,6.46,-2.26,-95.07,-27.23,-2.24,6.12,15.84
25,-67.02,-36.40,20.37,6.00,-2.73,-94.20,-25.41,-0.55,7.44,16.68
26,-67.33,-36.92,19.85,5.58,-2.69,-97.70,-28.69,-3.88,4.77,14.62
27,-65.58,-35.26,20.80,5.91,-2.78,-90.69,-25.14,-0.34,7.51,16.64
28,-64.63,-34.38,21.25,6.05,-2.82,-87.79,-24.13,1.12,8.77,17.81
29,-65.24,-35.02,20.38,5.77,-2.92,-87.48,-23.71,1.30,8.72,17.49
30,-65.44,-35.55,19.75,5.11,-3.28,-87.42,-23.56,1.10,8.54,17.33
31,-64.06,-33.85,21.55,6.53,-2.50,-85.91,-22.74,2.38,9.70,18.42
32,-64.97,-34.82,20.79,6.17,-2.67,-86.44,-23.18,1.83,9.21,18.17
33,-64.77,-34.39,20.84,5.97,-2.86,-88.16,-24.18,1.02,8.52,17.40
34,-62.44,-32.13,23.04,7.78,-1.57,-86.97,-23.48,2.25,9.94,18.73
35,-61.05,-31.39,23.89,8.42,-1.10,-84.57,-22.02,4.09,11.49,20.15
36,-54.81,-25.49,28.17,10.85,0.07,-76.35,-16.54,11.91,17.50,24.73
37,-66.60,-36.43,18.18,3.45,-4.73,-81.49,-22.62,2.36,9.27,17.50
38,-66.04,-35.68,20.19,5.04,-2.99,-94.35,-29.68,-3.85,4.69,14.34
39,-66.99,-37.62,19.15,2.76,-4.73,-91.75,-26.98,-0.25,7.41,16.82
40,-69.60,-40.55,14.15,-1.05,-8.17,-82.81,-22.33,1.76,8.06,16.61
41,-64.77,-32.79,4.36,-11.17,-16.05,-64.43,-10.44,16.81,20.16,25.85
42,-64.68,-36.48,6.11,-10.88,-16.38,-55.81,-13.92,12.31,15.41,21.41
43,-66.71,-38.66,5.00,-11.25,-16.36,-57.50,-12.94,13.75,16.84,22.73
44,-64.69,-37.51,5.80,-10.38,-16.07,-59.03,-14.44,12.06,15.43,21.23
45,-67.64,-39.72,4.97,-10.35,-15.54,-61.32,-16.64,8.32,12.41,18.81
46,-63.55,-36.41,8.29,-8.19,-15.23,-56.86,-12.27,13.32,16.51,22.22
47,-63.40,-35.10,9.10,-7.44,-14.30,-59.89,-11.42,13.65,16.95,22.52
48,-64.17,-38.79,6.01,-10.45,-16.44,-49.82,-6.06,15.38,17.40,22.49
49,-62.71,-37.68,6.37,-10.11,-16.67,-47.51,-5.53,16.38,18.58,23.58
50,-60.41,-32.51,13.55,-4.20,-12.12,-59.82,-10.39,14.70,17.53,23.10
51,-59.47,-31.33,14.38,-3.47,-11.25,-60.52,-10.08,15.42,18.08,23.63
52,-57.06,-29.14,16.87,-1.10,-9.73,-60.01,-8.91,17.20,19.62,25.10
53,-51.25,-22.91,22.39,3.07,-6.76,-62.31,-7.91,21.04,22.03,26.62
54,-44.46,-18.21,23.52,4.17,-5.77,-55.59,-0.95,31.25,30.51,33.87
55,-43.85,-18.84,20.81,2.30,-7.20,-50.08,3.44,34.67,32.75,35.65
56,-43.28,-19.84,17.83,-0.39,-9.61,-45.94,6.24,36.69,34.44,36.91
57,-45.05,-21.96,15.89,-1.59,-10.41,-44.87,6.28,35.11,33.59,36.25
58,-52.56,-27.25,14.38,-2.93,-11.61,-47.09,1.05,26.98,27.16,30.77
59,-58.35,-31.29,13.11,-3.67,-12.05,-51.80,-4.36,19.72,21.55,26.17
