serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-6.36,36.44,-60.72,-62.81,-60.45,-102.04,-18.30,13.93,19.16,29.91
2,-8.07,32.83,-67.24,-64.48,-60.56,-104.32,-20.15,45.15,37.48,17.32
3,-14.86,29.84,-65.64,-62.98,-58.74,-101.52,-22.66,65.58,34.42,19.07
4,-8.54,33.17,-67.83,-60.80,-54.36,-108.26,-25.57,32.56,20.22,11.23
5,-4.95,32.86,-65.65,-59.60,-53.25,-113.29,-23.43,26.81,18.78,12.40
6,-7.74,31.55,-65.80,-61.50,-56.54,-111.13,-21.93,26.30,21.72,13.17
7,-9.39,25.94,-71.32,-66.00,-56.92,-116.99,-27.95,7.64,12.87,2.98
8,-13.74,26.28,-68.11,-64.81,-59.81,-115.49,-24.68,14.21,22.21,9.73
9,-21.82,23.53,-69.88,-64.10,-59.84,-109.48,-19.49,22.93,29.12,15.50
10,-41.27,17.57,-70.65,-64.73,-59.23,-109.33,-18.88,56.19,27.35,12.36
11,-14.54,24.45,-68.95,-64.46,-61.14,-112.38,-14.03,42.43,27.53,14.06
12,-16.90,23.63,-67.89,-62.67,-59.12,-115.06,-14.59,39.15,25.80,14.93
13,-17.92,24.35,-67.01,-61.95,-58.00,-112.81,-15.15,34.12,22.96,13.54
14,-19.29,24.71,-66.25,-61.42,-58.66,-112.29,-14.54,36.73,25.20,16.63
15,-19.98,25.18,-66.69,-61.52,-58.88,-110.59,-14.32,36.43,24.78,16.47
16,-20.73,25.18,-65.96,-60.28,-58.24,-110.78,-13.91,37.76,25.89,18.51
17,-20.83,25.14,-66.69,-61.71,-59.62,-110.09,-14.01,36.02,25.75,17.48
18,-20.15,26.43,-66.39,-61.63,-59.21,-107.93,-14.43,32.44,23.81,15.81
19,-18.79,28.01,-64.85,-60.59,-58.56,-108.32,-14.70,30.44,22.37,17.26
20,-21.21,26.99,-65.22,-61.36,-58.68,-107.91,-13.56,33.51,23.83,17.60
21,-22.51,25.92,-64.10,-59.72,-57.91,-108.52,-13.62,32.33,24.39,20.88
22,-18.27,30.65,-60.53,-56.98,-54.89,-106.60,-15.16,27.27,20.55,19.85
23,-27.26,24.72,-66.33,-63.07,-60.84,-102.18,-9.16,52.04,38.88,25.51
24,-25.32,30.04,-58.57,-55.85,-53.45,-97.58,-6.04,45.71,36.46,29.34
25,-26.03,30.26,-57.34,-55.08,-55.48,-94.08,-3.03,48.52,38.39,35.39
26,-21.56,34.28,-54.80,-53.32,-53.43,-93.87,-4.92,41.65,33.02,33.94
27,-18.38,34.94,-56.81,-55.23,-51.78,-100.67,-15.36,23.04,17.43,18.97
28,-22.53,30.84,-58.77,-56.29,-53.12,-101.94,-12.94,29.41,22.01,21.58
29,-27.64,26.36,-63.42,-61.26,-59.39,-102.10,-8.86,37.11,29.66,26.15
30,-32.27,23.29,-64.62,-61.40,-61.25,-96.94,-5.90,60.41,47.03,34.06
31,-29.89,24.55,-63.90,-61.41,-59.46,-98.25,-9.29,45.21,36.12,26.40
32,-30.45,26.23,-58.66,-57.12,-56.98,-93.02,-4.46,49.23,39.32,34.81
33,-29.29,27.33,-57.68,-55.54,-54.34,-93.43,-5.13,45.91,36.28,33.54
34,-28.28,28.82,-56.08,-54.13,-53.20,-93.80,-5.39,42.02,33.52,32.45
35,-27.53,29.99,-54.86,-53.44,-52.95,-90.98,-3.74,42.33,34.57,34.47
36,-28.78,27.85,-58.39,-57.30,-56.09,-92.12,-5.86,40.66,33.90,32.03
37,-29.57,26.95,-58.97,-57.68,-57.46,-97.00,-7.84,39.01,31.59,29.36
38,-32.32,15.18,-75.28,-72.07,-72.70,-102.00,-18.07,91.29,64.49,17.18
39,-36.40,17.06,-73.37,-71.13,-74.10,-100.41,-18.39,61.00,47.95,5.57
40,-11.78,18.35,-76.52,-75.39,-81.23,-111.62,-14.06,50.11,54.18,-6.04
41,-17.90,12.97,-82.23,-78.98,-79.91,-113.19,-16.28,85.01,73.30,-47.59
42,-24.45,12.18,-73.28,-53.65,-65.52,-115.11,-17.96,66.78,70.68,73.71
43,-37.59,7.95,-72.16,-71.87,-73.98,-118.40,-14.26,91.39,66.90,13.00
44,-34.37,9.55,-73.61,-70.74,-67.46,-115.85,-17.27,65.63,44.42,7.28
45,-35.11,9.59,-77.32,-71.82,-66.43,-106.78,-15.57,82.43,35.09,4.73
46,-39.25,2.56,-82.30,-73.61,-62.56,-114.43,-19.04,62.36,29.32,-0.31
47,-42.12,0.67,-80.06,-77.50,-64.37,-115.54,-19.61,85.00,35.18,3.33
48,-44.55,-4.48,-80.66,-79.73,-66.45,-122.09,-21.29,106.36,47.14,3.71
49,-42.84,7.40,-77.30,-72.38,-60.65,-123.16,-15.96,59.19,29.64,10.66
50,-11.76,18.76,-74.65,-70.97,-60.51,-119.01,-18.16,28.05,15.75,3.01
51,-14.92,18.53,-72.78,-69.93,-62.45,-116.03,-15.17,37.89,25.38,10.34
52,-15.39,19.78,-71.42,-68.87,-60.87,-114.50,-15.67,35.13,23.43,10.96
53,-16.86,20.37,-70.75,-67.88,-60.09,-113.71,-16.08,32.29,21.16,10.84
54,-19.69,20.85,-70.71,-67.44,-60.24,-109.44,-14.50,36.68,25.12,13.19
55,-21.71,19.00,-72.40,-69.35,-61.72,-110.85,-15.14,32.75,23.88,9.88
56,-18.90,15.73,-72.88,-70.51,-55.60,-121.35,-26.84,-17.08,-17.67,-16.91
57,-16.91,21.90,-67.91,-66.51,-60.03,-114.07,-20.30,11.64,8.96,5.91
58,-18.13,22.35,-65.09,-63.53,-58.76,-108.59,-16.78,16.82,13.23,11.47
59,-21.78,17.30,-69.26,-67.12,-59.46,-113.85,-21.91,1.69,0.67,-1.78
60,-27.71,14.81,-72.15,-69.02,-62.00,-111.73,-17.89,14.02,12.81,3.58
61,-31.57,15.51,-73.12,-70.75,-64.37,-104.50,-14.99,28.44,25.43,13.60
62,-38.04,8.07,-78.04,-76.12,-70.43,-110.22,-17.15,22.35,22.52,3.62
63,-39.89,6.42,-77.27,-76.77,-70.72,-113.78,-18.96,12.07,17.13,-2.87
64,-38.53,8.10,-75.96,-75.23,-69.20,-112.01,-19.14,12.08,16.43,-0.88
65,-39.45,6.09,-79.96,-79.87,-70.54,-117.93,-22.92,-25.25,-3.45,-16.51
66,-38.89,8.98,-74.88,-75.23,-68.50,-113.43,-20.22,7.76,7.30,-9.59
