Serial,P1,P2,P3,P4,P5,R1,R2,R3,R4,R5
1,-66.59,-33.87,-77.77,-72.34,-71.17,-87.96,-16.25,43.1,28.17,12.51
2,-68.63,-34.71,-76.5,-71.64,-72.21,-84.11,-13.36,51.78,34.43,19.01
3,-68.02,-35.94,-79.63,-74.22,-72.49,-93.81,-18.19,33.9,24.12,6.35
4,-67.37,-34.81,-76.7,-72.26,-71.3,-89.61,-16.96,30.37,23.62,9.95
5,-68.11,-35.6,-76.61,-72.5,-72.15,-92.14,-17.74,27.67,22.93,7.34
6,-67.96,-36.23,-77.15,-72.87,-69.21,-99.35,-21,11.56,10.66,-3.28
7,-68.7,-36.02,-74.64,-69.77,-69.18,-91.87,-17.49,24.76,20.68,13.52
8,-67.23,-34,-73.37,-68.48,-68.78,-86.29,-15.78,28.51,22.86,16.53
9,-64.19,-31.5,-71.95,-67.77,-67.75,-84.23,-16.81,23.55,20.03,15.55
10,-67.4,-33.74,-71.22,-67.27,-70.72,-72.39,-9.96,43.03,34.51,33.38
11,-67.06,-33.44,-69.73,-66.25,-68.64,-57.73,-4.27,62.16,46.76,44.45
12,-61.24,-27.54,-64.69,-61.12,-62.7,-56.18,-2.15,64.48,46.93,47.91
13,-58.59,-24.97,-63.39,-59.25,-60.94,-58.37,-3.76,56.34,40.54,42.91
14,-59.61,-25.47,-63.97,-58.94,-60.16,-65.7,-7.51,45.76,33.44,36.48
15,-61.62,-27.82,-67.39,-62.07,-63.81,-68.77,-8.93,45.64,32.15,32.51
16,-64.41,-30.27,-68.73,-64.15,-66.35,-71.07,-10,42.6,31.48,30.64
17,-66.37,-32.49,-70.01,-65.13,-67.64,-72.96,-10.25,43.23,31.89,32.27
18,-66.98,-33.36,-72.64,-67.04,-68.33,-77.12,-12.72,37.46,27.5,23.5
19,-66.4,-30.92,-70.9,-66.4,-68.11,-68.53,-5.38,52.47,38.19,42.42
20,-63.1,-24.77,-69.11,-65.05,-66.23,-67.69,-3.12,54.61,40.96,48.52
21,-56.5,-19.08,-65.04,-61.02,-61.13,-61.73,1.05,63.39,48.64,59.1
22,-58,-21.96,-64.68,-61.64,-59.26,-58.64,0.41,71.82,52.53,51.91
23,-57.78,-21.4,-64.58,-61.55,-60.47,-59.03,0.62,70.49,51.05,52.44
24,-58.28,-22.82,-65.15,-61.53,-59.74,-60.27,-0.2,69.78,50.1,54.73
25,-56.98,-20.33,-63.44,-58.79,-56.6,-63.56,-2.01,56.73,40.93,46.93
26,-54.82,-18.62,-63.13,-58.92,-56.87,-60,-0.38,59.58,43.05,48.61
27,-51.05,-15.21,-62.79,-57.38,-56.03,-74.24,-9.02,37.74,27.77,35.83
28,-51.94,-15.89,-63.46,-57.99,-57.35,-79.22,-11.58,32.34,23.16,31.89
29,-57.13,-21.43,-69.36,-62.9,-62.13,-82.16,-13.38,32.3,22.04,30.24
30,-57.8,-22.15,-70.23,-63.96,-63.53,-81.86,-13.12,33.07,22.65,30.86
31,-57.64,-22.15,-69.43,-63.02,-62.53,-80.47,-12.44,34.94,24.41,32.92
32,-58.45,-22.14,-68.31,-62.98,-62.74,-80,-11.5,35.95,25.5,33.87
33,-58.88,-23.18,-70.19,-64.17,-63.77,-81.97,-13.18,32.38,22.39,30.29
34,-62.87,-26.9,-73.54,-68.07,-67.45,-78.32,-10.85,43.98,29.76,34.7
35,-61.79,-25.14,-71.61,-66.43,-66.5,-74.48,-9.3,45.89,32.67,38.8
36,-56.31,-20.4,-61.55,-58.31,-57.83,-52.93,2.41,64.86,50.39,60.96
37,-57.89,-21.98,-62.9,-58.97,-57.98,-53.91,1.36,63.84,48.91,59.49
38,-56.12,-19.98,-61.5,-57.64,-56.81,-55.47,1.16,60.42,46.35,58.58
39,-56.53,-20.14,-61.71,-57.79,-57.36,-57.11,0,58.78,45.6,56.4
40,-55.98,-19.64,-61.48,-57.75,-57.81,-57.55,-0.14,57.52,44.97,59.93
