serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-55.76,-74.80,27.02,16.44,-49.74,-60.27,-13.63,15.55,22.48,24.94
2,-52.25,-69.72,33.23,22.10,-44.35,-67.52,-15.32,13.84,21.72,23.72
3,-53.30,-72.11,30.30,19.29,-46.33,-63.93,-12.91,15.45,22.65,25.23
4,-52.63,-71.53,30.47,18.86,-47.16,-62.92,-10.92,17.22,23.71,26.59
5,-52.47,-70.62,31.17,19.80,-45.83,-63.34,-12.05,16.69,23.19,25.60
6,-53.36,-71.61,29.82,18.20,-46.84,-66.80,-10.20,15.47,23.16,27.28
7,-52.79,-70.79,30.54,18.92,-45.73,-66.52,-9.43,16.19,23.63,27.36
8,-52.92,-71.23,30.63,19.26,-45.82,-66.42,-10.32,15.38,23.04,27.23
9,-52.74,-70.41,30.21,18.63,-45.71,-63.85,-6.32,17.53,24.14,27.69
10,-51.24,-70.05,30.51,18.68,-45.58,-63.55,-9.73,17.72,23.94,25.80
11,-54.48,-71.01,31.29,19.54,-45.05,-71.98,-6.85,14.58,23.07,26.92
12,-51.09,-68.37,32.32,20.18,-44.33,-71.52,-13.39,15.55,23.34,26.04
13,-53.96,-70.67,30.04,18.41,-45.31,-72.38,-9.17,14.36,22.64,26.57
14,-51.07,-71.53,27.20,15.36,-48.91,-68.13,-14.43,16.20,23.39,25.92
15,-52.27,-71.19,27.79,17.13,-45.95,-66.28,-8.97,16.99,23.40,25.83
16,-56.27,-74.01,25.76,16.23,-48.64,-72.04,-7.95,12.81,21.25,26.71
17,-51.51,-72.24,28.24,17.63,-44.09,-69.93,-6.79,15.55,23.24,27.59
18,-53.63,-72.79,26.73,16.07,-45.79,-70.90,-8.64,14.44,22.17,26.69
19,-55.42,-73.36,27.69,17.90,-41.84,-73.72,2.71,13.90,22.53,28.66
20,-52.17,-71.22,26.69,16.01,-43.99,-65.80,3.42,18.23,25.09,29.30
21,-53.00,-72.94,26.30,16.68,-42.56,-68.92,-3.56,14.68,22.56,27.45
22,-51.93,-70.85,26.52,15.58,-46.26,-71.20,-13.02,14.08,22.11,25.11
23,-51.92,-70.34,26.02,15.83,-43.82,-65.39,5.78,19.37,25.60,30.22
24,-58.33,-75.30,20.80,12.04,-47.97,-70.89,2.01,12.87,21.07,27.47
25,-52.10,-71.18,21.08,9.84,-46.86,-72.34,-3.19,14.60,23.09,30.87
26,-45.08,-69.30,21.40,8.52,-45.65,-72.66,-1.36,18.21,25.78,36.25
27,-45.75,-68.05,21.10,8.27,-46.95,-66.07,-0.40,21.03,25.96,34.08
28,-50.08,-70.69,18.12,6.54,-47.14,-64.91,9.75,20.06,24.68,33.01
29,-55.26,-73.69,15.17,4.15,-50.71,-68.90,4.40,15.43,21.68,31.80
30,-54.08,-74.56,14.33,3.72,-49.96,-70.16,2.95,14.74,20.95,31.24
31,-49.38,-67.76,18.08,5.77,-49.66,-68.72,1.19,18.87,22.98,29.72
32,-49.54,-69.85,17.33,4.65,-51.98,-68.34,-1.99,18.00,22.15,28.07
33,-50.91,-69.89,17.50,5.16,-51.49,-70.61,1.44,17.71,22.15,28.40
34,-48.05,-65.14,20.91,9.67,-42.78,-69.85,12.29,20.47,24.27,32.24
35,-52.80,-71.79,17.06,6.42,-47.22,-73.48,3.17,14.63,19.79,28.00
36,-48.15,-69.50,16.94,4.61,-52.00,-70.65,-4.60,17.29,20.97,24.98
37,-46.64,-67.98,18.15,5.77,-49.70,-69.97,0.79,19.94,22.68,27.55
38,-53.04,-73.40,13.40,2.43,-53.01,-73.04,-4.21,13.26,18.17,24.51
