serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-48.08,-2.58,-1.71,2.26,3.15,-13.06,52.21,87.33,83.46,66.36
2,-49.50,-3.87,-3.23,2.56,2.61,-9.97,52.19,87.22,80.86,64.16
3,-47.48,-1.95,-1.33,-1.78,-0.44,0.00,58.50,93.15,81.96,66.40
4,-45.56,-1.19,-0.49,2.07,3.50,-5.15,54.20,88.63,83.03,66.24
5,-44.12,-2.67,-2.04,2.62,3.13,-6.64,53.88,88.64,81.37,65.08
6,-38.99,1.21,1.97,5.68,7.23,-10.32,50.17,84.63,85.61,67.75
7,-44.47,-4.11,-2.91,3.46,3.75,-7.46,53.66,87.50,80.05,63.82
8,-45.30,-4.00,-3.11,-0.80,-0.22,-1.31,58.27,91.83,79.75,65.00
9,-42.33,-2.86,-1.76,0.26,1.38,-4.41,56.55,90.94,80.99,65.34
10,-40.69,-1.50,-0.76,-0.18,1.12,-3.89,56.42,90.82,82.38,66.82
11,-40.80,-1.85,-1.05,0.34,1.50,-3.94,56.16,90.38,82.11,66.12
12,-42.10,-2.45,-1.87,0.16,0.98,-2.33,57.19,91.02,81.26,65.66
13,-42.94,-2.68,-2.50,-5.48,-3.56,3.56,62.31,95.32,81.42,68.15
14,-43.91,-2.46,-1.77,-3.61,-2.39,1.32,60.77,94.42,81.05,65.33
15,-46.09,-4.38,-3.24,-4.20,-2.06,-0.18,61.29,94.81,81.08,65.05
16,-47.50,-3.47,-2.89,-3.89,-1.30,-0.46,61.43,94.15,82.30,67.98
17,-58.35,-11.76,-9.92,1.32,-0.47,-9.74,58.75,91.56,69.45,56.06
18,-51.34,-6.65,-5.24,-2.41,-1.84,-5.94,59.12,95.57,74.09,60.79
19,-50.83,-7.01,-5.52,-5.73,-5.44,0.79,63.51,98.80,73.98,62.54
20,-50.49,-8.24,-6.67,-5.21,-4.92,-0.82,62.63,98.05,73.11,61.46
21,-47.96,-3.98,-1.97,-0.97,0.33,-6.62,57.62,92.96,77.61,64.00
22,-46.61,-3.09,-0.91,0.20,1.49,-8.10,56.41,91.96,78.42,64.58
23,-43.66,-1.97,0.34,0.22,2.04,-8.45,56.18,92.26,79.41,65.18
24,-42.95,-1.39,0.88,0.12,2.25,-8.47,56.10,91.86,80.28,65.65
25,-43.77,-2.11,0.34,0.82,2.86,-9.51,55.48,91.42,79.35,64.86
