serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-23.73,0.84,-71.19,-65.38,-57.06,-83.96,-20.40,19.12,30.97,45.38
2,-23.85,0.69,-71.50,-65.79,-58.08,-83.90,-20.22,19.87,30.70,45.98
3,-23.47,1.45,-70.61,-65.21,-57.53,-84.34,-20.86,17.56,29.10,44.75
4,-23.17,1.44,-70.24,-64.49,-57.37,-83.75,-19.99,19.41,29.50,45.64
5,-24.52,0.23,-71.93,-66.22,-58.46,-84.12,-20.56,19.86,30.85,46.01
6,-24.07,0.64,-70.96,-65.23,-57.90,-84.05,-20.25,20.53,31.04,46.79
7,-23.41,1.44,-70.57,-65.17,-57.47,-84.21,-20.83,17.96,28.35,44.70
8,-23.29,1.51,-70.53,-65.31,-57.52,-84.56,-20.72,17.16,28.78,44.07
9,-24.10,0.57,-70.67,-65.08,-57.49,-84.00,-20.13,19.79,30.48,45.71
10,-24.35,0.33,-71.39,-65.55,-57.81,-84.19,-20.12,20.30,31.32,46.61
11,-25.62,-0.03,-72.63,-67.80,-59.90,-86.78,-23.93,10.11,24.67,40.55
12,-26.46,-0.59,-72.69,-68.37,-61.00,-88.16,-25.07,5.54,21.87,39.01
13,-26.37,-0.61,-72.75,-68.91,-61.15,-87.97,-24.84,6.67,22.43,39.19
14,-26.21,-0.23,-72.22,-68.41,-60.72,-88.46,-25.32,3.63,20.03,37.61
15,-26.89,-0.94,-73.33,-68.77,-60.71,-86.52,-23.51,10.13,24.47,41.16
16,-26.66,-0.72,-72.40,-68.06,-60.42,-86.81,-23.95,8.32,22.97,40.02
17,-26.91,-0.78,-71.99,-68.14,-60.29,-86.53,-23.72,9.09,23.49,40.93
18,-26.68,-0.84,-72.23,-68.34,-60.38,-87.21,-24.22,7.24,23.03,40.10
19,-27.00,-0.99,-72.48,-68.41,-60.32,-86.59,-23.86,8.51,23.51,40.20
20,-27.46,-1.32,-72.51,-68.58,-60.80,-86.92,-24.32,7.03,22.50,39.82
