serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-52.12,21.80,29.18,18.36,5.71,-67.64,-0.79,31.17,27.43,28.99
2,-53.55,21.40,28.89,18.49,6.06,-67.80,-1.09,30.79,27.09,28.71
3,-54.28,19.99,27.49,17.73,5.42,-66.90,-1.38,29.80,26.39,28.21
4,-53.87,17.07,24.77,16.01,4.51,-67.98,-0.08,30.65,27.06,28.97
5,-66.56,8.87,15.80,8.88,-1.60,-38.12,-1.52,24.26,21.07,25.01
6,-64.40,12.10,18.82,10.93,-0.38,-43.30,-0.79,26.57,22.64,25.88
7,-62.77,12.92,19.54,11.55,0.18,-44.42,-0.60,27.03,22.90,26.03
8,-64.16,11.74,18.47,10.78,-0.29,-44.08,-1.33,25.66,22.03,25.39
9,-63.57,12.72,19.72,11.74,0.40,-45.80,-1.47,26.37,22.61,25.74
10,-64.77,11.04,18.22,10.79,-0.06,-44.73,-1.57,25.20,21.68,25.07
11,-65.40,10.67,17.79,10.36,-0.48,-44.61,-1.92,24.85,21.29,24.79
12,-64.20,10.84,17.57,10.16,-0.52,-43.66,-1.26,25.67,21.89,25.20
13,-64.70,11.34,18.18,10.71,-0.41,-44.78,-1.52,25.30,21.67,25.08
14,-65.06,10.84,17.98,10.48,-0.35,-44.12,-1.52,25.44,21.66,25.06
15,-64.89,10.83,17.91,10.55,-0.07,-43.90,-1.38,25.33,21.68,25.08
16,-65.04,11.12,18.10,10.72,-0.27,-45.41,-1.61,25.12,21.63,25.05
17,-64.45,10.98,17.61,10.37,-0.24,-43.12,-0.76,26.32,22.64,25.83
18,-62.68,12.33,18.77,11.14,0.49,-44.19,0.23,28.04,24.00,26.88
19,-63.01,12.93,19.75,11.91,1.04,-46.58,-0.73,27.28,23.37,26.25
20,-60.54,16.44,23.26,14.51,2.95,-52.04,-0.57,28.56,24.86,27.32
21,-60.46,17.59,25.10,16.29,4.60,-55.56,-1.75,27.95,24.42,26.98
