Serial,P1,P2,P3,P4,P5,R1,R2,R3,R4,R5
1,-73.09,-59.4,26.18,10.62,2.16,30.14,-4.84,25.56,28.2,28.25
2,-77.95,-58.92,29.18,13.38,3.97,23.25,-14.68,20.96,25.36,26.04
3,-73.64,-57.4,26.31,10.82,2.32,28.02,-4,25.38,28.2,28.14
4,-78.11,-58.83,28.33,13.14,4.03,25.36,-13.42,20.39,25.17,25.89
5,-76.44,-58.11,28.07,12.75,3.54,23.96,-9.31,23.81,27.65,27.58
6,-77.54,-57.03,28.91,13.51,4.73,20.52,-11.89,21.52,26.17,26.37
7,-76.76,-58.15,27.74,12.88,4.15,26.88,-9.37,22.47,26.58,26.8
8,-75.88,-55.23,30.49,14.96,5.7,16.37,-9.29,23.63,27.52,27.39
9,-78.87,-52.85,34.88,18.65,8.39,-8.24,-18.51,19.02,24.8,25.36
10,-73.85,-43.68,43.68,25.42,13.11,-39.15,-22.79,18.73,25.86,25.79
11,-80.86,-53.78,34.63,18.82,8.34,-12.5,-21.21,16.01,22.81,23.9
12,-79.37,-50.81,36,19.78,9.25,-13.37,-18.45,17.41,23.99,24.95
13,-77.98,-48.48,38.74,22.17,11.19,-24.27,-20.06,17.41,24.38,24.98
14,-79.38,-49.95,36.93,20.67,9.81,-16.26,-19.21,16.65,23.75,24.52
15,-75.04,-47.19,38.13,21.23,10.39,-12.96,-14.45,22.75,27.94,27.37
16,-77.87,-48.75,37.35,20.87,10.17,-16.56,-17.82,18.71,25.4,25.71
17,-74.79,-47.63,37.38,21.14,10.74,-7.49,-12.71,23.12,28.46,27.81
18,-75.45,-46.6,39.94,23.11,12.07,-21.28,-17.42,20.09,26.8,26.44
19,-78.83,-54.44,33.71,18.66,9.37,2.69,-14.47,18.68,24.83,25.17
20,-73.74,-49.91,37.56,21.08,10.77,-5.92,-11.4,24.95,29.65,28.52
21,-73.37,-52.74,32.21,16.8,7.81,11.25,-5.4,26.39,30.44,29.37
22,-75.9,-51.2,35.82,20,9.78,-1.92,-11.82,22.37,27.6,27.42
23,-77.93,-54.43,33.06,18.04,8.32,7.88,-12.79,20.28,26.03,26.32
24,-66.25,-48.73,31.2,15.17,6.58,12.24,3.95,35.94,37.24,34.42
25,-64.45,-47.45,30.71,14.73,6.52,11.9,5.74,37.22,37.38,33.92
26,-66.47,-48.51,31.74,15.47,6.5,10.49,2.14,34.36,35.31,32.42
27,-72.96,-49.29,36.64,20.24,10.53,-4.69,-9.08,26.01,30.3,28.94
28,-71.29,-49.89,32.96,17.12,8.09,5.32,-4.13,28.29,31.7,30.13
29,-71.58,-49.78,33.12,17.37,7.73,6.24,-4.28,28.05,31.64,30.09
30,-74.23,-51.59,32.84,17.38,7.63,5.51,-7.61,24.5,29.03,28.28
31,-74.73,-51.39,33.55,18.08,8.23,4.68,-8.8,23.8,28.7,27.98
32,-73.24,-52.43,30.97,15.76,6.7,14.48,1.66,28.88,31.99,30.41
33,-72.94,-53.56,32.21,16.8,7.12,11.33,0.62,28.05,31.42,29.97
34,-73.85,-53.57,32.43,17.13,7.4,10.03,-0.89,27.26,30.94,29.62
35,-71.32,-56.87,26.23,11.95,3.37,26.6,7.34,28.93,31.65,30.38
36,-71.19,-52.18,32.06,16.51,7.14,9.68,2.35,30.11,32.91,31.11
37,-69.91,-49.84,34.18,18.16,8.63,3.77,2.22,32.24,34.67,32.17
38,-69.47,-51.38,31.69,16.06,7.07,11.19,5,32.8,34.86,32.54
39,-66.36,-49.86,30.59,15.1,6.46,11.87,9.47,36.45,37.56,34.52
40,-69.37,-49.21,34.42,18.46,8.91,4.2,3.26,32.99,35.25,32.62
41,-69.2,-47.88,36.06,19.42,9.37,-1.79,0.77,32.77,35.15,32.27
42,-70.57,-50.13,34.05,17.83,8.21,4.48,1.39,31.74,34.23,31.9
43,-69.87,-50.97,32.62,16.86,7.54,7.31,3.51,31.92,34.58,32.37
44,-70.03,-50.74,33.06,17.41,7.96,8.18,2.99,31.85,34.36,32.15
45,-70.77,-50.85,33.17,17.59,8.09,6.75,2.14,30.53,33.51,31.27
46,-70.54,-50.83,32.97,17.22,7.9,7.13,2.57,30.9,33.61,31.58
47,-72.67,-50.96,34.46,18.62,8.73,3,-1.59,28.24,31.98,30.28
48,-71.72,-51.12,33.55,17.77,8.24,7.01,0.77,29.66,32.75,31.03
49,-70.68,-51.04,32.96,17.2,7.91,5.74,1.72,30.52,33.32,31.3
50,-70.61,-50.62,33.04,17.22,7.83,7.38,2.58,31.24,33.7,31.69
51,-69.15,-49.9,33.14,17.29,8.05,7.34,3.99,32.71,34.73,32.32
52,-69.97,-50.25,33.22,17.48,8.16,7.38,3.19,31.79,34.43,32.01
53,-69.87,-50.02,33.26,17.47,7.9,6.51,2.99,31.74,34.43,32.03
54,-70.55,-49.95,33.36,17.51,7.78,6.73,2.52,30.98,33.74,31.46
55,-71.12,-51.12,32.35,16.85,7.34,8.88,2.31,29.87,32.85,30.93
56,-72.3,-53.06,30.8,15.76,6.38,14.57,2.8,28.5,31.82,30.44
