serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-68.46,-80.94,-62.61,20.76,5.73,-122.31,44.87,63.36,41.86,33.33
2,-60.71,-74.31,-55.72,27.32,10.19,-103.48,6.81,49.00,45.19,35.51
3,-54.59,-70.83,-59.29,34.21,13.57,-114.64,-34.27,31.35,34.81,27.48
4,-54.91,-70.32,-58.31,34.32,13.96,-112.90,-26.69,34.07,36.49,28.61
5,-59.49,-76.09,-63.90,30.15,10.87,-117.61,-22.70,40.23,34.92,28.23
6,-58.20,-77.31,-70.44,29.82,10.85,-125.66,-35.27,40.34,33.47,27.55
7,-58.36,-79.63,-72.75,29.64,10.27,-128.17,-58.49,35.37,30.57,25.84
8,-52.88,-75.51,-73.68,30.29,10.16,-133.27,-75.08,16.82,26.02,22.99
9,-54.15,-76.28,-73.99,29.05,8.94,-133.26,-80.22,14.12,25.59,22.76
10,-52.41,-70.84,-64.04,34.51,13.58,-120.13,-49.30,21.66,29.85,24.67
11,-53.51,-72.78,-64.62,33.33,12.80,-122.51,-51.92,21.83,29.52,24.75
12,-53.92,-73.05,-64.56,34.03,13.25,-125.49,-52.56,23.13,28.86,24.33
13,-54.18,-73.34,-66.41,33.13,12.51,-126.98,-56.07,24.59,28.92,24.42
14,-54.08,-73.45,-66.26,33.10,12.60,-125.96,-57.45,24.23,29.05,24.32
15,-55.23,-73.68,-65.58,33.25,12.77,-124.03,-51.73,26.60,30.13,25.27
16,-54.91,-72.99,-64.08,33.31,13.05,-123.01,-48.86,26.66,30.87,25.33
17,-54.26,-72.51,-64.19,34.03,13.00,-123.53,-51.81,24.42,29.88,24.86
18,-55.11,-73.62,-65.24,33.06,12.74,-123.64,-52.18,26.31,30.28,25.12
19,-54.58,-74.20,-67.60,32.28,11.69,-126.90,-57.56,25.93,29.03,24.50
20,-51.56,-73.86,-70.81,32.13,11.49,-128.59,-64.70,20.96,26.37,22.80
21,-51.15,-80.78,-85.09,23.64,5.74,-124.07,-103.08,129.62,28.67,26.50
22,-52.36,-76.40,-80.50,22.84,4.96,-120.31,-147.94,139.10,30.63,27.62
23,-54.46,-74.16,-78.62,21.96,4.54,-124.32,-165.41,136.26,30.92,27.97
24,-54.19,-78.14,-69.45,27.74,9.22,-118.33,-24.46,53.77,35.14,29.22
25,-54.29,-77.78,-68.95,28.02,9.63,-117.22,-22.50,52.71,35.58,29.40
26,-54.02,-77.05,-67.80,28.22,9.63,-116.98,-21.58,52.07,35.73,29.37
27,-53.92,-76.56,-68.05,28.63,10.05,-116.12,-20.33,53.03,36.22,29.60
28,-54.21,-76.98,-68.11,28.42,9.67,-115.83,-20.14,53.63,36.16,29.76
29,-54.28,-76.87,-67.89,28.39,9.73,-115.17,-17.05,54.08,36.43,29.95
30,-54.70,-76.91,-67.96,28.00,9.36,-115.96,-19.07,53.54,36.48,29.74
31,-54.29,-76.81,-67.57,28.29,9.45,-115.88,-18.63,52.97,36.21,29.81
32,-54.54,-77.05,-68.26,27.89,9.37,-115.74,-17.66,54.87,36.28,29.72
33,-54.40,-77.30,-68.55,28.01,9.41,-116.25,-20.09,53.93,36.05,29.63
34,-54.72,-76.01,-66.36,28.49,10.39,-114.16,-13.76,53.96,37.53,30.56
35,-53.40,-75.26,-66.70,29.33,10.82,-114.12,-18.59,51.52,36.86,29.96
36,-51.56,-76.44,-70.33,29.31,9.99,-120.20,-34.16,44.65,32.59,27.33
37,-52.88,-77.72,-70.62,27.86,8.71,-121.39,-30.26,49.56,33.13,27.84
38,-51.32,-77.52,-69.98,28.92,9.97,-120.03,-33.74,48.97,34.13,28.16
39,-51.77,-77.19,-68.51,29.59,10.26,-118.85,-26.87,49.33,35.09,28.78
40,-52.80,-77.25,-68.58,28.52,9.65,-118.05,-23.73,51.24,35.65,29.22
41,-52.35,-78.90,-70.28,28.82,10.17,-120.29,-33.37,48.79,33.35,27.71
42,-52.72,-77.16,-66.58,29.23,10.58,-116.02,-23.14,49.69,35.82,29.24
43,-52.06,-75.30,-64.78,30.70,11.59,-113.39,-21.14,47.63,36.78,29.59
44,-52.38,-75.29,-64.96,29.77,10.74,-112.92,-19.43,49.75,37.21,30.02
45,-53.83,-75.96,-65.09,29.03,10.30,-112.07,-13.03,52.73,37.86,30.55
46,-51.99,-73.71,-63.43,30.93,11.74,-110.68,-16.06,49.17,37.78,30.19
