serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-29.01,-71.04,-16.83,-8.79,-15.59,-73.79,12.81,35.66,29.60,34.91
2,-31.26,-74.07,-16.76,-6.08,-13.51,-83.55,-11.37,27.16,23.14,28.91
3,-29.13,-71.59,-13.10,-2.63,-10.81,-86.40,-19.73,24.72,22.23,27.99
4,-26.43,-68.21,-10.28,-0.65,-9.43,-85.70,-13.91,26.70,24.12,29.39
5,-33.36,-73.20,-18.30,-5.71,-13.54,-90.15,-36.22,20.21,17.70,24.51
6,-34.85,-75.05,-20.05,-7.74,-14.97,-90.33,-30.16,21.02,19.04,26.03
7,-39.01,-80.33,-24.15,-10.46,-17.22,-88.10,-43.95,21.66,17.90,24.59
8,-39.79,-81.85,-25.49,-12.49,-18.99,-83.32,-10.31,26.05,20.77,27.08
9,-40.30,-82.11,-26.27,-13.09,-19.41,-81.69,1.11,27.30,21.54,27.50
10,-39.60,-73.80,-23.43,-9.12,-17.07,-89.17,-28.20,21.76,17.30,23.56
11,-43.89,-77.60,-27.93,-13.03,-19.83,-84.95,-21.79,24.76,18.78,24.94
12,-44.76,-77.62,-28.45,-13.59,-20.37,-84.84,-22.73,24.20,18.39,24.43
13,-44.14,-77.59,-27.94,-13.29,-20.00,-84.56,-19.08,25.41,19.18,25.35
14,-44.33,-77.11,-28.42,-13.89,-20.43,-82.86,-15.37,25.82,19.59,25.50
15,-44.26,-78.02,-28.42,-13.50,-20.03,-83.93,-17.25,25.75,19.29,25.23
16,-44.32,-77.84,-28.24,-13.58,-20.40,-82.58,-12.60,26.77,20.16,26.04
17,-43.57,-76.75,-27.66,-13.58,-20.22,-82.01,-11.65,27.10,20.42,26.24
18,-45.73,-79.67,-30.10,-15.40,-21.58,-81.74,-12.58,26.81,19.66,25.74
19,-46.70,-81.10,-31.45,-16.32,-22.47,-80.95,-11.82,26.68,19.20,25.20
20,-46.58,-80.28,-31.13,-16.04,-22.15,-81.17,-14.12,26.81,19.30,25.43
21,-45.88,-79.39,-29.65,-14.80,-21.21,-81.80,-17.01,26.15,19.24,25.41
22,-45.33,-78.73,-29.35,-14.65,-21.12,-81.83,-13.35,27.28,20.00,26.28
23,-45.87,-79.71,-30.52,-16.48,-22.51,-77.96,5.12,30.84,22.30,27.80
24,-45.98,-79.70,-31.36,-17.09,-23.08,-76.46,4.03,30.54,21.91,27.58
25,-46.34,-80.21,-31.15,-16.75,-22.77,-77.73,1.54,30.04,21.60,27.25
26,-46.14,-79.98,-31.20,-16.86,-22.75,-77.17,2.31,30.33,21.63,27.35
27,-44.30,-77.76,-29.06,-15.79,-21.58,-75.53,10.23,32.52,23.79,28.91
28,-46.58,-79.80,-31.64,-17.70,-23.26,-74.84,12.41,32.69,23.21,28.67
29,-42.45,-75.42,-27.31,-14.58,-20.95,-74.71,8.06,33.42,25.08,30.19
30,-38.71,-71.49,-23.46,-11.79,-17.94,-75.05,6.63,34.35,26.77,31.38
31,-35.06,-66.85,-17.84,-6.22,-13.66,-82.75,-9.49,29.09,24.26,28.92
32,-34.79,-66.87,-17.16,-4.83,-13.21,-86.66,-17.22,25.66,21.76,26.96
33,-37.41,-68.35,-19.56,-6.71,-14.87,-86.95,-19.25,24.88,20.80,26.23
34,-41.56,-72.97,-24.04,-10.41,-17.61,-84.52,-15.42,26.41,20.91,26.63
35,-46.45,-78.11,-29.75,-14.51,-20.17,-83.48,-7.13,26.83,20.89,26.31
36,-48.70,-79.94,-33.33,-18.33,-23.52,-74.32,9.64,31.32,22.86,28.03
37,-49.26,-80.15,-33.70,-19.09,-23.95,-72.37,17.77,32.72,23.53,28.78
38,-49.62,-80.44,-33.51,-18.83,-23.76,-72.64,19.78,32.46,23.46,28.58
39,-50.78,-80.63,-35.35,-20.43,-25.12,-70.39,25.88,33.34,23.67,28.87
40,-48.58,-79.11,-33.09,-18.91,-23.78,-71.33,19.13,33.55,24.45,29.45
41,-48.14,-77.94,-32.65,-18.82,-23.67,-70.78,18.56,34.32,25.00,29.87
42,-48.19,-78.78,-32.76,-18.45,-23.33,-71.59,16.73,33.15,24.04,29.12
43,-48.21,-78.58,-32.74,-18.71,-23.87,-70.83,22.13,34.15,24.91,29.83
44,-48.44,-84.50,-33.90,-18.94,-23.65,-68.78,32.52,34.21,24.95,29.85
45,-40.88,-80.16,-26.91,-13.77,-19.19,-72.37,25.84,35.82,28.44,32.45
46,-40.88,-79.04,-26.35,-13.02,-18.49,-73.30,18.11,34.90,27.65,31.76
47,-38.20,-73.52,-22.17,-8.35,-15.40,-80.26,-7.35,29.77,25.10,29.30
48,-38.04,-70.91,-21.27,-6.98,-14.13,-84.20,-16.04,26.60,22.92,27.60
49,-37.65,-69.62,-20.37,-6.04,-13.50,-85.78,-18.06,25.48,22.40,27.12
50,-37.76,-68.97,-19.92,-4.87,-12.92,-89.97,-28.33,21.45,19.46,24.74
51,-38.33,-70.51,-20.15,-5.07,-13.23,-91.22,-29.86,20.60,18.95,24.41
52,-39.18,-69.67,-20.50,-4.87,-13.35,-93.22,-33.82,18.79,17.41,23.25
53,-41.00,-71.98,-22.82,-7.18,-15.08,-90.98,-28.34,21.15,18.61,24.29
54,-41.05,-72.22,-22.72,-7.34,-14.78,-90.13,-26.10,21.90,19.19,24.72
55,-40.87,-72.40,-23.00,-8.30,-15.76,-86.31,-16.41,25.23,21.60,26.81
56,-31.68,-61.15,-12.78,-1.02,-10.03,-85.13,-14.99,26.72,25.34,29.39
57,-33.64,-64.07,-14.95,-1.83,-10.42,-87.83,-18.71,24.01,22.56,27.09
58,-35.26,-65.28,-15.95,-1.62,-10.96,-92.51,-26.86,19.57,18.95,24.20
59,-37.46,-67.93,-18.56,-3.85,-12.54,-91.05,-24.93,20.91,19.30,24.76
60,-38.04,-68.79,-19.64,-4.96,-13.05,-89.41,-24.56,21.57,19.64,24.92
61,-37.79,-68.16,-19.01,-4.92,-12.95,-87.57,-18.69,23.68,21.32,26.32
62,-38.63,-71.43,-20.83,-7.42,-14.60,-81.88,-7.54,27.86,23.98,28.66
63,-39.87,-73.01,-22.76,-9.56,-16.03,-78.57,2.97,31.16,26.06,30.36
64,-37.65,-71.40,-20.71,-7.83,-14.29,-77.15,6.39,32.67,27.56,31.39
65,-36.36,-71.14,-19.62,-7.01,-14.06,-78.23,1.33,31.81,26.96,30.94
66,-30.31,-64.64,-11.83,0.40,-8.48,-86.63,-17.11,25.15,23.83,27.80
67,-30.05,-62.70,-10.80,2.67,-7.40,-93.99,-28.51,19.10,19.58,24.48
68,-29.97,-62.59,-10.58,3.24,-7.13,-95.46,-31.64,17.57,18.40,23.39
69,-34.33,-66.29,-14.67,0.34,-9.53,-96.88,-35.72,16.33,16.75,22.33
70,-40.32,-72.78,-21.11,-5.07,-13.95,-93.75,-37.68,18.41,16.85,22.68
71,-43.27,-77.24,-24.79,-9.11,-16.52,-85.90,-23.06,23.73,19.96,25.44
72,-43.12,-78.06,-25.85,-10.97,-17.50,-81.04,-7.28,27.93,22.60,27.79
73,-40.21,-74.79,-22.24,-7.83,-15.07,-82.76,-9.80,27.29,23.14,28.02
74,-37.23,-71.81,-19.30,-5.65,-13.39,-83.28,-10.32,27.39,23.82,28.40
75,-37.98,-71.96,-20.11,-4.50,-12.95,-92.76,-32.75,19.73,17.93,23.68
76,-38.01,-71.16,-19.68,-4.08,-12.92,-93.77,-36.90,18.15,17.08,22.85
77,-39.83,-73.37,-21.51,-5.64,-13.87,-93.17,-34.87,19.48,17.68,23.43
78,-41.32,-75.13,-22.98,-7.29,-15.35,-88.72,-26.61,22.37,19.35,24.93
79,-45.04,-79.92,-28.70,-13.77,-19.84,-76.29,17.36,32.08,24.99,29.56
80,-43.71,-78.55,-26.33,-11.80,-18.19,-78.78,4.75,30.24,24.12,28.98
81,-42.73,-77.16,-25.46,-11.23,-17.83,-78.52,5.04,30.99,24.96,29.65
82,-40.32,-73.66,-22.75,-9.28,-16.42,-79.27,2.50,31.14,25.82,30.23
83,-39.98,-73.79,-22.16,-8.54,-15.58,-79.77,0.49,30.27,25.36,29.76
84,-36.45,-69.95,-18.46,-5.48,-13.19,-81.15,-3.36,29.84,25.97,29.95
85,-36.30,-69.55,-18.11,-5.08,-12.93,-82.40,-4.84,29.39,25.72,30.03
86,-35.30,-68.25,-16.96,-4.20,-12.28,-83.06,-6.53,28.61,25.50,29.83
87,-34.96,-67.92,-16.56,-3.84,-12.18,-84.46,-8.05,28.29,25.24,29.61
88,-40.31,-73.47,-22.55,-8.62,-15.77,-80.96,-4.66,28.90,24.26,29.16
89,-42.67,-76.51,-24.79,-10.03,-17.31,-81.43,-2.37,28.44,23.34,28.53
90,-42.89,-77.87,-23.88,-8.05,-16.15,-88.31,-30.78,22.82,19.39,25.19
91,-41.97,-76.66,-22.99,-7.46,-15.55,-88.15,-27.64,23.13,19.73,25.37
92,-39.52,-73.19,-20.54,-5.10,-13.83,-91.18,-31.94,20.68,18.61,24.34
93,-37.42,-69.77,-18.23,-3.31,-12.23,-91.68,-26.12,21.08,19.48,24.95
94,-34.94,-67.68,-15.82,-1.74,-11.18,-91.28,-24.52,21.46,20.22,25.46
95,-35.69,-68.15,-16.65,-2.37,-11.43,-91.64,-24.60,21.40,19.94,25.22
96,-34.79,-66.78,-15.72,-1.52,-11.05,-92.43,-25.59,20.48,19.62,24.85
97,-41.01,-74.32,-22.64,-8.34,-15.80,-85.23,-12.55,26.70,22.76,27.64
98,-39.13,-72.01,-18.54,-6.34,-14.78,-85.43,-17.96,23.56,21.64,26.54
99,-33.91,-66.10,-11.15,-0.31,-10.53,-87.83,-19.12,24.34,23.16,27.40
100,-35.97,-69.04,-13.88,-2.39,-12.11,-85.92,-15.79,25.24,23.46,27.81
101,-46.48,-80.16,-26.36,-11.43,-18.87,-83.31,-13.78,24.77,21.19,26.63
102,-45.08,-78.99,-24.55,-10.88,-18.80,-80.03,-0.94,28.06,23.79,29.00
103,-44.99,-78.50,-25.18,-12.13,-19.55,-76.08,9.50,31.01,25.61,30.66
104,-45.75,-79.94,-25.83,-12.46,-19.40,-75.15,13.69,30.96,25.68,30.59
105,-42.25,-75.92,-21.07,-7.81,-16.08,-81.01,-8.89,27.52,23.76,28.92
106,-42.29,-76.30,-21.19,-8.03,-16.31,-79.99,-4.61,28.49,24.70,29.72
107,-42.32,-76.04,-21.41,-8.13,-16.84,-80.82,-7.68,27.48,23.79,28.87
108,-41.54,-74.92,-20.38,-7.57,-15.84,-80.38,-4.57,28.17,24.76,29.61
109,-39.93,-73.36,-18.10,-5.61,-14.59,-82.34,-8.65,27.25,24.49,29.22
110,-38.12,-71.58,-16.68,-4.25,-13.57,-82.60,-11.14,26.88,24.40,29.14
111,-36.32,-69.88,-14.63,-2.59,-12.32,-85.62,-14.52,25.62,23.93,28.72
112,-35.60,-69.48,-14.48,-2.63,-12.03,-83.81,-12.76,26.41,24.50,29.26
113,-40.69,-77.34,-20.94,-8.83,-16.71,-75.41,11.64,32.38,27.49,31.98
114,-40.85,-77.40,-20.51,-8.38,-16.44,-76.40,8.26,31.40,26.84,31.48
115,-40.71,-78.21,-20.45,-8.18,-16.26,-77.64,5.71,30.46,26.38,30.98
116,-37.60,-76.71,-18.12,-7.21,-15.35,-75.23,11.47,33.44,29.16,33.27
117,-37.86,-76.95,-18.70,-7.41,-15.32,-74.29,17.20,33.96,29.47,33.58
118,-37.97,-76.38,-18.80,-7.69,-15.38,-73.84,18.36,34.64,29.69,33.68
119,-37.97,-75.96,-18.07,-7.13,-15.01,-75.08,14.11,33.65,29.42,33.45
120,-33.68,-74.90,-14.75,-4.05,-12.71,-77.81,9.68,33.18,30.03,33.29
121,-31.70,-72.31,-11.73,-0.91,-10.72,-81.51,-6.22,28.99,27.64,31.07
122,-30.60,-69.92,-9.61,2.38,-8.73,-89.72,-18.88,24.35,23.73,27.85
123,-32.26,-69.99,-10.59,1.82,-9.42,-93.34,-32.77,19.23,20.17,25.02
124,-37.59,-75.25,-15.76,-2.13,-13.12,-92.38,-38.07,19.83,19.25,24.69
125,-38.98,-77.82,-18.57,-5.69,-14.66,-82.28,-7.75,27.57,24.63,29.27
126,-39.24,-77.69,-18.52,-5.59,-14.58,-83.11,-6.17,27.89,24.77,29.40
127,-38.27,-77.16,-17.57,-4.99,-14.24,-82.35,-6.86,27.85,25.05,29.63
128,-36.65,-75.54,-15.86,-3.54,-12.68,-84.05,-10.13,27.25,25.09,29.45
129,-35.08,-73.96,-14.41,-2.24,-11.84,-83.93,-10.79,27.06,25.10,29.33
130,-33.83,-72.89,-12.91,-1.31,-10.93,-83.40,-9.84,27.51,25.73,29.74
131,-31.00,-69.95,-9.70,1.34,-9.32,-85.09,-12.72,26.66,25.84,29.72
132,-31.35,-70.60,-12.81,-1.63,-10.09,-86.41,-6.23,27.24,27.23,31.20
133,-31.98,-72.08,-19.53,-13.56,-17.60,-82.39,-4.03,26.87,24.75,30.09
134,-29.75,-74.69,-21.67,-14.30,-18.05,-83.66,-6.62,30.85,22.98,30.09
135,-28.23,-75.25,-19.75,-12.72,-17.27,-84.11,-9.61,31.09,21.55,29.77
136,-31.60,-80.02,-22.60,-14.04,-17.89,-85.96,-20.72,28.23,18.75,27.57
137,-32.03,-81.14,-22.37,-14.04,-17.38,-83.62,-9.02,30.26,20.44,28.40
138,-35.51,-82.85,-24.37,-15.94,-19.07,-84.26,19.04,31.56,21.02,28.51
139,-33.19,-81.73,-24.19,-16.35,-19.44,-79.17,10.27,34.81,22.65,29.94
140,-34.07,-82.34,-23.68,-15.75,-19.46,-80.87,18.01,34.89,22.49,30.02
141,-31.64,-79.78,-22.91,-15.63,-18.94,-77.50,0.23,35.68,23.07,30.22
142,-32.01,-79.74,-22.43,-15.21,-19.16,-80.55,-4.26,34.11,22.03,29.51
143,-31.75,-78.72,-21.70,-14.56,-18.33,-79.04,6.25,35.86,23.16,30.35
144,-32.98,-80.18,-21.40,-13.59,-17.47,-80.62,6.99,34.57,22.34,29.44
145,-31.86,-77.90,-21.05,-13.80,-17.52,-81.87,-1.78,34.10,22.07,29.19
146,-36.59,-81.03,-23.85,-14.60,-18.18,-83.92,3.76,31.80,19.86,26.65
147,-34.58,-78.39,-22.73,-14.67,-18.64,-82.82,-6.49,32.93,20.96,28.09
148,-32.80,-74.94,-20.28,-12.23,-16.47,-84.72,-13.21,30.76,19.68,26.95
149,-34.85,-76.92,-23.92,-15.47,-19.36,-80.02,-6.10,33.79,21.20,28.11
150,-31.38,-73.16,-18.14,-9.51,-14.27,-86.36,-16.32,29.61,18.86,25.99
151,-32.71,-74.90,-20.42,-11.35,-16.39,-85.73,-20.09,29.63,18.37,25.51
152,-34.96,-77.68,-22.95,-13.69,-17.54,-78.98,8.24,35.24,22.19,28.41
153,-34.74,-75.89,-22.67,-14.47,-18.90,-77.59,7.19,37.12,23.43,29.73
154,-38.79,-78.90,-25.38,-15.03,-19.78,-83.15,-14.26,30.51,18.05,25.29
155,-41.88,-81.71,-28.22,-16.63,-21.53,-85.66,-34.76,27.64,15.06,22.95
156,-43.56,-82.62,-29.51,-17.59,-21.98,-86.68,-45.00,25.98,13.85,21.97
157,-39.18,-76.66,-25.20,-15.10,-19.68,-83.57,-14.15,30.61,18.04,25.22
158,-38.61,-76.34,-24.79,-14.91,-19.57,-82.95,-12.18,31.17,18.57,25.50
159,-38.49,-74.18,-24.57,-14.15,-19.27,-85.27,-19.70,28.86,16.66,24.06
160,-38.55,-74.15,-24.55,-14.39,-19.47,-84.50,-17.62,29.47,17.24,24.67
161,-38.44,-74.46,-24.38,-13.90,-19.12,-85.70,-23.66,27.63,15.91,23.56
162,-36.81,-73.87,-23.80,-14.28,-19.16,-77.88,-1.04,34.48,20.16,27.36
163,-40.36,-77.25,-27.23,-16.58,-20.58,-82.72,-13.51,30.50,17.66,24.83
164,-38.79,-75.23,-25.50,-15.62,-19.98,-81.11,-8.21,32.14,19.29,26.20
165,-46.14,-85.13,-33.99,-21.88,-24.75,-81.61,-10.70,29.46,16.12,23.49
166,-42.57,-82.61,-30.48,-20.02,-23.99,-78.74,-19.42,31.81,18.13,25.38
167,-42.43,-81.39,-28.28,-17.52,-21.30,-81.00,-5.55,31.34,18.38,25.32
168,-42.26,-80.57,-28.89,-18.21,-22.27,-80.29,-4.42,32.15,18.84,25.80
169,-43.34,-81.22,-29.16,-18.30,-22.28,-80.36,2.82,32.74,19.43,26.28
170,-45.57,-79.70,-30.12,-16.96,-21.62,-88.95,-33.20,26.63,15.55,25.09
171,-45.07,-80.44,-31.92,-21.21,-24.77,-75.30,20.34,35.88,20.89,27.48
172,-42.93,-79.73,-27.34,-17.59,-22.28,-81.48,-0.94,25.34,17.70,23.88
173,-45.95,-78.61,-31.04,-18.02,-23.05,-91.05,-50.55,21.14,11.46,19.43
174,-43.57,-78.87,-30.32,-19.30,-23.61,-78.97,5.19,33.25,20.46,27.37
175,-44.59,-76.84,-29.47,-17.06,-22.66,-88.87,-33.03,24.13,14.03,22.34
176,-45.67,-78.98,-30.98,-18.07,-23.46,-88.87,-40.13,23.50,13.34,21.56
177,-45.05,-76.93,-28.89,-16.32,-22.51,-90.75,-45.78,22.34,12.60,21.12
178,-46.16,-78.46,-30.54,-17.40,-22.96,-90.37,-43.77,23.23,12.57,21.02
179,-46.08,-80.05,-31.12,-18.35,-23.31,-85.85,-34.78,25.98,14.59,22.85
180,-45.02,-78.24,-30.02,-17.96,-23.03,-84.21,-19.77,28.19,16.25,24.18
181,-44.95,-78.32,-29.90,-17.69,-23.46,-84.28,-20.51,28.32,16.44,24.93
182,-44.91,-78.67,-30.02,-17.97,-23.07,-82.85,-15.43,29.09,17.15,25.13
183,-44.49,-77.62,-29.70,-18.12,-23.10,-82.18,-12.72,29.61,17.81,25.86
184,-41.86,-74.03,-26.19,-15.56,-21.21,-85.08,-15.57,28.34,17.64,25.66
185,-47.91,-80.40,-32.86,-20.98,-25.36,-83.79,-20.77,27.09,15.75,24.58
186,-44.19,-76.32,-28.54,-17.93,-22.61,-84.00,-13.72,28.10,17.57,26.15
187,-42.70,-74.61,-27.33,-17.00,-22.19,-82.02,-7.49,30.83,19.35,27.29
188,-48.40,-81.70,-33.61,-24.79,-28.33,-80.43,-4.79,27.21,15.96,26.59
189,-48.81,-82.21,-34.18,-25.32,-28.48,-80.45,-5.62,27.03,15.84,26.40
190,-48.86,-81.42,-34.18,-25.12,-28.58,-80.49,-5.78,26.92,15.57,26.29
191,-48.04,-81.04,-33.85,-25.41,-29.04,-78.62,0.36,28.69,17.44,27.62
192,-48.35,-83.22,-33.55,-24.76,-28.38,-78.17,6.37,29.18,17.45,27.26
193,-49.03,-83.02,-34.83,-26.08,-29.62,-75.03,18.15,31.00,18.19,28.11
194,-47.74,-81.26,-34.38,-26.53,-29.72,-71.69,31.62,34.61,20.98,30.50
195,-42.57,-75.95,-27.42,-19.04,-24.08,-83.51,-15.25,27.18,17.07,26.39
196,-50.29,-87.11,-33.02,-22.68,-26.31,-83.33,-21.35,25.94,15.45,24.72
197,-45.27,-81.77,-29.01,-20.64,-25.43,-80.16,-7.65,28.85,18.32,27.42
198,-44.86,-81.12,-28.04,-19.71,-24.59,-81.32,-11.43,28.31,17.86,26.79
199,-46.21,-82.57,-29.51,-20.60,-25.35,-81.40,-12.63,27.78,17.58,26.80
200,-42.57,-77.61,-28.44,-20.81,-23.45,-80.34,-3.06,30.10,18.56,28.14
201,-48.15,-83.81,-32.61,-22.90,-26.98,-80.60,-42.40,25.80,15.55,25.15
202,-51.94,-87.86,-35.34,-25.23,-28.66,-80.45,37.09,27.74,16.05,25.19
203,-47.72,-83.53,-32.12,-23.37,-27.30,-77.00,-12.37,29.57,18.53,27.55
204,-44.21,-79.01,-26.43,-18.35,-23.99,-84.88,-20.82,26.23,16.66,25.78
205,-43.76,-80.88,-28.79,-20.07,-24.91,-84.91,-10.56,28.97,18.42,27.46
206,-48.67,-82.05,-29.53,-19.43,-24.43,-89.59,-40.76,21.42,12.87,22.85
207,-50.01,-85.27,-32.64,-22.11,-26.57,-88.40,-119.18,22.59,13.17,22.81
208,-48.43,-86.41,-32.24,-22.72,-26.85,-81.63,-25.47,27.52,16.92,25.83
209,-49.53,-89.26,-32.45,-22.79,-26.76,-82.08,20.81,28.44,17.26,26.30
210,-49.77,-88.48,-32.60,-22.88,-27.32,-79.29,77.87,27.32,15.74,24.51
211,-41.92,-83.44,-24.11,-15.79,-21.78,-80.64,-2.78,29.39,19.21,26.95
212,-42.58,-81.86,-29.70,-21.13,-25.31,-72.53,27.22,34.02,25.11,31.22
213,-39.24,-74.36,-33.83,-25.15,-25.15,-74.18,17.71,31.95,29.20,31.92
214,-35.22,-86.02,-26.67,-17.14,-19.08,-77.69,22.88,33.67,25.66,29.89
215,-33.78,-83.42,-23.29,-13.67,-16.79,-83.90,-35.13,28.79,21.86,26.78
216,-36.34,-80.79,-24.64,-13.43,-16.78,-90.15,-56.67,23.35,17.62,22.63
217,-35.12,-80.56,-24.68,-15.18,-18.25,-82.34,-20.99,30.45,22.92,27.12
218,-33.45,-75.47,-22.53,-13.99,-17.39,-80.34,-3.49,33.27,24.64,28.76
219,-34.34,-75.55,-23.30,-13.99,-17.10,-79.68,1.28,33.94,24.42,28.54
220,-32.14,-74.51,-20.70,-12.00,-15.57,-80.44,-3.72,33.69,24.48,28.90
221,-30.24,-71.40,-20.60,-12.42,-16.14,-77.24,-8.24,35.42,25.88,29.83
