Serial,P1,P2,P3,P4,P5,R1,R2,R3,R4,R5
1,-23.9,-74.78,-64.23,-19.38,-25.07,-32.24,53.56,102.23,42.69,42.07
2,-24.68,-75.48,-66.07,-18.63,-24.8,-33.76,44.88,97.97,40.93,39.61
3,-23.52,-70.93,-62.63,-21.3,-26.21,-29.28,58.3,107.71,43.51,42.13
4,-24.36,-70.26,-63.18,-15.08,-21.84,-36.92,33.16,88.07,41.43,39.94
5,-29.44,-75.52,-68.98,-17.17,-24.02,-36.52,31.53,89.32,36.98,36.45
6,-24.64,-71.46,-64.36,-13.99,-20.68,-38.82,27.24,87.31,40.41,38.73
7,-29.55,-76.06,-69.75,-18.36,-26.01,-33.83,38,97.15,37.4,38.19
8,-24.63,-66.79,-64.03,-9.6,-17.37,-42.8,12.09,72.53,39.18,37.34
9,-30.19,-73.95,-69.59,-12.22,-20.33,-42.69,9.94,69.44,34.59,33.61
10,-30.65,-69.25,-63.46,-8.82,-16.77,-51.47,-11.37,51.59,28.92,30.42
11,-29.53,-63.97,-59.47,-6.24,-14.31,-55.31,-14.86,44.5,27.26,29.6
12,-20.97,-61.56,-57.24,-7.43,-14.47,-48.05,3.51,59.75,36.37,36.1
13,-26.28,-63.52,-61.29,-6.5,-14.79,-51.8,-8.4,49.14,31.3,31.61
14,-26.08,-62.27,-59.61,-5.97,-14.51,-51.92,-9.25,53.04,32.31,31.2
15,-26.87,-61.79,-59.35,-5.48,-14.19,-53.51,-11.19,51.05,31.7,30.84
16,-26.95,-64.48,-62.19,-7.46,-15.83,-51.07,-8.57,54.58,30.48,31.43
17,-23.3,-61.93,-60.65,-6.48,-16.73,-51.92,-8.17,54.39,28.65,32.42
18,-22.51,-70.79,-63.26,-3.87,-13.74,-53.04,-2.59,65.5,31.79,32.58
19,-22.35,-80.78,-69.91,-6.05,-15.31,-52.41,9.81,101.56,33.83,32.84
20,-20.08,-80.78,-64.91,-6.78,-14.88,-53.99,43.23,102.09,36.16,34.35
21,-22.87,-77.18,-58.5,-8.04,-13.55,-53.89,63.55,106.13,37.25,33.2
22,-21.14,-77.19,-57.03,-7.27,-15.01,-54.32,53.49,86.03,39.25,34.84
23,-20.54,-76.25,-58.37,-6.92,-14.95,-52.94,51.18,85.66,40.26,35.72
24,-21.92,-76.17,-61.74,-8.36,-16.06,-51.41,55.96,86.08,40.11,35.91
25,-20.69,-77.28,-60.55,-3.19,-12.61,-58.06,31.11,71.7,38.49,34.03
26,-21.8,-76.99,-59.95,-3.37,-12.98,-58.26,19.84,67.42,37.23,32.97
27,-20.76,-75.14,-58.45,-2.56,-12.38,-57.71,25.42,69.76,38.94,34.48
28,-22.67,-77.39,-61.83,-5.44,-14.96,-56.09,19.79,69.41,37.9,33.88
29,-23.77,-80.58,-62.71,-3.43,-12.91,-55.76,-0.77,64.31,35.02,32.43
30,-24.71,-78.95,-61.85,-6.73,-15.55,-52.27,16.37,71.22,37.37,34.39
31,-24.51,-77.57,-61.95,-5.38,-14.94,-54.39,5.86,67.53,36.24,33.29
32,-21.11,-74.82,-60.52,-1.94,-13.04,-52.11,-1.05,68.6,36.49,33.77
33,-21,-77.47,-62.65,-2.14,-12.82,-48.39,1.26,75.21,37.48,34.11
34,-23.41,-81.38,-64.61,-2.72,-13.87,-51.25,-10.91,67.54,36.58,33.6
35,-23.42,-80.3,-64.81,-3.42,-14.39,-50.44,-12.3,68.92,37.04,34.06
36,-20.96,-72.3,-60.13,-0.38,-11.83,-51.51,-6.17,61.84,38.66,34.55
37,-23.99,-75.81,-64.32,-3.29,-13.81,-50.23,-9.57,65.99,36.88,33.5
38,-24.31,-73.67,-63.47,-3.54,-14.53,-50.16,-7.87,64.45,36.63,33.6
39,-22.93,-70.26,-61.81,-1.25,-12.97,-51.87,-10.2,60.86,36.86,33.26
40,-22.74,-73.28,-63.13,-4.09,-14.9,-47.86,-2.01,69.27,38.33,34.84
41,-22.47,-71.46,-61.79,-3,-14.12,-48.79,-1.54,67.5,38.71,35.04
42,-22.12,-65.24,-60.13,-0.16,-12.27,-52.44,-13.41,58.53,37.26,33.49
43,-21.16,-65.71,-60.33,-1.68,-12.97,-49.33,-3.51,66.82,39.53,35.6
44,-21.06,-63.42,-60.04,-0.77,-12.01,-50.72,-5.79,63.73,38.94,34.65
45,-20.52,-61.35,-59.66,-0.99,-11.81,-50,-4.21,64.34,39.57,35.26
46,-20.29,-57.65,-58.35,0.69,-10.75,-51.14,-6.45,61.19,39.45,35.14
47,-20.39,-59.6,-58.85,0.46,-10.82,-51.04,-6.13,61.93,39.44,35.06
48,-19.74,-58.24,-58.15,1.03,-10.5,-51.11,-5.46,60.82,39.56,35.13
49,-19.84,-58.77,-58.7,0.43,-10.77,-50.88,-5.44,61.86,39.66,35.41
50,-19.74,-60.38,-59.05,0.94,-10.7,-51.11,-5.19,63.11,39.7,35.16
51,-19.99,-59.22,-58.76,0.84,-10.83,-51.46,-4.39,62.54,39.91,35.25
52,-19.6,-58.43,-58.45,1.24,-10.44,-51.25,-4.15,62.03,40.02,35.19
53,-19.63,-58.77,-58.43,1.11,-10.61,-51.55,-4.35,61.71,39.6,35.12
54,-19.46,-58.84,-58.36,0.9,-10.9,-50.87,-3.11,62.64,40.23,35.51
55,-19.09,-58.29,-58.26,1.09,-10.46,-50.83,-2.99,62.85,40.45,35.73
56,-19.3,-58.18,-58.21,1.21,-10.15,-51.1,-3.11,62.44,40.39,35.9
57,-19.35,-56.82,-58.13,1.42,-10.3,-51.68,-0.3,62.53,40.4,35.9
58,-19.62,-58.12,-58.89,1.17,-10.58,-51.36,-2.58,61.28,39.95,35.29
59,-19.6,-59.62,-60.26,0.58,-10.43,-51.43,-1.73,62.39,39.45,34.34
60,-18.91,-57.04,-57.84,1.99,-9.88,-51.89,-1.77,60.76,40.24,35.44
61,-19.34,-58.34,-58.28,1.17,-10.47,-51.08,3.24,64.09,40.76,36.13
62,-19.06,-57.67,-58.12,1.26,-9.86,-51.04,4.53,63.72,40.73,35.93
63,-19.14,-57.94,-58.64,0.72,-10.64,-50.8,4.71,65.21,40.69,35.93
64,-19.15,-57.25,-58.08,1.45,-10.15,-51.12,3.92,63.01,40.73,36.06
