serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-28.18,1.43,5.62,6.15,-0.49,27.98,27.39,61.96,47.71,46.11
2,-27.22,12.25,17.68,15.31,8.02,15.96,24.49,64.06,51.89,47.32
3,-34.58,17.91,26.66,24.08,12.96,3.65,12.86,54.37,45.80,41.63
4,-37.00,16.89,27.98,26.12,15.03,2.83,10.47,51.78,44.60,40.65
5,-31.63,16.63,24.63,22.43,12.95,6.27,16.82,58.10,48.99,44.69
6,-35.74,17.20,28.67,27.00,16.45,3.23,11.14,53.16,45.76,41.48
7,-34.62,20.96,32.67,30.49,19.49,-2.00,9.94,53.04,47.63,43.24
8,-31.75,14.32,23.32,22.29,13.59,7.30,17.01,57.32,47.79,43.54
9,-31.55,13.81,21.72,19.42,11.16,11.54,19.07,60.12,50.01,45.83
10,-28.28,13.43,19.57,17.56,10.09,12.39,22.95,63.16,51.85,47.08
11,-29.07,12.64,19.03,17.32,9.94,12.56,22.26,62.42,51.20,46.68
12,-28.69,14.37,20.73,18.56,10.89,10.82,21.83,62.53,51.82,46.73
13,-28.40,14.68,20.93,18.69,11.10,10.69,22.04,62.83,52.15,47.06
14,-27.42,15.90,21.56,18.97,11.45,9.88,22.67,63.91,53.19,47.73
15,-29.28,14.50,20.89,19.04,10.61,10.99,21.49,61.78,50.68,45.85
16,-28.39,11.13,16.82,15.37,8.10,16.05,24.57,63.60,51.53,47.12
17,-27.68,11.96,17.25,15.44,8.40,14.88,24.77,64.17,52.06,47.58
18,-27.41,11.28,16.11,14.55,7.41,16.28,25.47,64.39,52.14,47.58
19,-26.65,11.16,15.86,14.01,7.55,16.74,26.33,65.38,52.62,48.20
20,-26.23,6.08,9.92,9.07,3.56,22.88,28.80,65.40,51.44,48.17
21,-25.82,8.21,11.89,10.57,4.71,20.71,28.45,65.94,52.30,48.44
22,-25.07,11.08,14.72,12.71,6.92,17.37,28.04,67.34,53.97,49.27
23,-23.72,11.52,14.69,12.16,6.16,17.33,29.39,68.50,54.97,50.20
24,-23.79,12.49,15.58,13.04,6.84,16.61,29.11,68.69,55.43,50.49
25,-23.73,12.17,15.59,13.19,7.07,16.68,29.07,68.56,55.46,50.34
26,-23.26,13.43,16.46,13.79,7.34,15.40,29.06,69.01,56.03,50.75
27,-24.12,12.02,15.28,13.06,7.30,16.49,28.63,68.16,54.99,50.07
28,-21.16,14.13,16.45,13.36,7.95,15.69,31.05,71.33,58.10,52.58
29,-24.59,13.47,17.45,15.03,8.81,14.93,27.50,67.90,55.24,49.97
30,-23.93,16.49,20.57,17.32,11.05,11.53,26.70,68.56,56.55,50.50
31,-24.42,15.26,19.55,16.77,10.48,12.54,26.68,67.83,55.99,50.06
32,-24.71,17.30,21.62,18.31,11.56,10.14,25.56,67.84,56.02,49.57
33,-24.71,15.67,20.17,17.14,10.83,12.06,26.26,67.80,55.81,49.60
34,-27.16,15.40,20.85,18.24,10.94,11.22,23.76,65.00,53.79,48.34
35,-26.41,12.31,16.62,14.55,7.66,15.05,25.91,65.70,53.59,48.78
36,-23.83,14.42,18.65,15.53,10.08,14.53,28.58,70.46,57.73,51.29
37,-25.96,6.78,10.65,9.82,3.55,21.31,28.59,65.96,51.97,48.24
38,-24.71,6.05,9.21,8.22,2.68,22.90,30.34,66.93,52.41,49.02
39,-27.10,5.59,9.66,9.25,3.05,22.31,28.08,64.61,50.22,47.18
40,-27.15,5.25,9.41,9.20,2.93,22.59,27.84,64.06,49.91,47.05
41,-28.38,5.75,10.40,9.90,3.49,21.24,26.66,63.46,49.42,46.41
42,-27.78,6.77,11.56,10.86,4.36,20.53,27.10,64.09,50.18,46.94
43,-30.04,4.75,10.31,10.57,3.79,21.71,25.37,61.63,48.08,45.27
44,-29.87,4.67,9.79,9.87,2.94,22.06,25.32,61.50,47.77,45.40
45,-30.78,4.03,9.74,10.19,2.86,22.65,24.68,60.45,46.83,44.58
46,-30.12,5.03,10.72,10.92,3.92,21.98,25.01,61.13,47.87,45.32
47,-29.87,4.88,10.21,10.25,3.44,22.06,25.47,61.63,47.99,45.43
48,-30.47,4.33,9.79,10.11,3.09,22.03,24.97,61.14,47.70,44.97
49,-28.53,6.07,10.92,10.44,3.42,21.33,26.58,63.13,49.32,46.50
50,-30.11,4.50,9.83,10.01,3.10,22.44,25.40,61.59,48.01,45.69
51,-28.42,6.74,10.65,10.01,2.65,19.63,26.28,63.13,49.01,46.21
52,-30.59,5.84,12.11,11.82,4.48,20.46,24.30,61.21,47.89,45.20
53,-29.66,6.56,11.51,11.17,3.93,19.97,25.19,62.00,48.48,45.29
54,-29.62,2.26,7.25,8.15,1.21,25.02,26.89,61.60,47.55,45.66
55,-29.50,4.28,9.13,9.48,2.48,22.89,26.12,61.78,48.01,45.58
56,-30.88,3.95,9.52,9.89,2.66,22.42,24.67,60.63,46.89,44.69
57,-30.08,6.08,11.85,11.45,3.89,20.59,24.91,61.37,47.90,45.13
