serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-61.80,0.04,10.85,1.53,5.06,-35.62,55.85,108.33,93.97,82.20
2,-56.86,-3.61,18.26,9.81,13.86,-44.71,50.57,106.14,93.91,79.78
3,-56.70,-2.67,17.30,9.63,13.40,-40.86,49.05,106.83,90.59,77.64
4,-66.80,-13.22,18.43,11.64,12.28,-80.06,50.06,97.30,82.79,71.00
5,-58.98,-9.46,20.47,12.95,13.40,-39.65,46.44,100.36,84.14,69.84
6,-64.13,-9.72,17.61,10.33,11.26,-37.62,49.15,97.45,82.20,70.70
7,-62.30,-8.82,14.86,7.79,8.67,-30.67,51.45,97.36,82.07,71.31
8,-63.45,-8.66,16.04,9.00,10.00,-34.40,49.97,97.81,82.66,71.51
9,-65.06,-10.69,14.57,7.66,7.34,-35.17,51.90,94.76,78.91,68.27
10,-67.51,-6.48,15.90,8.52,10.00,-76.31,51.49,98.93,84.10,73.03
11,-68.36,-12.33,14.66,7.78,7.43,-83.84,53.82,93.89,79.41,68.69
12,-73.83,-11.11,9.52,3.16,3.76,-72.56,59.31,94.07,79.04,70.04
13,-76.25,-10.20,4.93,-1.10,-1.64,-57.81,62.64,92.95,78.13,71.42
14,-77.46,-12.21,4.53,-1.52,-2.83,-53.81,63.71,91.13,76.01,69.40
15,-58.80,-9.95,21.97,14.73,14.85,-68.92,44.72,95.10,81.08,68.93
16,-56.86,-8.70,23.24,15.99,16.47,-67.47,43.13,96.59,82.99,69.82
17,-57.27,-8.46,22.57,15.30,15.61,-65.45,44.04,96.87,83.23,70.42
18,-56.61,-8.06,23.06,15.91,16.32,-65.96,43.57,97.21,83.71,70.53
19,-56.27,-7.81,23.50,16.30,16.80,-65.84,43.06,97.60,83.73,70.74
20,-56.55,-8.71,23.67,16.66,17.04,-66.92,43.10,97.01,83.32,69.98
21,-56.68,-8.23,23.13,16.02,16.48,-66.24,43.46,97.13,83.66,70.53
22,-56.56,-8.22,22.84,15.63,16.34,-66.06,43.51,97.68,83.69,70.72
23,-56.63,-8.10,22.76,15.65,16.25,-65.65,43.62,97.69,83.78,70.67
24,-56.83,-8.48,23.09,16.01,16.73,-66.44,43.46,97.03,83.32,70.14
25,-57.24,-7.61,22.99,15.75,16.49,-61.11,43.49,97.59,83.73,70.88
26,-59.27,-8.57,22.31,15.15,16.05,-50.57,44.11,97.61,83.37,70.70
27,-58.71,-6.32,26.05,18.21,18.06,-31.94,39.58,98.14,84.68,71.04
28,-60.56,-9.34,30.27,22.38,22.45,-41.32,37.72,97.41,84.86,69.64
29,-60.45,-6.96,8.77,1.73,2.00,9.12,60.42,97.90,82.56,73.14
