serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-85.19,5.55,-6.34,-13.65,-15.41,-151.38,73.13,105.46,90.44,86.97
2,-75.50,22.17,5.72,-1.23,3.77,-75.13,85.74,121.89,107.00,101.37
3,-78.40,15.89,2.25,-5.15,-3.02,-100.24,75.77,113.03,97.03,90.50
4,-82.65,5.16,-5.34,-13.47,-13.98,-126.87,75.46,111.97,97.04,94.00
5,-82.54,14.99,0.85,-6.89,-7.97,-46.25,78.10,113.64,97.85,92.96
6,-82.16,16.26,1.03,-5.55,-4.96,-51.07,80.71,115.79,99.45,93.58
7,-79.78,18.22,2.40,-5.45,-5.62,-49.85,77.39,116.05,100.60,94.46
8,-79.61,11.49,-1.23,-10.24,-10.88,-21.55,76.20,110.97,95.56,90.11
9,-76.04,12.29,-0.38,-10.10,-11.36,-164.39,74.71,109.61,94.49,89.38
10,-82.25,9.62,-2.67,-11.99,-14.29,-173.60,78.09,110.56,95.96,92.74
11,-80.69,15.92,3.35,-5.74,-6.63,-133.80,77.80,111.43,95.48,89.63
12,-56.92,14.44,2.80,-6.22,-7.49,-139.91,74.84,110.02,94.84,87.93
13,-63.37,14.09,1.48,-7.86,-8.86,-129.80,78.17,112.32,97.36,92.60
14,-66.63,13.79,0.74,-8.33,-9.04,-124.95,80.32,114.65,99.85,95.19
15,-66.38,16.00,1.93,-7.23,-6.95,-109.11,82.31,116.75,102.00,97.71
16,-63.74,15.68,2.73,-6.85,-7.32,-121.11,76.25,112.03,96.16,89.03
17,-62.17,21.75,9.10,-0.01,0.86,-101.51,76.51,113.39,97.71,90.85
18,-61.46,22.31,9.65,0.63,1.96,-103.33,76.12,113.25,98.01,90.95
19,-60.64,23.68,11.48,2.91,4.55,-93.03,76.16,112.95,97.63,90.74
20,-73.15,14.61,0.93,-8.19,-6.94,-115.07,81.82,115.39,100.75,97.05
21,-73.24,7.69,-3.20,-11.99,-16.03,-153.90,73.65,107.57,92.32,87.20
22,-72.12,11.93,0.85,-7.68,-10.66,-137.52,72.87,109.11,93.13,86.94
23,-75.98,11.39,-1.86,-10.90,-14.14,-121.89,76.51,110.83,95.30,91.04
24,-75.31,11.15,-1.35,-10.40,-13.24,-138.97,76.00,110.93,95.11,90.18
25,-71.32,12.05,-0.56,-10.01,-11.96,-145.54,75.73,111.74,96.04,90.38
26,-74.36,13.01,0.32,-8.87,-10.90,-136.16,77.22,113.33,97.61,92.41
27,-75.72,13.43,-0.19,-9.65,-11.22,-132.66,78.25,114.02,98.05,92.45
28,-78.31,12.93,-0.55,-9.70,-11.36,-122.88,79.24,114.43,98.71,93.80
29,-80.31,8.80,-3.89,-12.94,-14.96,-133.06,78.06,112.31,96.34,91.82
30,-75.85,16.18,2.32,-6.79,-7.97,-101.03,78.27,114.52,98.21,91.81
31,-78.81,14.27,1.00,-7.69,-8.16,-103.45,78.09,114.10,97.96,92.65
32,-82.36,9.30,-3.67,-12.33,-14.82,-94.25,79.15,112.74,96.75,92.87
33,-78.46,14.15,0.32,-8.50,-9.84,-77.69,80.39,115.50,99.44,94.27
34,-78.17,14.37,0.26,-8.39,-9.32,-71.25,80.69,115.74,99.98,94.91
35,-80.33,12.37,-1.51,-10.21,-11.81,-69.61,80.46,115.08,99.26,94.25
36,-79.08,13.60,-0.32,-9.01,-10.33,-67.41,80.44,115.48,99.31,94.08
37,-78.28,14.27,-0.21,-9.09,-10.25,-62.17,81.27,116.27,100.22,95.32
38,-79.01,13.05,-1.41,-10.24,-11.77,-56.47,81.78,116.29,100.23,95.21
39,-78.76,12.86,-1.14,-9.90,-11.19,-58.79,80.78,115.72,99.42,94.00
40,-78.14,13.37,-0.98,-9.56,-10.59,-52.64,81.85,116.47,100.47,95.60
41,-77.73,13.51,-0.97,-9.53,-9.90,-51.92,81.91,116.65,100.51,95.28
42,-75.40,15.00,-0.10,-8.73,-8.58,-47.82,83.16,117.67,101.61,96.61
43,-78.10,11.89,-2.58,-11.17,-12.40,-48.04,81.82,115.77,99.63,94.82
44,-77.13,12.65,-2.02,-10.78,-11.83,-48.36,81.90,116.47,100.23,95.26
45,-76.20,13.02,-2.15,-10.83,-11.33,-38.99,82.49,117.47,101.25,95.96
46,-75.10,14.37,-0.95,-9.84,-9.75,-38.96,83.13,118.39,102.17,96.60
47,-74.84,14.50,-0.91,-9.72,-9.40,-40.18,82.57,117.82,101.42,95.41
48,-80.40,10.04,-3.52,-12.21,-13.67,-28.96,80.51,114.03,97.99,93.26
49,-77.95,10.09,-4.26,-12.66,-14.47,-25.83,81.70,114.93,98.49,93.07
50,-74.27,10.40,-4.09,-12.87,-14.42,-31.80,82.44,114.91,98.73,94.13
51,-76.84,12.78,-0.58,-10.18,-9.88,-33.05,79.44,114.09,97.58,92.43
52,-74.10,15.02,1.87,-7.02,-8.08,-49.48,77.29,113.22,96.66,90.64
53,-75.78,13.87,-0.86,-11.00,-13.07,-36.80,78.58,113.19,96.89,86.36
54,-73.45,13.90,0.26,-9.20,-11.29,-37.38,78.33,112.60,97.00,89.07
55,-71.43,16.22,2.71,-6.99,-5.85,-51.17,75.72,110.99,94.66,87.73
56,-75.47,9.90,-2.57,-12.01,-11.79,-40.21,75.46,108.49,92.07,84.70
