serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,2.60,-4.20,-17.29,-24.51,-25.54,25.41,72.30,99.09,82.24,77.57
2,10.09,7.38,-9.23,-18.37,-18.30,12.89,84.51,113.83,98.08,91.02
3,7.71,3.58,-11.93,-20.46,-20.32,16.81,81.44,110.80,94.52,86.45
4,6.80,3.40,-12.50,-21.36,-20.97,15.92,81.24,111.11,94.64,85.15
5,4.88,4.29,-10.62,-19.03,-18.33,14.84,79.92,110.46,94.15,86.34
6,5.36,6.56,-10.17,-18.81,-17.28,10.24,84.43,114.14,97.35,90.00
7,7.15,3.64,-13.69,-22.95,-22.06,16.83,89.01,118.42,102.08,94.46
8,7.57,2.49,-15.41,-25.26,-26.25,15.43,87.16,115.11,97.72,90.02
9,3.73,-1.80,-17.34,-26.11,-27.12,21.93,83.01,111.52,93.46,84.45
10,-3.56,-8.11,-21.49,-28.54,-28.96,27.17,74.33,100.78,81.89,73.74
11,-3.73,-8.64,-21.85,-28.57,-28.55,27.25,73.90,100.05,80.96,72.65
12,-4.80,-7.02,-20.32,-27.15,-27.74,26.18,73.01,100.00,81.07,73.03
13,-4.80,-7.07,-19.83,-26.59,-26.70,26.73,73.11,100.35,81.45,73.43
14,-4.14,-6.03,-19.18,-26.39,-26.72,25.68,74.19,101.82,83.23,75.91
15,-5.32,-5.78,-18.67,-25.45,-25.94,25.42,72.94,100.19,82.07,74.77
16,-8.62,-2.32,-14.74,-21.44,-21.66,22.14,69.67,98.28,80.87,73.63
17,-4.12,-4.68,-18.30,-25.36,-25.38,24.16,74.12,102.21,83.94,75.80
18,-13.10,-1.75,-12.93,-18.94,-19.21,22.24,64.84,93.82,76.15,69.42
19,-3.03,-0.01,-13.77,-21.16,-20.79,19.16,74.97,103.21,85.77,79.01
20,-9.35,5.07,-7.67,-14.79,-13.61,14.69,69.82,100.92,84.09,77.12
21,-6.44,7.80,-6.14,-13.45,-11.79,12.06,72.61,104.04,87.50,79.89
22,-5.90,5.84,-7.92,-15.47,-14.69,13.65,73.15,103.35,87.23,81.56
23,-5.94,5.10,-8.82,-16.48,-15.48,14.44,73.23,103.94,86.83,79.41
24,-7.51,7.20,-6.19,-13.56,-12.12,12.49,71.63,102.96,86.19,78.65
25,-4.45,5.18,-9.01,-16.89,-16.20,14.54,74.51,105.13,88.38,81.22
26,-10.70,9.26,-3.69,-11.11,-10.08,10.33,68.65,100.89,84.23,76.19
27,-7.76,6.73,-6.88,-14.54,-13.07,12.82,71.35,102.55,85.85,78.17
28,-11.71,7.92,-4.29,-11.35,-10.07,12.36,67.45,99.24,83.29,76.35
29,-8.09,10.52,-2.80,-10.09,-8.27,8.46,69.27,101.37,85.50,78.59
30,-10.38,7.67,-4.57,-11.83,-10.64,11.38,68.96,100.37,83.94,76.88
31,-14.41,10.59,-0.55,-7.67,-6.63,9.02,64.63,97.73,81.74,74.40
32,-14.46,10.71,-0.56,-7.49,-5.74,8.64,64.54,98.10,82.05,74.85
33,-13.37,12.75,0.99,-6.32,-4.83,6.94,65.62,99.19,83.74,76.09
34,-12.83,12.55,0.76,-6.59,-5.03,6.94,66.09,99.90,84.33,76.54
35,-13.49,10.94,-0.81,-8.00,-6.59,8.29,65.58,98.51,82.83,75.63
36,-10.85,9.04,-3.19,-10.66,-8.88,10.18,68.18,100.65,84.62,77.58
37,-11.63,11.30,-0.76,-7.92,-6.45,8.37,67.62,100.06,84.50,77.20
38,-8.82,8.83,-3.77,-11.22,-9.88,10.75,70.30,102.16,86.30,79.25
39,-14.94,11.11,0.06,-6.80,-5.31,8.28,63.82,97.56,81.74,74.65
40,-14.95,9.82,-1.18,-8.12,-7.01,9.95,63.90,97.11,81.37,74.49
41,-12.75,8.93,-2.67,-9.67,-8.29,10.70,65.85,98.35,82.23,75.32
42,-15.58,11.21,0.27,-6.81,-5.52,8.19,63.04,96.91,80.95,74.13
43,-14.07,12.33,0.92,-6.18,-5.04,7.07,64.73,98.35,82.55,75.33
44,-14.18,9.24,-2.43,-9.38,-8.01,9.95,64.87,97.58,81.95,75.07
45,-18.77,11.79,2.08,-4.56,-3.38,7.63,59.60,93.52,78.42,71.74
46,-15.95,11.22,0.35,-6.32,-5.12,8.34,62.80,96.51,80.95,73.94
47,-14.33,11.77,0.30,-6.60,-5.12,7.88,64.47,97.91,82.15,74.85
48,-16.51,11.12,0.95,-5.75,-4.55,8.13,62.15,95.63,80.13,73.59
49,-15.09,11.04,0.08,-6.64,-5.57,8.53,63.69,97.44,81.91,74.60
50,-14.82,11.61,0.53,-6.24,-4.97,7.76,63.81,97.57,81.87,75.05
51,-13.34,11.85,0.08,-7.25,-5.96,7.62,65.32,99.26,83.56,76.75
52,-12.04,9.93,-2.03,-9.27,-7.97,9.55,66.55,99.49,83.75,77.10
53,-18.24,15.48,4.93,-2.06,-0.56,3.49,60.21,95.93,80.86,72.91
54,-15.34,10.44,-0.39,-7.25,-5.71,8.88,63.30,97.17,81.55,74.59
55,-17.02,10.70,0.43,-6.26,-4.88,8.33,61.30,95.26,79.71,72.87
56,-18.83,12.49,2.81,-3.79,-2.37,6.07,59.21,93.92,78.68,71.74
57,-18.87,11.62,1.81,-5.05,-3.85,6.17,58.95,93.99,78.42,71.26
58,-16.54,10.20,0.28,-6.50,-5.23,7.93,61.53,95.36,79.99,73.22
59,-16.63,12.64,2.64,-4.38,-2.91,5.21,61.36,96.36,81.31,74.14
60,-15.28,10.39,-0.32,-7.37,-5.80,7.51,62.97,97.10,81.58,74.89
61,-16.74,11.45,1.67,-5.11,-3.64,6.38,61.15,95.71,80.99,74.61
62,-18.74,11.99,2.56,-4.25,-3.23,5.44,59.07,94.36,79.18,72.39
63,-16.11,10.22,0.21,-6.54,-5.07,7.55,61.77,95.76,80.59,74.36
64,-18.90,14.27,5.18,-1.55,-0.21,2.79,58.15,93.71,79.04,71.76
65,-19.36,12.98,3.90,-2.84,-1.88,4.49,58.01,93.51,78.52,71.79
66,-15.16,10.14,0.06,-6.66,-5.12,7.75,62.48,96.66,81.87,75.47
67,-21.02,14.45,5.98,-0.60,0.36,2.37,55.61,91.75,77.29,70.08
68,-16.71,12.01,2.25,-4.45,-3.05,5.82,60.75,95.72,80.83,74.21
69,-18.12,12.95,3.72,-2.97,-1.79,4.82,59.44,94.47,80.09,73.21
70,-20.19,12.48,3.63,-2.97,-1.92,4.91,57.37,93.08,78.13,71.60
71,-18.65,12.28,3.08,-3.61,-2.41,4.98,58.54,94.00,79.44,72.70
72,-22.59,14.38,6.75,0.34,1.09,2.28,54.19,90.33,76.24,69.60
73,-20.59,13.98,5.03,-1.59,-0.67,3.74,56.82,92.78,78.33,71.52
74,-20.46,13.13,4.37,-2.17,-1.10,4.16,56.77,92.48,78.17,71.35
75,-20.77,16.35,7.53,0.60,1.29,1.98,55.77,91.58,76.80,69.79
76,-7.76,13.70,0.70,-7.07,-4.07,6.11,70.66,104.58,89.10,81.77
77,-8.13,12.63,-0.11,-7.72,-4.54,6.29,70.38,104.58,89.39,81.67
78,-14.24,16.18,5.21,-2.07,0.15,2.53,62.83,98.92,84.07,76.73
79,-12.70,13.43,2.28,-5.10,-3.13,4.95,64.45,100.21,85.40,78.35
80,-8.57,13.29,0.85,-7.07,-4.39,5.37,68.25,103.84,88.43,80.94
81,-15.47,14.48,4.51,-2.72,-0.59,3.15,60.52,97.23,82.68,75.16
82,-10.28,13.30,1.55,-6.05,-3.74,5.27,67.03,102.60,87.52,79.99
83,-10.05,12.07,0.48,-7.06,-4.55,5.52,68.13,102.91,87.65,80.13
84,-12.71,15.09,5.64,-1.93,-0.38,4.68,66.43,101.62,87.42,81.03
85,-7.23,3.79,-8.64,-16.20,-14.36,12.19,70.99,102.17,85.71,79.28
86,-13.63,6.82,-3.51,-10.32,-8.53,9.16,63.76,96.74,81.13,74.81
87,-13.12,8.57,-1.94,-9.15,-7.30,7.35,64.19,97.61,82.25,75.61
88,-11.79,6.70,-3.79,-10.65,-9.00,9.61,65.43,98.14,82.54,75.89
89,-13.47,8.45,-1.84,-8.75,-6.77,7.67,63.86,97.67,82.15,75.56
90,-11.85,5.92,-5.07,-11.87,-9.99,9.91,65.86,98.64,82.22,74.94
91,-11.83,5.13,-7.02,-14.35,-13.40,16.45,69.63,99.58,82.61,75.87
92,-11.42,4.04,-7.75,-14.57,-13.18,15.45,68.61,99.01,82.06,75.63
93,-8.61,4.04,-8.73,-16.24,-14.94,15.15,71.11,101.08,84.16,77.85
94,-9.80,3.98,-8.31,-15.49,-14.28,15.36,69.91,100.63,83.85,76.98
95,-8.07,4.38,-8.97,-16.48,-15.25,14.52,71.75,102.03,85.16,78.43
96,-8.06,4.85,-8.35,-15.94,-14.97,13.96,71.40,102.20,85.38,78.66
97,-7.86,3.49,-9.69,-17.27,-15.97,15.53,71.85,102.36,85.13,78.36
98,-4.84,3.20,-10.39,-18.11,-16.84,15.19,74.42,104.21,87.22,80.81
99,-4.21,4.06,-10.40,-18.47,-17.35,14.19,75.16,105.77,88.60,80.91
100,-1.43,3.93,-11.16,-19.52,-19.01,14.10,77.23,107.01,89.15,82.01
101,-6.04,-0.48,-13.60,-21.32,-20.91,19.81,73.26,103.12,84.80,77.16
102,-4.72,2.68,-12.42,-21.56,-21.33,15.45,74.84,105.76,87.25,79.69
103,-2.41,0.13,-14.48,-22.99,-23.47,15.70,75.76,105.36,86.62,79.43
104,-4.41,2.66,-9.96,-17.49,-17.12,16.37,72.72,102.82,85.33,77.95
105,-4.43,1.60,-6.75,-13.61,-10.46,16.97,69.85,103.14,84.59,81.67
106,-3.99,3.50,-6.41,-13.28,-10.25,15.47,68.74,100.96,83.65,81.48
107,-1.89,7.91,-6.55,-14.39,-13.11,10.10,75.51,105.96,88.70,81.62
108,-2.46,5.24,-9.51,-17.02,-15.08,14.41,76.89,107.11,89.80,82.41
109,-3.20,6.16,-8.50,-16.12,-14.15,13.96,76.76,107.14,89.70,82.34
110,-2.95,4.96,-9.93,-17.73,-16.10,14.04,77.09,107.77,89.90,82.32
111,-2.12,4.90,-10.51,-18.68,-17.46,12.47,77.44,107.54,89.87,82.51
112,-4.86,7.41,-7.18,-15.02,-13.06,10.89,74.74,105.78,88.46,81.03
113,-5.97,7.33,-6.37,-13.87,-12.16,10.71,73.28,104.31,87.10,79.86
114,-6.02,7.64,-5.92,-13.29,-11.40,10.40,72.96,104.43,87.58,79.84
115,-5.86,7.64,-5.70,-12.96,-10.59,10.58,72.92,104.80,87.40,80.04
116,-9.00,9.17,-3.44,-10.92,-8.43,9.40,69.79,103.09,86.40,79.03
117,-9.02,8.05,-4.81,-12.33,-9.91,9.80,69.88,103.02,85.92,78.41
118,-8.93,9.44,-3.20,-10.64,-8.27,8.95,69.71,103.01,86.42,79.06
119,-10.32,9.84,-2.24,-9.70,-7.13,8.78,68.24,102.25,85.98,78.33
120,-8.30,7.93,-4.90,-12.64,-10.40,9.68,70.00,102.88,85.83,78.65
121,-8.02,9.85,-2.77,-10.62,-7.60,8.71,70.73,104.75,88.22,80.47
122,-9.04,12.16,-1.05,-9.11,-6.11,5.64,69.51,104.30,88.41,80.36
123,-9.62,9.88,-2.25,-10.06,-7.13,8.23,68.60,103.00,86.67,79.22
124,-10.54,10.44,-1.21,-8.64,-6.21,7.22,67.10,101.39,85.26,78.15
125,-9.21,9.50,-2.10,-9.63,-7.06,8.25,68.14,101.64,85.58,78.60
126,-12.40,9.72,-1.01,-8.89,-8.06,8.72,65.83,99.44,83.42,77.00
127,-13.47,6.09,-4.08,-10.48,-8.76,11.60,64.02,97.47,81.46,75.23
128,-13.49,10.51,0.07,-6.71,-4.84,6.83,63.43,98.06,82.53,75.22
129,-13.16,9.72,-0.88,-7.81,-6.08,7.54,63.96,98.00,82.32,75.51
130,-13.79,8.55,-1.69,-8.33,-6.42,8.52,63.48,97.51,81.59,74.86
131,-13.34,9.07,-1.11,-7.94,-6.17,8.16,63.55,97.43,81.80,75.13
132,-12.92,9.80,-0.73,-7.70,-5.68,7.48,63.87,98.07,82.41,75.50
133,-12.29,10.01,-0.63,-7.69,-5.80,7.39,64.39,98.51,82.97,76.18
134,-12.84,9.30,-1.11,-7.97,-6.64,7.92,63.85,97.87,82.33,75.50
135,-12.97,8.65,-1.54,-8.55,-6.66,8.63,63.87,97.81,82.10,75.24
136,-12.72,8.03,-2.17,-9.12,-7.39,9.33,64.09,97.95,82.24,75.46
137,-11.48,7.79,-2.64,-9.98,-8.21,9.96,65.60,99.19,83.46,77.19
138,-13.16,6.86,-3.16,-9.68,-7.89,9.89,63.53,97.56,81.62,75.13
139,-12.46,9.44,-0.80,-7.85,-5.73,7.29,63.87,98.22,82.87,76.20
140,-12.28,8.97,-1.22,-8.32,-6.56,7.83,63.87,98.44,83.00,76.18
141,-12.02,9.63,-0.53,-7.97,-5.96,7.28,64.30,99.15,83.71,76.70
142,-12.12,9.29,-0.98,-8.20,-6.31,7.75,63.92,98.90,83.29,76.75
143,-12.06,9.87,-0.28,-7.62,-5.41,6.98,63.88,98.96,83.87,77.12
144,-13.54,10.12,0.18,-6.86,-4.64,6.42,62.83,98.12,82.99,76.07
145,-12.87,10.35,0.45,-6.85,-4.72,6.24,63.32,98.25,83.13,76.43
146,-12.73,10.23,0.21,-6.57,-4.49,6.07,62.80,97.75,82.87,76.38
147,-12.11,10.71,0.84,-6.41,-4.05,5.87,63.41,98.54,83.93,76.99
148,-12.06,10.01,-0.06,-7.23,-4.85,6.49,63.76,98.58,83.84,77.36
149,-11.56,9.37,-0.64,-8.05,-5.90,7.10,64.10,98.79,84.13,77.60
150,-17.60,14.10,5.30,-1.50,0.58,3.37,60.70,95.92,80.44,73.68
151,-14.44,18.73,7.57,0.58,4.24,-0.94,64.63,100.90,85.49,77.53
152,-13.56,19.83,7.97,0.68,4.89,-2.43,65.46,101.93,86.30,78.25
153,-13.69,17.71,6.43,-0.73,2.79,-1.12,65.20,100.60,85.43,78.08
154,-13.84,15.35,4.26,-2.57,0.89,2.25,65.15,100.53,85.12,77.90
