serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,22.86,65.10,59.11,-58.96,-20.90,86.71,112.16,-154.40,-137.77,-96.95
2,27.69,65.61,64.89,-57.69,-17.51,84.99,102.48,-179.69,-149.23,-101.10
3,24.30,62.77,60.02,-61.34,-23.22,82.76,114.91,-179.91,-149.20,-102.75
4,25.99,60.03,55.96,-62.20,-25.27,79.24,112.79,176.49,-155.67,-108.49
5,26.88,59.78,53.65,-62.35,-25.28,78.10,113.84,176.20,-158.55,-109.63
6,28.24,56.15,53.04,-67.10,-29.63,90.08,119.92,177.02,-152.26,-104.77
7,26.09,52.78,46.54,-69.02,-32.10,85.07,122.61,178.19,-151.83,-106.61
8,25.17,52.47,43.20,-69.75,-33.10,84.81,124.39,179.20,-150.89,-105.83
9,28.14,67.81,58.17,-64.59,-25.67,84.66,105.26,-179.14,-151.28,-105.15
10,31.14,65.92,61.28,-57.51,-13.08,85.93,100.98,177.09,-154.94,-108.67
11,31.45,63.06,58.38,-59.61,-16.85,79.50,99.20,171.14,-163.05,-116.41
12,37.12,66.29,65.89,-53.51,-3.94,81.99,88.77,160.49,-165.75,-104.63
13,26.42,59.42,55.82,-66.24,-26.37,77.75,114.02,174.34,-159.61,-109.66
14,22.71,57.31,47.79,-68.81,-30.45,84.47,130.25,-176.69,-145.44,-105.15
15,28.95,72.19,66.02,-56.07,-12.46,94.22,132.57,-166.80,-137.53,-98.57
16,26.92,67.71,57.91,-62.80,-23.41,93.57,135.72,-163.81,-128.57,-98.19
17,26.46,65.49,56.58,-62.57,-23.89,90.62,137.25,-167.12,-130.82,-102.18
18,28.90,67.84,58.03,-62.57,-20.06,86.65,118.19,-175.95,-142.95,-99.48
19,31.29,72.00,60.52,-55.91,-12.32,94.26,126.80,-164.30,-142.18,-101.98
20,38.33,61.78,54.69,-59.37,-16.50,81.97,106.44,167.81,-163.24,-121.31
21,35.53,64.22,57.76,-61.77,-20.11,80.65,109.78,172.02,-161.33,-115.83
22,33.46,60.81,56.81,-62.56,-22.64,74.66,104.03,165.87,-172.93,-125.14
23,30.10,71.33,61.95,-63.28,-22.31,99.72,121.87,-164.46,-124.16,-101.22
24,38.56,68.05,69.93,-62.28,-16.62,79.74,78.71,163.00,-158.81,-111.00
25,29.32,65.24,64.16,-65.11,-19.71,84.98,100.16,170.17,-152.29,-109.17
26,36.97,74.58,70.15,-57.88,-7.29,88.93,98.42,-175.14,-148.54,-100.59
27,39.19,70.75,66.00,-58.86,-10.88,87.76,112.50,-173.50,-151.09,-114.20
28,39.76,72.49,70.56,-55.46,-7.05,93.21,105.80,177.64,-145.97,-102.24
29,38.02,70.74,67.36,-55.35,-9.48,89.52,112.60,178.66,-145.90,-100.28
30,39.46,72.66,67.92,-54.81,-13.10,86.57,98.41,173.54,-149.95,-101.39
31,33.27,60.34,56.83,-59.92,-16.16,82.36,111.48,172.49,-154.19,-109.16
32,40.02,67.53,65.28,-55.35,-11.68,80.95,94.04,165.89,-162.63,-113.75
33,36.02,59.94,56.37,-59.24,-15.85,81.06,105.11,165.61,-162.88,-116.38
34,44.65,72.37,75.28,-52.00,-2.62,86.02,78.76,163.80,-157.57,-111.62
35,46.11,70.09,74.18,-50.21,1.23,82.00,72.37,150.38,-162.54,-115.92
36,40.70,73.85,70.84,-53.76,-4.89,83.68,81.24,171.11,-156.95,-111.28
37,36.60,76.66,70.41,-54.06,-6.83,89.17,93.55,-176.87,-147.75,-104.60
38,35.40,75.06,68.56,-54.38,-7.42,89.13,107.98,-174.95,-146.40,-103.60
39,35.34,73.87,67.23,-54.47,-6.56,89.41,112.50,-173.51,-145.41,-104.62
40,35.08,71.69,68.36,-55.58,-7.80,85.73,106.08,176.74,-150.95,-107.17
41,36.84,71.29,68.65,-56.34,-7.83,85.48,101.00,171.25,-152.89,-106.32
42,36.57,73.55,68.99,-57.95,-13.50,88.36,124.79,-165.89,-137.88,-101.45
43,38.41,76.00,66.75,-59.59,-13.72,87.06,117.38,-167.46,-140.52,-102.74
44,37.47,68.57,69.78,-56.57,-8.20,118.09,136.03,-171.82,-144.73,-103.30
45,42.58,73.46,68.64,-56.36,-9.19,108.22,125.85,-159.87,-142.06,-105.41
46,39.50,70.31,65.71,-59.51,-13.42,104.25,128.54,-166.89,-142.90,-105.99
47,40.67,62.05,59.75,-63.56,-17.49,86.75,109.66,169.51,-168.57,-123.47
48,40.79,61.32,59.33,-63.58,-19.39,85.80,105.48,165.52,-174.97,-128.00
49,43.52,67.98,62.86,-61.02,-13.82,92.29,109.83,175.89,-160.35,-116.27
50,39.73,70.48,63.43,-58.53,-11.27,102.76,133.35,-165.89,-144.83,-106.39
51,42.22,62.31,59.88,-62.15,-16.39,85.98,107.31,164.62,-172.43,-127.16
52,57.00,73.01,71.95,-49.97,3.62,81.29,68.64,156.00,-175.30,-127.36
53,51.92,73.28,67.32,-51.84,1.05,91.41,94.49,170.53,-166.47,-121.68
54,48.94,75.53,69.35,-50.40,3.72,101.50,106.26,-173.62,-154.97,-109.29
55,50.60,74.68,68.29,-51.21,3.12,98.59,110.78,177.86,-157.66,-113.70
56,51.21,75.51,72.50,-50.27,2.89,100.22,111.58,178.12,-156.92,-113.74
57,51.18,65.89,76.83,-51.56,2.68,98.49,89.60,168.24,-152.99,-111.93
58,48.37,75.49,74.80,-52.31,1.49,95.03,104.73,-176.78,-148.41,-108.52
59,42.51,63.54,64.79,-58.48,-4.71,109.52,141.82,177.04,-145.70,-108.86
60,50.03,79.42,76.88,-54.31,3.48,97.46,96.39,176.03,-152.19,-106.12
61,44.38,72.77,67.25,-55.52,-0.32,108.98,144.47,-175.86,-142.08,-104.17
62,43.89,65.04,64.41,-55.79,-1.96,111.51,123.03,-164.33,-144.50,-109.31
63,45.73,73.75,72.96,-55.29,1.89,107.33,149.88,171.39,-146.81,-107.59
64,47.22,74.80,65.13,-54.54,1.09,108.14,110.97,-143.32,-144.10,-107.61
65,46.53,66.89,69.61,-57.43,0.95,105.11,123.83,158.22,-152.32,-115.51
66,46.14,65.16,68.45,-55.62,3.27,106.06,102.27,-157.80,-148.11,-113.84
67,45.11,63.49,66.55,-58.57,-2.37,102.30,97.97,-172.42,-149.74,-116.30
68,45.04,68.02,66.13,-57.96,-0.92,100.57,118.69,-155.97,-145.76,-113.45
69,42.09,66.02,75.52,-55.27,9.46,99.25,87.10,-156.79,-146.98,-109.43
70,46.10,63.85,76.26,-57.50,3.57,99.25,83.40,-169.26,-153.34,-118.83
71,44.55,62.76,67.96,-59.70,0.57,95.98,102.33,-163.48,-145.42,-112.75
72,41.14,61.67,69.96,-60.09,0.78,96.79,97.47,-164.62,-147.95,-113.35
73,44.01,66.96,72.43,-57.81,4.89,95.19,89.59,-171.41,-151.56,-114.35
74,44.47,65.93,70.90,-53.78,10.83,100.59,103.49,-169.31,-146.85,-111.97
75,45.30,64.27,65.77,-55.72,9.29,97.79,104.13,-176.67,-150.65,-114.16
76,49.21,63.65,68.00,-53.41,12.75,95.05,97.69,171.72,-158.44,-121.06
77,42.36,68.71,66.01,-52.19,9.90,105.45,123.07,-162.71,-140.77,-106.46
78,53.68,59.99,67.85,-48.82,24.95,88.58,88.46,154.34,-168.30,-126.82
79,47.30,75.44,75.95,-48.61,17.59,105.91,90.29,-166.02,-147.49,-103.88
80,36.20,67.98,62.73,-57.66,-0.49,103.01,132.31,-158.36,-131.51,-102.72
81,30.77,63.27,56.00,-66.71,-11.82,91.20,126.31,-171.09,-141.53,-112.39
82,31.31,65.64,61.70,-63.12,-2.90,94.33,124.91,-174.42,-141.88,-104.70
83,32.72,59.98,53.51,-67.01,-7.03,85.47,118.25,176.28,-155.83,-115.40
84,32.93,52.78,47.22,-70.58,-15.04,76.68,112.78,167.99,-173.92,-127.31
85,33.84,54.58,48.16,-70.01,-16.27,73.79,109.58,165.93,176.45,-127.11
86,27.86,52.83,46.18,-72.48,-17.28,79.56,119.34,172.92,-165.63,-122.08
87,33.69,57.34,50.73,-68.47,-8.31,78.24,114.43,171.45,-171.22,-125.81
88,34.29,64.68,56.67,-62.73,-0.19,88.14,121.18,-175.90,-155.48,-118.08
89,34.48,63.34,54.03,-63.04,1.16,84.96,119.22,-179.64,-161.14,-120.61
90,30.59,58.54,46.46,-67.89,-8.43,83.34,126.34,-177.66,-157.99,-121.58
91,31.84,57.95,46.23,-66.57,-4.46,82.64,122.22,178.67,-163.99,-122.44
92,31.52,56.92,45.31,-67.62,-6.18,81.06,122.73,176.67,-166.20,-124.41
93,31.26,57.30,45.51,-67.57,-6.61,80.24,125.18,179.10,-163.66,-122.94
94,33.41,60.60,51.37,-64.82,-2.58,82.11,121.29,177.88,-164.19,-122.70
95,32.32,58.69,48.96,-66.03,-3.70,81.55,124.07,179.14,-162.89,-121.96
96,32.66,59.31,49.34,-65.22,-2.40,82.64,123.74,178.58,-162.35,-121.72
97,32.30,60.31,49.87,-65.28,-3.73,82.10,123.97,179.50,-162.61,-120.95
98,32.53,61.26,50.96,-64.27,-0.73,82.62,123.61,179.78,-162.31,-121.48
99,32.13,59.65,49.05,-65.28,-2.64,83.65,127.10,-178.56,-159.01,-120.39
100,32.49,57.42,47.07,-67.59,-6.74,77.75,121.09,175.95,-169.39,-126.69
101,36.75,66.14,55.10,-60.46,7.20,82.41,122.28,-178.57,-163.96,-120.68
102,34.83,61.57,51.51,-63.54,1.78,82.26,118.51,179.32,-163.74,-119.92
103,33.70,61.32,48.91,-64.47,-2.45,83.35,126.54,-175.81,-157.89,-120.02
104,35.06,65.10,53.67,-62.43,1.51,83.97,126.10,-174.14,-159.43,-120.07
105,34.64,62.17,52.08,-63.08,0.67,82.87,126.37,-177.80,-161.29,-121.67
