serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,30.92,-25.00,31.23,44.72,75.78,83.98,128.01,169.23,160.84,-57.34
2,32.15,-23.61,31.89,45.62,76.73,84.36,128.83,168.37,159.69,-48.51
3,33.49,-13.68,44.09,51.60,80.21,74.58,120.26,159.13,145.11,-18.15
4,32.42,-19.56,40.36,48.83,77.65,82.97,124.31,170.47,160.63,-51.25
5,35.62,-17.77,43.72,51.83,76.68,83.75,128.55,174.73,165.84,-40.55
6,34.59,-19.33,40.63,48.79,78.78,82.32,128.37,172.41,162.60,-46.13
7,35.47,-16.89,34.69,48.57,80.03,77.61,126.59,167.67,156.59,-32.35
8,33.53,-18.47,32.13,45.13,82.73,77.14,124.64,165.97,155.14,-45.75
9,43.01,-7.48,41.26,54.33,79.01,71.03,125.55,157.87,139.79,11.59
10,35.05,-16.72,34.60,48.34,81.47,76.69,125.35,164.08,150.64,-25.61
11,35.44,-16.72,30.57,45.86,80.66,76.33,125.53,164.91,153.82,-35.62
12,37.46,-13.51,30.86,46.15,82.35,72.90,124.22,161.58,148.69,-16.52
13,38.03,-13.00,41.50,52.43,79.63,74.92,126.80,158.84,144.97,-7.39
14,35.95,-15.51,35.98,48.30,81.43,74.19,127.62,161.42,150.33,-23.56
15,38.62,-14.27,34.35,49.11,78.93,73.33,129.11,162.21,150.90,-17.06
16,38.88,-16.86,39.36,56.88,72.93,84.29,134.95,170.24,159.78,-25.92
17,37.80,-18.10,33.75,52.28,74.87,82.65,133.22,168.00,158.54,-28.03
18,39.53,-13.54,34.95,55.26,71.12,81.06,134.64,168.04,159.90,-27.66
19,38.74,-16.90,30.39,49.76,73.72,82.70,133.96,168.43,160.30,-32.11
20,40.32,-17.22,43.05,57.10,72.01,86.98,139.99,177.44,168.49,-39.07
21,41.04,-14.99,50.85,62.80,71.16,86.15,138.24,174.39,164.03,-21.82
22,40.28,-13.52,52.29,64.48,69.33,85.63,133.68,175.12,162.98,-23.21
23,46.37,-0.41,63.58,73.38,65.12,76.07,130.29,166.81,145.04,-4.07
