serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-26.65,-59.23,-71.70,-60.10,-50.83,5.93,-5.22,33.74,15.59,11.50
2,-27.80,-58.14,-70.23,-58.47,-48.84,5.68,-3.51,34.33,15.58,11.81
3,-20.85,-58.57,-72.09,-60.67,-50.47,-0.52,-4.42,30.49,13.27,10.87
4,-23.82,-58.54,-71.10,-60.31,-50.30,-0.95,-0.05,39.45,17.89,13.68
5,-19.00,-60.24,-72.74,-60.87,-50.17,-7.34,-2.71,35.88,14.84,11.70
6,-23.76,-58.53,-70.38,-56.35,-46.81,1.73,-2.45,36.83,14.53,9.72
7,-28.65,-58.71,-71.99,-60.81,-50.76,-1.69,-6.98,29.31,10.64,9.09
8,-28.72,-58.86,-71.34,-59.71,-50.07,-1.52,-6.42,30.75,11.96,10.37
9,-30.26,-58.75,-70.82,-59.52,-50.11,-3.51,-4.05,35.75,13.34,11.21
10,-31.99,-59.00,-70.83,-59.24,-49.81,-1.55,-5.33,34.08,12.66,10.99
11,-30.68,-58.22,-70.34,-59.37,-50.13,-2.01,-2.78,37.29,14.84,12.58
12,-28.38,-55.68,-67.63,-57.05,-48.53,-4.07,2.91,45.03,20.53,12.01
13,-27.08,-54.58,-66.56,-57.76,-49.95,-6.64,4.00,47.42,24.71,15.48
14,-27.43,-55.20,-65.82,-55.80,-47.13,-3.64,8.89,53.96,29.28,21.63
15,-26.16,-52.60,-64.66,-55.94,-49.28,-0.68,-0.45,39.49,20.54,15.99
16,-27.02,-60.21,-72.91,-62.93,-53.94,3.98,-0.83,41.50,16.50,10.56
17,-28.51,-61.33,-73.86,-62.67,-53.04,3.88,-1.31,39.89,14.89,9.43
18,-29.87,-60.46,-72.91,-62.07,-52.72,3.63,-2.39,38.63,14.65,9.87
19,-30.90,-61.49,-74.06,-62.68,-52.92,2.86,-2.63,37.68,13.77,9.17
20,-39.64,-68.26,-80.84,-66.79,-54.51,7.00,-15.51,12.12,-3.09,-3.83
21,-43.83,-72.15,-83.89,-68.55,-56.21,11.55,-25.76,-1.02,-5.20,-4.10
22,-32.75,-64.53,-76.19,-65.31,-55.59,7.25,2.44,49.19,17.25,10.93
23,-30.84,-62.32,-73.66,-63.58,-54.64,7.14,6.09,51.76,20.26,13.23
24,-32.09,-63.28,-75.30,-64.21,-55.44,5.23,-0.09,44.81,16.01,10.00
