serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-34.39,-64.25,-78.81,-55.18,-9.56,-54.48,-10.24,48.00,23.41,28.59
2,-38.78,-66.87,-78.03,-56.36,-10.63,-54.43,-2.58,60.63,21.40,26.51
3,-40.01,-68.66,-81.07,-57.91,-12.45,-54.30,-6.92,58.28,18.20,25.25
4,-40.05,-67.66,-80.30,-54.68,-10.33,-54.29,-11.87,46.21,18.87,25.63
5,-39.95,-66.72,-79.39,-54.22,-11.44,-54.44,-9.89,46.74,19.98,26.22
6,-38.60,-65.71,-78.22,-53.95,-12.40,-53.78,-7.95,49.65,21.16,26.73
7,-39.00,-65.95,-78.30,-54.10,-12.16,-52.76,-8.14,51.02,21.38,26.61
8,-33.57,-64.46,-73.73,-54.98,-14.27,-45.84,9.51,76.31,32.62,31.19
9,-35.12,-63.79,-73.98,-54.21,-13.94,-47.18,5.03,69.07,30.43,30.49
10,-35.06,-64.22,-73.28,-54.70,-14.75,-45.12,9.53,76.06,33.09,31.47
11,-38.76,-65.46,-77.22,-53.86,-13.21,-49.21,-2.54,59.35,24.59,27.87
12,-40.73,-63.58,-77.23,-51.23,-10.36,-57.51,-18.02,29.77,16.02,24.69
13,-40.66,-63.36,-76.72,-50.65,-10.54,-56.40,-19.46,26.48,15.39,24.33
14,-41.19,-63.40,-77.28,-49.68,-9.65,-58.59,-23.66,19.78,13.49,23.51
15,-39.91,-63.97,-79.14,-54.79,-6.08,-56.05,-18.48,26.96,14.23,25.74
16,-40.75,-62.17,-75.93,-52.75,-7.15,-56.68,-15.38,33.61,16.10,26.01
17,-38.26,-61.23,-73.97,-54.34,-8.87,-49.67,-0.90,54.86,23.49,28.43
18,-35.66,-60.93,-72.46,-53.49,-9.25,-46.87,3.05,61.58,27.13,30.37
19,-36.56,-63.29,-74.32,-54.47,-10.76,-45.44,3.01,65.54,27.14,30.15
20,-36.96,-62.40,-73.91,-53.00,-10.10,-46.01,1.03,60.39,25.62,29.43
21,-36.89,-61.87,-73.07,-52.57,-10.87,-46.98,1.27,60.63,26.11,29.91
22,-36.38,-61.98,-73.42,-52.49,-11.10,-45.54,2.14,62.10,26.65,29.88
23,-35.69,-63.08,-74.83,-53.23,-7.62,-46.53,-0.84,59.41,24.82,27.29
24,-30.19,-58.96,-70.94,-50.58,-7.61,-52.35,-1.37,54.59,26.50,28.81
25,-28.25,-60.04,-71.55,-50.72,-5.65,-50.91,-2.32,53.75,25.12,26.86
26,-26.36,-58.81,-70.08,-49.72,-4.32,-50.18,-3.73,51.13,25.42,26.82
27,-25.06,-59.44,-70.32,-50.03,-4.21,-48.68,-3.84,52.21,26.10,27.17
28,-23.88,-59.45,-70.50,-50.04,-3.59,-48.04,-3.32,52.81,26.14,26.69
29,-25.29,-59.27,-70.73,-48.85,-1.96,-49.41,-7.26,45.98,23.37,25.45
30,-26.38,-63.55,-75.21,-53.73,-4.95,-45.78,-6.41,53.13,22.93,24.37
31,-28.11,-63.16,-74.74,-52.38,-4.10,-47.23,-10.19,44.81,19.98,23.39
32,-27.05,-64.64,-75.38,-54.32,-5.13,-45.52,-5.31,54.66,22.46,23.97
33,-24.38,-63.25,-73.82,-53.46,-4.58,-45.09,-2.95,55.74,24.72,25.03
34,-21.91,-59.18,-69.42,-49.31,-1.84,-47.93,-2.71,52.21,26.74,26.59
35,-20.91,-60.11,-70.60,-50.50,-2.16,-47.18,-1.36,55.54,27.11,26.36
36,-20.86,-59.77,-70.57,-50.04,-1.06,-47.45,-4.72,49.88,24.96,25.37
37,-19.04,-59.19,-68.61,-49.61,-0.23,-46.30,-2.57,52.68,26.62,25.60
38,-16.25,-59.87,-69.41,-50.59,-1.20,-44.69,2.88,60.74,30.88,27.36
39,-14.78,-58.58,-68.20,-49.60,-0.66,-45.15,2.97,60.01,31.78,27.82
40,-13.54,-57.94,-66.99,-48.97,-0.54,-45.31,4.84,61.75,33.45,28.56
41,-14.93,-59.20,-68.39,-50.10,-1.05,-44.92,3.86,61.25,32.03,27.63
42,-15.34,-59.85,-69.49,-50.27,-0.48,-45.09,1.90,59.81,30.54,26.91
43,-14.38,-58.41,-67.77,-49.42,-0.65,-45.13,3.54,60.21,32.42,27.90
44,-15.11,-58.82,-68.11,-49.45,-0.19,-45.00,2.99,59.60,31.51,27.70
45,-14.94,-57.90,-67.50,-48.78,0.90,-45.76,1.97,56.97,30.67,27.68
46,-16.94,-58.40,-68.50,-48.41,1.50,-47.37,-2.47,51.72,27.94,26.51
47,-16.93,-56.99,-66.82,-47.44,1.31,-46.86,-0.90,53.19,29.67,27.26
48,-15.63,-56.27,-65.52,-47.49,0.58,-44.78,3.21,58.54,32.82,28.57
49,-15.12,-56.47,-65.35,-47.49,0.31,-44.01,4.71,60.33,34.43,29.03
50,-15.82,-57.18,-66.49,-47.91,0.92,-44.76,2.84,59.29,32.50,28.32
51,-16.05,-57.38,-66.58,-47.90,0.85,-44.67,2.75,58.48,31.80,28.08
52,-15.65,-57.28,-66.10,-48.26,1.18,-44.66,3.83,59.53,32.86,28.64
53,-15.94,-57.02,-66.19,-46.65,1.83,-45.49,2.69,57.93,37.47,28.44
54,-15.42,-59.03,-65.37,-47.18,2.26,-44.89,1.01,55.59,32.05,28.19
55,-15.98,-58.21,-65.93,-47.59,2.09,-45.67,1.94,56.23,31.81,28.04
56,-15.38,-57.92,-65.63,-49.18,-3.28,-45.35,7.47,60.11,33.59,29.28
57,-25.15,-57.77,-65.45,-49.74,-9.31,-40.30,9.81,65.68,35.25,32.14
58,-29.25,-63.21,-70.75,-54.75,-12.54,-38.22,9.79,70.34,33.39,28.97
59,-33.47,-66.24,-73.76,-57.48,-14.86,-38.77,9.15,74.53,31.28,27.55
60,-35.14,-64.68,-73.37,-55.69,-13.21,-42.93,4.62,66.02,29.10,27.66
61,-41.81,-73.08,-83.40,-61.26,-9.56,-45.49,-4.95,75.07,17.48,23.70
62,-40.31,-68.03,-80.51,-56.86,-7.84,-52.68,-15.44,36.52,13.78,24.84
63,-41.28,-69.54,-80.40,-57.76,-9.05,-52.96,-6.52,56.70,17.91,25.24
64,-42.54,-69.63,-80.12,-57.13,-9.91,-52.38,-7.30,54.43,18.19,25.24
65,-42.95,-67.80,-79.41,-55.24,-8.82,-55.88,-12.45,43.41,16.15,24.66
66,-43.49,-68.97,-79.72,-55.96,-10.96,-52.17,-9.76,49.52,17.07,24.68
67,-42.27,-68.35,-78.58,-55.87,-13.17,-51.47,-4.43,56.98,20.42,26.10
68,-43.45,-68.36,-79.01,-55.57,-12.92,-52.46,-8.09,51.03,18.46,25.43
69,-44.27,-69.03,-79.17,-55.87,-13.12,-49.33,-5.63,57.02,19.28,25.70
70,-44.28,-68.20,-78.64,-55.29,-12.94,-51.09,-6.82,53.34,19.20,25.71
71,-44.80,-71.35,-82.67,-57.73,-9.88,-51.24,-11.75,58.94,18.51,24.47
72,-42.02,-70.66,-81.81,-57.53,-8.83,-51.89,-12.75,51.39,17.38,24.46
73,-38.88,-69.70,-80.60,-56.23,-8.75,-55.67,-10.94,54.32,19.08,25.12
74,-40.64,-71.51,-83.06,-57.87,-10.52,-54.77,-12.95,57.12,15.84,23.49
75,-41.98,-71.85,-83.27,-57.41,-11.51,-56.43,-14.35,50.18,14.59,22.59
76,-42.13,-70.99,-82.77,-56.97,-11.60,-56.10,-15.77,45.23,14.26,22.58
77,-42.64,-70.73,-82.44,-56.71,-11.80,-57.23,-14.94,46.76,14.46,22.68
78,-42.33,-69.54,-81.33,-55.78,-12.15,-57.01,-15.03,43.59,15.10,22.73
79,-42.30,-69.07,-81.53,-55.76,-11.93,-57.82,-15.71,42.44,15.04,22.85
80,-41.87,-69.20,-81.15,-55.22,-11.76,-57.29,-13.85,46.50,15.98,23.33
81,-43.30,-69.30,-81.18,-54.92,-11.67,-59.86,-16.51,39.76,14.42,22.83
82,-42.09,-69.18,-81.26,-55.40,-11.65,-57.69,-13.52,46.97,16.56,23.44
83,-42.66,-69.35,-81.38,-55.64,-13.66,-58.17,-14.41,45.52,16.44,23.12
84,-42.04,-68.57,-80.57,-55.37,-13.38,-58.15,-14.06,45.12,17.11,23.46
85,-42.93,-68.44,-80.47,-54.76,-13.30,-58.71,-15.37,42.96,17.27,23.44
86,-42.03,-68.34,-80.45,-55.16,-13.36,-59.91,-13.25,46.11,17.66,23.73
87,-40.10,-67.47,-78.97,-53.10,-7.18,-59.79,-17.87,33.85,14.70,24.33
88,-38.32,-68.21,-78.76,-57.20,-10.59,-56.09,-2.92,65.87,22.40,26.42
89,-41.27,-68.90,-79.24,-55.94,-9.56,-59.48,-2.82,65.37,20.04,26.32
90,-37.71,-70.98,-79.32,-59.55,-12.25,-52.07,3.45,81.03,24.58,26.38
91,-38.77,-70.64,-79.04,-59.82,-13.45,-49.66,4.06,83.69,25.72,26.87
92,-38.78,-70.56,-78.49,-59.31,-14.10,-49.08,6.42,86.45,26.24,27.11
93,-37.37,-68.84,-76.64,-57.94,-13.60,-50.06,8.73,83.50,28.92,28.27
94,-39.18,-67.63,-78.00,-54.77,-10.96,-54.34,-3.90,61.55,21.20,26.02
95,-42.99,-71.91,-80.63,-58.83,-14.24,-50.36,0.31,82.89,21.72,25.09
96,-41.83,-70.58,-79.37,-57.94,-13.72,-51.42,2.36,79.23,23.68,26.05
97,-40.98,-72.73,-81.53,-59.69,-14.11,-52.37,-0.19,85.47,22.53,25.13
98,-41.09,-72.69,-80.87,-60.08,-14.72,-48.98,1.57,87.68,22.71,25.06
99,-39.65,-69.88,-78.29,-57.25,-13.41,-51.03,2.64,77.30,24.72,26.68
100,-37.92,-67.98,-75.78,-57.05,-13.76,-50.31,8.12,80.27,29.20,28.24
101,-39.34,-69.46,-76.90,-58.82,-14.73,-50.06,10.10,86.88,28.62,27.61
102,-40.69,-70.26,-77.67,-58.76,-15.19,-48.58,9.47,86.29,28.34,27.29
103,-42.06,-71.28,-77.58,-60.22,-16.86,-47.11,12.47,92.91,28.56,27.03
104,-42.65,-71.78,-77.86,-60.30,-16.79,-46.98,13.02,94.07,28.32,26.90
105,-41.91,-71.06,-77.53,-60.15,-16.64,-46.91,13.56,94.39,29.39,27.33
106,-42.78,-70.79,-77.56,-59.36,-15.82,-47.13,12.02,90.69,28.69,27.10
107,-43.35,-72.37,-77.25,-61.58,-17.92,-46.68,17.01,102.38,30.00,27.02
108,-43.27,-71.97,-77.48,-61.26,-17.48,-45.88,15.08,98.14,29.24,27.00
109,-42.27,-71.04,-76.78,-60.36,-17.13,-45.27,15.79,96.09,30.77,27.76
110,-41.67,-69.51,-76.65,-58.93,-16.29,-46.61,11.60,87.88,29.80,27.93
111,-43.27,-70.15,-78.60,-58.02,-15.07,-50.65,3.57,78.09,24.72,26.17
112,-43.11,-69.85,-77.73,-58.22,-15.50,-49.97,7.44,83.12,26.59,26.82
113,-43.52,-69.82,-77.58,-58.10,-15.87,-50.35,7.01,82.18,26.94,26.84
114,-43.24,-69.40,-77.25,-58.27,-16.22,-50.10,7.12,81.26,26.75,26.83
115,-41.61,-69.81,-77.86,-58.23,-16.46,-51.40,6.66,82.68,27.50,26.86
116,-41.05,-69.28,-77.43,-57.98,-15.89,-47.73,7.27,81.41,28.37,26.96
117,-40.73,-71.06,-83.87,-57.73,-11.08,-43.50,-9.73,72.41,19.05,24.77
118,-43.09,-71.79,-83.56,-54.94,-8.63,-43.35,-10.98,61.10,15.88,23.51
119,-42.63,-71.85,-83.73,-55.77,-9.71,-42.57,-10.56,65.83,16.21,23.87
120,-42.41,-72.27,-83.75,-55.48,-10.46,-42.31,-12.18,57.94,16.17,23.69
121,-43.21,-72.68,-84.62,-57.25,-12.08,-43.87,-15.52,52.84,14.57,22.71
122,-39.11,-71.93,-84.90,-56.72,-13.22,-39.80,-8.03,73.76,19.78,25.59
123,-37.42,-71.36,-75.83,-66.02,-17.95,-39.46,18.76,97.71,35.79,28.00
124,-35.75,-66.98,-75.35,-61.49,-16.23,-44.10,9.69,79.80,31.98,28.34
125,-35.61,-66.10,-73.89,-60.51,-17.61,-42.62,11.15,79.67,33.73,29.16
126,-35.38,-65.70,-73.32,-60.01,-17.24,-43.16,11.84,78.36,33.83,29.41
127,-36.52,-65.71,-73.67,-59.77,-18.30,-43.72,11.11,78.51,33.73,29.29
128,-34.98,-64.20,-73.22,-58.31,-16.62,-44.10,6.88,70.95,31.66,28.89
129,-36.23,-65.18,-73.32,-59.23,-17.47,-44.45,9.96,77.03,33.35,29.50
130,-35.15,-63.35,-71.83,-57.52,-16.63,-45.88,8.68,71.59,33.09,30.03
131,-35.64,-62.34,-71.41,-56.35,-15.95,-47.69,7.98,69.00,32.55,29.86
132,-35.31,-62.49,-71.27,-56.20,-16.06,-47.12,7.04,68.12,32.28,29.95
133,-36.46,-63.20,-71.69,-56.94,-16.48,-47.06,8.36,70.99,32.79,29.93
134,-39.58,-66.39,-74.42,-58.97,-18.47,-45.04,7.45,74.24,30.58,27.97
135,-38.39,-65.48,-73.57,-59.09,-19.15,-44.36,8.82,74.96,31.69,29.03
136,-38.46,-65.31,-74.54,-58.79,-15.49,-44.82,5.02,72.61,29.77,28.55
137,-39.38,-65.24,-73.90,-58.59,-16.84,-45.47,7.14,74.17,31.28,28.98
138,-38.46,-65.20,-73.95,-58.82,-17.64,-45.01,7.49,75.26,32.02,29.26
139,-38.83,-64.72,-73.58,-58.23,-17.56,-45.47,6.51,73.25,31.72,29.35
140,-38.66,-64.46,-73.21,-57.65,-17.39,-45.43,6.55,72.05,31.50,29.38
141,-36.63,-68.60,-75.91,-58.77,-13.57,-45.84,5.94,79.61,30.66,28.29
142,-37.17,-73.44,-80.74,-59.13,-10.84,-49.65,3.27,87.63,27.96,27.42
143,-37.03,-64.66,-74.86,-57.79,-12.14,-50.02,4.73,70.19,27.60,28.16
144,-37.98,-67.10,-75.23,-56.58,-13.98,-50.73,5.22,73.63,26.79,27.76
145,-38.15,-67.05,-75.43,-57.21,-15.06,-49.99,4.97,73.20,26.83,27.48
146,-38.95,-66.75,-74.99,-56.61,-15.63,-50.39,5.10,72.35,26.76,27.59
147,-38.15,-67.08,-76.97,-59.65,-14.05,-50.65,3.95,71.26,26.21,27.98
148,-38.16,-66.06,-74.86,-58.66,-15.16,-50.75,7.38,73.78,28.41,27.88
149,-38.89,-64.96,-73.92,-57.00,-15.79,-52.49,5.86,68.13,28.61,28.42
150,-39.09,-64.87,-73.66,-57.04,-17.60,-51.65,6.14,69.31,28.82,28.08
151,-39.37,-65.03,-73.48,-56.62,-17.99,-51.07,6.51,68.47,28.54,28.25
152,-39.69,-65.03,-73.68,-57.12,-18.33,-51.96,6.20,68.71,28.89,28.28
153,-39.45,-65.02,-73.76,-57.08,-18.21,-52.04,6.49,69.66,28.76,28.13
154,-39.30,-63.91,-73.20,-56.52,-16.89,-50.90,6.72,67.04,28.61,28.14
155,-36.75,-67.09,-76.86,-57.55,-14.86,-52.15,3.13,72.04,27.14,27.80
156,-36.85,-66.98,-75.95,-57.80,-15.09,-51.29,5.25,75.01,28.80,27.93
157,-37.08,-66.89,-76.30,-57.55,-15.16,-52.44,4.26,72.55,27.56,27.67
158,-37.33,-66.91,-76.07,-57.16,-15.15,-52.28,4.68,71.33,28.09,27.86
159,-37.23,-66.40,-76.07,-57.06,-15.31,-52.54,3.16,69.04,27.56,27.80
160,-37.34,-66.89,-76.60,-57.48,-15.40,-52.72,3.63,71.68,27.57,27.75
161,-37.48,-66.61,-75.91,-57.30,-15.65,-52.72,4.82,71.90,28.27,27.96
162,-37.64,-65.93,-75.33,-56.86,-15.28,-52.37,4.47,69.00,28.50,28.06
163,-37.77,-66.35,-75.81,-57.59,-15.99,-52.26,4.37,71.37,28.70,27.88
164,-38.05,-65.70,-75.35,-56.96,-16.09,-53.16,4.49,69.39,28.48,28.15
165,-38.68,-66.62,-75.43,-57.26,-16.30,-53.20,5.59,70.81,28.29,27.64
166,-38.63,-66.03,-75.28,-57.42,-16.94,-52.80,4.49,71.04,28.92,28.05
167,-37.71,-64.87,-75.13,-56.08,-12.84,-51.34,2.03,65.61,28.01,28.27
168,-34.23,-65.16,-75.75,-57.18,-10.96,-52.28,-1.01,65.45,28.15,28.82
169,-37.48,-66.11,-76.49,-56.65,-10.78,-51.90,0.81,66.06,26.46,27.80
170,-37.55,-66.30,-76.14,-57.39,-13.49,-52.37,3.27,70.84,28.01,28.00
171,-38.50,-66.14,-76.21,-57.16,-15.66,-52.03,2.61,68.83,28.13,27.91
172,-38.54,-65.20,-75.79,-56.46,-15.14,-52.87,0.62,63.66,27.03,27.97
173,-37.16,-65.30,-74.92,-57.22,-15.34,-49.81,4.85,71.27,31.14,29.11
174,-39.75,-70.27,-80.64,-58.91,-13.74,-53.37,-3.01,73.00,24.25,26.12
175,-39.57,-69.37,-79.38,-58.06,-12.67,-53.94,-0.19,74.21,25.90,26.66
176,-39.13,-68.91,-79.49,-57.91,-13.02,-53.84,-1.91,69.39,25.18,26.40
177,-39.24,-68.51,-79.08,-57.85,-13.79,-54.07,-1.16,69.13,25.70,26.45
178,-39.61,-66.61,-78.11,-57.08,-11.78,-54.06,-2.00,65.10,27.05,27.36
179,-39.11,-68.40,-78.77,-57.40,-12.64,-53.24,0.19,71.57,27.03,27.24
180,-38.94,-67.96,-78.84,-57.04,-13.59,-53.21,-1.61,68.49,26.28,26.88
181,-39.35,-67.90,-78.79,-56.50,-13.58,-54.82,-2.74,65.48,25.64,26.52
182,-39.36,-67.65,-78.49,-57.03,-14.54,-54.18,-1.91,65.76,26.14,27.10
183,-39.59,-68.17,-78.90,-57.66,-14.82,-55.12,-0.70,70.67,27.43,26.68
184,-39.14,-67.30,-78.07,-56.79,-14.98,-54.21,-1.13,67.51,26.81,26.76
185,-39.38,-67.53,-78.18,-56.84,-15.22,-54.48,-1.08,68.26,26.98,26.98
186,-39.75,-67.90,-78.43,-56.81,-15.32,-54.10,-1.57,67.62,26.70,26.72
187,-39.88,-67.44,-78.06,-56.81,-15.23,-54.77,-1.32,67.16,26.43,26.68
188,-39.90,-67.43,-78.17,-57.00,-15.31,-55.13,-0.68,68.91,27.33,26.87
189,-39.57,-67.41,-78.13,-56.71,-15.46,-54.80,-1.53,66.89,26.37,26.98
190,-39.82,-67.13,-77.75,-56.75,-15.47,-53.96,-1.13,66.40,26.86,26.86
191,-39.60,-67.44,-77.72,-57.03,-15.59,-53.42,-0.86,66.65,26.81,26.89
192,-40.16,-67.45,-77.61,-56.89,-15.59,-53.41,-0.54,67.93,26.70,26.75
193,-40.53,-67.32,-77.52,-56.71,-15.75,-53.49,-0.35,66.21,26.57,26.90
194,-40.42,-67.44,-77.46,-56.93,-16.32,-53.56,0.46,67.94,27.24,27.10
195,-40.12,-67.26,-77.18,-57.09,-16.86,-53.28,0.85,69.33,27.62,27.18
196,-41.00,-67.58,-77.64,-57.12,-16.99,-53.82,0.11,69.05,27.20,26.77
197,-41.04,-67.24,-77.43,-57.14,-17.25,-53.84,-0.28,66.64,27.33,26.89
198,-41.14,-67.23,-77.07,-57.29,-17.27,-53.77,0.81,69.21,27.88,27.09
199,-41.30,-67.24,-77.36,-56.97,-17.22,-53.72,-0.11,67.27,27.00,26.79
200,-39.39,-66.52,-77.67,-56.18,-12.80,-50.05,-1.51,65.91,26.98,27.67
201,-43.45,-71.87,-80.35,-60.51,-13.24,-50.23,3.41,86.68,24.79,26.61
202,-43.28,-71.37,-78.37,-61.30,-14.38,-47.64,9.25,89.80,24.21,26.59
203,-45.96,-75.39,-77.76,-65.25,-17.04,-42.73,24.08,114.98,26.99,26.01
204,-41.65,-71.29,-74.32,-63.43,-18.09,-42.38,27.87,107.14,34.64,29.49
205,-37.95,-65.85,-72.57,-58.15,-15.23,-47.34,17.72,86.00,34.88,31.23
206,-39.24,-67.34,-73.78,-58.55,-15.03,-47.86,16.88,86.59,32.35,30.28
207,-37.16,-65.74,-71.96,-57.53,-14.20,-48.39,18.79,86.39,35.42,31.22
208,-40.00,-66.52,-72.80,-57.24,-14.19,-48.66,17.86,87.14,33.68,30.45
209,-37.74,-64.60,-72.34,-55.27,-13.12,-49.82,13.22,78.64,32.46,30.91
210,-43.97,-70.14,-78.04,-59.29,-15.10,-51.23,6.65,82.61,24.79,27.17
211,-43.24,-70.78,-75.97,-61.30,-17.36,-44.61,18.84,98.19,31.10,28.54
212,-40.62,-67.45,-73.16,-57.89,-15.44,-46.44,18.02,88.41,33.80,30.27
213,-39.33,-66.58,-72.44,-57.55,-15.75,-44.82,19.89,89.32,35.43,31.13
214,-40.00,-66.38,-72.35,-57.64,-16.40,-46.59,18.49,87.75,35.09,31.12
215,-38.63,-65.36,-72.18,-56.32,-14.91,-47.03,16.48,84.86,34.76,31.02
216,-39.04,-65.27,-71.76,-56.45,-15.60,-47.71,17.75,85.38,35.64,31.41
217,-41.76,-68.84,-73.83,-60.10,-17.69,-44.03,21.72,96.15,36.22,30.15
218,-42.05,-69.20,-74.29,-60.23,-17.73,-44.92,20.91,97.51,35.52,29.99
219,-41.56,-68.25,-73.64,-59.57,-17.88,-44.99,21.00,94.78,36.01,30.22
220,-41.54,-68.32,-73.43,-59.64,-17.59,-45.05,21.44,95.30,36.11,30.44
221,-41.76,-68.91,-74.02,-60.24,-17.87,-44.50,21.24,96.62,35.62,30.03
222,-41.91,-68.94,-73.74,-60.10,-18.21,-44.80,22.49,96.81,36.42,29.99
223,-42.85,-69.71,-74.03,-61.28,-18.96,-44.99,23.97,100.44,36.09,29.78
224,-41.64,-68.74,-73.20,-60.75,-19.02,-43.62,24.29,98.54,37.92,30.40
225,-39.37,-66.83,-70.26,-60.60,-20.06,-39.65,30.39,102.27,43.88,32.63
226,-39.67,-68.81,-71.96,-61.15,-19.58,-42.26,29.32,103.18,40.06,30.97
