serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-41.32,-70.84,25.14,23.42,7.52,-120.68,-4.43,34.90,33.54,34.05
2,-41.20,-72.29,24.60,23.24,7.31,-121.21,-4.60,34.74,33.24,33.83
3,-41.85,-71.19,24.67,23.20,7.30,-120.53,-0.89,36.10,34.44,34.71
4,-41.69,-72.85,24.91,23.60,7.79,-121.40,-2.19,35.38,33.87,34.21
5,-41.61,-71.74,24.86,23.20,7.32,-120.07,-2.50,35.77,34.12,34.53
6,-42.01,-71.57,24.65,23.10,7.50,-119.91,-0.13,35.83,34.06,34.55
7,-41.97,-70.85,25.11,23.52,7.50,-120.35,0.00,35.98,34.53,34.75
8,-44.37,-69.48,24.72,22.97,7.68,-117.97,8.72,39.45,37.24,36.73
9,-40.75,-69.72,27.08,24.97,8.60,-119.35,-1.70,34.63,32.92,33.30
10,-39.05,-70.12,25.87,23.28,7.36,-118.04,-6.34,35.29,33.13,33.51
11,-40.70,-70.01,25.67,23.50,7.39,-117.86,0.32,36.84,34.60,35.41
12,-39.28,-67.43,27.37,25.05,8.63,-114.71,-0.86,36.91,34.38,34.58
13,-39.60,-64.97,26.52,23.76,6.22,-110.59,5.60,42.09,39.10,38.80
14,-38.59,-67.62,25.07,23.22,7.76,-112.73,-1.55,36.47,33.94,34.16
15,-37.15,-67.42,24.69,23.08,6.58,-115.59,-5.79,33.42,31.79,34.11
16,-28.61,-66.62,23.93,21.96,5.60,-111.57,-22.38,28.42,27.38,30.51
17,-33.44,-64.13,26.34,24.87,9.10,-110.97,-7.77,33.69,32.61,31.68
18,-34.98,-67.22,25.95,23.98,8.54,-111.67,-5.36,34.31,32.27,28.37
19,-34.91,-69.53,12.54,12.11,-0.63,-128.90,1.74,38.18,35.38,34.81
20,-32.72,-78.89,8.27,9.54,-2.62,-123.82,100.88,37.18,35.15,34.73
21,-18.85,-86.25,15.90,17.50,2.87,-129.24,-121.39,21.05,22.72,26.87
22,-18.79,-85.20,16.89,17.80,2.69,-125.82,-85.35,22.18,23.56,26.65
23,-20.66,-86.90,15.48,16.65,1.82,-125.53,-95.40,23.46,24.12,26.82
24,-17.27,-81.37,24.74,24.40,7.59,-117.36,-37.03,24.33,25.66,28.15
25,-11.97,-71.62,32.91,30.17,11.99,-111.96,-38.12,19.91,22.36,24.57
26,-21.46,-77.94,24.90,23.60,6.80,-115.48,-5.74,29.71,29.72,30.06
27,-21.55,-78.41,25.12,24.34,7.37,-116.26,-8.35,28.61,28.63,29.44
28,-21.09,-77.99,25.17,24.07,7.19,-116.36,-10.54,28.29,28.46,29.17
29,-21.88,-79.20,24.20,23.71,7.06,-117.73,-9.45,27.89,28.09,29.06
30,-21.69,-78.76,24.10,23.52,6.81,-116.98,-10.48,27.95,28.14,29.03
31,-23.58,-78.80,23.57,22.83,6.29,-116.91,0.14,30.29,29.97,30.17
32,-23.04,-78.06,24.24,23.64,6.83,-117.04,-5.88,29.02,29.03,29.48
33,-23.89,-76.54,24.20,23.59,6.60,-116.41,-2.84,29.95,29.75,29.99
34,-23.71,-77.04,23.72,23.07,6.49,-116.65,-4.44,29.69,29.41,29.71
35,-23.59,-76.12,24.35,23.72,6.70,-116.49,-5.47,29.46,29.36,29.68
36,-23.48,-76.64,23.88,23.32,6.68,-116.36,-5.62,29.32,29.18,29.69
37,-24.25,-77.06,23.88,23.21,6.59,-116.55,-2.83,30.03,29.73,30.04
38,-24.12,-76.77,23.74,23.13,6.47,-115.92,-3.02,30.11,29.76,29.94
39,-24.30,-77.16,23.31,22.85,6.16,-115.80,-2.48,29.99,29.70,29.88
40,-24.39,-77.07,24.05,23.44,6.94,-115.90,-3.08,29.88,29.81,29.99
41,-24.64,-76.80,23.98,23.35,6.71,-115.41,-0.55,30.50,30.28,30.27
42,-24.08,-77.09,24.20,23.62,6.89,-115.38,-5.14,30.35,30.01,30.17
43,-24.77,-77.56,23.88,23.25,6.53,-115.24,-4.49,30.76,30.48,30.30
44,-24.67,-76.45,24.58,24.06,7.32,-114.54,-7.15,30.44,30.25,30.16
45,-25.60,-75.45,24.73,24.07,7.09,-113.08,-5.17,31.40,31.09,30.69
46,-25.77,-77.26,24.05,23.73,7.07,-114.05,-0.87,30.92,30.79,30.44
47,-26.06,-75.50,24.84,24.07,7.34,-112.64,0.77,32.46,31.86,31.06
48,-25.62,-74.68,25.57,24.70,7.88,-111.42,0.94,32.38,31.95,31.18
49,-26.30,-73.99,25.49,24.49,7.82,-111.57,1.35,33.46,32.61,31.64
50,-26.23,-73.31,25.99,24.99,8.20,-110.51,1.39,33.56,32.96,31.85
51,-25.97,-73.87,26.02,24.87,8.18,-110.98,4.96,33.43,32.78,31.77
52,-26.19,-73.55,26.51,25.52,8.82,-111.04,5.55,34.36,33.37,31.88
53,-26.06,-73.43,26.54,25.74,8.90,-111.24,3.33,33.58,32.97,31.47
54,-26.59,-73.60,26.36,25.58,8.71,-110.44,5.66,34.47,33.79,32.01
55,-27.01,-73.06,26.40,25.69,8.80,-111.16,5.82,34.47,33.61,31.94
56,-26.52,-72.57,27.21,26.29,9.33,-111.05,5.89,34.66,33.95,32.24
57,-27.08,-73.60,26.11,25.43,8.52,-111.33,6.79,34.12,33.58,32.00
58,-28.38,-71.97,26.93,25.70,8.96,-111.62,7.50,35.59,34.58,32.64
59,-27.64,-72.19,26.90,26.06,9.24,-112.08,5.82,34.38,33.86,32.11
60,-27.64,-71.50,27.02,26.13,9.18,-111.50,5.83,34.87,34.16,32.24
61,-28.07,-71.37,26.84,25.94,9.07,-111.26,8.59,35.53,34.64,32.64
62,-25.70,-74.01,26.12,25.56,8.65,-115.12,-1.45,30.97,30.87,30.18
63,-25.29,-75.81,24.66,24.59,7.66,-117.23,-5.76,28.87,28.88,28.90
64,-25.46,-74.61,25.07,25.12,8.32,-117.38,-8.23,28.29,28.50,28.75
65,-25.69,-75.37,24.69,24.63,7.91,-117.15,-6.24,28.71,28.58,28.76
66,-29.21,-78.00,21.47,21.91,6.01,-119.80,6.60,30.24,29.64,29.46
67,-30.60,-77.75,20.94,21.48,5.64,-120.23,12.32,31.66,30.65,30.16
68,-32.13,-77.94,19.68,20.33,4.88,-120.26,17.39,32.60,31.37,30.65
69,-32.79,-75.51,20.84,21.07,5.68,-117.63,18.54,34.56,33.14,31.78
70,-33.62,-73.42,20.66,20.95,5.31,-116.59,17.34,35.58,33.85,32.23
71,-33.78,-72.41,20.87,21.17,5.71,-116.67,15.52,35.65,34.18,32.44
72,-33.66,-70.05,22.16,21.80,6.31,-115.05,14.31,36.67,34.91,32.94
73,-33.64,-70.32,21.97,21.88,5.93,-115.64,13.81,36.30,34.66,32.81
74,-33.55,-70.00,21.95,21.82,6.09,-115.17,13.16,36.45,34.66,32.78
75,-33.99,-70.05,21.44,21.54,6.05,-115.37,14.64,36.94,34.88,33.02
76,-33.75,-69.87,21.73,21.63,5.76,-115.21,13.20,36.57,34.75,32.82
77,-33.27,-69.72,22.12,22.36,6.48,-115.91,12.11,35.51,34.08,32.27
78,-34.93,-71.14,19.61,19.94,4.69,-116.77,16.27,36.36,34.46,32.76
79,-34.50,-71.43,19.77,20.10,4.87,-117.45,15.08,35.93,34.14,32.55
80,-34.39,-71.11,19.65,20.09,4.93,-117.01,15.12,35.95,34.33,32.54
81,-35.75,-71.48,18.38,18.90,3.95,-117.54,18.76,36.73,34.62,32.91
82,-35.54,-72.52,17.99,18.75,3.73,-118.60,17.21,35.81,33.86,32.46
83,-37.56,-71.77,16.57,17.35,2.69,-118.72,25.25,37.81,35.54,33.68
84,-37.24,-72.04,16.47,17.44,2.66,-118.62,23.54,37.43,35.36,33.44
85,-36.46,-72.62,16.84,17.79,2.94,-119.19,20.16,36.31,34.53,32.88
86,-37.40,-71.83,16.63,17.41,2.77,-118.69,23.14,37.53,35.15,33.42
87,-37.54,-72.04,16.58,17.37,2.69,-118.43,23.87,37.75,35.45,33.62
88,-37.12,-72.71,16.29,17.26,2.75,-119.26,22.44,37.14,34.66,33.00
89,-35.97,-69.99,19.33,19.72,4.62,-115.93,17.29,37.98,35.87,33.82
90,-29.65,-61.62,29.64,28.41,11.38,-107.77,1.04,37.95,36.83,33.81
91,-30.29,-59.61,30.60,28.94,12.04,-105.85,3.62,40.32,39.04,35.03
92,-29.16,-60.69,30.42,28.66,11.56,-107.23,0.08,38.09,36.77,33.62
93,-29.77,-62.16,28.92,27.68,10.89,-108.49,1.14,37.60,36.30,33.59
94,-29.41,-60.85,30.22,28.64,11.65,-107.14,0.78,38.16,37.17,33.84
