serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-24.19,-6.10,7.23,15.20,6.61,1.05,-6.82,21.56,20.02,23.83
2,-28.29,-8.14,6.94,16.22,7.88,0.45,-10.96,16.21,15.61,20.92
3,-32.58,-10.91,5.72,13.12,5.08,4.02,-4.55,23.14,20.34,24.09
4,-29.05,2.35,26.45,24.11,9.75,5.15,-1.65,30.26,26.47,28.24
5,-32.27,5.53,24.83,26.50,9.77,-1.61,-10.20,18.31,19.01,23.46
6,-7.00,7.91,28.55,31.75,13.38,-4.22,-4.39,29.39,26.74,26.56
7,-5.46,14.00,38.12,39.92,19.77,-7.31,-5.87,28.69,26.64,26.37
8,-8.19,8.07,32.55,35.74,16.89,-2.94,-6.05,26.45,24.34,25.11
9,-20.93,14.68,42.50,46.15,24.06,-16.70,-23.34,4.94,7.35,15.03
10,-17.74,14.42,41.65,44.62,23.13,-14.94,-19.02,11.26,12.75,17.84
11,-23.53,6.08,32.45,37.21,17.92,-8.43,-20.62,7.65,8.35,15.47
12,-24.87,3.97,30.47,35.83,17.28,-6.24,-20.97,7.39,8.10,15.17
13,-22.43,5.67,32.14,37.15,18.28,-6.75,-18.61,10.90,11.24,17.07
14,-22.25,5.89,32.06,37.23,17.92,-6.93,-18.96,10.03,10.46,16.45
15,-22.37,5.86,32.51,37.58,18.71,-7.16,-19.18,10.89,11.53,17.14
16,-21.55,6.87,33.30,37.97,18.85,-7.20,-18.10,12.67,13.40,18.35
17,-24.13,4.62,30.23,40.47,23.28,-6.49,-19.74,12.16,16.12,19.40
18,-24.46,3.63,27.73,45.24,29.47,-5.96,-19.24,12.74,20.28,20.78
19,-22.70,6.20,32.21,46.83,29.92,-7.48,-18.45,13.52,20.60,20.99
20,-22.95,5.46,31.34,45.84,29.22,-6.83,-18.24,13.56,20.18,20.64
21,-24.47,4.46,30.16,45.46,28.89,-6.68,-19.66,11.46,17.94,19.55
22,-20.22,8.70,34.37,47.97,30.66,-9.04,-16.57,16.53,24.04,22.63
23,-13.99,13.23,38.75,49.97,33.09,-11.43,-11.95,23.81,33.36,27.30
24,-15.76,10.12,35.18,47.22,30.90,-8.03,-12.00,22.61,30.45,26.35
25,-17.05,6.73,31.62,44.57,28.88,-4.88,-11.93,22.00,28.53,25.66
26,-14.95,7.09,31.59,43.89,28.53,-4.26,-9.73,24.91,31.45,27.57
27,-10.74,11.36,35.65,45.97,30.33,-6.77,-7.32,29.13,36.64,30.04
28,-10.80,10.65,34.92,45.38,30.25,-6.27,-7.09,29.49,36.41,29.95
29,-10.29,11.34,35.48,45.71,30.49,-6.75,-6.88,30.14,37.31,30.30
30,-10.03,9.54,33.41,43.88,29.20,-4.70,-5.65,30.91,37.52,31.05
31,-10.36,6.41,29.24,40.57,26.43,-1.43,-4.67,31.26,36.10,30.53
32,-9.80,5.57,28.36,39.42,25.79,-0.23,-3.58,32.06,36.62,31.32
33,-10.96,6.67,30.23,41.32,27.21,-1.92,-5.47,30.37,35.72,30.31
