serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-20.78,-33.85,-34.40,5.62,-1.10,7.70,59.17,95.08,57.80,53.63
2,-20.11,-32.65,-32.99,6.65,0.32,5.09,56.78,93.25,59.36,54.67
3,-19.54,-31.75,-32.12,6.20,0.14,5.21,57.52,93.20,59.92,55.07
4,-18.63,-30.77,-30.96,6.68,0.81,5.14,57.60,92.94,60.70,55.82
5,-16.97,-27.37,-27.48,10.79,5.21,0.30,52.48,88.18,63.79,56.73
6,-23.13,-30.29,-30.13,22.26,13.19,-12.22,38.07,73.55,60.57,52.23
7,-29.03,-34.46,-34.46,25.51,14.77,-14.12,34.37,68.84,55.30,47.43
8,-32.49,-38.49,-38.83,24.03,12.74,-12.47,35.07,69.04,50.81,44.82
9,-33.16,-37.44,-37.14,27.21,14.90,-15.90,30.05,64.10,50.56,43.95
10,-31.98,-36.64,-36.26,24.99,13.14,-12.87,34.20,68.40,51.07,44.83
11,-32.78,-37.29,-37.22,25.15,13.26,-13.04,33.04,67.42,50.13,44.19
12,-36.68,-40.60,-39.96,25.09,12.58,-12.25,31.58,65.88,46.12,41.47
13,-38.14,-41.74,-41.36,24.79,12.11,-11.63,31.47,66.12,44.56,40.59
14,-32.59,-35.06,-33.87,25.52,14.42,-12.71,33.55,67.38,51.49,45.00
15,-29.69,-33.69,-33.04,23.99,13.54,-11.99,35.53,69.95,53.79,46.61
16,-28.11,-33.16,-32.51,21.71,11.91,-9.65,38.71,73.40,54.83,48.18
17,-23.78,-30.11,-29.79,19.57,11.06,-7.35,42.78,78.02,58.48,50.94
18,-23.57,-32.99,-34.56,15.77,8.07,-3.88,48.43,86.25,58.09,51.62
19,-24.42,-33.40,-35.02,17.27,8.96,-5.72,44.61,84.76,57.84,51.34
20,-24.14,-32.89,-34.34,15.69,7.73,-4.79,46.54,86.24,57.78,51.43
21,-23.35,-32.30,-33.38,13.00,5.75,-1.92,49.80,88.96,57.92,52.31
22,-23.94,-32.27,-33.40,14.78,7.36,-3.61,46.90,85.96,57.89,51.82
23,-24.70,-32.55,-33.66,17.16,9.22,-5.98,43.98,82.95,57.79,51.19
24,-24.96,-31.57,-32.60,20.12,11.60,-9.74,40.00,78.34,58.29,50.76
25,-25.49,-31.23,-32.48,22.53,13.62,-11.86,37.76,75.43,58.41,50.31
26,-25.55,-31.66,-32.72,21.23,12.10,-10.98,38.78,76.48,58.03,50.51
27,-24.98,-31.71,-32.58,18.66,10.12,-8.32,41.86,79.79,57.99,51.13
28,-24.59,-31.92,-32.87,17.08,9.07,-7.01,43.36,80.92,58.15,51.60
29,-23.78,-31.80,-32.63,15.35,7.86,-4.95,45.81,83.61,58.32,52.18
30,-24.33,-31.65,-32.52,16.73,8.98,-6.56,44.28,81.87,58.21,51.75
31,-25.14,-31.59,-32.57,19.09,10.65,-9.65,41.78,79.38,57.99,51.01
32,-25.43,-31.65,-32.54,21.27,12.48,-11.29,39.10,76.52,57.92,50.28
33,-26.08,-31.54,-32.39,23.60,14.24,-13.45,35.81,72.99,57.48,49.49
34,-26.29,-30.02,-31.03,26.96,16.75,-17.51,31.47,68.59,58.06,48.74
35,-26.21,-29.68,-30.12,25.90,16.09,-16.17,32.77,69.28,58.48,49.34
36,-26.36,-31.01,-31.63,23.21,13.99,-13.73,35.50,72.50,57.18,49.44
37,-27.15,-32.34,-33.14,23.54,14.16,-13.22,35.34,72.32,55.96,48.41
38,-27.89,-31.67,-32.48,25.83,15.56,-16.03,32.13,69.03,55.44,47.46
39,-30.02,-32.58,-33.33,27.71,16.52,-17.20,29.25,65.79,53.55,45.83
40,-29.56,-32.41,-33.07,27.13,16.20,-17.33,30.25,66.94,54.06,46.33
41,-29.44,-32.46,-32.95,26.39,15.54,-16.33,31.27,67.77,54.18,46.68
42,-28.93,-31.49,-32.13,27.01,15.96,-17.53,30.18,67.16,54.62,46.64
43,-29.22,-32.14,-32.40,26.51,15.37,-17.87,29.77,66.48,53.45,46.23
44,-34.16,-36.48,-36.85,25.27,13.59,-13.63,31.05,67.53,48.61,43.12
45,-40.44,-44.20,-44.93,22.54,9.80,-9.75,29.61,66.00,40.61,38.62
46,-41.55,-45.43,-46.05,21.34,8.47,-7.47,29.84,66.57,38.90,37.58
47,-40.77,-45.02,-45.75,20.30,7.66,-6.87,30.72,68.11,39.89,38.36
48,-39.85,-45.65,-46.30,17.95,5.84,-4.18,34.64,71.93,40.32,39.11
49,-37.31,-42.68,-43.06,18.65,7.09,-5.29,35.35,72.42,43.03,40.93
50,-37.97,-42.78,-43.11,19.29,7.55,-6.23,33.65,70.59,42.64,40.63
