serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-51.58,-21.55,37.94,30.51,20.04,-2.94,4.32,47.02,47.93,46.07
2,-45.00,-16.25,36.58,28.04,18.49,-7.32,8.70,54.12,52.68,49.25
3,-47.68,-11.61,48.27,39.32,28.37,-17.44,2.67,54.04,54.16,48.03
4,-41.97,-16.05,36.61,29.29,21.80,-3.86,12.24,57.53,56.46,52.15
5,-30.87,1.51,43.56,34.87,32.25,-19.85,13.12,81.94,75.74,61.37
6,-53.36,-17.51,47.61,39.39,28.18,-18.30,0.54,49.09,51.02,46.57
7,-58.89,-22.91,46.92,38.26,26.87,-22.04,-4.98,45.81,48.61,45.35
8,-59.21,-24.76,47.21,38.89,26.16,-17.50,-5.33,40.92,45.02,42.38
9,-56.77,-20.71,49.75,40.67,27.82,-23.95,-6.09,43.96,47.51,43.57
10,-58.78,-24.87,46.44,38.25,25.52,-17.40,-4.97,39.64,43.70,41.86
11,-57.92,-23.78,45.59,37.09,25.33,-21.83,-3.08,45.37,48.11,44.53
12,-53.83,-21.47,42.95,33.45,21.59,-21.81,-1.33,49.47,49.96,46.69
13,-53.28,-14.18,46.99,39.96,27.58,-13.22,-1.73,45.94,47.34,43.27
14,-54.06,-14.24,47.95,40.71,27.59,-13.55,-2.58,44.40,46.60,42.82
15,-52.49,-14.82,48.77,40.42,27.46,-12.49,-1.83,43.48,45.49,42.01
16,-51.84,-13.20,50.41,41.72,28.58,-13.86,-1.41,46.33,46.79,42.58
17,-53.55,-16.86,49.65,41.04,28.00,-10.68,-1.27,44.72,46.11,42.45
18,-51.49,-15.30,48.49,40.15,27.49,-8.96,0.45,44.97,46.57,42.88
19,-55.63,-19.17,46.92,39.25,25.76,-5.52,-1.80,37.37,40.55,39.58
20,-55.98,-22.67,43.24,36.52,23.53,0.94,-1.08,34.03,37.51,38.10
21,-53.87,-22.52,41.36,34.57,22.00,2.33,1.35,36.19,38.55,39.20
22,-48.22,-10.62,50.70,41.38,29.41,-14.75,1.56,51.26,51.27,45.26
23,-49.43,-16.16,44.61,36.79,24.65,-6.73,3.81,43.90,45.24,42.81
24,-47.04,-16.53,41.55,34.03,22.84,-3.74,7.17,46.79,47.14,44.78
25,-47.81,-14.49,45.06,36.84,25.32,-7.95,4.63,46.86,47.41,44.53
26,-45.03,-12.00,45.01,36.76,25.90,-9.03,6.46,50.68,50.74,46.43
27,-44.31,-10.92,45.43,37.22,26.17,-10.59,6.48,51.83,51.43,46.84
28,-46.27,-13.48,44.55,36.63,25.26,-8.20,5.68,48.21,48.50,44.92
29,-46.24,-13.87,43.71,35.92,24.61,-6.95,5.99,47.89,48.30,45.20
30,-45.82,-13.31,43.92,36.05,24.66,-7.34,6.23,48.56,48.57,45.32
31,-45.31,-12.93,43.75,35.84,24.57,-7.61,6.47,49.08,48.71,45.42
32,-45.58,-13.93,43.08,35.52,24.27,-6.14,6.50,47.35,47.89,44.94
