serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-66.28,-64.95,-16.64,-4.82,-10.38,-44.86,77.19,57.12,35.61,39.12
2,-62.47,-70.77,-8.36,3.20,-4.04,-63.95,47.71,49.97,31.37,35.63
3,-76.28,-81.47,-16.17,-1.77,-8.12,-101.54,105.15,36.60,18.95,25.79
4,-76.48,-84.16,-17.08,-2.74,-9.33,-95.05,90.14,34.50,17.55,24.74
5,-84.20,-69.24,-31.62,-14.74,-18.92,-62.95,137.79,38.72,18.27,24.96
6,-76.27,-81.39,-21.34,-5.54,-12.39,-99.55,151.41,31.44,14.79,22.91
7,-77.93,-81.62,-22.44,-6.39,-12.39,-91.38,122.60,34.49,16.83,23.78
8,-78.28,-79.87,-24.15,-8.24,-13.84,-75.36,119.04,36.95,18.25,24.49
9,-78.06,-78.03,-23.96,-8.21,-13.58,-64.59,104.15,39.61,20.17,25.91
10,-76.95,-78.64,-22.73,-7.37,-12.94,-71.47,97.18,39.88,20.53,26.27
11,-75.41,-77.59,-22.39,-7.01,-12.69,-64.19,97.60,41.06,21.51,27.10
12,-77.30,-74.37,-25.25,-8.04,-12.95,-58.28,108.48,42.46,21.93,27.12
13,-76.95,-78.25,-25.09,-7.76,-13.06,-62.95,92.05,41.40,21.36,26.77
14,-76.45,-77.42,-24.73,-7.41,-12.70,-58.32,84.81,41.65,21.73,26.96
15,-75.76,-78.34,-25.12,-7.28,-12.56,-59.92,81.90,41.42,21.68,27.01
16,-75.48,-75.61,-24.85,-7.36,-12.78,-56.37,77.74,43.53,22.95,27.96
17,-74.59,-75.36,-24.21,-6.99,-12.48,-57.95,70.45,43.20,23.13,28.12
18,-73.49,-76.71,-24.17,-7.05,-12.44,-61.41,67.33,41.47,22.01,27.25
19,-70.37,-80.29,-16.11,1.24,-6.73,-94.41,1.01,29.76,15.15,22.81
20,-64.41,-71.69,-11.68,4.30,-3.24,-75.55,16.83,37.60,21.80,27.01
21,-61.39,-66.21,-10.44,4.23,-3.34,-63.77,28.84,44.59,27.39,31.40
22,-55.90,-57.07,-10.74,1.78,-4.67,-46.94,42.52,56.17,36.13,38.39
23,-56.63,-59.62,-6.14,7.14,-0.75,-60.21,28.01,48.78,31.38,34.26
24,-56.54,-60.89,-6.20,7.43,-0.62,-62.41,24.15,46.60,29.64,33.09
25,-56.82,-60.21,-5.75,7.74,-0.40,-63.06,24.11,46.95,30.52,34.00
26,-59.02,-61.90,-6.37,7.64,-0.74,-65.43,21.76,44.62,28.13,31.84
27,-60.01,-63.89,-6.88,7.44,-0.89,-67.76,18.77,42.11,26.00,30.38
28,-61.56,-64.67,-7.62,7.07,-1.14,-68.87,18.83,41.34,25.20,29.79
29,-60.98,-64.08,-7.83,6.52,-1.57,-66.86,18.96,42.44,26.10,30.45
30,-57.86,-59.27,-6.90,6.30,-1.24,-57.56,27.76,48.60,31.36,34.40
31,-60.50,-62.53,-6.55,7.33,-0.90,-66.02,20.77,43.43,26.98,31.05
32,-62.02,-64.80,-7.76,6.96,-1.35,-69.06,17.55,40.98,24.84,29.44
33,-59.83,-61.26,-6.53,7.11,-1.05,-64.10,21.43,44.42,27.72,31.70
34,-57.18,-57.28,-5.02,7.65,-0.26,-58.80,25.31,48.91,31.63,34.68
35,-57.61,-58.64,-5.14,7.74,-0.50,-59.65,23.41,47.22,30.50,33.70
36,-60.74,-61.73,-5.97,7.93,-0.37,-65.63,18.82,43.11,26.74,30.96
37,-60.40,-61.41,-6.44,7.58,-0.52,-61.47,20.01,44.15,27.88,31.65
38,-57.82,-58.85,-5.74,7.24,-0.80,-57.01,24.35,47.61,30.60,33.61
39,-59.54,-59.14,-7.43,6.07,-1.50,-55.68,27.07,47.90,30.39,33.81
40,-67.91,-64.57,-18.75,-3.01,-8.72,-32.96,50.85,50.06,29.60,33.44
41,-65.14,-64.43,-12.45,2.62,-4.36,-50.82,33.03,45.81,27.80,31.85
42,-67.53,-67.66,-14.80,1.40,-5.07,-51.94,35.66,44.14,26.05,30.50
43,-65.52,-66.07,-12.99,2.21,-4.87,-49.48,33.96,45.71,27.74,31.92
44,-64.19,-65.51,-12.64,2.15,-4.91,-51.18,34.50,46.20,28.06,32.05
45,-64.39,-65.21,-12.02,2.67,-4.56,-51.90,34.50,46.29,28.14,32.00
46,-63.34,-63.98,-12.62,1.82,-5.15,-48.58,37.12,48.22,29.33,33.03
47,-66.21,-66.06,-13.76,1.41,-5.36,-50.71,37.60,45.61,27.47,31.58
48,-62.78,-64.32,-11.17,3.07,-4.16,-51.60,35.17,47.36,29.20,32.86
49,-63.26,-66.06,-11.47,2.83,-4.40,-48.29,38.89,47.95,29.53,32.95
50,-65.77,-77.10,-14.43,1.45,-5.18,-62.18,103.96,46.14,27.73,31.68
51,-59.99,-70.81,-4.22,5.64,-2.24,-48.15,69.05,52.66,33.97,37.00
52,-65.71,-88.47,-3.15,10.40,0.84,-83.88,99.29,34.87,20.48,26.33
53,-65.84,-87.89,-2.91,11.26,1.47,-95.72,-101.99,30.81,16.95,23.53
54,-64.49,-85.31,-2.10,12.16,1.77,-101.19,-92.91,28.44,15.44,22.39
55,-64.34,-81.67,-2.56,12.59,2.30,-111.29,-103.33,24.39,12.24,20.00
56,-61.08,-76.42,-3.31,13.07,2.76,-128.58,-109.06,17.69,6.58,15.76
57,-57.57,-75.31,2.45,17.48,6.11,-120.42,-83.46,18.96,8.50,17.13
58,-57.69,-76.39,2.63,17.37,6.04,-119.50,-81.29,20.10,9.32,17.80
59,-56.57,-76.61,4.46,18.77,7.04,-115.34,-73.46,21.87,11.40,19.39
60,-57.38,-78.48,4.29,18.13,6.63,-110.08,-64.37,24.66,13.57,20.59
61,-57.41,-79.32,4.48,17.85,6.57,-103.66,-49.48,28.00,16.23,22.49
62,-57.40,-79.98,4.81,17.91,6.86,-98.98,-34.64,30.65,18.54,24.40
63,-58.50,-80.85,3.88,16.48,5.70,-94.91,-17.74,33.25,20.52,25.58
64,-61.86,-83.45,-0.03,13.29,3.46,-91.04,-5.76,34.31,20.69,25.89
65,-66.16,-86.08,-3.95,10.02,0.80,-90.40,33.13,34.94,20.48,25.78
66,-67.38,-88.71,-5.30,9.39,0.16,-93.62,24.90,32.64,18.38,24.32
67,-67.02,-87.59,-4.72,10.39,0.86,-102.96,-84.99,29.13,15.64,22.38
68,-65.76,-87.93,-6.08,8.37,-0.60,-91.49,-14.88,32.33,18.06,23.99
69,-67.57,-88.03,-4.76,10.40,1.11,-102.99,-69.25,29.39,15.99,22.43
70,-67.56,-88.28,-5.01,10.19,0.83,-102.31,-87.67,29.34,15.93,22.59
71,-67.57,-88.78,-5.16,9.94,0.62,-101.26,-72.80,29.95,16.33,22.82
72,-66.40,-87.50,-4.38,10.47,0.71,-99.85,-62.86,29.58,16.29,22.72
