p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-47.89,-70.09,-66.36,-72.16,-73.93,-95.15,60.77,106.34,87.13,97.23,আ
-60.52,-56.59,-50.75,-62.74,-72.26,-114.7,98.85,133.72,108.38,81.1,আ
-60.15,-59.75,-54.66,-64.48,-70.67,-100.91,89.81,125.83,99.81,74.41,আ
-57.1,-61.33,-56.87,-63.54,-65.25,-89.62,74.07,114.59,85.09,67.06,আ
-57.08,-62.17,-57.71,-63.58,-63.47,-88.01,72.35,112.51,82.05,65.8,আ
-58.99,-58.37,-54.5,-60.09,-60.7,-82.1,72.96,110.88,84.45,71.81,আ
-54.28,-62.47,-58.78,-66.42,-63.68,-82.46,67.41,110.19,84.82,76.35,আ
-53.61,-66.24,-59.81,-71.32,-76.14,-121.69,96.77,134.79,99.71,49.33,আ
-55.42,-66.37,-59.37,-72.46,-81.26,-131.1,105.34,139.91,112.06,45.36,আ
-54.89,-67.74,-60.23,-73.72,-83.61,-128.54,111.08,144.22,120.34,38.74,আ
-48.04,-66.11,-62.63,-67.23,-63.94,-100.74,65.71,109.9,70.5,48.48,আ
-50.83,-62.73,-59.64,-65.31,-63.45,-98.68,67.18,110.79,75.7,55.0,আ
-51.19,-63.45,-60.29,-65.15,-62.58,-99.96,65.48,108.97,72.66,52.47,আ
-52.11,-61.91,-58.6,-63.96,-63.23,-94.67,65.69,108.58,75.61,57.54,আ
-48.2,-59.47,-58.08,-59.73,-55.08,-86.86,53.65,96.06,63.86,54.8,আ
-48.6,-58.17,-56.8,-58.61,-54.04,-85.13,53.63,95.32,63.1,55.72,আ
-42.29,-52.22,-53.27,-52.2,-46.43,-76.55,40.88,80.2,53.62,52.54,আ
-44.5,-53.46,-53.86,-53.31,-47.71,-77.88,44.18,84.08,56.26,54.02,আ
-44.08,-54.0,-54.4,-53.54,-47.86,-77.16,43.8,83.88,55.6,53.24,আ
-57.26,-47.1,-44.87,-49.45,-46.29,-69.15,64.62,101.83,78.31,74.36,আ
-53.89,-49.64,-47.64,-51.25,-46.96,-72.54,60.01,98.33,73.04,69.28,আ
-54.39,-49.54,-47.48,-50.73,-46.5,-72.47,60.1,97.81,72.47,68.45,আ
-56.02,-49.23,-47.38,-51.64,-47.13,-73.24,62.24,100.06,75.26,69.08,আ
-59.19,-52.66,-49.6,-55.97,-55.39,-86.03,70.13,108.01,81.94,74.58,আ
-33.9,-79.45,-81.25,-77.3,-62.91,-113.25,17.48,104.08,14.63,5.39,আ
-35.25,-80.98,-81.06,-77.2,-64.77,-111.44,21.31,106.68,17.05,5.83,আ
-34.38,-79.97,-82.2,-75.32,-62.31,-111.51,8.84,94.2,12.63,7.12,আ
-22.4,-77.5,-84.73,-74.78,-59.2,-107.67,-4.51,109.51,1.2,3.74,আ
-22.68,-78.22,-84.07,-73.71,-59.73,-107.43,-4.54,102.15,5.55,6.96,আ
-46.63,-61.74,-57.42,-65.33,-68.3,-110.9,73.09,116.63,84.82,68.92,আ
-41.82,-56.1,-51.58,-59.54,-62.82,-96.67,83.29,120.95,86.87,74.8,আ
-46.2,-55.91,-51.83,-59.57,-61.0,-102.34,82.83,118.53,83.96,70.91,আ
-69.9,-46.0,-42.04,-52.0,-54.11,-62.16,90.35,123.06,99.36,89.5,আ
-62.92,-57.93,-53.04,-62.63,-65.19,-74.23,88.39,124.3,92.31,70.63,আ
-69.0,-54.59,-48.99,-61.0,-69.97,-105.44,101.21,132.88,108.6,95.82,আ
-56.93,-57.19,-50.73,-61.57,-65.97,-87.76,87.99,130.49,103.92,79.67,আ
-57.98,-64.37,-59.12,-66.2,-67.43,-118.71,82.07,121.77,82.68,59.23,আ
-53.17,-66.07,-58.42,-70.19,-78.95,-117.95,96.46,135.93,104.38,72.02,আ
-43.82,-56.81,-59.93,-58.15,-50.87,-89.85,37.67,77.91,48.71,47.69,আ
-42.3,-58.73,-59.61,-56.88,-50.58,-89.98,37.23,81.44,49.28,43.78,আ
-35.79,-54.76,-57.76,-51.55,-44.09,-83.53,25.4,66.65,39.82,41.34,আ
-36.29,-54.34,-57.62,-51.34,-44.59,-83.82,22.96,66.24,39.74,42.53,আ
-48.36,-75.01,-64.87,-74.47,-77.6,-120.57,91.92,132.5,97.35,48.27,আ
-51.72,-71.41,-60.74,-74.17,-87.17,-137.53,119.28,149.69,132.57,-1.23,আ
-51.04,-70.34,-59.97,-73.98,-87.01,-141.94,128.2,153.84,139.22,-46.64,আ
-47.67,-72.2,-66.68,-73.68,-70.77,-116.05,69.95,121.6,75.31,38.47,আ
-49.26,-72.46,-65.59,-74.01,-73.29,-116.43,80.04,126.9,83.26,39.57,আ
-55.66,-59.9,-53.62,-62.75,-61.89,-131.68,85.66,114.8,80.68,77.82,আ
-38.46,-80.37,-76.07,-77.76,-67.59,-111.48,43.64,119.75,43.16,19.4,আ
-24.19,-84.62,-75.53,-81.71,-64.48,-114.11,52.95,153.15,18.58,-7.1,আ
-46.3,-75.55,-70.32,-78.12,-72.72,-109.3,70.44,123.6,72.24,23.48,আ
-45.17,-77.44,-71.66,-78.63,-72.5,-109.3,69.28,122.62,70.06,20.42,আ
-46.0,-77.19,-71.39,-79.0,-73.37,-110.41,73.43,124.67,74.16,20.34,আ
-46.66,-71.84,-68.48,-72.24,-66.21,-103.94,56.93,108.4,61.82,35.67,আ
-48.05,-72.58,-68.11,-73.08,-69.13,-102.74,61.6,113.95,68.0,37.44,আ
-47.74,-66.71,-64.35,-65.72,-61.46,-94.13,48.04,97.75,61.01,47.43,আ
-47.34,-66.39,-63.83,-64.86,-60.75,-92.6,47.1,95.8,61.34,47.22,আ
-47.69,-62.85,-61.39,-62.21,-58.15,-88.47,45.85,91.83,60.56,50.39,আ
-47.92,-61.4,-61.12,-62.41,-57.56,-87.36,46.76,91.61,58.7,51.17,আ
-48.06,-60.79,-59.79,-61.42,-56.1,-88.2,45.28,91.63,59.46,45.89,আ
-53.18,-70.87,-64.95,-72.94,-72.55,-108.57,73.08,121.39,82.89,42.76,আ
-49.62,-76.05,-71.63,-75.29,-72.07,-109.69,56.39,110.87,67.1,28.12,আ
-66.09,-61.73,-55.65,-67.13,-80.3,-131.15,108.62,137.58,120.27,100.38,আ
-67.1,-61.06,-55.66,-66.09,-77.11,-131.41,101.5,130.68,111.01,94.96,আ
-50.29,-76.76,-72.6,-77.21,-72.15,-118.19,65.75,112.88,62.94,22.65,আ
-46.84,-77.23,-75.38,-76.33,-68.18,-115.39,40.6,100.09,45.6,18.69,আ
-40.78,-78.79,-80.28,-75.31,-64.66,-115.8,10.1,82.52,21.85,9.33,আ
-39.33,-78.16,-80.81,-74.72,-64.08,-116.11,4.85,72.88,17.03,7.99,আ
-41.09,-71.73,-74.32,-68.04,-58.73,-107.02,12.35,65.9,30.0,20.8,আ
-40.96,-70.38,-73.58,-68.23,-57.82,-108.0,13.71,61.63,25.62,24.02,আ
-37.25,-78.31,-76.74,-72.48,-56.56,-107.61,-18.95,76.35,43.94,50.59,আ
-58.11,-73.52,-72.3,-71.37,-62.6,-113.53,33.65,78.73,52.47,33.13,আ
-41.38,-58.04,-52.97,-67.44,-77.66,-140.07,116.24,142.69,114.73,100.57,আ
-50.96,-62.68,-56.55,-67.18,-71.9,-128.81,107.62,133.89,110.47,80.72,আ
-52.66,-64.85,-58.01,-67.1,-71.83,-122.91,98.37,129.32,103.75,77.93,আ
-54.86,-64.22,-57.6,-66.32,-73.76,-123.23,99.33,129.46,106.62,90.43,আ
-54.53,-68.67,-60.09,-74.43,-83.99,-116.55,130.04,157.39,137.84,-45.83,আ
-46.45,-68.63,-61.77,-72.17,-80.68,-119.25,87.97,130.82,98.17,35.27,আ
-43.62,-71.38,-64.01,-74.94,-75.8,-118.88,93.55,133.13,92.26,24.98,আ
-39.51,-70.29,-68.02,-71.0,-70.43,-100.96,54.56,105.99,61.57,41.2,আ
-41.03,-66.76,-64.83,-66.61,-62.76,-100.16,54.88,100.62,58.89,41.2,আ
-38.47,-68.26,-67.25,-67.88,-64.38,-97.08,49.58,99.06,57.55,40.04,আ
-35.9,-70.61,-69.14,-68.8,-62.66,-101.78,45.68,94.13,49.5,32.64,আ
-35.35,-70.65,-69.53,-69.07,-62.77,-98.65,44.14,94.76,49.53,32.99,আ
-36.32,-70.37,-69.11,-68.27,-62.03,-98.43,44.77,93.92,49.47,34.9,আ
-39.76,-71.15,-67.79,-70.74,-67.25,-103.62,57.84,106.47,63.98,39.12,আ
-47.99,-70.23,-67.65,-70.24,-66.33,-100.76,56.89,105.72,60.91,35.02,আ
