p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-35.93,-18.97,41.43,33.28,12.51,-83.88,-16.62,10.38,28.51,29.16,ই
-35.82,-19.69,40.08,37.03,22.83,-81.26,-13.62,12.58,32.96,33.43,ই
-34.89,-18.7,40.74,37.59,23.1,-81.32,-13.84,12.42,32.97,33.49,ই
-35.75,-19.83,40.23,37.51,22.98,-82.52,-15.3,10.44,31.25,32.18,ই
-33.78,-16.95,42.58,39.49,24.59,-83.21,-14.39,11.72,32.67,33.02,ই
-33.61,-17.38,42.27,38.6,23.4,-82.64,-14.33,11.5,31.9,32.66,ই
-33.97,-16.56,42.21,36.69,20.38,-83.98,-15.13,10.04,29.26,31.04,ই
-34.21,-17.13,41.05,33.32,16.99,-84.5,-15.34,9.66,27.0,29.54,ই
-33.88,-17.09,40.3,32.65,16.12,-84.84,-15.71,9.06,26.3,29.3,ই
-36.18,-19.53,35.94,33.59,20.69,-81.56,-13.63,11.32,30.88,32.54,ই
-41.07,-26.7,33.76,32.97,20.92,-72.85,-14.07,10.04,30.89,32.54,ই
-40.83,-10.21,34.88,33.21,20.62,-75.0,-10.06,10.57,30.94,32.47,ই
-32.91,-1.05,44.59,41.31,26.79,-82.0,-12.45,9.97,32.14,32.37,ই
-32.98,-1.43,44.38,41.19,26.66,-81.95,-12.39,10.19,32.28,32.37,ই
-32.77,-0.76,44.64,41.39,26.77,-81.92,-12.71,9.95,32.11,32.35,ই
-33.04,-1.17,44.33,41.25,26.47,-82.4,-13.28,9.08,31.5,32.01,ই
-34.67,-2.13,43.36,40.49,25.77,-83.61,-14.28,7.01,29.69,31.1,ই
-43.14,-10.83,32.9,31.56,18.88,-77.94,-11.6,8.7,28.73,31.36,ই
-42.27,-11.28,30.38,28.38,16.01,-70.28,-5.96,15.5,33.05,34.37,ই
-40.02,-8.89,31.63,28.29,15.25,-68.95,-4.41,18.15,34.73,35.14,ই
-37.49,-6.27,32.63,28.28,15.43,-66.76,-1.72,22.43,37.85,37.21,ই
-32.57,-1.3,38.48,33.25,19.58,-69.7,-2.47,23.79,40.17,37.98,ই
-25.59,6.05,46.58,39.76,25.28,-73.86,-3.98,25.35,42.51,38.09,ই
-24.01,8.97,50.96,43.87,27.61,-78.86,-8.27,20.16,39.19,35.44,ই
-23.85,11.26,54.6,49.41,30.33,-92.02,-19.98,-0.34,25.35,26.87,ই
-23.63,11.79,54.6,49.41,30.15,-91.77,-20.18,-0.31,25.3,26.86,ই
-24.52,10.62,53.35,48.34,29.39,-91.24,-19.68,0.5,25.53,27.07,ই
-30.35,4.46,47.28,44.08,26.19,-94.56,-22.44,-5.45,19.5,24.1,ই
-30.1,5.38,47.63,44.43,26.18,-94.0,-22.08,-4.57,20.16,24.45,ই
-31.12,4.74,46.95,44.46,26.27,-95.8,-23.14,-6.84,18.31,23.85,ই
-39.31,-2.79,37.74,35.98,19.99,-89.0,-18.31,-0.02,21.2,25.83,ই
-41.6,-4.4,34.07,32.39,17.72,-81.6,-13.28,6.4,25.62,28.83,ই
-43.66,-6.13,29.98,27.77,14.36,-73.73,-8.56,12.01,29.23,31.52,ই
-44.22,-6.31,30.34,28.39,15.13,-74.75,-8.91,11.47,28.95,31.56,ই
-37.62,-3.73,27.36,23.59,12.58,-56.73,5.02,29.88,42.85,41.37,ই
-28.1,2.94,29.62,24.0,14.89,-50.63,13.46,43.03,53.69,48.53,ই
-15.18,18.85,46.6,37.86,27.45,-61.57,9.2,50.34,62.2,51.01,ই
-41.6,-6.14,32.83,30.06,16.33,-81.27,-12.46,7.15,26.07,28.23,ই
-51.71,-16.0,21.11,21.79,9.74,-75.47,-11.03,7.08,24.45,28.45,ই
-33.99,1.93,39.32,35.42,21.55,-72.07,-3.3,21.74,39.22,37.65,ই
-48.76,-14.99,19.04,18.56,7.67,-59.42,0.25,19.49,33.43,35.11,ই
-54.65,-21.52,10.65,11.88,2.8,-50.77,2.58,19.72,32.18,34.47,ই
-61.17,-24.76,9.53,12.52,2.43,-63.42,-7.57,8.42,23.0,27.61,ই
-59.47,-22.78,11.32,13.81,3.37,-62.86,-6.29,10.07,24.69,28.93,ই
-49.18,-23.7,23.75,24.34,12.04,-73.03,-10.75,10.4,27.45,30.53,ই
-48.49,-22.63,24.71,24.77,12.23,-73.01,-10.2,11.03,28.09,30.93,ই
-45.67,-19.12,28.7,27.99,14.73,-75.25,-10.33,11.33,29.15,31.64,ই
-38.54,-17.86,12.3,6.73,-9.67,-84.64,-14.16,4.37,19.07,23.5,ই
-38.46,-16.04,14.87,10.02,-6.42,-85.14,-14.03,4.72,20.1,24.51,ই
-37.64,-14.21,20.75,15.47,-2.52,-84.84,-13.28,6.19,21.48,25.34,ই
-37.64,-7.28,20.95,15.36,-2.53,-83.89,-11.54,6.88,22.1,25.7,ই
-37.1,-0.16,21.58,15.82,-1.88,-83.94,-11.52,6.69,21.83,25.66,ই
-33.8,-3.7,24.61,17.63,-1.75,-83.09,-11.24,7.96,22.69,27.06,ই
-33.24,-12.64,24.89,21.42,2.83,-83.63,-12.11,7.55,25.14,28.72,ই
-28.16,-13.41,30.42,32.16,12.84,-83.55,-11.76,10.45,31.11,31.7,ই
-27.94,-9.85,28.42,30.45,11.58,-84.07,-11.1,10.11,30.21,31.35,ই
-29.42,-24.15,28.34,32.32,12.83,-84.03,-13.44,9.87,31.02,31.67,ই
-28.95,-24.02,28.76,32.48,12.98,-83.42,-12.73,10.44,31.44,31.76,ই
-29.92,-25.36,27.53,31.75,12.52,-83.39,-12.87,10.39,31.03,31.7,ই
-24.85,-17.64,23.59,23.39,8.66,-63.04,6.88,34.19,49.9,45.35,ই
-21.64,-14.78,27.77,27.48,12.42,-62.6,7.32,35.1,51.29,45.23,ই
-20.92,-13.35,28.89,28.39,14.29,-61.98,8.89,36.99,53.82,46.75,ই
-22.84,-22.41,26.97,27.11,13.38,-60.63,9.95,36.46,53.17,47.04,ই
-23.4,-19.52,26.24,26.62,12.98,-61.29,9.18,35.59,51.61,45.97,ই
-22.97,-17.66,26.25,26.03,12.26,-61.22,9.23,35.95,51.72,45.95,ই
-23.43,-18.37,25.7,25.09,11.54,-61.08,9.96,36.44,51.41,46.11,ই
-27.91,-2.74,20.85,21.38,7.49,-64.87,6.9,30.06,43.51,41.67,ই
-24.41,3.98,25.8,25.19,10.84,-65.04,8.67,33.0,46.69,43.1,ই
-25.6,-3.62,41.47,37.91,19.1,-67.91,-0.53,31.5,47.2,39.45,ই
-24.08,-0.13,43.95,39.3,20.23,-71.39,-0.33,31.38,47.84,39.75,ই
-23.81,-8.8,43.99,39.77,20.34,-72.62,-1.87,30.32,47.5,39.29,ই
-23.17,-5.07,44.4,39.64,20.53,-69.65,-0.9,32.22,48.06,39.81,ই
-43.68,-3.37,46.25,40.24,20.81,-63.27,-0.65,31.25,47.34,39.46,ই
-50.18,-15.38,38.15,34.88,15.27,-69.98,-4.21,19.22,37.38,35.04,ই
-50.83,-14.54,36.44,33.23,13.75,-70.69,-5.0,17.9,35.65,34.22,ই
-39.73,-12.82,32.75,30.32,11.23,-75.07,-6.89,14.52,31.02,31.51,ই
-57.38,-35.26,19.21,21.34,3.56,-80.23,-16.68,3.57,20.5,24.78,ই
-55.57,-37.76,18.92,20.95,3.93,-75.57,-10.11,9.25,25.15,28.07,ই
-48.73,-27.27,25.47,25.76,7.69,-77.52,-9.45,10.65,27.69,29.61,ই
-51.23,-28.85,21.65,22.4,5.3,-72.42,-5.26,13.42,28.96,30.49,ই
-39.55,-15.48,34.43,31.77,12.59,-75.54,-6.69,16.15,33.14,32.61,ই
-42.37,-15.39,30.57,28.66,10.07,-72.73,-5.5,16.77,32.66,32.58,ই
-41.45,-11.95,31.77,29.75,10.89,-73.69,-5.82,16.55,32.79,32.52,ই
-40.7,-10.24,32.25,29.9,11.14,-73.09,-5.3,17.49,33.51,33.13,ই
-41.39,-10.75,32.11,30.15,11.52,-72.9,-5.25,17.22,33.19,32.96,ই
-46.48,-21.88,29.64,28.78,10.06,-76.96,-11.67,12.14,28.33,29.77,ই
-44.52,-19.79,31.75,29.79,10.77,-75.33,-12.61,14.05,30.53,31.04,ই
-44.01,-19.2,32.32,30.35,11.26,-76.21,-11.9,13.33,30.12,30.82,ই
-44.19,-18.3,32.3,30.51,11.39,-76.38,-10.62,13.63,30.2,30.84,ই
-43.83,-17.0,32.42,30.54,11.47,-76.3,-10.23,13.85,30.58,31.1,ই
-42.98,-15.98,33.14,31.05,12.04,-75.96,-9.73,13.94,30.9,31.26,ই
-42.13,-14.71,33.98,31.63,12.44,-76.21,-9.75,14.43,31.29,31.42,ই
-43.39,-14.04,31.45,29.1,10.47,-72.88,-9.46,16.36,32.38,32.33,ই
-48.57,-19.31,24.3,23.62,6.55,-65.51,-4.05,18.93,33.21,33.52,ই
-44.61,-15.64,30.06,27.94,9.56,-72.73,-8.76,15.76,31.85,32.09,ই
-44.24,-14.56,30.74,28.63,10.47,-70.07,-8.4,16.17,32.73,32.55,ই
-43.63,-14.74,30.7,28.72,10.53,-70.02,-7.5,16.48,32.82,32.65,ই
-43.31,-14.03,31.05,28.97,10.89,-70.57,-7.89,16.46,32.97,32.7,ই
-42.9,-13.18,31.91,29.34,10.96,-70.39,-7.57,16.56,32.98,32.71,ই
-43.36,-13.62,31.38,28.93,10.73,-70.4,-7.58,16.29,32.75,32.64,ই
-43.6,-12.99,31.4,29.19,10.84,-70.48,-8.0,15.68,32.49,32.44,ই
-42.42,-11.99,31.73,29.12,10.94,-69.58,-6.25,17.88,34.11,33.51,ই
-41.51,-9.45,32.36,29.57,11.35,-68.92,-4.75,19.24,35.07,34.06,ই
-42.27,-11.66,27.04,24.76,8.08,-60.78,2.58,25.66,39.46,37.6,ই
-39.26,-10.89,20.99,19.96,4.54,-66.67,-1.15,23.2,36.13,36.17,ই
-41.05,-8.69,13.79,10.0,-3.1,-74.1,-9.39,12.59,25.4,29.71,ই
-37.76,-15.32,29.03,21.61,4.37,-80.47,-11.91,13.71,26.23,28.77,ই
-36.9,-13.99,38.93,31.2,11.58,-72.77,-8.35,22.21,32.54,31.21,ই
-38.55,-14.75,37.03,29.33,9.85,-75.34,-8.05,16.46,29.79,29.95,ই
-37.88,-11.14,37.98,30.08,10.29,-76.52,-7.74,17.29,30.19,30.29,ই
-37.75,-8.98,38.14,30.18,10.51,-76.73,-7.31,17.64,30.4,30.27,ই
-37.92,-14.45,37.74,30.1,10.45,-76.51,-6.87,17.75,30.9,30.66,ই
-38.02,-23.63,37.76,30.56,11.2,-75.51,-9.78,19.99,32.87,31.77,ই
-35.82,-27.1,37.76,31.0,11.98,-74.91,-3.6,24.3,35.92,33.52,ই
-36.0,-27.8,36.56,30.16,11.31,-74.55,-3.84,24.31,35.93,33.55,ই
-35.95,-25.12,36.56,30.13,11.53,-73.93,-2.98,25.48,36.91,34.18,ই
-35.5,-7.71,37.77,30.8,12.11,-73.51,-1.68,26.16,37.36,34.43,ই
-34.16,-5.18,39.64,31.9,12.99,-65.49,-1.17,27.93,38.68,35.03,ই
-33.32,-1.39,42.31,33.92,14.76,-59.8,-1.22,28.34,39.47,35.11,ই
-15.95,3.74,66.55,55.13,30.28,-79.35,-11.16,26.9,43.15,32.03,ই
-18.55,1.66,58.57,47.97,26.48,-71.7,-2.9,37.83,48.72,37.29,ই
-30.56,-5.26,53.99,46.37,22.86,-86.65,-19.5,1.05,22.31,23.92,ই
-34.28,-7.25,50.01,44.01,20.88,-90.87,-23.45,-5.72,16.34,20.85,ই
-39.46,-10.44,43.52,38.49,15.76,-91.58,-24.73,-6.52,13.91,19.64,ই
-44.57,-17.49,36.56,31.5,11.2,-77.58,-14.62,7.2,23.06,25.42,ই
-43.14,-14.74,36.05,30.37,10.69,-71.66,-9.7,13.58,27.89,28.63,ই
-40.53,-13.51,35.56,29.32,10.43,-64.37,-3.93,21.21,33.49,32.13,ই
-40.21,-13.94,35.81,29.75,10.8,-64.55,-4.17,21.1,33.37,32.2,ই
-38.6,-11.33,38.86,32.4,12.97,-66.63,-5.74,20.07,33.11,31.62,ই
-36.6,-5.46,40.68,33.55,13.6,-68.57,-6.89,20.36,33.54,31.72,ই
-35.25,-3.37,43.03,35.64,15.15,-70.33,-7.45,20.08,33.7,31.57,ই
-46.85,-11.84,40.88,32.02,10.45,-84.43,-17.97,3.44,19.1,22.77,ই
-44.98,-9.26,42.71,33.39,11.54,-83.72,-17.34,4.39,20.25,23.48,ই
-42.83,-7.89,44.09,34.67,13.12,-82.71,-15.75,7.47,22.96,25.06,ই
-43.68,-9.64,43.01,33.77,13.05,-83.31,-16.19,6.54,22.74,25.09,ই
-42.91,-9.77,43.43,34.18,13.37,-82.95,-16.01,7.33,23.06,25.4,ই
-43.59,-11.61,43.38,34.04,13.56,-82.18,-15.14,8.25,23.64,25.74,ই
-42.86,-9.77,44.39,34.77,14.24,-82.13,-14.82,8.79,24.31,26.02,ই
-46.77,-12.43,38.96,30.29,10.93,-78.15,-12.26,10.84,24.7,26.71,ই
-47.58,-22.81,24.86,18.66,2.27,-75.53,-10.22,11.66,24.43,27.11,ই
-44.6,-23.77,19.53,14.03,-0.75,-76.77,-9.63,12.21,23.69,27.31,ই
-44.57,-21.7,19.81,14.07,-0.5,-76.16,-9.04,12.76,24.13,27.58,ই
-42.35,-11.88,22.39,15.56,0.4,-75.81,-7.86,14.19,25.43,28.49,ই
-43.96,-13.31,24.36,15.57,-0.31,-63.26,-8.26,12.26,25.29,28.04,ই
-40.97,-18.25,16.42,9.93,-4.16,-54.62,-10.38,9.31,24.15,27.63,ই
-40.03,-17.23,17.67,10.36,-3.97,-52.34,-9.62,10.58,24.91,28.2,ই
