p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-26.51,-60.81,7.77,-0.86,-7.04,-65.88,-19.48,18.75,27.08,30.16,উ
-30.87,-61.52,0.82,-6.64,-11.67,-60.5,-13.89,18.27,25.11,28.09,উ
-31.09,-64.32,-5.82,-13.17,-17.57,-44.37,14.74,29.74,33.63,36.31,উ
-22.48,-60.73,7.4,-1.83,-7.69,-51.22,7.05,29.03,35.21,36.81,উ
-20.1,-60.51,8.61,-1.49,-1.3,-57.05,2.32,26.18,35.16,38.08,উ
-19.05,-58.5,9.25,0.39,-0.48,-55.15,4.69,29.36,37.39,38.5,উ
-19.98,-56.91,9.11,0.62,-0.58,-54.94,3.77,29.2,37.5,38.69,উ
-22.02,-65.64,7.25,-1.12,-1.97,-54.02,5.82,27.94,35.76,37.22,উ
-21.81,-63.72,7.66,-0.73,-1.7,-53.47,6.61,28.62,36.2,37.64,উ
-21.79,-66.2,6.17,-1.76,-2.47,-51.91,8.18,30.08,37.4,38.45,উ
-21.36,-64.92,6.8,-1.33,-2.1,-52.02,9.13,30.46,37.75,38.77,উ
-21.95,-64.61,5.99,-1.5,-2.05,-51.6,8.86,30.36,37.28,38.41,উ
-21.16,-62.9,6.58,-1.29,-1.87,-51.51,10.21,31.64,38.39,39.22,উ
-20.65,-62.21,7.15,-1.01,-1.74,-51.43,9.65,31.62,38.54,39.43,উ
-20.89,-62.56,6.91,-1.04,-1.83,-51.48,8.45,31.13,38.05,38.93,উ
-20.7,-62.35,7.3,-0.79,-1.4,-51.34,8.57,31.26,38.14,38.94,উ
-20.53,-62.05,7.36,-0.83,-1.32,-50.88,8.32,31.45,38.3,39.05,উ
-22.72,-66.46,5.3,-1.95,-2.01,-50.55,10.57,30.54,37.2,38.19,উ
-28.01,-73.23,3.48,-2.59,-4.8,-54.98,-46.11,18.2,27.53,31.3,উ
-30.98,-74.07,3.93,-0.71,-2.0,-58.1,-23.27,17.62,26.59,29.79,উ
-30.05,-75.34,6.29,0.93,-1.58,-59.71,-23.46,17.48,27.15,30.61,উ
-28.61,-73.16,7.52,1.72,-0.64,-59.71,-18.72,18.9,28.45,31.58,উ
-28.51,-72.05,6.6,0.83,-1.64,-57.63,-12.85,20.47,29.35,32.13,উ
-27.96,-71.68,6.1,0.25,-2.04,-56.32,-7.82,21.87,30.19,32.88,উ
-28.06,-71.53,5.9,0.21,-1.96,-56.07,-7.89,21.77,30.1,32.87,উ
-27.55,-70.67,6.34,0.37,-1.79,-55.49,-4.64,22.83,31.0,33.47,উ
-25.62,-69.59,6.73,0.28,-1.9,-54.91,-1.22,24.68,32.72,34.82,উ
-26.76,-70.11,6.03,0.01,-1.98,-54.85,-1.81,24.11,32.06,34.31,উ
-26.77,-68.68,6.09,0.48,-1.49,-54.11,3.85,25.68,33.49,35.15,উ
-32.87,-80.13,-7.17,-10.49,-10.47,-43.25,29.45,25.57,30.98,33.45,উ
-31.12,-76.15,-3.17,-7.61,-8.37,-45.44,20.85,26.52,32.32,34.5,উ
-25.07,-70.98,2.39,-3.2,-4.31,-48.48,14.8,29.53,35.59,36.81,উ
-25.27,-70.05,2.3,-3.39,-4.59,-47.39,17.48,30.5,36.15,37.51,উ
-26.56,-74.39,4.53,-1.51,-3.72,-51.48,3.66,26.88,33.84,35.98,উ
-27.99,-74.08,3.84,-1.53,-3.37,-52.29,-1.76,24.71,31.95,34.06,উ
-28.54,-74.93,1.25,-3.72,-5.25,-50.19,5.11,26.02,32.66,34.68,উ
-32.58,-79.3,4.31,0.22,-2.32,-58.35,-40.09,17.69,26.82,30.21,উ
-31.39,-79.36,3.73,-0.53,-2.91,-57.28,-39.42,18.48,27.2,30.5,উ
-30.36,-82.43,5.13,0.47,-2.12,-58.34,-67.75,18.39,27.41,30.73,উ
-29.87,-85.83,4.35,-0.86,-4.68,-62.0,-56.99,18.34,27.47,29.4,উ
-30.42,-85.39,4.36,-0.97,-5.06,-63.1,-52.34,17.83,26.92,29.34,উ
-30.23,-82.02,5.79,0.28,-4.3,-63.86,-39.24,17.37,26.62,29.45,উ
-30.68,-83.04,4.83,-0.21,-4.37,-63.03,-36.62,17.76,26.65,29.39,উ
-30.24,-83.44,5.16,-0.14,-4.14,-62.96,-36.82,17.86,26.87,29.52,উ
-30.01,-82.41,4.78,-0.34,-4.31,-62.13,-29.88,18.31,27.01,29.6,উ
-24.63,-65.97,11.13,4.83,1.13,-63.91,-17.24,20.0,29.74,32.82,উ
-26.6,-68.94,8.01,2.18,-1.3,-61.35,-11.79,21.53,30.35,33.16,উ
-24.25,-64.32,8.76,2.49,-0.85,-60.96,-8.83,23.83,32.12,34.58,উ
-23.14,-60.27,9.58,2.94,-0.72,-58.87,-7.2,25.45,33.53,35.44,উ
-14.09,-50.7,15.66,6.91,2.9,-55.39,5.68,35.58,41.89,40.79,উ
-13.31,-49.5,16.75,7.86,3.55,-56.11,3.64,35.5,42.16,40.84,উ
-13.78,-50.23,16.82,8.05,3.84,-56.18,4.3,35.3,41.97,40.91,উ
-15.87,-52.81,-2.84,-11.78,-9.29,-57.43,4.99,31.3,36.62,41.39,উ
-15.95,-52.77,-2.14,-11.13,-9.31,-57.88,4.63,30.96,36.53,40.71,উ
-26.04,-75.63,-1.15,-11.1,-12.68,-53.33,22.37,29.9,35.02,39.08,উ
-34.03,-87.27,-6.35,-12.97,-14.5,-62.7,-12.9,18.93,25.31,28.57,উ
-35.95,-81.86,-3.98,-9.71,-12.31,-69.78,-65.3,9.15,18.74,23.33,উ
-36.53,-78.5,-1.7,-6.66,-11.42,-69.87,-43.1,11.6,20.74,24.4,উ
-35.91,-74.58,0.71,-3.52,-8.56,-71.6,-36.59,11.5,21.08,24.71,উ
-35.77,-74.48,11.05,6.49,0.85,-70.84,-27.71,14.14,24.54,27.56,উ
-34.56,-61.54,23.21,14.47,6.34,-47.73,-16.36,15.71,26.27,28.85,উ
-33.67,-81.24,23.61,15.12,6.84,-55.1,-34.02,18.64,28.22,30.33,উ
-34.89,-70.59,21.98,14.48,6.29,-55.71,-17.39,19.18,28.69,30.82,উ
-36.27,-70.44,19.33,12.0,3.87,-54.95,-16.54,17.53,27.16,29.48,উ
-36.41,-65.08,11.78,5.57,-0.22,-58.31,-15.7,16.52,26.75,29.87,উ
-40.89,-65.48,0.09,-1.02,-7.06,-59.57,-15.6,16.38,25.17,28.74,উ
-36.44,-64.36,-2.93,-3.17,-8.47,-45.8,-12.0,16.72,25.15,28.41,উ
-38.7,-62.47,5.59,0.5,-6.99,-51.61,-8.61,17.32,25.64,29.39,উ
-36.86,-59.61,19.5,11.82,1.41,-60.86,-6.48,19.67,27.97,30.08,উ
