p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-35.96,-54.33,-70.1,16.77,6.34,-44.02,60.92,72.49,38.67,37.33,ঋ
-38.39,-57.27,-72.12,20.4,8.23,-51.05,52.53,57.19,35.21,34.99,ঋ
-49.11,-66.57,-79.38,11.66,0.68,-45.01,73.03,103.92,27.33,30.21,ঋ
-55.51,-75.3,-88.04,11.41,0.54,-51.73,60.44,117.11,21.22,25.27,ঋ
-50.06,-69.64,-82.62,16.26,3.89,-56.11,46.79,49.07,23.71,27.17,ঋ
-51.45,-67.59,-79.93,14.42,3.45,-51.86,58.44,76.33,26.22,28.73,ঋ
-45.58,-65.13,-78.0,15.62,4.59,-49.99,51.68,68.26,28.46,29.74,ঋ
-49.84,-68.11,-80.51,13.36,2.14,-49.0,53.56,76.28,26.35,28.9,ঋ
-52.79,-73.56,-82.8,11.5,0.49,-47.57,63.46,103.47,24.35,27.58,ঋ
-44.01,-73.75,-84.53,17.83,4.79,-60.69,46.9,74.39,25.34,28.7,ঋ
-46.86,-69.32,-85.51,13.85,1.3,-59.18,55.48,35.76,22.19,26.3,ঋ
-47.85,-70.43,-84.4,14.34,1.7,-59.82,54.56,37.26,22.08,26.19,ঋ
-46.55,-70.1,-82.54,15.55,2.61,-61.2,41.21,31.43,21.81,25.81,ঋ
-43.84,-65.9,-77.18,18.31,4.63,-63.81,30.01,22.98,22.93,26.39,ঋ
-46.02,-67.47,-78.8,16.46,3.43,-61.81,33.26,29.27,22.44,26.0,ঋ
-47.51,-68.66,-79.16,16.15,3.07,-62.65,33.49,25.71,21.88,25.54,ঋ
-51.03,-70.82,-82.31,8.17,-2.93,-48.69,67.96,100.61,23.58,27.22,ঋ
-48.52,-69.49,-81.8,10.14,-1.41,-51.93,55.94,74.61,24.47,27.8,ঋ
-48.66,-67.99,-79.93,10.27,-1.21,-51.09,54.98,74.57,25.56,28.47,ঋ
-48.77,-69.99,-81.93,12.06,0.21,-54.98,51.45,63.26,23.52,26.94,ঋ
-48.04,-68.57,-80.6,11.7,-0.03,-55.8,47.26,56.87,23.82,27.15,ঋ
-47.39,-68.28,-79.99,12.59,0.38,-56.05,45.55,45.56,24.25,27.37,ঋ
-47.25,-68.37,-79.56,12.52,0.34,-55.73,48.05,52.09,24.75,27.98,ঋ
-46.62,-67.04,-78.71,12.36,0.46,-55.78,46.32,50.6,24.83,27.78,ঋ
-46.9,-66.99,-78.74,12.24,0.21,-56.02,45.28,49.31,24.64,27.61,ঋ
-47.72,-67.79,-78.57,12.32,0.53,-57.01,46.34,50.76,24.49,27.54,ঋ
-47.53,-67.31,-78.45,11.85,-0.11,-55.74,45.46,47.24,24.32,27.33,ঋ
-47.01,-66.6,-77.4,12.47,0.33,-57.56,42.89,45.67,24.23,27.26,ঋ
-46.75,-65.45,-76.46,12.59,0.75,-56.88,41.64,45.21,24.66,27.49,ঋ
-45.37,-62.99,-73.98,13.43,1.09,-57.4,39.18,42.54,25.59,28.23,ঋ
-45.98,-62.19,-72.84,13.98,1.63,-57.83,36.69,40.3,25.64,28.0,ঋ
-45.8,-63.07,-73.88,13.42,1.32,-57.83,37.66,41.2,25.62,28.06,ঋ
-44.99,-61.27,-72.2,13.44,1.2,-56.29,38.17,41.86,26.67,28.81,ঋ
-44.18,-60.25,-70.79,14.53,1.99,-57.66,33.64,35.66,26.31,28.37,ঋ
-45.95,-60.68,-71.65,13.08,1.04,-55.88,36.33,40.09,26.58,28.65,ঋ
-45.72,-61.67,-72.31,12.52,0.56,-52.89,36.77,40.16,26.46,28.59,ঋ
-46.84,-62.49,-73.02,12.14,0.43,-55.89,38.43,41.08,26.03,28.24,ঋ
-49.5,-65.94,-76.33,12.57,0.15,-59.23,33.68,29.49,22.3,25.73,ঋ
-48.12,-67.13,-77.23,13.28,0.73,-59.46,37.97,39.74,23.09,26.26,ঋ
-53.02,-76.44,-87.0,9.36,-2.7,-57.1,56.36,64.01,19.71,24.14,ঋ
-52.63,-74.7,-85.6,8.95,-3.05,-54.99,56.65,68.43,20.5,24.57,ঋ
-51.73,-73.61,-83.82,11.65,0.0,-59.51,41.2,35.42,19.89,24.16,ঋ
-52.67,-72.46,-83.86,8.34,-3.64,-52.97,53.94,68.41,22.03,25.89,ঋ
-54.09,-74.02,-85.11,8.2,-3.8,-53.84,52.83,65.14,20.34,24.72,ঋ
-53.44,-72.86,-84.07,8.36,-3.52,-53.56,50.07,61.42,20.98,24.97,ঋ
-53.54,-72.98,-84.53,8.72,-3.55,-54.18,46.8,54.61,20.58,24.77,ঋ
-53.52,-74.91,-86.21,10.62,-1.94,-57.92,48.64,56.93,19.55,24.21,ঋ
-52.69,-75.12,-86.52,10.74,-2.1,-58.05,42.6,31.2,19.62,23.97,ঋ
-52.76,-74.64,-86.12,11.03,-1.83,-58.09,41.15,33.52,19.47,23.9,ঋ
-52.39,-72.95,-84.34,11.11,-1.87,-56.54,43.63,48.74,20.99,25.08,ঋ
-48.04,-72.61,-83.7,15.87,2.17,-63.77,34.43,29.71,21.03,24.57,ঋ
-46.02,-70.08,-81.22,17.56,3.17,-66.41,24.02,15.23,21.33,24.84,ঋ
-46.86,-69.31,-80.66,17.4,3.84,-64.85,26.55,40.67,22.91,26.23,ঋ
-41.85,-66.63,-76.89,18.97,3.77,-64.01,13.09,22.05,23.4,25.99,ঋ
-47.02,-70.17,-79.93,14.15,0.79,-57.32,33.79,60.01,24.11,26.56,ঋ
-49.3,-74.42,-81.1,11.86,-2.11,-57.37,42.19,79.87,23.91,27.77,ঋ
-50.06,-73.12,-79.58,9.69,-3.36,-51.72,49.42,94.28,24.92,27.75,ঋ
-48.97,-71.77,-78.15,9.51,-3.44,-49.94,50.32,93.6,26.43,28.51,ঋ
-40.79,-66.8,-77.08,24.29,10.42,-63.34,28.76,62.83,32.94,31.64,ঋ
-38.45,-71.67,-79.41,26.73,12.01,-65.1,30.51,73.34,34.78,30.42,ঋ
-36.78,-72.27,-78.99,23.52,9.34,-64.83,30.79,78.35,33.62,30.85,ঋ
-35.14,-69.57,-77.2,24.96,10.41,-65.99,27.08,77.38,34.97,30.87,ঋ
-38.8,-70.78,-77.89,24.39,9.64,-59.98,26.66,76.7,34.02,30.79,ঋ
-39.08,-69.68,-78.25,23.03,8.69,-58.66,23.33,73.35,33.65,30.96,ঋ
-37.86,-68.42,-74.16,23.35,9.44,-57.17,32.79,82.15,34.67,31.34,ঋ
-38.25,-69.0,-78.34,29.01,12.67,-66.79,2.72,37.82,29.1,27.15,ঋ
-38.57,-68.21,-77.91,28.46,12.24,-63.88,4.33,40.9,29.75,27.48,ঋ
-41.12,-71.38,-80.96,26.11,9.88,-65.81,0.85,39.6,26.63,25.9,ঋ
-40.77,-69.52,-80.35,26.33,9.95,-64.9,0.04,37.77,26.81,26.35,ঋ
-37.28,-70.25,-79.96,22.69,7.21,-61.99,14.08,64.54,29.08,28.15,ঋ
-38.92,-70.49,-80.93,24.58,8.29,-65.0,4.57,46.83,27.68,26.98,ঋ
-38.5,-71.28,-81.41,23.69,7.95,-63.11,6.64,51.51,28.42,27.48,ঋ
