p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-4.14,43.45,41.65,28.57,16.72,-72.25,6.63,49.63,42.59,37.67,এ
1.54,49.61,48.44,34.04,20.62,-74.3,3.3,50.51,43.34,37.05,এ
-8.85,36.58,40.88,29.01,14.4,-88.06,-13.53,23.31,23.85,25.33,এ
-9.32,36.41,41.64,29.37,15.21,-88.31,-13.33,24.7,25.0,25.9,এ
-21.45,24.21,25.0,15.26,4.79,-80.38,-2.46,30.46,27.28,27.71,এ
-3.6,31.18,33.2,21.81,11.33,-93.42,-6.39,24.63,22.98,26.29,এ
-5.58,31.32,35.0,23.37,12.47,-94.05,-8.47,23.33,22.65,25.97,এ
0.28,32.29,36.8,25.23,13.67,-98.78,-9.94,22.34,22.21,25.54,এ
-3.49,33.34,37.03,25.1,13.91,-95.09,-7.36,25.69,24.38,26.98,এ
-3.87,33.39,37.44,25.65,14.55,-95.9,-7.94,25.24,24.17,26.91,এ
-2.47,26.32,31.72,21.7,11.69,-99.86,-10.56,19.34,20.31,24.17,এ
-6.65,29.14,33.02,22.15,11.92,-96.25,-7.3,23.97,23.07,26.13,এ
-6.84,31.46,34.93,23.6,12.92,-94.67,-7.33,25.1,23.96,26.6,এ
-6.94,32.1,35.98,24.66,13.84,-95.29,-7.12,25.43,24.43,26.92,এ
-2.83,32.49,38.21,26.66,14.63,-97.74,-14.59,17.58,19.3,23.59,এ
-5.84,31.16,36.94,26.01,14.71,-98.63,-12.51,19.12,20.2,24.21,এ
-10.47,27.18,32.3,22.31,11.85,-98.94,-12.28,17.26,18.14,22.79,এ
-11.21,27.93,32.48,22.29,11.76,-98.35,-10.8,19.4,19.6,23.92,এ
-10.8,28.31,33.36,22.77,12.01,-98.36,-11.13,19.08,19.51,23.86,এ
-10.49,30.02,33.72,22.93,12.77,-94.7,-8.73,22.22,21.62,25.16,এ
-9.9,29.5,33.84,23.68,13.03,-97.03,-9.36,21.47,21.5,25.61,এ
-5.57,29.65,36.05,25.44,14.19,-102.84,-14.44,16.05,17.54,22.45,এ
