p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
11.89,32.45,45.09,31.86,-12.44,-82.94,7.06,53.61,49.93,37.45,ঐ
11.58,31.67,44.25,31.28,-12.54,-83.9,7.6,53.06,49.51,38.05,ঐ
10.94,33.76,45.6,32.78,-22.43,-81.53,8.15,54.03,49.12,46.7,ঐ
11.92,33.8,46.83,33.92,-21.62,-85.9,6.39,52.24,48.86,45.18,ঐ
11.3,25.18,34.74,23.32,-15.69,-81.37,5.52,42.74,46.55,39.6,ঐ
8.45,22.73,26.83,18.94,-13.55,-79.7,5.59,37.25,44.27,39.16,ঐ
8.53,25.12,32.5,22.34,-12.92,-82.89,6.34,40.42,44.9,39.15,ঐ
7.82,31.85,37.53,26.57,-8.6,-69.19,8.58,46.32,50.46,39.56,ঐ
12.7,32.95,38.46,28.25,-6.76,-69.09,8.04,48.2,51.57,37.72,ঐ
12.09,34.63,40.34,30.6,-7.87,-72.96,8.26,49.25,51.39,36.44,ঐ
10.4,34.05,41.85,31.3,-3.03,-72.07,7.52,49.98,51.66,35.19,ঐ
9.95,31.8,39.65,30.08,-6.64,-70.96,7.62,49.49,50.52,34.66,ঐ
10.3,32.22,39.72,29.33,-19.63,-70.66,7.88,49.79,50.84,45.64,ঐ
8.78,30.12,37.8,27.72,-16.13,-69.69,10.62,51.19,53.18,47.68,ঐ
8.32,30.83,39.79,29.88,-16.49,-73.17,7.8,48.02,51.02,44.71,ঐ
7.79,27.96,40.72,31.42,-20.68,-82.08,-0.5,36.43,42.09,38.7,ঐ
4.16,23.22,36.86,29.0,-24.21,-83.88,-1.75,32.36,39.18,39.46,ঐ
10.37,28.21,44.15,34.74,-21.09,-86.51,-7.51,28.59,36.6,33.63,ঐ
11.51,32.81,46.98,36.75,-16.44,-81.04,-3.02,37.69,43.57,36.46,ঐ
16.87,37.47,56.7,45.95,-13.87,-88.27,-14.18,26.65,36.89,28.53,ঐ
9.57,34.58,49.74,38.98,-15.97,-82.65,-6.02,34.89,41.18,33.52,ঐ
9.22,38.34,49.86,38.52,-12.67,-75.02,1.23,45.41,48.56,37.17,ঐ
9.62,39.78,50.88,39.0,-11.36,-73.43,1.58,47.72,49.49,36.82,ঐ
8.65,36.21,48.83,37.12,-15.37,-80.16,-1.0,41.53,44.94,36.8,ঐ
13.19,31.3,49.36,36.98,-21.35,-91.09,-13.34,22.17,30.81,29.3,ঐ
13.13,37.26,52.9,39.96,-16.66,-84.77,-8.71,32.53,38.24,32.2,ঐ
12.82,36.27,53.65,40.31,-18.32,-86.81,-12.79,25.64,33.21,29.05,ঐ
12.07,36.68,54.31,41.44,-17.61,-88.71,-13.57,24.61,32.44,28.62,ঐ
11.93,36.13,54.33,41.65,-17.87,-89.57,-14.15,23.25,31.36,28.33,ঐ
14.7,35.72,56.37,43.72,-18.47,-94.64,-20.95,12.91,24.95,23.92,ঐ
15.36,36.51,57.97,44.68,-17.15,-95.14,-22.36,11.73,24.62,23.6,ঐ
30.62,36.76,58.8,45.37,-22.97,-101.6,-26.39,0.74,13.69,18.0,ঐ
30.08,36.46,59.69,47.11,-21.37,-106.3,-27.61,-0.95,13.51,18.7,ঐ
29.03,35.14,57.61,45.34,-22.64,-109.49,-27.34,-1.43,12.44,17.99,ঐ
23.77,40.47,61.81,47.49,-18.87,-98.25,-23.18,9.91,21.17,21.61,ঐ
26.73,40.75,62.05,45.52,-31.45,-99.45,-23.91,8.5,21.43,27.78,ঐ
22.52,41.42,62.45,46.2,-26.09,-97.49,-21.64,13.23,23.49,26.79,ঐ
22.88,38.64,59.77,44.29,-29.5,-100.01,-22.8,8.57,19.22,22.92,ঐ
22.62,40.02,61.12,45.49,-28.48,-99.99,-22.72,10.64,20.66,23.32,ঐ
22.54,39.92,61.39,45.41,-28.16,-99.52,-22.55,10.42,20.45,23.62,ঐ
22.69,40.9,62.26,46.51,-27.01,-99.25,-22.52,10.59,21.14,23.2,ঐ
24.59,41.44,62.83,46.89,-27.5,-98.52,-22.58,11.08,21.3,23.68,ঐ
24.58,41.25,63.11,47.35,-26.68,-99.76,-23.25,10.17,20.73,23.47,ঐ
24.08,41.79,63.35,47.27,-26.67,-99.44,-23.24,10.85,21.12,23.4,ঐ
23.56,41.26,63.12,47.35,-26.63,-99.04,-23.17,10.28,20.85,23.1,ঐ
24.45,42.2,63.71,47.8,-26.5,-98.49,-24.27,9.46,20.57,22.56,ঐ
21.97,38.69,60.47,45.19,-27.91,-102.03,-25.07,5.15,17.78,22.09,ঐ
20.21,32.58,55.61,43.21,-29.94,-107.42,-26.34,-1.31,12.96,20.88,ঐ
18.51,28.19,50.78,38.89,-33.28,-109.82,-28.09,-5.44,9.05,17.19,ঐ
16.02,33.86,54.87,38.65,-34.56,-101.57,-22.1,7.11,18.21,24.78,ঐ
14.46,31.35,54.01,37.22,-36.03,-104.49,-22.12,5.78,20.01,30.6,ঐ
17.27,34.42,55.7,36.46,-36.94,-100.06,-22.79,7.1,19.63,27.06,ঐ
15.86,34.05,54.99,35.97,-36.32,-100.51,-21.92,8.64,20.5,28.2,ঐ
15.65,35.0,55.84,36.66,-35.63,-99.57,-21.1,9.96,21.08,29.02,ঐ
15.04,34.49,55.64,36.56,-35.0,-99.41,-21.85,8.44,20.29,27.79,ঐ
14.73,35.51,56.17,36.74,-34.61,-98.67,-20.86,11.03,21.53,28.64,ঐ
14.09,35.04,56.24,37.24,-33.2,-98.7,-21.13,10.34,21.15,28.71,ঐ
7.52,32.21,50.83,32.23,-37.02,-97.09,-14.05,18.65,25.86,38.88,ঐ
8.32,27.56,47.96,30.97,-38.32,-103.56,-19.41,8.64,19.9,30.02,ঐ
-0.35,22.79,42.31,25.81,-41.75,-102.52,-16.68,10.8,19.96,31.65,ঐ
1.82,27.45,41.62,24.23,-30.97,-89.05,-3.32,30.8,33.3,39.73,ঐ
0.88,25.66,42.09,25.21,-30.51,-94.16,-7.53,24.93,31.13,35.67,ঐ
3.65,17.74,37.01,23.55,1.37,-91.34,-12.31,19.59,27.61,25.55,ঐ
4.2,20.68,36.22,32.61,-0.76,-89.9,-11.85,19.67,33.69,26.91,ঐ
5.53,34.38,46.97,40.96,-26.05,-87.62,-11.09,25.49,42.7,38.73,ঐ
3.54,34.33,50.04,39.88,-27.17,-87.21,-12.47,25.39,38.83,35.76,ঐ
6.88,32.58,53.77,44.38,-34.37,-99.83,-27.56,0.58,19.69,19.62,ঐ
2.1,34.69,51.31,38.57,-37.81,-99.84,-20.9,11.56,15.48,4.5,ঐ
3.12,35.66,53.26,39.81,-36.76,-99.68,-23.08,7.96,12.94,3.42,ঐ
9.01,29.63,45.56,36.23,-29.71,-92.13,-10.39,24.92,31.49,19.43,ঐ
7.31,29.05,45.25,37.03,-32.31,-92.89,-11.08,23.54,30.49,18.81,ঐ
4.87,20.8,40.32,28.17,-34.97,-92.63,-11.05,21.35,30.55,41.64,ঐ
3.6,22.42,42.58,34.34,-27.75,-93.09,-20.15,9.7,22.39,17.15,ঐ
-4.37,21.36,40.76,32.85,-29.72,-93.49,-15.09,15.41,25.35,24.07,ঐ
-13.44,13.54,30.97,24.44,-41.08,-93.73,-12.45,14.76,24.06,27.57,ঐ
-12.95,15.63,34.57,28.41,-34.39,-95.28,-12.86,15.63,24.79,26.72,ঐ
-11.54,25.71,36.61,28.21,-24.29,-74.21,7.2,43.56,46.18,43.37,ঐ
-10.77,26.3,37.58,28.84,-24.99,-74.67,5.71,42.91,45.36,42.53,ঐ
-11.37,23.54,37.8,29.58,-25.95,-80.5,-0.23,34.85,38.37,36.1,ঐ
-7.6,28.38,42.34,31.83,-24.66,-78.51,-2.53,35.08,39.56,35.04,ঐ
-13.01,23.36,35.75,26.61,-24.45,-76.64,2.96,38.63,41.66,39.75,ঐ
