p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-15.98,25.06,30.91,15.73,2.34,-20.7,0.85,29.07,28.44,31.58,ও
-14.11,27.6,32.44,17.2,10.11,-26.47,2.27,33.21,32.2,36.89,ও
-15.78,25.88,31.0,16.56,9.07,-26.32,0.68,31.04,30.63,35.72,ও
-14.32,24.52,28.67,14.59,7.46,-22.45,5.48,36.3,34.1,38.11,ও
-15.99,23.29,27.86,14.29,7.04,-22.86,4.35,34.64,33.29,37.52,ও
-11.71,24.51,28.72,14.84,9.07,-23.3,4.56,35.01,33.38,37.08,ও
-22.86,21.29,26.26,11.63,0.78,-19.29,-7.31,18.86,20.89,28.3,ও
-26.16,20.62,26.94,12.71,1.69,-22.5,-12.31,12.69,16.73,25.19,ও
-32.56,15.87,22.57,9.73,-0.64,-23.88,-16.39,6.9,12.14,21.98,ও
-19.04,19.54,21.9,7.36,-1.94,-13.21,0.51,27.15,26.78,33.1,ও
-33.69,5.83,11.29,0.56,-6.29,-10.45,-1.81,20.66,21.9,29.82,ও
-33.73,14.03,24.81,12.1,-1.66,-29.76,-9.49,15.79,18.73,27.27,ও
-19.58,24.87,32.82,17.14,2.09,-30.72,-1.15,29.32,27.32,32.31,ও
-19.98,23.53,30.79,17.11,1.14,-37.81,-0.03,29.13,25.34,30.52,ও
-17.97,25.76,33.66,18.93,2.68,-38.23,0.31,30.53,27.75,31.19,ও
-20.12,25.23,33.99,19.23,2.8,-39.76,-3.0,26.74,25.38,29.42,ও
-18.01,25.18,32.63,17.95,1.92,-37.19,0.13,30.36,28.61,32.02,ও
-12.76,29.56,36.1,20.83,5.12,-37.95,3.41,36.03,31.97,33.61,ও
-11.7,30.88,37.23,21.71,5.72,-38.64,3.96,37.38,33.21,34.38,ও
-17.38,25.9,33.74,18.96,3.39,-37.37,0.43,31.51,29.02,31.65,ও
-9.23,27.7,31.71,16.99,2.92,-32.44,10.5,42.38,36.33,37.02,ও
-10.43,27.06,31.25,16.26,1.74,-32.14,8.85,41.15,35.9,37.37,ও
-16.69,24.03,30.31,15.88,0.36,-33.1,2.71,32.69,30.24,33.7,ও
-24.72,22.04,31.62,16.46,-1.1,-35.48,-9.44,16.67,18.58,25.64,ও
-23.8,23.47,32.21,16.22,-0.81,-30.7,-4.9,23.07,23.58,29.76,ও
-11.44,27.57,32.4,14.73,0.06,-25.11,3.57,34.23,30.59,33.27,ও
-19.93,22.54,28.88,13.18,-3.76,-27.76,-3.94,22.04,22.21,28.67,ও
-31.35,19.79,30.42,15.98,-2.29,-34.33,-17.23,6.71,11.99,21.15,ও
-27.29,23.03,32.22,16.22,-2.38,-27.98,-14.71,10.8,15.1,23.71,ও
-25.92,23.75,32.87,16.66,-2.13,-28.38,-14.2,11.34,15.39,23.84,ও
-27.38,22.25,31.3,15.61,-2.89,-28.52,-15.13,9.92,14.26,23.05,ও
-27.21,22.2,31.15,15.5,-2.89,-28.03,-15.04,10.02,14.55,23.31,ও
-25.67,23.98,33.27,16.83,-2.08,-28.14,-15.2,10.33,14.86,23.67,ও
-24.6,25.07,32.99,16.58,-2.08,-25.56,-15.17,10.13,14.66,23.69,ও
-23.93,25.44,33.16,16.56,-2.26,-25.41,-14.02,11.41,15.58,24.22,ও
-24.7,24.32,32.34,16.12,-2.29,-25.07,-14.22,10.9,15.23,23.96,ও
-22.18,28.07,36.39,19.44,0.54,-28.91,-14.5,12.19,16.38,24.4,ও
-23.21,25.4,33.31,17.08,-0.97,-29.53,-11.52,15.6,18.54,26.17,ও
-27.81,15.19,21.87,8.47,-6.43,-20.44,-5.71,18.35,19.45,27.19,ও
-15.61,20.06,22.16,7.67,-6.27,-13.88,7.25,34.45,31.34,36.62,ও
-29.16,13.86,22.71,11.35,0.62,-22.03,-5.83,18.99,20.62,28.65,ও
