p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-44.72,-1.32,11.16,6.64,-48.11,-104.07,-32.67,-11.81,4.48,16.53,ঔ
-43.84,-0.84,11.71,7.32,-47.54,-104.72,-32.93,-12.14,4.09,15.13,ঔ
-45.6,-3.06,9.06,4.96,-49.66,-104.38,-32.21,-11.59,4.15,16.66,ঔ
-55.13,-13.2,-3.56,-4.36,-59.31,-94.76,-26.72,-7.59,5.43,20.01,ঔ
-53.55,-9.4,1.99,0.49,-56.64,-99.05,-26.6,-7.74,6.72,25.3,ঔ
-54.89,-8.01,4.24,0.84,-56.08,-91.36,-26.93,-7.47,6.77,25.62,ঔ
-60.78,-14.48,-3.86,-6.18,-63.33,-86.13,-24.81,-6.19,6.4,27.5,ঔ
-50.21,-5.85,2.65,-2.83,-62.76,-83.87,-28.79,-9.48,3.86,10.36,ঔ
-52.57,-7.04,4.16,-0.13,-54.74,-85.56,-23.52,-3.96,9.61,28.95,ঔ
-52.0,-6.35,4.91,0.3,-53.86,-85.19,-23.34,-3.22,10.08,30.08,ঔ
-53.57,-8.33,2.25,-1.96,-55.64,-82.15,-21.65,-1.63,10.93,33.24,ঔ
-56.3,-11.5,-1.15,-4.54,-57.01,-78.44,-19.92,-0.3,11.56,36.82,ঔ
-59.7,-14.21,-3.09,-4.65,-61.88,-91.2,-26.72,-8.19,5.09,22.64,ঔ
-52.97,-8.17,2.94,0.73,-55.67,-91.4,-25.52,-5.92,8.19,28.98,ঔ
-54.38,-9.62,2.05,0.24,-55.26,-91.57,-25.22,-5.44,8.36,29.39,ঔ
-54.25,-9.49,2.47,0.71,-54.84,-91.78,-24.91,-5.24,8.46,29.75,ঔ
-56.18,-11.1,0.34,-0.94,-56.64,-92.22,-26.03,-6.74,7.01,28.08,ঔ
-57.27,-12.17,-0.77,-2.45,-58.44,-86.33,-24.27,-5.18,8.04,30.28,ঔ
-56.16,-10.7,0.0,-2.51,-56.09,-81.66,-21.76,-2.26,10.53,36.4,ঔ
-52.33,-6.8,4.24,0.82,-52.28,-83.73,-21.87,-1.58,11.62,34.39,ঔ
-50.14,-5.19,7.03,5.03,-52.95,-88.95,-23.17,-2.36,10.97,29.72,ঔ
-50.56,-3.7,8.57,5.92,-50.6,-84.93,-22.88,-2.2,11.42,30.76,ঔ
-52.55,-2.12,10.02,6.49,-48.72,-70.59,-22.22,-1.31,12.61,29.8,ঔ
-52.8,-1.62,10.4,7.01,-48.76,-67.85,-22.46,-1.6,12.3,28.69,ঔ
-52.38,-1.01,11.19,7.51,-48.15,-66.23,-22.5,-1.44,12.57,29.22,ঔ
-51.88,-0.12,12.13,7.94,-47.73,-65.76,-22.59,-1.3,12.69,28.91,ঔ
-51.83,-0.61,11.34,7.4,-47.73,-64.48,-21.84,-0.8,13.03,29.61,ঔ
-51.69,-0.24,11.96,7.88,-47.78,-64.69,-21.77,-0.43,13.22,29.62,ঔ
-49.77,-0.89,10.2,5.89,-47.65,-58.73,-17.63,4.4,16.38,35.37,ঔ
-49.52,-0.21,10.94,6.61,-47.02,-60.65,-18.11,3.63,16.15,34.27,ঔ
-50.62,0.07,12.21,8.12,-46.18,-65.43,-20.16,1.66,15.01,31.93,ঔ
-50.73,2.55,16.5,12.69,-45.68,-83.61,-30.11,-9.22,7.24,18.2,ঔ
-48.83,4.0,18.28,14.58,-43.29,-87.94,-32.14,-11.71,5.39,14.8,ঔ
-54.46,-1.16,12.88,10.68,-46.5,-87.1,-31.73,-12.18,4.32,15.22,ঔ
-59.45,-7.02,6.16,5.46,-50.66,-85.64,-29.81,-10.96,4.31,16.11,ঔ
-58.57,-7.67,4.52,3.3,-50.93,-79.26,-26.1,-6.87,6.79,19.36,ঔ
-59.7,-8.72,3.58,2.75,-50.93,-82.32,-27.38,-8.34,5.48,16.82,ঔ
-59.16,-8.02,4.89,4.48,-49.48,-94.12,-32.1,-13.37,1.63,9.68,ঔ
-61.33,-10.93,1.77,2.06,-51.03,-93.85,-31.6,-13.16,1.52,9.73,ঔ
-56.35,-6.54,9.13,9.53,-38.44,-98.16,-23.24,-2.92,12.11,26.78,ঔ
-54.05,-6.03,6.01,4.49,-47.42,-89.56,-25.72,-5.56,7.73,17.59,ঔ
-47.52,0.7,12.98,9.31,-45.48,-87.92,-25.1,-4.15,9.88,22.61,ঔ
-54.57,-6.96,4.74,2.87,-52.82,-92.1,-27.18,-7.49,6.24,19.49,ঔ
-66.38,-18.63,-8.91,-7.97,-64.17,-76.07,-21.33,-3.77,7.1,24.29,ঔ
-68.16,-20.16,-10.13,-8.73,-62.36,-75.36,-21.13,-3.87,7.23,27.28,ঔ
-64.82,-17.71,-8.23,-7.78,-58.57,-74.22,-20.6,-2.84,7.93,21.94,ঔ
-68.16,-20.02,-9.76,-7.76,-58.15,-81.43,-22.31,-5.15,6.17,19.93,ঔ
-57.31,-12.11,-3.04,-3.58,-54.55,-78.57,-18.29,0.82,10.89,26.8,ঔ
-55.55,-10.13,-0.18,-1.38,-50.69,-80.87,-18.4,1.12,12.42,28.81,ঔ
-51.65,-6.19,4.65,2.64,-46.49,-85.46,-20.14,0.03,12.19,26.36,ঔ
-47.32,-2.31,8.65,5.63,-43.87,-86.83,-20.75,0.47,12.99,25.4,ঔ
-44.97,-2.24,8.53,5.7,-46.74,-84.45,-19.37,2.49,14.55,26.51,ঔ
-50.75,-4.61,5.25,1.61,-51.47,-85.23,-18.84,3.35,18.7,52.65,ঔ
-46.68,-3.2,7.29,6.72,-47.26,-79.44,-14.49,8.92,23.18,54.06,ঔ
-48.62,-4.58,5.33,4.9,-49.88,-78.56,-13.78,9.11,22.48,55.79,ঔ
-62.22,-18.9,-11.01,-7.56,-58.8,-68.52,-10.91,8.61,18.91,72.82,ঔ
-62.85,-18.98,-10.5,-6.57,-60.9,-73.06,-13.62,5.84,16.78,66.87,ঔ
-58.29,-15.02,-3.12,2.95,-63.56,-106.92,-26.92,-7.23,6.89,23.86,ঔ
-53.01,-10.04,1.62,6.25,-57.92,-99.97,-24.28,-3.27,10.36,28.39,ঔ
-41.97,0.64,13.23,15.15,-48.06,-96.7,-22.67,0.26,14.19,25.65,ঔ
-34.81,6.92,18.8,18.1,-43.47,-90.41,-16.2,8.96,21.1,31.5,ঔ
-42.68,-3.94,0.44,1.68,-40.66,-80.86,-21.8,-0.8,10.63,19.33,ঔ
-51.33,4.12,12.16,14.79,-33.18,-88.83,-19.23,2.32,13.56,16.96,ঔ
-50.03,4.7,14.39,18.64,-36.31,-91.1,-18.56,2.34,11.98,10.39,ঔ
-66.03,-11.66,-3.01,5.28,-46.2,-103.23,-18.7,-1.07,6.86,1.99,ঔ
-69.4,-14.64,-6.05,2.86,-48.05,-107.47,-18.26,-1.44,6.22,1.13,ঔ
-68.98,-13.97,-5.71,2.97,-47.83,-104.96,-17.6,-0.51,7.09,2.24,ঔ
-68.92,-14.78,-7.92,-1.82,-61.49,-99.44,-16.2,0.97,8.18,19.16,ঔ
-64.81,-13.02,-5.04,-0.08,-59.82,-103.49,-17.09,1.54,10.04,22.91,ঔ
-60.03,-9.73,0.43,5.44,-53.54,-112.83,-21.54,-3.01,7.03,16.2,ঔ
-54.17,-3.39,6.14,8.86,-51.06,-102.81,-24.3,-4.81,5.98,12.74,ঔ
-53.28,-0.17,10.4,12.38,-44.67,-100.56,-21.97,-1.64,9.27,17.82,ঔ
-50.37,0.92,10.95,13.27,-40.48,-98.77,-21.66,-0.9,9.66,21.88,ঔ
-47.78,1.24,11.1,12.76,-42.26,-95.54,-20.69,-0.03,10.47,21.82,ঔ
