serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-13.91,-16.31,8.28,2.17,17.08,-25.30,55.19,84.72,78.54,81.26
2,-14.68,-14.39,7.82,1.82,15.50,-27.34,52.47,82.61,76.31,79.49
3,-13.32,-13.41,8.52,2.33,16.46,-26.56,51.76,83.18,77.14,80.32
4,-13.63,-13.06,7.87,1.60,15.86,-25.97,52.34,84.06,77.82,81.27
5,-16.42,-16.90,4.39,-1.06,12.40,-28.44,53.23,81.56,74.86,78.69
6,-20.10,-20.10,1.18,-3.95,8.77,-29.92,55.53,79.76,72.84,77.24
7,-24.27,-24.78,-3.14,-7.92,3.47,-32.84,57.09,76.52,69.62,75.29
8,-26.94,-27.75,-6.42,-10.29,0.89,-33.48,59.27,75.39,67.88,73.76
9,-25.83,-27.66,-4.88,-9.53,0.25,-35.16,57.51,76.12,68.86,74.57
10,-24.47,-26.52,-4.39,-9.66,-1.09,-33.01,57.91,77.03,70.38,74.88
11,-24.29,-25.97,-4.35,-8.90,-0.55,-33.00,55.96,77.06,69.50,74.61
12,-23.16,-23.41,0.90,-6.44,-0.19,-31.30,54.86,79.02,72.00,74.61
13,-21.57,-26.63,-0.22,-7.10,-0.76,-28.81,55.02,80.55,73.13,74.22
14,-17.38,-23.86,8.66,0.73,6.30,-33.78,46.58,79.16,73.60,73.29
15,-19.64,-24.10,3.56,-3.18,4.29,-30.20,54.28,80.64,75.48,77.19
16,-19.93,-23.32,0.32,-6.50,2.68,-26.70,56.66,83.52,77.57,79.39
17,-20.33,-24.84,1.50,-5.28,3.28,-30.11,53.50,80.58,74.59,77.06
18,-18.92,-25.81,4.28,-2.35,4.93,-33.89,49.30,77.32,72.10,74.48
19,-19.92,-26.36,2.99,-3.49,3.51,-32.84,50.82,77.94,72.20,74.73
20,-20.13,-25.01,2.71,-3.88,3.68,-31.74,51.36,78.80,73.40,75.79
21,-22.52,-23.93,-1.87,-8.39,0.32,-26.16,57.62,82.46,76.07,79.07
22,-17.37,-19.96,5.42,-1.60,7.13,-29.48,49.29,82.04,76.52,78.64
23,-10.46,-13.38,10.52,2.59,13.82,-26.76,46.86,86.82,81.50,82.09
24,-16.84,-22.01,6.28,-0.50,7.64,-32.07,47.04,79.19,73.63,75.22
25,-17.90,-24.42,6.08,-0.71,5.99,-34.46,45.52,76.04,70.74,73.15
26,-15.05,-21.52,8.85,2.13,9.19,-33.98,43.89,77.93,72.81,74.68
27,-10.18,-16.55,12.40,4.71,13.41,-31.58,42.57,81.93,76.81,77.17
28,-13.41,-19.51,9.74,2.74,10.78,-31.82,44.33,80.17,74.70,75.71
29,-17.89,-24.17,6.54,-0.01,6.45,-34.50,45.94,76.57,71.39,73.85
30,-14.65,-21.85,9.04,2.15,9.25,-33.74,43.83,77.90,73.07,74.60
31,-11.91,-18.65,11.23,3.76,11.93,-32.16,43.37,80.34,75.43,76.23
32,-13.04,-19.44,9.81,2.15,9.13,-32.29,43.54,79.59,74.60,76.98
33,-18.68,-23.87,3.61,-2.95,4.59,-31.04,49.14,78.87,73.10,75.83
34,-15.67,-21.02,5.28,-1.85,6.74,-29.11,48.91,81.09,75.74,77.89
35,-16.28,-21.05,6.73,-0.40,7.88,-30.72,47.20,80.17,74.70,76.88
36,-16.02,-22.50,5.19,-2.00,6.64,-30.51,47.80,80.39,74.87,77.21
37,-20.47,-25.13,3.22,-3.44,3.54,-31.73,49.42,77.93,71.85,74.66
38,-17.55,-21.20,5.12,-1.91,6.26,-29.66,48.98,80.71,75.03,76.84
39,-11.80,-14.83,11.11,2.96,12.52,-28.26,45.50,84.56,79.67,80.20
40,-20.66,-25.30,2.78,-3.51,3.67,-33.14,47.30,75.81,70.32,72.71
41,-22.53,-28.42,1.34,-4.31,3.46,-33.58,48.39,74.84,68.80,70.61
42,-14.60,-18.17,7.98,0.45,9.30,-28.77,47.01,82.30,76.58,77.85
43,-22.07,-26.05,1.86,-4.14,2.12,-32.58,48.29,75.77,70.13,73.20
44,-16.30,-19.41,6.45,-0.93,7.01,-29.44,47.12,80.52,75.11,77.79
45,-11.81,-20.99,12.95,4.75,13.97,-34.77,48.86,82.72,78.38,79.33
46,-12.44,-21.73,5.12,-1.72,9.34,-26.81,54.82,84.27,78.65,81.17
47,-12.49,-23.65,5.74,-0.39,9.64,-30.37,51.41,80.29,74.87,73.61
48,-13.70,-25.95,-12.11,-14.28,1.49,-27.61,60.75,86.93,75.34,84.04
49,-27.82,-38.55,-18.24,-22.64,-15.73,-33.97,56.09,69.78,61.64,71.84
50,-36.48,-45.15,-25.71,-29.43,-24.86,-36.82,59.51,65.66,57.52,66.25
51,-26.71,-25.92,-14.95,-20.90,-15.64,-30.66,58.44,74.32,67.37,75.13
52,-25.40,-26.23,-14.31,-20.22,-15.04,-30.80,57.86,75.33,68.27,75.68
53,-28.86,-31.11,-17.44,-22.63,-17.81,-30.81,59.61,73.28,65.87,73.39
54,-26.01,-31.05,-12.50,-17.91,-13.50,-36.27,52.43,69.93,62.92,70.01
55,-26.75,-29.66,-15.71,-21.09,-15.91,-29.71,58.60,75.07,67.40,74.31
56,-25.23,-28.41,-14.68,-20.20,-15.60,-29.58,57.68,76.00,68.31,75.54
57,-25.85,-30.67,-12.85,-17.78,-12.62,-33.33,53.93,71.86,64.56,70.94
58,-25.50,-30.29,-12.31,-17.21,-11.95,-33.70,53.04,71.71,64.48,70.90
59,-23.32,-28.12,-5.56,-11.12,-7.61,-40.34,45.86,67.88,61.60,68.16
60,-24.31,-36.27,-3.96,-8.16,-5.04,-50.43,34.39,56.06,51.17,58.28
61,-32.01,-44.95,-13.31,-16.21,-15.12,-52.32,37.94,51.33,46.03,54.25
62,-40.00,-45.92,-22.57,-24.97,-22.29,-42.86,54.04,58.08,50.63,57.48
63,-36.36,-44.72,-18.50,-21.23,-19.43,-44.99,48.69,56.90,50.39,58.17
64,-32.76,-39.56,-13.67,-17.71,-15.66,-43.93,46.93,60.02,53.36,60.28
65,-39.30,-45.70,-16.02,-17.23,-16.52,-44.42,51.86,55.64,48.22,50.94
66,-32.99,-32.30,-8.32,-13.61,-13.02,-33.94,67.74,68.93,61.51,65.61
67,-36.14,-46.62,-4.07,-5.69,-8.12,-50.49,49.52,52.54,48.87,53.44
68,-36.15,-44.13,-8.20,-9.26,-10.66,-43.69,56.17,57.28,52.13,56.62
69,-31.60,-40.19,-6.09,-7.78,-8.19,-41.30,54.79,61.15,56.45,60.01
70,-27.06,-32.31,-0.85,-3.98,-3.33,-38.29,52.19,66.49,62.02,65.05
71,-33.34,-39.88,-6.09,-7.11,-8.05,-41.09,53.71,60.49,55.32,58.98
72,-43.41,-52.56,-12.74,-10.53,-13.89,-48.97,50.02,47.93,43.28,48.67
73,-34.55,-40.82,-5.56,-6.60,-8.80,-42.15,48.15,57.38,52.78,57.23
74,-29.92,-36.23,-3.50,-5.56,-6.15,-39.00,49.02,62.28,57.33,60.84
75,-28.10,-30.19,-8.06,-11.33,-9.01,-27.13,58.41,72.74,66.21,69.23
76,-30.89,-32.85,-15.83,-15.92,-8.05,-38.53,76.93,78.07,68.59,74.18
77,-26.34,-36.07,-9.32,-9.59,-3.09,-43.15,67.24,71.42,65.54,70.40
78,-25.69,-39.05,-8.75,-9.06,-2.35,-43.30,72.51,70.25,65.38,69.75
79,-26.84,-32.53,-10.13,-12.31,-4.70,-35.83,74.92,77.36,70.90,75.39
80,-24.31,-35.98,0.82,-4.04,0.76,-38.80,70.64,73.60,65.76,70.54
