serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-64.38,0.71,-7.65,-3.87,-1.52,-34.05,6.09,34.67,24.34,34.48
2,-65.92,1.17,-6.82,-2.48,-0.72,-44.29,2.13,30.49,21.46,32.63
3,-64.44,1.85,-6.12,-1.80,-0.52,-48.15,0.22,29.02,20.33,31.81
4,-62.47,3.53,-4.17,0.34,1.35,-52.60,-1.97,25.88,17.71,29.84
5,-61.46,4.18,-3.78,0.46,1.66,-50.94,-1.08,26.74,18.46,30.16
6,-63.65,2.10,-6.08,-1.22,0.49,-49.63,-0.78,26.86,18.45,30.15
7,-64.38,1.36,-6.63,-1.83,-0.10,-47.97,-0.21,27.36,19.08,30.76
8,-64.49,0.69,-7.67,-2.72,-1.60,-47.17,-0.47,27.18,18.55,30.35
9,-64.58,1.08,-6.91,-2.17,-1.52,-46.74,0.07,27.62,18.92,30.71
10,-64.45,1.35,-6.78,-2.19,-1.63,-48.56,-0.72,26.76,18.14,30.05
11,-65.10,0.08,-8.26,-3.28,-2.32,-45.82,0.09,27.77,18.75,30.56
12,-65.43,0.01,-8.24,-3.24,-2.10,-47.04,-0.59,27.24,18.29,30.11
13,-65.59,-0.25,-8.28,-3.49,-2.32,-46.21,-0.16,27.56,18.80,30.58
14,-65.72,-0.44,-8.79,-3.77,-2.83,-44.56,0.40,28.10,19.13,30.54
15,-65.39,-0.28,-8.82,-3.73,-2.76,-44.95,0.23,27.89,18.78,30.53
16,-66.01,-0.62,-8.85,-3.65,-2.48,-44.74,0.05,27.74,18.67,30.47
17,-65.96,-0.49,-8.60,-3.64,-2.54,-45.21,0.19,27.83,18.87,30.71
18,-65.61,-0.51,-8.89,-3.88,-2.53,-43.75,0.85,28.64,19.40,30.87
19,-66.25,-0.93,-9.17,-4.03,-2.69,-44.67,0.08,27.75,18.75,30.64
20,-66.14,-0.80,-9.10,-4.03,-2.99,-44.46,0.44,28.21,19.16,30.87
21,-61.68,3.85,-4.04,-0.18,0.43,-48.02,0.50,28.02,19.40,30.93
22,-56.30,9.26,2.08,4.99,4.20,-50.28,0.99,28.61,20.58,32.06
23,-50.06,15.87,9.42,10.91,8.87,-53.95,-0.12,27.93,21.16,32.31
24,-46.74,17.94,10.87,11.31,8.92,-52.27,2.17,30.81,23.46,33.93
25,-47.82,16.35,9.08,9.72,8.22,-51.59,2.13,30.61,22.98,33.60
26,-50.01,14.73,7.47,8.48,7.08,-50.95,1.57,29.41,22.34,33.65
27,-52.10,13.04,5.84,7.57,6.39,-52.06,0.40,28.04,21.13,32.54
28,-55.38,10.89,3.84,6.29,5.34,-55.68,-2.54,24.71,18.21,30.42
29,-54.50,11.65,4.70,7.25,6.25,-55.53,-2.12,25.27,18.74,30.61
30,-46.23,19.58,12.84,13.54,10.70,-55.63,-0.87,26.70,20.71,31.90
31,-52.68,13.25,6.37,8.49,6.94,-53.18,-0.90,26.62,19.78,31.48
32,-64.72,1.37,-6.12,-1.75,-0.95,-49.99,-0.14,28.04,19.82,31.27
33,-55.67,3.47,-4.40,-0.86,-1.49,-53.36,-1.99,27.01,20.87,32.33
34,-57.15,5.30,-1.95,1.94,0.92,-48.62,0.29,27.71,22.19,32.60
35,-55.93,3.37,-4.65,-0.75,-1.50,-39.24,6.31,34.49,26.86,35.81
36,-56.78,5.15,-2.62,0.36,-1.27,-54.23,-3.98,21.15,16.09,29.37
37,-58.79,4.24,-3.00,0.41,-1.33,-54.44,-4.77,19.62,15.44,28.68
38,-58.78,2.34,-5.45,-0.82,-1.29,-43.49,4.22,31.24,24.19,34.33
39,-59.76,2.08,-5.50,-0.96,-1.76,-49.58,0.26,27.15,20.79,31.90
40,-61.31,1.71,-6.29,-1.36,-2.76,-58.44,-5.67,19.80,14.75,28.01
41,-61.92,0.25,-7.83,-2.47,-2.71,-49.17,0.25,27.44,21.04,31.90
42,-58.13,1.99,-5.75,-1.22,-1.53,-40.41,5.88,33.79,26.18,35.66
43,-61.08,1.77,-6.11,-1.27,-2.43,-62.21,-7.76,18.06,13.62,26.89
44,-60.97,0.63,-7.26,-2.63,-3.28,-54.21,-4.10,21.68,16.35,29.03
45,-61.32,-0.82,-8.90,-4.44,-5.37,-50.79,-4.22,21.28,16.54,29.89
46,-64.07,-2.35,-9.81,-4.46,-4.87,-54.42,-6.28,19.81,15.04,28.35
47,-65.77,-4.02,-12.09,-5.59,-6.05,-68.26,-11.59,14.08,10.56,24.03
48,-64.42,-3.18,-11.78,-5.89,-6.47,-62.79,-10.23,13.86,10.94,25.14
49,-61.11,-0.36,-9.48,-4.98,-5.73,-51.17,-5.77,18.47,15.09,28.55
50,-64.53,-1.87,-9.92,-5.04,-5.52,-54.27,-7.83,16.36,13.58,27.44
