serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-38.26,-14.60,-26.24,-34.48,-33.02,-92.44,24.98,13.39,13.05,16.53
2,-37.25,-14.88,-26.44,-34.88,-33.99,-93.04,25.62,14.35,14.28,18.51
3,-36.90,-15.17,-27.29,-36.74,-36.26,-92.34,25.33,14.59,15.36,19.16
4,-36.11,-16.36,-28.76,-37.57,-37.12,-91.03,24.77,13.59,13.67,17.43
5,-37.32,-14.48,-26.99,-36.79,-36.83,-95.14,26.36,15.58,16.11,19.96
6,-36.10,-16.01,-29.12,-39.18,-39.03,-92.81,26.13,15.22,15.48,18.66
7,-35.81,-15.87,-29.11,-39.27,-39.44,-94.04,26.37,15.70,16.28,19.53
8,-37.06,-14.82,-27.98,-38.25,-39.15,-93.74,25.90,14.88,15.27,18.39
9,-35.61,-16.04,-29.65,-40.13,-40.72,-93.56,26.15,15.20,15.22,18.45
10,-35.92,-15.95,-29.13,-39.48,-39.91,-94.32,26.53,15.68,15.79,18.84
11,-39.18,-13.24,-25.53,-35.77,-36.46,-96.32,26.98,16.02,16.59,20.00
12,-38.78,-14.12,-26.70,-36.58,-36.63,-93.62,25.65,14.00,14.02,17.29
13,-38.38,-14.17,-26.85,-36.68,-37.11,-95.10,26.46,15.37,15.33,18.93
14,-38.27,-14.74,-27.55,-37.27,-37.81,-93.59,25.76,14.29,13.80,17.50
15,-38.77,-14.15,-26.74,-36.68,-37.19,-94.17,26.04,14.69,14.70,18.59
16,-39.74,-12.26,-24.86,-35.53,-36.81,-98.50,27.29,16.30,16.79,20.39
17,-38.37,-14.60,-27.43,-37.43,-37.83,-94.52,26.41,15.09,14.92,18.39
18,-37.35,-14.13,-26.65,-36.86,-37.82,-98.29,28.95,18.46,19.18,22.70
19,-36.72,-14.85,-27.85,-38.45,-39.61,-95.73,27.24,16.49,17.28,20.26
20,-36.80,-14.99,-28.05,-38.61,-39.68,-95.07,26.98,16.01,16.37,19.51
21,-35.42,-15.75,-28.78,-39.73,-40.75,-96.26,27.87,17.34,18.18,21.15
22,-35.74,-15.57,-28.75,-39.73,-40.78,-95.40,27.19,16.44,17.11,19.87
23,-35.18,-16.17,-29.38,-40.26,-41.45,-94.57,27.30,16.63,17.38,20.17
24,-34.61,-16.59,-29.85,-40.83,-42.11,-95.43,27.48,16.87,17.79,20.49
25,-34.67,-16.39,-29.79,-40.96,-42.06,-95.22,27.52,17.03,17.81,20.58
26,-36.69,-14.40,-27.14,-37.85,-39.55,-97.58,28.54,18.18,19.95,23.00
27,-35.26,-16.23,-29.22,-39.83,-41.24,-94.54,27.40,16.63,17.53,20.50
28,-35.02,-15.94,-28.98,-39.81,-41.25,-95.17,28.03,17.45,18.54,21.36
29,-34.77,-16.73,-30.01,-41.02,-42.28,-94.63,27.38,16.84,17.55,20.48
30,-34.26,-17.03,-30.56,-41.25,-42.49,-95.19,27.99,17.55,18.18,20.76
31,-33.38,-17.20,-30.65,-42.06,-43.64,-95.53,28.55,18.29,19.29,21.47
32,-33.52,-17.16,-29.99,-40.47,-41.06,-95.30,28.77,18.36,18.53,20.63
33,-33.63,-17.03,-30.17,-41.25,-42.04,-95.88,28.28,18.06,18.79,21.58
34,-33.42,-17.21,-30.62,-42.07,-42.96,-96.35,28.58,18.43,19.41,22.04
35,-33.26,-17.90,-31.47,-42.45,-43.35,-94.38,27.52,17.12,17.69,20.27
36,-33.48,-17.19,-30.36,-41.64,-42.69,-95.68,28.59,18.27,19.28,21.90
37,-33.79,-17.16,-30.65,-41.60,-42.53,-94.94,27.88,17.45,17.96,20.62
38,-34.73,-16.45,-29.71,-40.50,-41.39,-95.14,27.51,16.81,17.06,19.73
39,-34.46,-16.58,-30.05,-41.15,-42.91,-95.56,27.75,17.04,17.83,21.02
40,-33.91,-16.44,-29.41,-40.76,-41.96,-96.57,29.13,19.21,20.60,23.48
41,-34.22,-17.17,-30.59,-41.33,-42.21,-94.75,28.06,17.52,17.75,20.68
42,-35.18,-15.42,-28.78,-39.95,-41.40,-98.14,29.00,18.77,20.04,22.85
43,-33.83,-16.45,-29.49,-40.46,-41.49,-96.76,29.04,19.09,20.38,23.32
44,-33.67,-17.54,-31.07,-41.82,-42.71,-94.47,27.86,17.47,18.04,21.17
45,-31.55,-15.19,-28.57,-39.82,-40.85,-97.76,28.58,17.86,18.43,21.54
46,-30.47,-16.44,-29.77,-40.97,-42.38,-96.92,29.62,19.56,20.58,23.91
47,-31.15,-16.49,-30.08,-41.43,-42.87,-95.52,28.54,18.16,19.19,22.50
48,-31.76,-17.30,-31.39,-42.35,-43.49,-92.89,26.83,15.88,16.04,19.31
49,-31.34,-17.43,-31.52,-42.62,-43.82,-93.62,27.58,16.94,17.59,20.35
50,-33.26,-15.11,-28.54,-39.57,-41.28,-96.33,28.48,18.07,19.14,22.69
51,-32.30,-15.27,-28.38,-39.04,-40.71,-98.68,30.76,21.05,22.69,25.93
