serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-60.17,0.54,-2.60,-4.89,62.38,-121.97,19.41,3.77,-3.08,-49.94
2,-59.51,-0.39,-3.81,-6.30,61.73,-121.43,19.59,4.08,-2.26,-48.32
3,-61.69,0.41,-1.67,-4.53,64.78,-121.38,18.19,3.11,-1.88,-63.03
4,-63.48,-0.96,-4.94,-8.62,57.93,-115.18,15.21,-1.20,-5.15,-68.18
5,-66.67,0.30,-2.73,-5.57,61.89,-113.46,15.68,-0.30,-5.00,-75.09
6,-67.68,0.53,-3.89,-8.26,57.45,-113.54,14.38,-1.50,-6.24,-67.65
7,-62.46,0.21,-3.63,-6.57,52.87,-120.87,18.67,3.80,-0.70,-21.95
8,-61.46,-0.31,-5.31,-9.18,45.08,-124.45,19.45,4.95,0.93,-13.87
9,-62.07,1.88,-2.97,-6.74,48.45,-130.81,19.31,4.96,0.16,-18.17
10,-65.18,3.76,-0.09,-2.32,54.88,-134.06,19.72,5.33,-0.22,-17.06
11,-63.90,1.47,-3.50,-6.73,48.61,-129.83,18.14,2.76,-3.14,-19.23
12,-64.65,0.92,-2.88,-4.03,54.28,-124.50,19.10,3.65,-2.60,-15.57
13,-62.55,1.00,-3.82,-6.23,50.72,-127.54,19.83,4.86,-1.25,-14.57
14,-61.26,1.17,-3.86,-6.83,48.19,-129.33,21.36,6.78,1.21,-9.41
15,-61.46,-0.86,-6.08,-8.25,48.36,-122.39,20.62,5.07,-1.51,-9.98
16,-60.79,-0.31,-5.62,-8.03,47.78,-125.97,21.60,6.33,0.18,-7.61
17,-60.56,-0.54,-6.03,-8.64,45.60,-124.97,21.69,6.30,0.05,-7.23
18,-59.68,-1.41,-7.17,-9.76,43.56,-124.25,22.03,6.79,0.60,-2.84
19,-59.19,-1.71,-8.04,-11.34,40.17,-124.88,22.33,7.37,1.80,-3.23
20,-61.40,-0.11,-5.60,-8.20,43.78,-126.70,21.56,6.55,0.70,-4.43
21,-60.88,0.91,-4.50,-6.47,45.98,-131.59,22.92,8.45,2.98,0.37
22,-61.20,1.90,-3.33,-5.33,47.30,-133.41,23.03,8.69,3.21,-2.53
23,-57.53,0.50,-5.65,-8.19,43.49,-134.19,26.18,11.96,6.74,4.23
24,-63.46,3.49,-1.44,-3.41,48.29,-138.13,21.73,7.20,1.39,-2.82
25,-59.60,11.97,8.64,7.73,56.93,-163.10,25.79,13.44,8.14,8.56
26,-66.73,4.05,0.44,-0.22,51.29,-136.57,20.30,5.38,-1.33,-4.58
27,-65.18,2.49,-3.13,-6.15,42.00,-135.09,19.73,4.64,-1.75,-6.30
28,-62.49,1.71,-4.05,-6.65,43.84,-134.96,21.37,6.81,0.84,-4.13
29,-62.88,2.97,-2.25,-4.13,45.83,-138.06,21.82,7.57,1.53,-2.24
30,-67.04,3.30,-0.92,-2.37,46.76,-133.98,19.45,4.60,-1.99,-7.39
