serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-53.73,2.03,-5.54,-12.01,10.29,-89.34,27.80,18.63,18.94,15.07
2,-47.11,-3.88,-12.05,-18.88,3.15,-81.53,27.70,17.58,16.72,13.66
3,-48.13,-3.11,-11.33,-18.34,3.74,-82.03,27.33,17.37,16.71,13.96
4,-51.65,1.70,-6.58,-14.63,5.73,-92.02,30.51,21.49,22.18,18.78
5,-49.06,-2.28,-10.78,-18.21,3.12,-83.69,29.01,19.25,19.40,16.40
6,-48.17,-3.54,-11.82,-18.98,2.94,-76.55,26.66,16.17,15.49,13.22
7,-49.52,-2.24,-10.82,-18.72,2.49,-78.56,26.69,16.37,15.70,13.66
8,-46.31,-4.54,-13.89,-22.92,-2.17,-80.14,29.13,19.11,18.60,16.41
9,-45.11,-5.85,-14.80,-22.64,-0.79,-77.52,28.48,17.80,16.51,14.74
10,-49.65,-1.44,-10.78,-20.13,-0.16,-81.41,27.68,17.66,17.16,14.80
11,-46.90,-4.74,-13.79,-22.16,-0.97,-72.95,24.92,13.73,11.95,10.53
12,-48.92,-2.89,-11.45,-19.72,1.22,-76.12,26.44,15.70,14.56,13.03
13,-48.39,-3.18,-11.81,-19.97,1.17,-76.15,26.79,15.97,14.85,13.64
14,-48.63,-3.04,-11.58,-19.96,1.31,-76.84,26.82,16.16,15.16,13.67
15,-46.41,-4.71,-13.50,-22.11,-1.00,-74.76,26.64,15.97,14.83,13.46
16,-48.90,-2.40,-11.13,-19.57,1.29,-77.38,27.10,16.66,15.90,14.53
17,-48.10,-3.40,-12.12,-20.50,0.37,-75.91,26.82,16.39,14.91,13.60
18,-46.71,-4.51,-13.11,-21.75,-1.14,-75.34,27.04,17.02,15.44,14.22
19,-46.02,-5.14,-14.17,-22.61,-1.46,-73.02,25.97,15.14,14.03,12.88
20,-60.26,3.67,-2.47,-7.90,13.05,-49.86,16.85,4.16,2.10,1.62
21,-61.03,4.31,-2.05,-7.94,12.68,-52.10,17.47,4.95,2.54,1.79
22,-58.35,2.47,-4.82,-11.16,9.66,-54.39,18.03,5.44,3.14,2.43
23,-56.48,1.18,-6.17,-12.64,8.15,-57.92,19.82,7.57,5.55,4.94
24,-56.05,0.93,-6.73,-13.59,7.10,-58.39,19.53,7.21,5.19,4.43
25,-53.69,-0.82,-8.78,-15.55,5.49,-57.47,19.26,6.57,4.31,3.87
26,-53.36,-0.95,-8.97,-16.42,4.45,-57.77,19.57,7.04,4.41,4.08
27,-52.43,-1.33,-9.42,-16.90,3.89,-57.86,19.60,7.13,4.49,4.44
28,-52.06,-1.59,-9.82,-17.27,3.84,-57.54,19.55,6.86,3.39,3.30
29,-51.47,-2.16,-10.43,-18.14,2.67,-57.62,19.64,7.16,3.99,4.10
30,-51.69,-1.97,-10.41,-18.54,2.38,-59.32,20.30,7.98,4.89,5.03
31,-51.07,-2.53,-11.06,-18.92,2.07,-58.50,20.19,7.72,4.50,4.37
32,-51.30,-2.38,-11.15,-19.18,2.29,-58.81,20.14,7.48,4.44,4.57
33,-49.98,-3.27,-11.93,-19.57,1.62,-57.86,20.03,7.40,3.96,4.11
34,-51.81,-1.89,-10.47,-18.67,2.37,-60.40,20.87,8.69,5.40,5.29
35,-50.61,-2.51,-11.27,-19.45,1.16,-58.83,20.22,7.72,4.51,4.60
36,-49.52,-3.42,-12.17,-20.47,0.70,-57.79,20.09,7.50,3.95,4.30
37,-49.92,-3.00,-11.92,-20.19,0.61,-58.09,19.98,7.63,4.29,4.55
38,-47.23,-5.12,-13.97,-21.84,-0.51,-56.09,19.90,7.15,3.23,3.74
39,-51.46,-2.04,-10.70,-19.08,1.68,-61.41,21.67,9.57,6.34,6.53
40,-49.28,-3.53,-12.25,-20.65,0.29,-59.46,20.74,8.50,5.23,5.53
41,-47.81,-4.64,-13.69,-22.14,-1.06,-57.66,19.96,7.31,3.68,4.02
42,-48.88,-3.72,-12.64,-21.24,-0.18,-59.58,20.84,8.53,5.09,5.35
43,-48.00,-4.24,-13.14,-21.59,-0.70,-58.39,20.50,7.86,4.06,4.87
44,-48.24,-4.21,-13.24,-21.80,-1.00,-59.14,20.55,8.23,4.56,5.15
45,-48.73,-3.78,-12.72,-21.44,-0.65,-59.09,20.59,8.22,4.48,5.21
46,-48.05,-4.34,-13.45,-22.03,-1.12,-59.65,21.04,8.63,4.85,5.51
47,-46.83,-5.45,-14.81,-23.53,-2.27,-58.70,20.65,8.22,4.11,4.93
48,-47.21,-4.86,-14.07,-22.86,-1.95,-59.63,21.16,8.80,4.99,5.75
49,-46.94,-5.02,-14.39,-23.37,-2.43,-59.39,20.94,8.53,4.75,5.59
50,-46.29,-5.49,-14.85,-23.65,-2.64,-59.35,21.13,8.73,4.74,5.75
51,-47.03,-4.76,-13.97,-22.72,-1.86,-59.31,21.22,8.87,4.90,5.74
52,-47.26,-4.87,-14.04,-22.90,-2.00,-59.30,21.17,8.78,4.90,5.74
53,-47.32,-4.78,-13.99,-23.09,-2.21,-60.09,21.14,8.77,4.87,5.75
54,-47.02,-4.89,-14.34,-23.30,-2.43,-59.98,21.20,8.80,4.60,5.61
55,-46.87,-5.09,-14.32,-23.25,-2.46,-60.29,21.40,9.32,5.19,6.23
56,-46.88,-5.22,-14.60,-23.40,-2.70,-58.89,20.75,8.35,4.15,5.26
57,-48.09,-4.18,-13.25,-22.02,-1.41,-59.38,20.85,8.54,4.36,5.47
58,-46.99,-5.02,-14.01,-22.79,-2.04,-59.21,21.16,8.85,4.90,6.04
59,-47.92,-4.24,-13.15,-22.07,-1.24,-61.44,22.16,10.08,6.29,7.35
60,-43.76,-7.20,-16.74,-25.81,-4.88,-57.00,19.85,7.15,2.34,3.83
61,-48.88,-3.57,-12.59,-21.45,-0.65,-64.06,23.09,11.46,7.81,8.53
62,-47.10,-4.86,-14.13,-23.09,-2.33,-63.85,23.21,11.27,7.35,7.95
63,-45.80,-5.71,-15.26,-24.30,-3.37,-62.31,22.31,10.27,5.85,6.55
64,-47.74,-4.22,-13.04,-21.67,-0.69,-61.04,21.87,9.70,5.26,6.16
65,-48.22,-4.18,-13.32,-21.93,-0.99,-61.48,21.86,9.70,5.61,6.73
66,-47.46,-4.61,-13.81,-23.00,-2.22,-62.66,22.47,10.50,6.63,7.37
67,-46.28,-5.41,-14.87,-23.82,-3.14,-61.80,21.80,9.95,5.74,6.59
68,-48.72,-3.89,-12.85,-21.69,-0.94,-59.11,20.50,7.97,3.42,4.52
69,-47.37,-4.70,-13.55,-22.42,-1.41,-62.98,22.61,10.73,6.17,7.13
70,-46.64,-5.27,-14.70,-23.76,-2.89,-61.77,21.94,9.96,5.59,6.46
71,-45.48,-5.87,-15.40,-24.51,-3.70,-61.62,22.11,10.03,5.62,6.72
72,-45.95,-5.47,-15.00,-24.10,-3.28,-62.94,22.54,10.60,6.10,6.88
73,-46.06,-5.63,-15.22,-24.36,-3.33,-62.40,22.27,10.28,5.83,6.68
74,-45.05,-6.22,-15.97,-25.24,-4.38,-62.82,22.57,10.71,6.34,7.25
75,-44.85,-6.34,-15.92,-24.84,-3.76,-61.32,22.05,10.02,5.40,6.59
76,-45.59,-5.84,-15.38,-24.68,-3.81,-62.63,22.49,10.67,6.43,7.12
77,-45.66,-5.66,-15.27,-24.54,-3.70,-61.96,22.07,9.99,5.47,6.41
78,-44.57,-6.69,-16.39,-25.48,-4.43,-61.72,22.29,10.18,5.61,6.70
79,-45.23,-6.05,-15.84,-25.17,-4.39,-63.08,22.71,10.99,6.42,7.36
80,-44.51,-6.56,-16.19,-25.44,-4.64,-61.66,22.16,10.07,5.59,6.71
81,-45.31,-6.09,-15.61,-24.87,-4.27,-62.11,22.18,10.11,5.85,6.79
82,-45.07,-6.29,-15.82,-25.09,-4.11,-62.52,22.56,10.68,6.32,7.25
83,-44.38,-6.60,-16.30,-24.96,-3.51,-61.74,22.18,9.96,6.19,7.16
84,-44.41,-6.68,-16.37,-25.81,-4.92,-63.42,22.92,11.10,6.91,7.84
85,-55.76,0.70,-7.46,-15.06,5.60,-57.41,20.18,7.85,3.93,4.96
86,-69.05,9.17,3.66,-1.40,19.75,-47.31,16.03,2.82,-1.18,-0.17
87,-64.86,6.58,0.09,-5.90,15.74,-46.73,16.00,2.43,-2.04,-0.80
88,-62.21,4.95,-1.98,-8.49,11.88,-46.63,16.27,2.62,-2.07,-0.66
89,-63.07,5.19,-1.53,-8.34,11.86,-49.90,17.64,4.56,0.22,1.96
90,-63.03,5.24,-1.42,-7.32,13.55,-48.15,17.28,4.12,0.19,1.45
91,-60.90,3.88,-3.04,-9.32,11.67,-49.11,17.80,4.80,0.58,1.94
92,-59.43,2.98,-4.41,-10.57,10.11,-49.78,17.95,4.98,0.80,2.12
93,-58.98,2.85,-4.45,-10.71,10.10,-48.88,17.69,4.77,0.22,1.58
94,-58.57,2.51,-4.73,-11.13,9.74,-47.79,17.33,4.39,-0.08,1.42
95,-58.95,2.65,-4.72,-11.40,9.39,-50.00,18.13,5.25,0.99,2.39
96,-58.13,2.20,-5.32,-11.74,9.19,-49.61,18.02,5.02,0.62,2.09
97,-58.16,2.18,-5.46,-12.01,8.67,-50.39,18.21,5.40,0.97,2.51
98,-58.10,2.24,-5.31,-11.97,8.96,-49.61,17.96,5.10,0.64,2.11
99,-57.65,1.90,-5.78,-12.43,8.52,-49.44,17.87,5.00,0.53,1.98
100,-58.31,2.18,-5.54,-12.34,8.26,-51.39,18.43,5.60,1.33,2.77
101,-57.69,1.83,-5.85,-12.40,8.69,-50.57,18.10,5.32,0.78,2.30
102,-57.39,1.70,-5.90,-12.61,8.35,-50.11,18.13,5.29,0.83,2.37
103,-57.26,1.59,-6.20,-13.04,7.99,-51.11,18.45,5.59,1.22,2.72
104,-56.81,1.31,-6.51,-13.46,7.37,-50.37,18.11,5.15,0.70,2.15
105,-56.41,1.13,-6.59,-13.43,7.47,-50.36,18.37,5.53,1.00,2.53
106,-56.97,1.55,-6.30,-13.05,7.94,-49.89,18.17,5.13,0.56,2.34
107,-56.40,1.03,-6.95,-13.85,6.90,-50.52,18.07,5.15,0.59,2.13
108,-56.48,1.11,-6.70,-13.67,7.19,-50.76,18.32,5.45,1.01,2.61
109,-55.72,0.72,-7.35,-14.28,6.68,-49.80,18.01,4.99,0.35,2.05
110,-56.17,0.89,-7.09,-14.08,6.82,-50.35,18.17,5.22,0.75,2.38
111,-56.16,0.89,-6.92,-13.99,6.92,-50.57,18.37,5.40,0.92,2.35
112,-56.37,1.29,-6.63,-13.63,7.26,-49.79,17.97,5.00,0.43,1.88
113,-56.08,0.89,-7.04,-14.25,6.66,-51.21,18.66,5.84,1.36,2.86
114,-56.39,1.09,-6.89,-13.75,7.03,-50.65,18.05,5.20,0.60,2.13
115,-55.43,0.47,-7.53,-14.81,6.04,-50.43,18.24,5.31,0.87,2.49
116,-55.76,0.63,-7.40,-14.62,6.31,-50.77,18.22,5.36,0.74,2.39
117,-55.40,0.39,-7.70,-14.61,6.41,-50.68,18.49,5.48,0.97,2.45
118,-54.94,0.09,-8.00,-15.10,5.67,-50.20,18.08,5.11,0.48,1.97
119,-54.76,-0.06,-8.23,-15.47,5.43,-50.48,18.18,5.38,0.69,2.28
120,-55.04,0.16,-7.96,-15.05,5.89,-50.32,18.19,5.25,0.81,2.42
121,-55.03,0.17,-7.98,-15.28,5.63,-50.68,18.14,5.14,0.66,2.09
122,-54.47,-0.25,-8.51,-15.71,5.34,-50.80,18.42,5.29,0.69,2.30
123,-54.67,-0.06,-8.25,-15.30,5.48,-50.61,18.21,5.38,0.67,2.41
124,-56.01,0.73,-7.67,-14.95,5.92,-53.51,19.18,6.49,2.17,3.48
125,-58.90,2.48,-5.12,-11.86,9.10,-54.05,19.60,7.12,2.83,4.28
126,-57.86,2.05,-5.46,-12.29,8.64,-50.46,18.29,5.56,1.11,2.63
127,-57.19,1.64,-6.20,-13.18,7.80,-50.60,18.30,5.47,1.07,2.64
128,-57.15,1.56,-6.20,-12.98,7.83,-53.16,19.51,6.86,2.79,4.39
129,-57.44,1.89,-5.94,-13.10,7.89,-51.80,18.71,5.99,1.65,3.15
130,-56.05,0.83,-7.01,-14.13,6.64,-52.71,19.17,6.55,2.16,3.64
131,-55.21,0.36,-7.87,-14.97,6.05,-51.37,18.50,5.69,1.04,2.56
132,-55.01,0.09,-8.13,-15.57,5.45,-52.88,19.10,6.56,1.99,3.62
133,-54.57,-0.08,-8.40,-15.56,5.47,-51.98,18.84,6.05,1.53,3.14
134,-54.92,0.06,-8.27,-15.69,5.09,-52.88,18.77,6.08,1.70,3.14
135,-54.34,-0.26,-8.36,-15.68,5.34,-52.60,19.08,6.42,1.94,3.40
136,-54.47,-0.18,-8.37,-15.61,5.49,-52.38,18.97,6.18,1.38,2.83
137,-54.06,-0.42,-8.67,-16.06,5.06,-51.69,18.64,5.79,1.10,2.77
138,-53.89,-0.54,-8.81,-16.23,4.69,-52.19,18.76,6.04,1.52,3.01
139,-54.72,0.06,-8.05,-15.32,5.71,-52.23,18.85,6.08,1.55,3.10
140,-54.01,-0.33,-8.57,-15.74,5.05,-51.48,18.61,5.95,1.18,2.78
141,-54.30,-0.41,-8.77,-16.22,5.12,-52.85,19.08,6.26,1.62,3.06
142,-63.46,5.85,-0.80,-6.88,13.97,-54.67,19.94,7.66,3.98,5.41
143,-61.42,4.46,-2.83,-9.47,11.34,-53.93,19.42,6.93,2.64,3.91
144,-54.86,12.39,-0.79,-0.94,8.69,-83.86,26.76,14.88,11.64,12.42
145,-56.17,1.12,-5.26,-7.70,4.07,-77.06,24.67,13.38,17.90,12.92
146,-55.04,-2.59,-10.73,-13.73,-1.88,-65.94,23.94,13.03,20.96,15.22
147,-55.24,-1.69,-8.89,-11.43,0.81,-66.97,25.03,13.88,21.49,15.50
148,-52.65,-3.99,-12.30,-15.28,-2.87,-62.79,23.77,12.40,19.76,14.09
149,-53.23,-3.53,-11.90,-15.08,-3.01,-63.97,24.30,12.85,20.10,14.59
150,-52.67,-3.75,-12.11,-15.58,-3.41,-63.68,24.83,13.60,20.94,15.50
151,-51.87,-4.52,-13.18,-16.95,-4.40,-62.88,24.76,13.23,20.14,14.88
152,-54.57,-2.52,-11.51,-15.76,-3.99,-64.84,25.03,13.57,20.28,15.46
153,-49.08,-6.86,-15.69,-19.12,-6.48,-58.05,23.65,11.23,17.04,12.58
154,-52.76,-3.99,-12.47,-16.09,-3.81,-62.50,25.05,13.40,19.84,15.01
155,-52.09,-4.06,-13.04,-17.21,-5.41,-64.37,25.51,14.26,20.99,16.30
156,-48.51,-6.81,-16.32,-20.64,-8.63,-63.99,26.01,14.80,21.65,16.98
157,-49.89,-6.00,-15.35,-19.66,-7.25,-61.01,24.21,12.53,19.00,14.40
158,-47.61,-7.31,-16.77,-21.00,-8.83,-60.38,24.72,13.02,19.53,15.21
159,-47.44,-7.59,-17.40,-22.42,-10.19,-62.50,25.33,13.87,20.26,15.86
160,-47.19,-7.80,-17.60,-22.50,-10.08,-61.78,24.90,13.24,19.08,14.90
161,-46.80,-7.85,-17.77,-22.63,-10.24,-65.27,26.90,15.97,22.28,17.67
162,-49.54,-5.56,-14.83,-19.83,-7.85,-67.19,27.71,16.72,23.29,18.55
163,-46.64,-7.71,-17.64,-22.98,-11.07,-64.33,26.39,14.96,20.79,16.69
164,-47.50,-7.19,-16.83,-21.93,-10.02,-63.49,26.29,14.99,21.08,16.82
165,-46.25,-7.29,-17.32,-22.49,-10.39,-62.99,26.09,15.14,22.18,17.42
166,-46.29,-7.63,-17.97,-23.32,-11.06,-62.38,25.82,14.77,21.63,17.01
167,-46.30,-7.37,-17.51,-22.97,-11.08,-63.64,26.57,15.78,22.80,18.23
168,-45.98,-7.74,-17.95,-23.12,-10.84,-60.63,25.75,14.69,21.31,16.90
169,-46.17,-7.77,-18.21,-23.61,-11.21,-62.24,26.08,14.98,21.70,16.98
170,-46.27,-7.71,-18.35,-23.64,-11.30,-61.99,25.85,14.69,21.48,16.89
171,-46.67,-7.18,-17.47,-22.66,-10.41,-61.47,25.90,14.82,21.65,17.01
172,-46.45,-7.28,-17.75,-23.14,-11.28,-60.00,25.19,14.13,20.89,16.59
173,-44.34,-8.92,-19.59,-24.90,-12.57,-62.85,27.13,16.43,23.32,18.70
174,-44.74,-8.92,-19.58,-25.11,-12.69,-62.24,27.05,16.40,23.36,18.83
175,-46.26,-7.29,-17.58,-22.80,-10.79,-63.29,27.41,16.74,23.92,19.16
176,-47.48,-6.42,-16.56,-21.92,-10.01,-63.60,27.23,16.54,23.69,19.18
177,-47.22,-7.13,-18.03,-23.26,-11.06,-60.41,25.28,14.01,20.73,16.06
178,-45.59,-7.83,-18.25,-23.37,-11.18,-60.26,26.33,15.42,22.43,17.95
179,-46.45,-7.18,-17.89,-23.47,-11.34,-60.65,26.16,15.32,22.37,17.81
180,-45.99,-7.63,-18.37,-23.60,-11.30,-59.04,25.23,14.17,20.80,16.58
181,-44.82,-8.50,-19.17,-24.47,-12.00,-59.20,25.68,14.50,21.31,16.89
182,-44.96,-8.25,-19.14,-24.50,-12.43,-59.35,26.06,15.04,22.04,17.53
183,-44.54,-8.92,-19.92,-25.14,-12.52,-58.73,25.89,14.73,21.29,16.87
