serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-63.12,16.19,12.03,12.46,10.30,-16.92,11.10,7.32,-1.05,13.54
2,-61.47,15.28,11.20,11.77,9.54,-13.56,10.87,7.34,-0.63,13.91
3,-62.52,15.46,11.14,11.14,8.71,-12.94,11.17,7.41,-0.49,13.58
4,-64.04,14.56,10.53,11.03,8.80,-15.53,11.87,7.89,0.18,13.72
5,-61.80,14.51,10.55,11.09,8.93,-9.54,11.44,7.59,-0.14,13.13
6,-62.46,14.59,10.62,10.76,8.11,-9.25,11.52,7.54,0.19,13.49
7,-62.36,14.28,10.36,10.71,8.56,-10.52,12.01,8.13,0.61,13.31
8,-63.81,15.35,11.88,12.23,9.74,-6.13,12.54,8.75,1.63,14.61
9,-63.13,14.39,10.51,10.48,7.95,-7.79,13.00,9.40,1.86,14.52
10,-62.75,13.98,9.90,9.69,7.12,-10.77,13.53,9.89,2.49,15.02
11,-61.61,12.87,8.72,8.73,6.34,-10.84,12.92,9.27,1.52,13.91
12,-61.56,13.07,8.65,8.25,5.79,-10.07,13.18,9.68,2.00,14.46
13,-61.68,13.20,9.16,9.40,6.76,-9.20,13.24,9.60,2.09,14.78
14,-63.04,15.55,12.47,12.70,9.44,-1.72,13.11,9.94,3.44,16.80
15,-62.77,14.22,10.17,9.69,6.93,-6.67,13.40,10.06,2.80,15.20
16,-67.65,22.30,16.66,14.01,11.18,-21.52,19.18,16.93,8.65,16.15
17,-64.92,18.56,12.57,10.93,9.83,-22.01,17.98,15.32,6.87,14.07
18,-64.85,19.41,14.46,13.12,11.06,-16.45,17.99,15.40,6.98,14.16
19,-66.00,19.00,13.81,12.04,10.29,-15.43,18.44,15.82,7.42,14.57
20,-64.94,18.33,12.54,10.19,8.15,-13.85,18.12,15.56,7.19,13.96
21,-65.55,18.48,13.11,11.06,9.33,-5.62,17.87,15.35,7.19,14.43
22,-63.60,18.70,14.07,12.52,11.25,-2.52,15.87,13.46,5.77,13.25
23,-64.68,17.23,11.65,8.96,7.07,-7.59,17.42,15.12,7.53,14.52
24,-62.37,15.81,10.84,8.90,7.72,-7.86,17.47,14.92,6.96,13.94
25,-63.85,16.31,10.98,8.86,7.62,-7.43,17.58,15.26,7.44,14.21
26,-64.52,16.02,10.40,7.22,5.28,-9.63,17.83,15.52,7.85,14.28
27,-62.95,13.90,7.67,4.35,2.77,-16.37,19.53,17.57,9.51,15.16
28,-62.26,14.29,8.75,6.15,4.70,-10.80,17.77,15.71,8.07,14.36
29,-63.70,14.88,9.68,7.04,5.29,-10.07,18.46,16.35,8.50,14.91
30,-63.16,14.61,9.26,6.47,4.42,-9.39,18.99,16.99,9.49,15.48
31,-65.56,16.50,11.62,8.76,6.59,-5.50,18.12,16.22,9.21,15.33
32,-70.42,15.71,7.15,5.78,2.89,-31.31,21.70,19.65,8.13,17.34
33,-68.77,14.50,6.87,6.62,4.06,-25.74,20.63,18.25,6.86,16.44
34,-68.80,13.90,6.25,6.37,3.97,-19.90,20.30,17.81,6.47,15.76
35,-66.98,12.08,4.37,4.47,2.08,-20.46,19.95,17.48,6.29,14.93
36,-66.10,11.82,3.82,3.64,1.27,-20.43,20.93,18.37,7.10,15.69
37,-66.65,12.90,5.47,5.41,2.91,-17.63,21.00,18.85,8.22,16.32
38,-68.52,13.52,5.97,5.35,2.30,-17.90,20.96,19.21,9.16,17.25
39,-66.29,13.91,6.57,6.67,3.89,-6.59,19.56,17.67,7.78,15.99
40,-64.67,12.62,4.33,3.59,0.93,-11.89,19.35,16.87,6.17,14.03
41,-63.30,12.28,4.68,4.91,2.78,-8.41,19.92,17.36,6.70,14.53
42,-63.93,12.35,4.83,4.89,2.46,-8.86,20.87,18.45,8.08,15.79
43,-61.40,12.96,5.28,5.17,2.59,0.67,19.85,17.20,6.62,14.38
44,-61.84,12.64,4.91,4.80,2.30,-0.21,19.72,17.16,6.96,14.60
45,-61.24,11.80,3.59,2.97,0.48,-3.73,19.48,16.95,6.11,13.49
46,-60.92,11.04,2.86,2.72,0.47,-3.68,20.27,17.68,6.82,14.09
47,-61.61,12.08,4.08,3.62,1.07,-1.72,20.05,17.66,7.35,14.53
48,-61.34,11.97,4.07,3.55,0.79,-3.04,20.41,18.03,7.72,14.96
49,-61.65,12.55,4.55,3.91,0.59,-1.41,20.07,17.75,7.67,14.95
50,-60.77,11.12,3.03,2.70,0.12,-3.68,20.35,17.90,7.29,14.39
51,-61.37,11.96,4.36,4.25,1.60,-0.06,20.27,17.83,7.55,14.72
52,-60.75,11.28,3.32,2.86,0.03,-0.11,20.10,17.80,7.57,14.65
53,-61.76,12.23,4.30,4.17,0.92,-1.62,20.42,18.03,7.51,15.35
54,-64.63,17.96,10.61,8.25,5.19,-33.01,18.25,14.74,3.42,15.69
55,-67.37,19.39,12.04,9.36,6.53,-18.26,17.28,14.36,3.68,15.98
