serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-59.92,-24.95,-32.31,-26.62,-24.92,-158.50,-35.24,-59.10,-75.25,-83.07
2,-66.29,-26.58,-32.20,-24.97,-21.01,-162.80,-41.07,-66.66,-80.29,-86.33
3,-64.87,-26.42,-32.26,-25.29,-22.29,-142.25,-39.76,-64.85,-78.97,-85.03
4,-62.76,-27.44,-34.21,-27.11,-23.69,-149.78,-38.12,-63.92,-78.71,-85.80
5,-68.39,-24.82,-29.54,-22.42,-19.07,-157.45,-42.18,-67.14,-80.45,-85.33
6,-64.99,-28.19,-34.68,-26.39,-21.15,-156.10,-38.76,-65.85,-81.26,-87.69
7,-68.88,-25.98,-31.89,-24.25,-20.26,-165.03,-40.92,-66.82,-80.94,-86.84
8,-69.61,-25.66,-31.22,-24.06,-20.31,-165.44,-41.06,-66.57,-80.74,-86.59
9,-68.25,-24.95,-30.64,-23.27,-19.61,-171.56,-40.85,-66.40,-80.67,-86.12
10,-70.41,-24.88,-29.82,-22.80,-19.26,-169.30,-41.79,-67.09,-80.83,-86.17
11,-70.22,-26.00,-31.22,-23.94,-19.83,-169.74,-41.78,-67.73,-81.57,-86.95
12,-70.32,-26.56,-31.96,-25.05,-21.11,-164.34,-41.54,-67.59,-81.90,-87.89
13,-63.81,-25.51,-32.28,-25.78,-24.01,-159.25,-35.97,-60.10,-75.10,-81.55
14,-67.82,-25.22,-31.01,-23.87,-20.95,-164.70,-39.60,-64.66,-79.34,-85.15
15,-68.26,-26.03,-31.79,-24.82,-21.82,-164.35,-40.31,-65.56,-79.58,-85.89
16,-66.29,-27.03,-33.74,-26.95,-23.65,-157.25,-37.99,-64.20,-79.47,-86.88
17,-69.03,-26.85,-33.04,-26.32,-22.74,-160.62,-39.68,-65.96,-80.87,-88.18
18,-68.17,-27.38,-33.75,-26.95,-23.71,-158.33,-38.64,-64.52,-79.61,-87.26
19,-69.48,-27.72,-34.09,-27.08,-23.01,-160.24,-39.88,-66.58,-81.73,-89.01
20,-51.97,-20.05,-29.74,-26.70,-26.84,-150.93,-28.49,-50.77,-67.58,-72.33
21,-49.84,-20.09,-29.60,-26.76,-27.14,-149.44,-27.11,-49.10,-66.33,-71.18
22,-54.92,-21.74,-31.20,-27.53,-27.09,-147.53,-29.54,-53.25,-70.63,-76.00
23,-52.47,-23.12,-33.87,-30.57,-29.99,-144.38,-27.06,-51.07,-68.98,-75.52
24,-55.21,-22.89,-32.13,-27.96,-26.78,-148.14,-30.20,-54.85,-71.92,-77.14
25,-54.33,-23.02,-32.97,-28.79,-27.15,-149.56,-29.21,-54.05,-72.35,-78.05
26,-57.23,-23.87,-32.40,-27.70,-26.22,-148.89,-31.57,-56.80,-73.41,-78.31
27,-54.26,-21.95,-30.60,-26.06,-24.35,-156.67,-31.97,-56.35,-73.31,-78.12
28,-56.68,-24.02,-32.48,-27.61,-25.89,-150.91,-32.25,-57.53,-74.41,-79.32
29,-61.34,-22.23,-29.70,-24.06,-21.87,-160.68,-33.85,-58.49,-75.08,-78.55
30,-59.82,-22.98,-31.77,-27.91,-25.91,-158.57,-31.29,-55.84,-73.67,-79.11
31,-59.10,-22.10,-30.72,-26.77,-25.65,-159.63,-30.59,-54.45,-71.92,-76.73
32,-51.62,-21.57,-33.94,-30.60,-28.92,-144.25,-23.85,-50.10,-74.73,-78.60
33,-51.17,-22.09,-34.02,-30.34,-28.51,-145.64,-24.62,-50.76,-74.02,-77.36
34,-52.05,-19.48,-30.97,-27.90,-26.44,-151.19,-23.70,-48.77,-72.95,-76.64
35,-53.00,-20.35,-31.50,-27.61,-25.13,-160.95,-26.66,-52.95,-76.60,-79.62
36,-52.52,-20.49,-31.94,-28.57,-26.62,-155.25,-24.76,-50.45,-74.33,-77.78
37,-56.64,-20.33,-29.74,-26.44,-25.38,-156.92,-27.83,-52.82,-73.85,-76.00
38,-58.28,-21.81,-32.23,-28.18,-25.94,-154.12,-27.38,-53.58,-76.42,-78.87
