serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-76.45,14.84,11.74,16.43,18.08,-23.58,15.05,13.01,4.63,-0.23
2,-76.89,13.62,9.79,14.38,16.85,-34.27,17.94,16.79,7.78,2.03
3,-74.68,13.21,10.23,15.50,17.73,-29.45,17.37,16.15,6.73,1.69
4,-74.42,12.68,9.16,14.02,16.15,-27.21,16.67,15.57,6.25,0.86
5,-74.91,12.62,9.20,13.88,16.27,-30.15,17.24,16.30,6.11,1.27
6,-74.71,12.81,9.48,14.93,17.62,-16.55,14.86,12.84,2.62,-1.98
7,-75.10,12.53,8.92,13.51,15.62,-31.27,17.49,16.49,7.34,2.41
8,-74.54,12.67,9.79,14.37,15.65,-37.48,20.18,20.04,11.25,5.86
9,-76.75,12.68,9.09,12.78,13.63,-40.53,19.51,19.38,10.07,4.58
10,-76.98,13.43,11.22,16.93,18.19,-26.84,17.06,16.23,6.67,1.64
11,-76.66,12.96,10.11,15.10,16.33,-24.88,16.65,15.78,5.63,0.36
12,-74.21,11.27,8.20,12.82,13.96,-23.51,16.00,15.04,5.17,0.03
13,-71.72,9.25,5.41,9.97,11.20,-22.33,15.43,13.74,3.42,-1.70
14,-71.52,9.92,6.74,11.79,13.25,-20.30,15.21,13.36,3.45,-1.39
15,-68.53,7.34,3.18,7.39,9.00,-27.76,16.75,15.27,5.07,-0.47
16,-68.69,8.31,5.06,10.69,12.55,-15.82,13.52,11.21,0.94,-4.55
17,-73.47,10.74,7.46,12.13,13.25,-25.98,16.80,16.06,7.38,1.73
18,-69.94,8.22,4.08,7.75,8.50,-29.26,17.15,16.46,7.26,1.32
19,-70.58,8.88,5.31,9.98,11.44,-28.44,16.90,16.06,7.29,1.43
20,-69.61,8.16,4.31,8.79,10.25,-28.24,16.97,16.11,6.92,0.73
21,-74.02,14.97,12.89,13.52,17.43,-69.70,21.08,18.73,7.75,2.02
22,-73.63,15.28,13.20,14.03,18.33,-74.86,22.44,20.19,8.96,3.43
23,-75.44,14.99,12.75,13.85,18.24,-61.67,19.13,15.94,4.80,-0.71
24,-78.29,17.65,16.57,18.52,23.72,-73.03,20.34,18.30,6.83,1.13
25,-75.08,14.72,13.15,15.18,20.23,-61.01,19.31,16.85,4.98,-0.72
26,-73.28,14.21,12.51,13.88,18.73,-65.70,21.23,18.86,7.25,1.53
27,-73.51,14.32,12.69,13.78,18.32,-69.08,21.52,19.14,7.71,1.89
28,-72.62,13.78,12.18,13.80,18.36,-67.46,21.34,19.15,8.04,2.12
29,-70.81,12.63,10.41,11.28,15.72,-66.95,21.83,19.76,8.84,2.67
30,-73.95,14.93,13.77,15.46,19.57,-69.33,20.99,19.01,9.32,3.13
31,-75.29,16.01,15.07,16.79,20.69,-73.38,21.66,19.83,10.83,4.84
32,-75.84,17.35,16.52,18.20,21.86,-82.96,22.80,21.39,12.94,6.70
33,-71.20,12.15,9.94,11.95,16.54,-58.20,20.04,17.34,7.07,0.30
34,-72.14,13.22,11.45,13.58,17.88,-63.28,20.74,18.30,8.84,2.38
35,-76.16,15.91,14.80,17.07,21.13,-65.14,20.14,17.49,8.37,2.19
36,-74.12,14.26,12.72,14.65,18.73,-60.15,19.77,17.22,7.41,1.23
37,-75.70,15.52,14.27,16.30,20.64,-66.75,20.46,17.92,8.52,2.24
38,-73.15,13.59,11.82,13.97,18.76,-61.66,20.70,18.06,7.98,1.49
39,-71.60,12.50,10.50,12.02,16.36,-61.67,20.76,18.05,7.54,1.21
40,-73.67,14.46,12.93,14.82,19.05,-69.68,21.60,19.11,9.70,3.49
41,-73.29,14.04,12.74,14.78,19.16,-66.99,21.50,18.91,9.62,3.51
42,-74.20,13.79,12.32,14.19,18.64,-58.40,19.48,16.26,6.80,0.57
43,-74.44,14.41,13.21,15.14,19.43,-65.63,20.55,17.61,8.41,2.47
44,-74.99,15.02,14.11,16.69,20.80,-62.05,20.53,17.68,7.54,1.23
45,-73.40,14.07,12.64,15.46,20.26,-62.87,21.25,18.60,8.46,1.24
46,-78.44,16.62,15.93,18.62,22.74,-55.10,18.39,15.10,5.06,-0.90
47,-76.45,15.18,13.64,14.99,18.72,-55.60,18.65,15.41,5.21,-0.93
48,-66.68,9.08,6.32,7.55,12.27,-58.48,21.72,18.91,8.10,1.50
49,-69.10,10.92,9.00,10.76,15.33,-58.26,20.79,17.77,7.31,1.05
50,-71.99,12.51,10.62,11.98,16.38,-60.27,20.64,18.02,8.03,1.49
51,-68.82,10.25,7.76,10.38,15.47,-55.15,20.52,17.97,6.14,-0.35
52,-72.32,14.40,14.51,22.42,25.73,-58.62,24.38,20.79,10.15,5.00
53,-74.67,16.53,16.47,22.43,24.83,-71.14,25.83,23.10,13.59,8.54
54,-74.81,16.58,16.18,22.51,24.92,-69.80,25.62,22.56,13.09,7.93
55,-74.42,16.12,15.59,21.48,24.00,-68.38,25.50,22.52,12.72,7.68
56,-75.86,17.28,17.32,23.38,25.80,-73.41,25.74,23.08,13.83,9.12
57,-78.85,20.34,21.31,27.21,29.01,-83.79,25.66,23.66,15.97,11.48
58,-74.95,17.41,17.36,22.96,25.50,-81.47,26.58,24.46,15.99,11.03
59,-67.65,8.27,5.49,6.21,9.95,-21.90,20.51,16.25,4.63,-1.95
60,-68.62,8.25,5.19,5.42,9.05,-34.06,22.69,19.62,7.64,0.76
61,-67.12,8.23,5.53,5.50,8.83,-20.47,19.00,16.28,2.23,-4.52
62,-69.62,10.45,8.31,8.43,10.44,-31.95,22.46,20.60,6.99,-0.12
63,-64.99,7.10,4.50,4.88,7.55,-30.59,21.77,19.27,4.61,-2.91
64,-64.28,7.12,4.77,5.45,7.98,-32.31,23.05,20.79,6.21,-1.39
65,-77.99,13.42,11.76,14.32,16.92,-45.28,23.00,19.33,9.35,2.70
66,-79.04,14.50,13.74,17.27,20.19,-47.05,23.34,19.81,11.39,5.28
67,-78.97,14.69,13.32,15.10,17.16,-50.36,23.61,20.96,12.32,5.67
68,-75.27,12.48,10.97,12.62,15.01,-43.29,22.80,20.30,10.61,3.87
69,-73.52,10.90,9.10,11.19,13.82,-40.12,22.21,19.43,8.86,2.70
70,-71.81,9.72,7.57,8.76,11.66,-48.34,24.41,22.08,10.69,3.97
71,-72.76,11.32,9.95,10.74,12.47,-53.73,26.18,24.22,13.13,7.48
72,-73.12,11.48,9.89,11.28,13.30,-55.96,26.09,23.67,12.49,6.65
73,-74.20,12.00,10.46,13.22,15.55,-33.88,20.87,17.34,7.16,0.89
74,-70.89,9.59,7.33,8.66,10.52,-45.38,23.92,21.54,11.13,4.12
75,-71.80,10.50,9.25,11.73,13.39,-39.51,21.17,18.61,8.69,2.84
76,-73.92,11.35,8.69,9.26,11.80,-49.30,23.96,21.78,10.30,4.15
77,-72.20,10.21,8.05,9.09,11.43,-45.29,23.58,21.69,11.15,4.77
78,-72.51,10.54,8.76,10.17,12.37,-47.59,23.36,21.61,11.07,4.67
79,-74.04,11.81,10.43,12.35,14.13,-49.55,23.47,21.86,12.16,5.78
80,-72.51,10.71,9.05,10.25,12.10,-51.16,24.24,23.02,13.06,6.19
81,-71.60,14.55,11.18,14.98,12.59,-83.31,26.34,24.35,10.16,7.95
82,-74.71,15.52,12.55,14.64,13.32,-82.10,27.40,22.17,10.70,11.78
83,-75.51,15.34,12.36,14.97,13.68,-76.12,27.98,22.99,11.22,12.45
84,-75.23,14.24,10.93,13.48,12.27,-65.24,25.53,20.79,8.01,8.96
85,-73.97,12.67,8.87,11.52,10.82,-62.46,24.77,20.08,7.25,7.61
86,-77.52,16.52,13.52,16.04,14.01,-82.55,26.17,22.54,11.69,12.60
87,-77.08,14.25,11.67,15.28,13.65,-50.67,21.44,16.63,5.09,6.20
88,-74.32,13.18,9.79,11.81,10.34,-66.74,25.32,21.72,11.04,12.10
89,-76.16,13.78,10.11,12.87,11.79,-65.93,24.09,19.96,9.11,10.29
90,-75.99,13.88,10.32,12.96,11.84,-66.93,24.03,20.15,9.54,10.40
91,-74.10,12.56,8.85,11.14,9.79,-65.52,24.30,20.57,9.86,10.49
92,-73.67,11.95,8.39,11.01,9.88,-60.18,23.20,19.20,8.42,9.02
93,-74.65,12.56,9.49,12.84,11.95,-60.29,23.38,20.44,9.27,8.98
94,-73.21,11.64,8.40,11.48,11.06,-62.58,24.35,21.35,10.33,9.68
95,-75.69,14.00,12.07,15.73,14.48,-67.69,23.97,21.25,11.40,11.30
96,-75.32,13.51,11.13,15.02,14.31,-62.30,23.51,20.57,10.11,9.82
97,-73.72,12.39,9.26,12.30,11.07,-66.33,24.93,22.23,11.72,11.00
98,-73.59,11.49,14.05,15.57,15.64,-25.81,21.51,26.30,14.99,8.38
99,-72.34,10.71,12.59,12.73,12.27,-26.71,22.46,25.89,14.58,8.72
100,-79.07,15.62,18.47,18.39,16.64,-22.78,22.51,26.04,15.81,10.35
101,-71.75,10.00,10.81,9.52,8.46,-32.30,23.64,27.53,16.08,9.24
102,-73.70,11.13,12.85,12.00,11.26,-26.37,22.68,26.07,14.95,8.59
103,-69.25,8.10,8.85,7.87,7.98,-26.01,22.22,25.47,13.74,7.01
104,-76.10,12.57,14.53,14.17,13.73,-37.82,24.90,29.03,18.89,12.95
105,-72.76,10.46,12.11,11.65,11.76,-24.25,21.98,25.14,14.34,8.33
106,-72.37,9.84,10.72,9.69,9.52,-26.93,22.24,25.33,14.14,7.89
107,-71.70,9.74,11.83,11.33,10.29,-23.95,21.13,24.06,13.24,7.68
108,-72.92,10.01,10.93,9.42,9.05,-26.11,22.01,24.70,13.12,7.13
109,-72.91,10.27,12.12,11.28,10.53,-28.97,22.59,25.44,14.48,8.59
110,-71.29,9.43,11.23,9.97,8.74,-28.85,22.49,25.69,14.97,9.15
111,-62.07,3.46,3.40,2.35,2.68,-20.05,19.12,20.57,7.54,0.82
112,-69.65,7.72,8.18,5.81,4.97,-36.79,24.59,28.12,17.02,10.16
113,-75.02,11.85,14.37,13.66,12.21,-27.47,22.45,25.64,15.94,9.95
114,-71.36,9.11,10.89,10.32,9.88,-30.21,22.86,26.12,15.47,9.20
115,-74.10,10.85,12.63,11.35,10.47,-32.32,23.63,27.15,17.00,10.74
116,-70.93,8.75,9.79,8.16,7.12,-28.66,22.70,25.46,14.54,8.18
117,-74.50,11.42,14.13,13.54,12.65,-31.25,23.10,26.37,16.67,10.83
118,-75.54,11.99,14.24,12.70,11.08,-38.13,24.60,28.48,19.09,13.16
119,-70.42,8.73,9.86,7.74,6.43,-30.56,23.32,26.41,15.96,9.50
120,-68.02,6.79,7.93,6.22,5.60,-34.20,23.47,26.64,16.06,9.81
121,-65.69,4.98,5.04,2.52,1.47,-39.68,25.13,28.64,17.56,10.38
122,-65.65,5.22,5.42,3.40,2.68,-33.50,23.18,26.57,15.20,7.99
123,-73.23,14.02,13.66,9.98,8.79,-68.43,24.63,25.73,14.01,10.86
124,-73.33,13.11,12.90,10.39,10.14,-56.30,24.01,24.16,12.15,8.70
125,-71.65,12.14,11.20,7.78,7.21,-58.36,25.05,25.44,13.57,9.78
126,-70.52,11.34,10.69,7.47,7.77,-57.38,25.23,25.90,13.84,9.85
127,-72.65,12.84,12.37,8.97,8.45,-59.46,25.09,25.38,13.50,9.70
128,-72.53,12.96,12.78,9.59,9.01,-60.33,25.39,25.96,14.40,10.79
129,-73.14,13.00,12.83,10.22,10.09,-60.02,25.12,25.85,14.30,10.67
130,-71.67,12.05,11.66,8.68,8.37,-60.11,25.23,26.09,14.37,10.70
131,-69.67,9.75,8.80,5.83,5.93,-46.45,22.62,22.30,9.58,5.52
132,-70.32,10.61,9.98,7.10,6.96,-53.53,23.89,24.11,11.73,7.93
133,-73.37,12.92,12.55,9.34,8.84,-61.49,24.90,25.69,13.56,10.27
134,-73.16,13.03,13.75,11.91,11.81,-56.73,23.60,23.95,12.50,9.47
135,-72.94,12.66,11.95,7.37,6.07,-63.31,25.40,26.11,14.56,10.55
136,-73.62,12.47,12.28,9.86,9.78,-50.59,22.23,22.11,10.31,6.97
137,-74.99,13.87,14.09,11.53,11.38,-59.41,23.90,24.37,13.15,10.08
138,-73.66,12.86,12.83,10.09,9.97,-58.05,23.68,23.70,11.90,8.34
139,-71.14,10.92,9.78,5.90,5.24,-55.99,24.07,24.36,12.03,8.22
140,-64.34,6.09,4.19,0.87,1.62,-43.12,21.40,20.58,6.70,2.43
141,-66.69,8.15,7.02,3.64,3.87,-51.89,23.71,23.66,10.63,6.28
142,-66.52,8.07,6.95,3.46,3.68,-56.57,24.96,25.06,12.57,8.31
143,-66.74,8.43,7.49,3.88,3.57,-55.32,24.60,24.71,12.49,8.37
144,-68.59,9.14,8.17,5.08,5.07,-55.56,24.39,24.34,11.95,7.96
145,-70.43,10.57,9.88,6.56,6.43,-56.26,24.04,24.03,11.73,7.82
146,-72.03,12.87,12.47,7.95,5.89,-72.29,27.29,28.49,17.34,13.25
147,-68.18,9.46,8.55,5.16,4.51,-59.29,25.22,25.43,13.52,9.09
148,-69.81,10.97,10.59,7.08,6.31,-64.44,26.09,26.85,15.42,11.25
149,-67.58,8.61,7.65,4.41,4.49,-54.97,24.23,24.25,11.88,7.69
150,-68.47,9.45,8.65,5.25,4.96,-56.42,24.56,24.69,13.00,8.76
151,-72.95,15.41,16.52,17.74,20.50,-34.09,26.19,27.76,15.99,6.65
152,-71.77,13.24,13.03,15.61,20.11,-9.78,20.90,20.90,8.65,2.62
153,-74.93,16.43,16.35,17.89,21.39,1.59,19.97,17.90,5.43,-1.02
154,-80.22,20.70,21.81,24.11,26.81,18.21,20.08,19.24,9.48,4.05
155,-85.25,21.67,21.30,20.90,22.37,12.97,22.28,22.11,13.57,6.87
156,-79.22,17.02,16.66,17.08,19.48,-13.52,21.68,21.68,12.14,5.86
157,-78.73,16.80,16.57,17.13,19.56,-8.76,20.33,20.79,10.74,4.14
158,-82.04,18.80,19.04,19.30,21.46,-12.05,21.71,22.87,12.91,5.91
159,-80.05,17.56,17.94,18.17,19.95,-31.87,23.85,25.72,16.21,9.23
160,-74.33,13.10,11.79,10.06,11.67,-36.63,24.46,26.20,15.68,7.99
161,-74.41,13.27,12.88,12.62,14.92,-31.10,22.43,23.31,13.18,6.33
162,-75.24,13.72,12.80,12.16,14.04,-28.91,22.12,22.85,12.56,5.79
163,-74.35,13.22,12.38,11.72,13.28,-30.47,22.52,23.13,13.16,6.09
164,-74.50,13.00,11.86,10.71,12.34,-34.20,23.25,23.92,13.37,6.69
165,-74.65,13.09,11.97,11.08,12.75,-27.61,22.08,22.39,12.22,5.35
166,-73.90,12.79,11.92,11.27,12.80,-28.27,22.22,22.72,12.71,6.15
167,-70.34,10.39,8.46,7.48,9.60,-25.43,20.98,20.68,9.56,2.57
168,-71.26,10.89,9.54,8.48,10.02,-33.56,23.00,23.45,13.02,6.20
169,-72.55,11.45,9.93,8.86,10.50,-36.07,23.43,23.74,13.14,5.81
170,-73.17,12.03,10.79,9.62,10.93,-36.37,23.33,23.76,13.62,6.59
171,-71.74,11.26,10.14,9.27,10.85,-32.85,22.62,23.11,12.98,6.10
172,-70.69,12.73,11.19,13.44,18.50,-66.25,27.43,26.63,13.30,6.77
173,-74.75,15.74,15.01,17.21,21.00,-66.99,26.72,26.31,14.46,8.01
174,-71.22,11.71,8.91,9.28,13.57,-53.69,24.84,24.57,11.33,4.05
175,-68.04,9.72,7.33,9.02,13.84,-52.95,24.86,24.63,11.35,3.98
176,-70.35,11.63,10.40,13.12,17.47,-45.20,22.53,22.58,9.62,2.73
177,-71.57,11.97,10.00,10.96,14.38,-45.62,22.76,22.88,9.76,2.02
178,-69.70,10.91,8.84,9.57,12.97,-54.89,25.33,25.56,13.21,5.57
179,-70.65,11.77,9.90,10.49,13.33,-59.73,26.07,26.27,14.14,6.88
180,-69.94,11.24,9.20,9.58,12.20,-59.61,26.20,26.48,14.54,7.31
181,-70.28,11.37,9.55,10.89,14.16,-55.57,25.27,24.85,12.84,5.74
182,-69.91,10.97,9.56,10.12,13.04,-51.81,27.50,26.53,14.27,7.10
183,-67.31,9.36,7.77,8.27,11.68,-54.79,28.72,27.93,15.77,8.46
184,-73.79,9.66,7.45,3.71,1.34,-53.88,23.41,22.16,8.60,5.69
185,-69.80,6.96,3.61,-0.40,-1.80,-50.77,23.90,22.82,8.07,4.68
186,-67.69,5.48,1.58,-2.18,-4.08,-48.37,23.16,22.12,7.50,4.04
187,-64.41,3.69,-0.48,-5.11,-7.43,-52.91,24.81,24.23,10.08,5.86
188,-70.89,7.74,3.18,-2.69,-6.22,-61.77,25.55,24.89,11.85,7.59
189,-64.86,2.91,-1.27,-3.65,-3.71,-43.13,21.17,19.17,4.66,0.96
190,-66.37,4.23,-0.09,-3.24,-4.63,-37.06,19.31,16.95,2.38,-0.97
191,-70.73,8.44,5.61,0.92,-2.79,-62.65,26.32,26.29,14.28,10.40
192,-70.91,7.41,4.33,0.67,-1.52,-45.36,23.72,22.09,8.83,5.21
193,-67.56,5.00,1.65,-2.01,-4.90,-52.27,24.41,23.05,13.27,7.44
194,-69.88,-2.36,-4.71,-10.60,-17.09,-66.59,23.69,23.51,15.32,9.09
195,-70.39,-2.08,-4.34,-10.09,-16.63,-67.21,23.50,23.04,14.89,8.69
196,-69.86,-2.49,-4.82,-10.71,-16.97,-65.99,23.37,23.10,14.84,8.47
197,-69.85,-2.65,-5.19,-11.20,-17.63,-64.39,23.09,22.83,14.60,8.36
