serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-60.73,6.02,-49.80,-56.65,-64.52,-10.64,10.46,-11.46,-49.95,-57.61
2,-55.44,2.58,-52.62,-57.36,-64.52,-11.96,8.96,-17.07,-57.34,-66.02
3,-56.77,3.02,-52.77,-57.77,-65.34,-14.13,10.02,-15.50,-55.79,-64.12
4,-55.68,2.37,-53.30,-57.82,-64.96,-14.16,9.34,-16.97,-58.01,-67.06
5,-55.51,2.68,-52.49,-57.32,-64.62,-12.39,8.74,-17.24,-57.75,-66.47
6,-55.85,2.49,-53.31,-58.00,-65.39,-12.07,8.79,-17.20,-58.82,-69.59
7,-54.91,2.02,-53.57,-57.90,-65.02,-13.72,9.07,-17.68,-58.47,-67.19
8,-54.98,2.00,-53.95,-58.92,-66.21,-14.86,9.39,-16.91,-58.51,-68.71
9,-54.16,1.97,-53.40,-57.34,-64.23,-11.94,8.10,-19.47,-60.23,-69.20
10,-52.91,0.85,-54.42,-58.25,-65.22,-14.14,8.76,-19.48,-60.81,-70.38
11,-54.11,1.68,-53.93,-58.06,-65.06,-13.33,8.48,-19.13,-61.46,-71.85
12,-53.43,2.15,-52.57,-55.82,-62.66,-9.77,7.08,-21.87,-62.47,-72.05
13,-53.07,1.56,-52.82,-56.12,-63.22,-12.16,7.18,-21.24,-61.10,-69.79
14,-49.67,1.30,-50.48,-51.45,-57.75,-4.35,3.66,-28.67,-66.80,-74.38
15,-53.43,-0.78,-59.80,-64.95,-70.87,-24.85,12.19,-14.08,-65.22,-83.38
16,-50.49,-1.53,-58.61,-61.06,-66.63,-19.85,9.62,-21.71,-68.96,-82.25
17,-61.76,3.51,-53.74,-65.75,-72.47,-30.96,17.53,1.97,-37.85,-52.59
18,-68.18,8.52,-48.92,-62.48,-69.67,-24.12,16.15,1.35,-35.04,-48.30
19,-63.88,5.67,-52.75,-64.70,-70.09,-23.40,14.20,-3.02,-45.27,-63.62
20,-52.04,-3.34,-63.96,-70.78,-71.03,-35.08,16.75,-6.39,-69.71,-97.38
21,-61.53,3.15,-56.62,-71.84,-78.02,-41.78,19.20,6.88,-37.60,-66.60
22,-62.72,4.21,-55.84,-69.61,-75.28,-37.02,17.29,2.76,-41.95,-68.47
23,-59.08,1.62,-58.50,-72.00,-77.13,-41.74,18.77,4.89,-42.86,-70.97
24,-62.03,5.76,-49.61,-58.54,-63.45,-11.68,9.14,-11.40,-50.03,-63.68
25,-57.91,2.74,-52.88,-59.86,-63.57,-16.34,9.34,-14.76,-56.29,-70.02
26,-60.61,4.81,-51.06,-60.20,-64.95,-12.81,9.70,-11.68,-52.09,-67.03
27,-55.62,-0.87,-61.63,-74.41,-77.76,-41.80,18.46,4.60,-50.54,-86.19
28,-56.91,0.09,-60.14,-70.39,-72.60,-35.05,15.28,-3.33,-58.56,-86.17
29,-53.68,-2.03,-62.69,-70.18,-71.03,-32.42,14.22,-8.29,-68.46,-94.58
30,-56.88,0.03,-60.81,-72.52,-75.52,-38.17,17.15,1.09,-54.32,-87.77
31,-53.87,-2.35,-64.45,-74.30,-73.22,-39.65,17.32,0.03,-66.58,-102.42
32,-56.90,0.50,-58.85,-67.24,-68.91,-28.08,11.85,-9.97,-64.31,-87.53
33,-58.58,1.93,-57.84,-66.84,-68.90,-26.94,12.84,-8.43,-61.16,-85.22
34,-61.58,3.81,-54.57,-65.13,-69.12,-24.21,12.76,-7.31,-53.68,-73.63
35,-56.03,-0.10,-60.05,-69.03,-71.17,-32.14,14.25,-6.62,-61.67,-87.20
36,-57.09,0.40,-60.02,-69.64,-71.87,-33.85,15.15,-4.78,-59.71,-86.69
37,-56.89,0.80,-58.74,-67.62,-69.91,-29.98,13.76,-7.79,-59.72,-82.71
38,-53.57,-1.86,-62.79,-71.19,-71.96,-33.93,14.78,-6.72,-68.12,-97.36
39,-53.61,-1.68,-62.49,-70.11,-70.66,-33.76,15.08,-7.68,-68.67,-95.79
40,-55.03,-0.11,-59.78,-67.46,-68.65,-27.51,12.52,-11.16,-66.44,-90.65
41,-53.15,-2.17,-63.59,-72.63,-73.10,-37.81,16.57,-3.14,-67.79,-99.18
42,-51.34,-3.01,-63.06,-69.43,-70.17,-31.44,14.03,-11.09,-70.99,-95.82
43,-52.90,-2.36,-62.94,-69.26,-69.13,-31.54,13.85,-11.11,-72.06,-97.66
44,-50.92,-4.30,-67.16,-75.07,-72.97,-42.40,17.89,-0.99,-78.75,-113.21
45,-50.54,-3.88,-65.89,-71.86,-69.60,-35.28,15.01,-9.05,-80.95,-110.07
46,-49.44,-2.89,-61.13,-64.88,-65.11,-24.54,10.49,-20.14,-75.94,-96.20
47,-50.22,-3.52,-64.63,-69.51,-68.74,-32.22,14.20,-12.90,-77.89,-101.98
48,-52.08,-2.11,-61.29,-68.40,-69.25,-30.22,14.28,-10.72,-68.94,-92.36
49,-52.19,-2.51,-62.95,-70.82,-70.79,-34.25,15.81,-6.96,-69.92,-97.59
50,-51.62,-2.78,-63.64,-70.76,-70.25,-34.19,15.42,-8.10,-72.81,-99.71
51,-50.70,-3.07,-63.70,-69.81,-69.34,-32.71,14.42,-11.12,-74.69,-100.35
52,-57.74,0.69,-53.19,-56.35,-60.57,-13.10,3.63,-26.59,-64.01,-81.63
53,-62.30,2.35,-55.63,-64.13,-69.61,-29.10,10.40,-10.92,-52.30,-79.05
54,-65.74,5.37,-50.24,-58.98,-66.08,-15.05,7.38,-12.70,-47.91,-67.90
55,-59.60,1.12,-55.30,-62.79,-67.74,-22.51,8.13,-15.41,-57.06,-82.64
56,-61.27,2.05,-54.78,-62.11,-67.43,-19.92,7.94,-15.16,-56.08,-81.83
57,-62.45,2.15,-57.58,-68.67,-74.00,-35.83,13.01,-3.88,-48.36,-83.49
58,-60.79,0.83,-58.61,-68.90,-73.69,-35.34,12.55,-5.41,-51.64,-87.60
59,-61.20,1.07,-58.43,-67.82,-72.09,-32.09,11.50,-7.87,-54.08,-88.70
60,-58.87,-0.90,-60.91,-69.90,-72.92,-35.74,12.61,-7.32,-57.56,-94.86
61,-62.14,1.95,-57.25,-67.94,-72.58,-32.00,11.58,-7.13,-52.16,-88.87
62,-66.08,4.55,-53.91,-65.96,-73.74,-33.58,12.40,-2.86,-39.42,-69.48
63,-59.51,0.69,-57.19,-65.16,-69.43,-26.02,9.20,-13.05,-57.02,-86.20
64,-59.99,0.47,-57.68,-65.65,-69.60,-27.25,9.58,-12.47,-56.66,-86.03
65,-59.39,0.13,-57.74,-65.13,-69.00,-26.54,9.32,-13.43,-58.17,-86.87
66,-59.14,0.34,-57.68,-65.49,-69.60,-27.31,9.38,-13.18,-57.16,-86.45
67,-58.39,-0.18,-57.60,-64.77,-68.86,-26.15,8.82,-14.82,-58.60,-87.17
68,-60.92,4.29,-50.38,-64.89,-74.68,-43.10,12.70,-4.45,-43.68,-69.16
69,-57.60,1.71,-55.59,-68.51,-75.74,-41.46,10.68,-5.85,-50.23,-86.04
70,-56.99,1.84,-61.00,-71.70,-76.94,-42.59,10.82,-3.99,-51.73,-99.87
