serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-49.13,-20.31,36.76,57.34,58.24,-85.08,1.39,-11.52,-28.87,-29.47
2,-46.04,-21.54,36.93,57.78,58.42,-87.30,2.65,-8.32,-25.58,-25.52
3,-49.98,-17.06,52.37,69.44,70.02,-93.25,3.94,-20.45,-35.90,-32.90
4,-41.19,-20.85,47.95,64.10,65.23,-94.90,5.67,-12.56,-22.99,-22.68
5,-44.38,-18.84,47.42,62.16,62.98,-97.30,4.88,-15.25,-27.05,-26.19
6,-49.06,-18.68,40.06,58.57,61.52,-91.92,0.60,-13.29,-27.84,-29.62
7,-46.83,-20.31,43.17,61.35,63.40,-91.24,2.10,-15.54,-31.69,-32.19
8,-46.78,-19.20,45.11,62.60,63.99,-91.63,2.60,-14.84,-30.11,-31.22
9,-47.04,-19.07,44.89,62.29,64.27,-89.82,1.83,-16.11,-31.05,-32.18
10,-47.08,-19.34,44.18,61.53,63.22,-89.21,1.78,-15.88,-30.98,-31.62
11,-45.29,-19.80,46.25,63.38,65.43,-93.05,4.78,-13.12,-24.99,-25.12
12,-51.13,-17.20,47.85,65.05,66.34,-91.03,1.50,-22.08,-40.31,-40.05
13,-49.82,-18.59,45.82,63.46,65.70,-86.55,0.08,-21.84,-42.09,-43.82
14,-43.12,-21.00,43.44,58.95,59.95,-92.68,4.41,-11.27,-24.00,-22.54
15,-46.96,-18.76,43.16,59.94,61.19,-88.63,0.68,-17.60,-36.36,-35.50
16,-45.32,-19.69,43.17,59.84,61.28,-88.96,1.92,-14.94,-30.29,-30.48
17,-45.76,-19.80,42.56,59.05,60.72,-87.78,1.22,-15.89,-31.82,-31.80
18,-57.29,-21.44,57.11,70.75,76.82,-85.14,11.15,-15.38,-24.96,-41.83
19,-53.72,-24.12,53.59,67.10,74.81,-81.75,12.04,-9.43,-17.65,-30.47
20,-56.48,-23.10,54.88,68.86,75.07,-82.24,9.82,-17.20,-29.23,-45.54
21,-56.03,-24.47,51.70,65.06,71.08,-77.93,8.95,-16.98,-30.24,-41.56
22,-55.25,-24.57,52.53,66.71,73.26,-76.63,9.09,-15.94,-29.08,-43.77
23,-54.11,-25.50,50.96,64.63,71.22,-76.21,8.94,-15.18,-26.92,-39.29
24,-55.55,-24.76,49.48,62.96,69.30,-75.64,7.37,-18.78,-33.04,-45.85
25,-55.51,-24.12,51.79,65.12,70.82,-77.28,8.31,-17.04,-28.77,-40.50
26,-54.70,-23.51,53.44,66.73,73.22,-81.77,9.99,-14.33,-24.36,-36.70
27,-52.64,-25.12,51.43,64.29,70.79,-81.07,10.38,-13.17,-22.09,-32.36
28,-53.93,-24.82,51.39,64.71,71.00,-77.51,8.94,-15.42,-26.91,-37.97
29,-54.42,-24.75,50.57,63.78,70.03,-79.34,9.02,-15.43,-27.20,-38.04
30,-53.84,-24.54,51.45,64.09,70.49,-80.58,10.33,-12.67,-22.40,-32.31
31,-54.07,-24.70,51.58,64.85,70.74,-78.94,9.38,-13.84,-24.75,-34.72
32,-56.29,-23.52,51.59,64.76,70.47,-78.44,7.87,-18.45,-31.25,-43.25
33,-52.65,-25.90,49.50,62.35,68.18,-75.94,8.68,-14.37,-25.37,-34.65
34,-54.40,-25.06,50.02,63.05,68.74,-74.76,7.07,-18.48,-31.76,-42.65
35,-54.40,-25.14,49.66,62.63,68.14,-74.84,7.28,-17.89,-30.29,-40.25
36,-54.02,-25.32,49.88,62.89,68.62,-76.08,7.96,-15.96,-28.23,-37.90
37,-51.45,-26.88,48.51,60.91,66.91,-77.65,9.26,-12.67,-23.35,-30.97
38,-51.89,-26.45,48.59,61.16,66.92,-77.91,9.20,-13.15,-24.21,-32.16
39,-50.55,-27.51,47.09,59.38,65.40,-77.60,9.70,-11.78,-22.43,-29.32
40,-52.85,-26.40,48.02,60.98,66.59,-71.87,6.70,-17.27,-30.66,-39.77
41,-53.23,-26.47,46.98,59.39,63.99,-70.13,5.72,-19.37,-34.67,-42.54
