serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-65.52,10.71,34.26,46.32,56.82,-41.99,4.33,-13.36,-20.26,-21.06
2,-66.43,10.66,34.61,47.08,57.46,-47.69,5.59,-11.73,-17.37,-16.81
3,-59.90,6.48,28.58,39.70,50.39,-52.22,7.63,-8.39,-13.03,-11.65
4,-63.09,9.40,32.80,44.20,55.07,-48.52,7.07,-10.20,-16.60,-16.74
5,-65.68,11.01,34.58,45.62,56.37,-49.17,6.94,-9.87,-15.62,-16.22
6,-64.03,10.14,33.26,43.88,54.40,-49.40,7.07,-9.77,-15.59,-15.48
7,-65.08,10.90,34.22,45.47,56.08,-49.42,7.04,-9.66,-15.48,-15.27
8,-63.43,9.78,32.77,43.63,54.28,-50.21,7.40,-8.90,-13.98,-13.45
9,-63.47,9.83,32.56,43.25,53.96,-52.05,8.08,-8.14,-12.75,-11.82
10,-66.52,11.79,35.35,46.35,56.93,-52.82,8.30,-7.62,-12.42,-11.63
11,-66.25,11.61,34.96,46.03,56.81,-51.01,7.55,-8.97,-14.06,-13.58
12,-66.27,11.64,35.03,46.30,56.73,-49.83,7.10,-9.69,-14.83,-14.60
13,-66.36,11.59,34.92,45.85,56.26,-49.77,7.19,-9.69,-14.61,-14.49
14,-65.97,11.23,34.60,45.58,56.21,-48.88,6.78,-10.17,-15.48,-15.42
15,-64.85,10.95,34.08,45.19,55.94,-47.07,6.53,-10.22,-15.47,-15.30
16,-65.56,11.41,34.55,45.31,56.17,-44.11,5.53,-12.37,-18.17,-18.84
17,-64.10,10.27,34.02,45.08,55.43,-39.66,4.16,-14.43,-20.40,-21.15
18,-65.46,10.84,34.27,45.00,55.14,-43.37,5.09,-13.28,-19.02,-19.66
19,-64.68,10.20,33.51,44.15,54.87,-45.45,5.58,-11.85,-16.95,-17.25
20,-64.53,10.17,33.15,43.83,54.50,-45.45,5.81,-11.91,-17.01,-17.36
21,-64.58,10.14,33.30,43.04,53.56,-42.88,5.72,-12.49,-18.68,-17.66
22,-71.34,13.31,65.29,76.73,81.01,-20.59,2.05,-29.40,-45.44,-62.67
23,-73.44,14.14,64.51,75.59,79.46,-19.49,2.13,-32.94,-51.66,-69.70
24,-71.89,12.81,62.09,73.95,78.34,-28.69,3.66,-25.28,-35.34,-45.64
25,-68.89,10.84,59.67,71.07,75.67,-23.28,1.43,-29.88,-39.69,-48.20
26,-70.43,11.24,61.86,72.94,76.83,-32.13,3.97,-24.60,-31.71,-33.90
27,-72.29,12.62,62.17,73.58,77.49,-37.14,5.10,-18.82,-23.54,-24.37
28,-73.41,12.69,61.49,72.52,76.46,-43.76,5.91,-19.21,-23.61,-23.71
29,-72.33,12.37,61.22,72.79,76.80,-37.05,4.98,-20.04,-25.25,-25.55
30,-73.15,12.93,62.05,73.32,77.17,-36.70,4.73,-20.19,-26.45,-27.44
31,-72.43,12.42,60.82,71.81,75.74,-36.58,4.77,-19.31,-24.12,-24.48
32,-73.02,12.82,60.65,71.99,75.82,-37.37,4.99,-17.89,-23.13,-23.30
33,-67.62,13.11,59.77,71.74,75.59,-15.88,5.22,-20.35,-27.99,-28.07
34,-71.02,14.84,60.01,72.47,76.31,-20.64,4.83,-18.09,-24.40,-25.08
35,-72.20,15.68,60.17,72.01,76.38,-20.47,4.66,-17.94,-25.37,-26.25
36,-72.30,15.21,59.07,69.36,74.32,-23.27,5.11,-17.22,-22.58,-23.19
37,-71.57,15.09,58.35,68.02,72.39,-21.93,4.70,-18.98,-25.12,-25.14
38,-71.27,14.88,57.96,67.69,72.14,-21.12,4.37,-19.31,-25.26,-25.94
39,-71.52,15.12,58.08,67.84,72.47,-20.22,4.20,-19.62,-25.50,-26.03
40,-72.00,15.74,59.18,68.88,73.33,-18.35,3.91,-20.45,-27.47,-28.79
41,-64.79,7.24,54.66,65.76,68.64,-52.33,9.29,-20.99,-28.16,-26.84
42,-67.79,9.96,56.91,70.14,72.40,-48.33,7.96,-22.25,-38.50,-38.12
43,-65.96,8.46,54.10,67.88,70.38,-48.25,8.02,-19.31,-32.12,-32.93
44,-64.18,7.27,52.57,66.23,68.57,-59.53,10.95,-11.12,-16.68,-14.72
45,-60.26,4.27,47.97,61.41,64.02,-55.29,9.69,-13.35,-19.11,-17.87
46,-63.32,6.52,50.61,63.50,66.20,-43.66,6.20,-21.65,-33.75,-34.00
47,-62.84,6.45,50.25,63.18,65.84,-42.25,5.67,-22.73,-34.57,-35.09
48,-62.82,6.12,50.05,63.23,65.70,-47.20,7.34,-18.79,-29.14,-28.62
49,-61.37,5.25,49.03,62.88,66.09,-47.31,7.40,-18.23,-28.65,-28.10
50,-65.09,7.62,52.25,65.47,67.93,-52.65,8.78,-16.82,-26.63,-26.21
51,-64.20,7.27,52.30,66.15,68.21,-51.69,8.91,-16.14,-26.42,-26.89
52,-64.09,6.98,50.91,64.05,66.86,-46.28,7.16,-20.52,-32.48,-33.03
53,-64.95,7.64,50.96,63.16,65.49,-42.02,5.55,-23.77,-36.42,-35.91
54,-63.76,7.04,50.68,63.19,65.75,-40.33,5.34,-24.77,-39.16,-39.34
55,-63.86,7.27,51.43,64.46,66.81,-41.15,5.85,-22.52,-35.65,-35.64
56,-63.51,7.06,50.14,61.79,64.07,-37.58,4.35,-26.37,-40.92,-41.24
57,-60.17,4.99,46.75,58.30,61.02,-34.16,2.77,-28.17,-40.91,-41.49
58,-59.31,4.72,46.37,58.11,61.30,-32.05,2.30,-29.53,-43.53,-44.37
59,-62.46,6.51,48.93,60.49,63.00,-34.11,3.16,-28.48,-42.17,-42.45
60,-61.27,5.87,48.14,58.88,61.76,-34.80,3.02,-27.95,-38.67,-38.90
61,-59.59,4.88,46.03,55.98,58.83,-32.40,2.01,-29.80,-41.41,-40.98
62,-60.08,5.47,47.10,57.47,60.46,-31.48,1.81,-30.31,-42.88,-42.86
63,-58.53,4.07,45.68,56.06,58.71,-37.58,3.81,-25.56,-35.16,-34.42
64,-58.34,3.72,46.50,58.38,61.98,-40.70,4.84,-24.45,-30.95,-31.52
65,-59.10,4.02,46.79,58.71,62.05,-41.95,5.31,-23.44,-29.54,-29.33
66,-57.71,3.19,45.74,57.04,60.39,-40.76,4.89,-24.00,-30.41,-30.74
67,-62.80,5.65,50.42,62.40,65.47,-51.88,8.15,-18.62,-22.58,-22.27
68,-59.59,3.64,47.76,58.79,61.62,-46.67,5.63,-20.85,-25.66,-25.46
69,-59.98,3.68,48.76,60.33,63.79,-48.39,5.82,-21.10,-23.34,-24.01
70,-59.50,3.35,48.22,59.67,62.86,-44.06,4.50,-23.35,-26.70,-27.77
71,-59.88,3.41,48.23,59.39,62.60,-41.21,3.82,-24.38,-28.55,-28.84
72,-59.59,3.12,48.47,59.78,62.87,-43.96,4.83,-21.18,-24.21,-24.27
73,-63.56,8.43,44.43,55.25,48.07,-56.63,-2.07,-20.39,-39.02,-30.08
