serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-43.98,38.30,-63.15,-64.67,59.78,23.91,-8.48,2.82,-0.96,-68.72
2,-55.88,54.26,-51.80,-54.28,79.11,33.41,3.81,14.29,16.31,-83.63
3,-48.85,47.04,-55.35,-57.43,82.15,26.67,-11.28,7.09,8.62,-64.81
4,-49.08,44.28,-55.70,-57.24,87.04,26.01,-8.87,11.13,14.23,3.00
5,-46.63,39.94,-57.01,-58.87,82.98,26.66,-8.94,9.63,10.85,-39.20
6,-43.73,36.32,-59.01,-60.09,78.97,25.36,-9.47,3.78,4.23,-45.16
7,-43.75,33.09,-61.11,-63.14,73.94,22.50,-7.11,5.81,6.07,-32.31
8,-45.83,31.75,-59.75,-61.57,75.00,22.86,-4.46,8.55,8.96,-27.39
9,-47.17,30.04,-60.18,-62.37,72.21,22.38,-2.12,10.92,12.17,-24.54
10,-45.29,30.67,-60.47,-62.72,71.41,23.72,-3.17,7.05,7.01,-34.42
11,-46.19,26.90,-60.16,-62.11,72.03,23.16,-0.62,8.08,7.94,-32.63
12,-49.30,27.11,-60.33,-63.18,71.07,20.68,2.70,16.97,17.93,-18.17
13,-44.88,23.56,-62.54,-65.07,67.61,20.56,-0.16,8.62,8.36,-29.10
14,-42.19,23.28,-61.61,-64.10,65.86,24.61,-2.64,1.82,0.31,-38.40
15,-46.90,25.40,-62.84,-65.29,67.09,18.74,0.77,12.66,11.94,-27.68
16,-45.73,35.07,-61.00,-62.57,71.51,21.61,-6.39,6.35,5.05,-44.63
17,-45.70,30.24,-62.82,-65.03,68.27,18.73,-3.91,8.08,7.34,-35.44
18,-42.56,27.66,-65.59,-68.32,63.20,17.69,-4.20,4.76,2.90,-35.23
19,-44.29,25.72,-65.00,-67.48,65.40,17.68,-2.19,8.13,7.75,-31.47
20,-43.60,24.69,-65.10,-67.63,64.20,18.10,-2.18,7.08,6.52,-31.37
21,-44.55,31.22,-65.20,-64.90,57.60,21.40,1.39,20.27,16.50,-28.02
22,-41.85,33.12,-65.14,-64.66,57.55,23.27,-2.20,11.21,7.19,-40.04
23,-39.14,29.49,-65.51,-64.84,55.84,24.42,-3.73,4.56,0.58,-42.10
24,-36.93,25.87,-67.62,-66.44,53.20,22.47,-3.83,-0.24,-5.14,-40.16
25,-38.71,26.40,-67.70,-67.32,52.76,22.02,-2.21,4.17,-0.99,-36.43
26,-38.98,34.16,-64.47,-60.83,76.02,23.92,-7.59,1.56,0.88,-60.90
27,-39.52,34.23,-64.72,-62.02,74.59,24.75,-6.70,3.82,3.63,-50.10
28,-37.28,32.07,-66.02,-64.39,61.83,23.95,-8.06,-3.05,-5.19,-40.05
29,-37.43,31.91,-65.74,-63.37,63.14,23.50,-8.44,-5.31,-7.13,-46.49
30,-37.17,31.20,-65.97,-63.59,62.51,24.02,-8.00,-5.47,-6.74,-44.87
31,-37.60,30.71,-66.34,-64.65,61.48,23.88,-7.41,-3.43,-5.08,-40.12
32,-37.55,30.74,-66.41,-64.22,63.33,22.84,-6.92,-3.21,-4.99,-42.00
33,-38.47,30.72,-66.79,-64.88,61.71,22.92,-6.85,-0.69,-2.71,-38.62
34,-39.27,29.05,-66.93,-65.13,61.11,22.47,-5.54,0.46,-1.64,-37.61
35,-38.49,26.16,-67.54,-65.95,59.73,22.24,-4.35,0.17,-1.87,-35.27
