serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-48.79,16.73,7.69,-8.02,-14.29,1.56,-9.14,-31.00,-49.30,-53.04
2,-22.85,9.52,10.38,-6.23,-12.81,17.53,-8.57,-30.22,-45.20,-48.24
3,-22.07,8.22,8.02,-6.39,-11.26,15.61,-10.17,-32.45,-46.94,-50.19
4,-18.63,8.03,7.44,-4.31,-7.90,16.87,-14.14,-38.30,-52.85,-55.66
5,-14.00,6.10,4.02,-9.53,-12.05,19.20,-15.92,-39.15,-55.64,-58.70
6,-12.50,5.84,4.98,-7.47,-10.87,19.42,-15.99,-39.54,-57.10,-59.72
7,-10.92,4.88,4.38,-8.11,-11.01,18.78,-16.75,-40.36,-57.14,-59.33
8,-10.29,5.52,5.43,-6.55,-9.20,19.22,-16.95,-40.90,-58.11,-60.49
9,-10.75,4.29,2.84,-8.99,-11.38,18.62,-17.02,-40.74,-58.65,-61.23
10,-10.38,4.94,4.40,-6.90,-9.33,19.28,-17.79,-41.43,-59.01,-61.17
11,-12.11,3.87,2.23,-9.99,-12.81,18.15,-15.93,-39.41,-58.05,-60.63
12,-9.79,2.01,-1.15,-12.77,-15.16,16.96,-16.11,-39.47,-59.61,-63.14
13,-9.90,3.83,3.84,-6.67,-9.50,18.08,-18.52,-42.52,-60.32,-62.44
14,-12.53,3.72,2.93,-9.96,-13.18,18.05,-15.58,-38.79,-57.25,-60.31
15,-9.87,3.22,1.87,-10.57,-12.34,18.93,-17.05,-40.70,-59.47,-62.52
16,-10.76,3.93,2.34,-9.51,-13.17,19.94,-17.46,-41.09,-59.54,-61.63
17,-10.43,3.89,3.46,-8.16,-11.74,20.10,-17.75,-41.01,-59.03,-61.14
18,-10.81,3.64,3.00,-9.36,-12.47,18.76,-17.12,-40.62,-59.05,-61.50
19,-11.64,2.97,1.13,-11.03,-13.99,18.08,-16.40,-39.84,-58.95,-61.35
20,-12.10,1.84,-0.44,-12.62,-15.71,15.01,-15.39,-38.05,-58.52,-61.70
21,-13.29,2.37,0.16,-12.60,-15.47,16.68,-16.42,-39.54,-59.40,-62.55
22,-6.11,4.48,2.51,-1.96,-4.08,25.25,-18.45,-45.02,-60.87,-63.13
23,-7.37,3.35,1.19,-2.99,-5.73,24.31,-17.21,-43.00,-59.52,-61.56
24,-7.21,2.10,-1.37,-5.76,-9.00,23.47,-17.93,-43.79,-61.20,-62.88
25,-5.94,1.93,-1.05,-5.46,-8.33,24.68,-18.25,-44.15,-61.52,-63.11
26,-7.11,0.87,-3.08,-8.25,-10.93,23.47,-17.58,-43.47,-61.35,-63.75
27,-5.39,0.60,-1.63,-6.08,-9.14,22.98,-18.66,-45.42,-61.98,-63.27
28,-7.15,-0.62,-4.67,-9.39,-12.48,21.97,-17.78,-44.80,-61.85,-63.74
29,-6.32,-1.08,-5.88,-10.06,-12.70,21.50,-18.69,-46.03,-63.34,-65.03
30,-5.86,-2.81,-6.88,-11.37,-14.03,19.97,-17.93,-45.15,-63.31,-65.13
31,-5.07,-2.47,-5.58,-9.91,-12.68,21.12,-19.10,-46.44,-64.36,-66.26
32,-5.80,-2.75,-7.27,-11.61,-13.36,20.60,-18.72,-46.12,-65.03,-67.35
33,-5.35,-2.33,-5.84,-9.87,-12.25,20.70,-19.03,-46.62,-65.35,-67.29
34,-5.41,-4.19,-9.56,-12.01,-13.37,19.45,-18.53,-45.68,-65.41,-67.86
35,-4.11,-3.79,-8.63,-12.54,-13.48,18.86,-18.55,-46.03,-66.18,-69.33
36,-3.78,-3.35,-8.44,-12.66,-13.95,20.39,-18.72,-45.80,-65.97,-69.03
37,-4.52,-3.38,-8.72,-13.43,-14.50,19.99,-18.38,-45.68,-66.06,-68.91
38,-4.53,-4.36,-9.67,-12.80,-13.30,19.23,-18.44,-45.80,-66.84,-69.49
39,-4.45,-3.79,-8.82,-13.10,-14.14,19.39,-18.56,-45.86,-66.21,-69.09
40,-3.96,-3.81,-9.02,-13.00,-13.99,19.51,-18.33,-45.71,-66.10,-68.63
41,-5.02,-3.50,-7.99,-12.00,-13.55,19.25,-19.08,-46.41,-65.71,-67.94
42,-9.98,5.18,4.21,-10.35,-17.46,23.32,-13.84,-35.28,-49.96,-51.78
43,-10.61,4.55,1.63,-12.84,-19.27,22.44,-14.77,-36.27,-52.10,-54.47
44,-10.57,4.15,1.48,-14.31,-21.51,22.13,-14.28,-35.13,-51.43,-54.61
45,-11.92,3.27,0.61,-15.73,-23.21,19.04,-13.91,-34.50,-51.20,-54.82
46,-12.35,0.27,-3.24,-19.53,-25.46,14.04,-13.23,-32.58,-51.96,-56.99
47,-12.37,3.15,1.31,-13.84,-21.09,20.29,-14.66,-34.43,-51.26,-54.70
48,-11.04,1.44,-0.57,-16.35,-23.29,18.24,-14.27,-33.67,-52.06,-56.41
49,-8.72,-0.38,-3.35,-18.15,-23.98,16.53,-15.96,-35.59,-55.18,-59.76
50,-10.60,0.74,-2.12,-18.14,-24.43,16.41,-14.72,-33.86,-53.45,-58.41
51,-9.38,0.05,-3.20,-18.43,-24.17,16.32,-15.19,-34.54,-54.56,-59.50
52,-7.22,-0.50,-3.77,-17.19,-23.31,16.10,-17.38,-36.03,-55.41,-59.30
53,-10.77,0.31,-3.02,-16.47,-22.64,16.43,-16.30,-34.77,-53.88,-57.15
54,-10.55,1.09,-1.94,-16.14,-22.82,16.45,-16.11,-34.36,-53.01,-56.92
55,-13.05,2.65,-0.16,-13.34,-19.63,19.09,-16.24,-35.26,-52.78,-55.92
56,-10.44,1.58,-1.60,-14.11,-20.11,19.67,-16.92,-36.33,-54.12,-56.92
57,-11.98,1.44,-1.64,-15.48,-21.14,18.62,-16.13,-34.85,-53.29,-56.89
58,-8.75,1.16,-1.90,-14.24,-19.66,20.78,-17.40,-36.47,-54.79,-57.86
59,-10.39,0.14,-3.76,-17.45,-22.98,18.16,-16.13,-35.09,-54.30,-58.62
60,-11.43,0.44,-4.79,-18.98,-23.72,16.49,-16.70,-35.04,-55.51,-59.90
61,-9.65,-0.82,-4.54,-16.60,-20.87,17.61,-17.35,-36.49,-56.30,-60.13
62,-5.11,8.75,6.32,0.89,-6.29,24.85,-10.41,-35.21,-53.98,-58.79
63,-12.73,9.14,5.88,-2.42,-9.98,23.08,-7.56,-31.22,-49.18,-53.89
64,-12.16,7.58,4.86,-4.01,-9.71,22.58,-7.46,-30.68,-49.04,-54.15
65,-9.49,6.25,3.95,-5.29,-11.39,21.29,-8.90,-32.42,-50.59,-55.59
66,-7.71,5.18,1.54,-7.20,-12.36,22.16,-9.28,-32.59,-52.21,-57.03
67,-10.80,7.22,3.61,-6.37,-11.59,22.18,-9.28,-32.44,-50.88,-55.52
68,-9.38,4.63,1.30,-7.82,-12.17,20.14,-9.51,-32.55,-52.07,-56.26
69,-10.67,3.99,-0.63,-11.38,-15.96,19.14,-8.79,-31.57,-51.73,-56.89
70,-13.60,6.68,4.51,-5.88,-11.51,21.95,-7.39,-29.53,-48.00,-51.42
71,-10.31,2.39,-0.74,-11.14,-15.24,18.99,-8.17,-30.47,-50.52,-54.68
72,-11.89,2.99,-0.09,-11.91,-17.05,19.69,-8.31,-30.05,-50.13,-54.78
73,-11.32,0.81,-2.55,-14.45,-17.92,18.09,-11.20,-33.04,-53.84,-57.61
74,-8.93,-1.55,-4.13,-13.26,-15.09,18.05,-11.19,-33.57,-54.22,-56.83
75,-12.07,-1.68,-5.78,-16.06,-18.47,17.68,-10.19,-32.23,-53.33,-56.49
76,-8.53,-3.03,-6.47,-15.48,-17.02,17.07,-10.44,-32.52,-54.45,-57.26
77,-6.33,-2.91,-5.81,-13.49,-14.97,18.45,-12.00,-34.32,-55.88,-58.07
78,-9.60,-3.18,-7.21,-16.35,-18.13,16.79,-10.89,-33.27,-55.16,-58.05
79,-10.15,-2.98,-7.73,-17.71,-20.34,16.52,-10.76,-32.69,-54.38,-58.08
80,-10.25,-3.57,-9.07,-18.64,-20.58,17.12,-11.05,-32.76,-54.90,-58.46
81,-7.66,-3.86,-8.25,-16.75,-18.78,17.11,-11.82,-33.94,-55.77,-58.96
82,-8.78,-3.05,-7.37,-16.27,-18.26,18.11,-11.56,-33.60,-55.25,-58.28
83,3.11,3.57,2.56,-10.60,-15.12,22.93,-15.16,-39.57,-58.83,-61.42
84,2.48,1.58,-0.31,-13.19,-16.88,21.56,-14.41,-38.15,-58.96,-61.67
85,0.38,4.24,1.92,-12.58,-16.92,25.39,-13.88,-37.73,-57.37,-60.68
86,1.75,2.40,0.89,-12.40,-15.98,23.69,-15.19,-39.29,-59.87,-62.76
87,4.01,2.84,3.21,-7.42,-7.84,25.32,-16.34,-40.84,-61.25,-64.25
88,-0.61,2.29,0.80,-12.78,-15.19,26.62,-14.62,-37.44,-58.68,-61.92
89,-1.41,-8.21,-11.12,-18.49,-18.86,22.40,-19.73,-40.33,-64.90,-68.33
90,-2.04,-4.92,-7.24,-13.66,-15.43,24.64,-20.20,-40.51,-63.78,-65.98
91,-2.17,-5.27,-8.07,-14.31,-15.46,24.59,-20.05,-40.21,-63.90,-66.06
92,-1.26,-5.27,-7.68,-13.58,-15.19,26.05,-20.14,-40.21,-63.88,-66.05
93,-2.58,-5.67,-8.38,-15.02,-16.57,26.80,-20.20,-40.12,-64.08,-66.61
94,-1.33,-5.62,-8.45,-14.57,-15.90,24.03,-20.37,-40.69,-64.21,-66.61
95,-1.47,-6.13,-9.33,-16.04,-17.18,25.24,-20.22,-40.29,-64.06,-66.56
96,-1.93,-5.51,-8.37,-15.41,-16.79,25.37,-20.14,-40.45,-63.80,-66.45
97,-2.21,-6.00,-8.82,-16.39,-17.82,25.06,-20.68,-40.60,-64.01,-66.66
98,-1.29,-6.62,-9.71,-16.96,-18.06,25.36,-20.83,-40.55,-64.13,-66.98
99,-3.96,-6.25,-9.41,-17.47,-18.54,23.56,-19.76,-39.74,-63.43,-66.37
100,-6.60,6.71,3.71,-4.17,-8.56,24.33,-16.43,-41.27,-59.97,-63.39
101,-2.92,4.66,1.03,-4.76,-6.99,23.61,-15.87,-40.73,-61.10,-64.90
102,-5.49,5.53,2.16,-6.29,-8.74,22.48,-15.52,-40.20,-59.61,-63.20
103,-2.71,4.13,0.65,-5.43,-8.04,23.43,-16.23,-42.15,-62.30,-65.62
104,-4.47,3.18,-0.72,-7.87,-9.65,21.37,-16.04,-40.79,-61.59,-65.65
105,-6.85,3.51,-0.68,-9.96,-12.06,21.90,-15.06,-38.77,-58.90,-62.96
106,-4.47,3.91,1.05,-6.61,-8.04,24.59,-16.47,-41.12,-60.66,-63.78
107,-3.37,1.30,-2.54,-10.63,-11.98,21.51,-15.70,-40.01,-61.25,-64.07
108,-2.97,0.82,-3.00,-10.99,-12.53,21.37,-15.85,-39.99,-61.34,-63.91
109,-3.82,0.98,-2.22,-10.31,-11.92,21.81,-15.81,-39.87,-61.37,-64.00
110,-3.59,1.87,-0.67,-8.58,-10.26,23.18,-16.27,-39.91,-60.50,-62.68
111,-4.28,1.60,-1.19,-9.41,-11.14,23.20,-16.66,-40.62,-61.08,-63.75
112,-3.41,0.91,-1.78,-9.39,-10.85,23.28,-17.20,-41.16,-61.82,-64.25
113,-3.81,0.32,-3.11,-11.47,-12.85,21.83,-16.71,-40.40,-61.52,-64.24
114,-4.23,0.37,-3.38,-11.34,-12.36,21.90,-16.20,-40.34,-61.72,-64.67
115,-3.30,0.43,-2.93,-10.29,-10.47,22.66,-16.88,-40.86,-62.05,-64.92
116,-2.28,0.76,-1.87,-9.35,-10.06,23.03,-17.23,-41.43,-62.48,-65.24
117,-6.29,1.71,-0.94,-9.48,-10.41,23.78,-15.18,-38.66,-59.22,-61.68
118,-5.05,1.82,-0.54,-9.16,-10.47,24.47,-16.14,-39.37,-59.27,-61.91
119,-5.65,1.23,-2.33,-11.50,-13.23,22.88,-15.75,-39.15,-59.19,-61.90
120,-6.34,1.79,-2.11,-11.04,-12.04,24.15,-18.01,-40.49,-60.36,-63.13
121,-4.23,0.57,-1.67,-8.87,-8.99,24.66,-18.55,-41.37,-62.11,-64.62
122,-5.92,-0.41,-4.16,-11.74,-11.54,22.70,-17.09,-39.76,-61.50,-64.84
123,-3.69,-1.67,-6.01,-14.31,-14.31,22.36,-18.01,-40.83,-63.03,-66.48
124,-3.31,-0.74,-3.80,-10.93,-10.83,22.68,-18.79,-42.08,-63.61,-66.37
125,-3.31,0.42,-2.70,-9.67,-9.60,25.05,-19.07,-42.36,-63.67,-66.43
126,-4.39,-1.38,-6.08,-14.08,-14.12,22.74,-17.63,-39.65,-62.29,-65.30
127,-2.75,-2.62,-6.31,-12.70,-12.06,22.39,-19.21,-41.71,-64.23,-67.16
128,-14.56,3.46,0.23,-12.89,-13.40,21.03,-13.37,-37.38,-59.70,-63.17
129,-14.82,1.95,-1.14,-15.30,-16.58,19.93,-13.55,-37.32,-59.58,-63.37
130,-11.19,1.46,-2.33,-14.65,-14.99,21.73,-14.98,-39.18,-62.60,-66.07
131,-12.96,2.81,-2.31,-16.88,-17.43,20.36,-13.21,-36.99,-60.58,-64.63
132,-12.79,1.26,-3.42,-17.47,-17.80,19.40,-13.13,-37.15,-60.64,-64.19
133,-11.92,2.72,-1.03,-14.09,-14.78,21.30,-14.29,-38.35,-61.59,-64.92
134,-10.74,1.95,-1.35,-14.86,-15.85,21.44,-14.16,-38.14,-61.34,-64.46
135,-10.47,1.65,-2.18,-15.10,-15.74,21.00,-14.48,-38.47,-61.75,-64.86
136,-11.65,1.52,-2.48,-15.69,-16.14,21.68,-14.61,-38.38,-61.64,-64.84
137,-10.80,2.01,-1.84,-15.46,-16.88,22.73,-15.52,-39.46,-61.68,-64.83
138,-10.54,0.93,-3.47,-15.93,-16.29,21.02,-14.69,-38.76,-62.76,-66.05
139,-9.05,0.34,-3.82,-15.05,-15.33,21.53,-15.29,-39.37,-63.29,-66.12
140,-11.14,1.66,-1.86,-13.94,-14.98,22.88,-14.91,-38.93,-61.65,-64.11
141,-9.09,1.09,-1.98,-12.91,-13.72,22.92,-15.85,-40.09,-62.62,-64.50
142,-8.32,0.42,-3.19,-15.05,-16.42,21.88,-15.75,-39.97,-63.23,-65.91
143,-7.98,0.53,-2.72,-13.36,-13.99,23.39,-16.47,-40.92,-63.75,-65.94
144,-7.15,0.18,-4.38,-14.03,-14.81,23.14,-16.81,-40.86,-63.92,-66.49
145,-7.32,-0.30,-3.26,-13.11,-13.43,22.61,-16.63,-41.15,-64.38,-67.00
146,-7.98,-0.17,-3.90,-14.50,-15.33,22.10,-15.85,-40.21,-63.77,-66.15
147,-8.18,-0.30,-3.55,-14.22,-14.95,21.90,-16.02,-40.53,-63.67,-66.40
148,-7.05,-0.67,-4.15,-14.76,-15.44,22.06,-16.51,-40.97,-64.02,-66.52
149,-7.17,-1.01,-4.63,-15.21,-15.80,21.60,-16.22,-40.67,-64.57,-67.02
150,-7.60,-1.20,-4.86,-15.66,-16.14,21.04,-15.97,-40.10,-63.98,-66.63
151,-7.57,-1.17,-5.50,-16.66,-17.26,21.51,-15.79,-39.96,-64.10,-66.99
152,-6.75,-0.34,-3.02,-12.93,-13.58,22.06,-16.73,-41.24,-64.28,-66.17
153,-7.06,-0.05,-2.67,-13.53,-14.29,22.95,-16.68,-40.50,-63.37,-65.51
154,-19.33,4.10,2.23,-16.75,-18.97,24.77,-14.31,-40.86,-61.62,-65.45
155,-18.54,4.20,2.60,-14.46,-17.22,26.05,-15.33,-41.96,-63.54,-65.63
156,-16.89,3.46,1.42,-14.79,-17.89,25.66,-15.52,-42.18,-63.08,-65.84
157,-16.63,2.40,-1.07,-16.17,-18.98,25.11,-15.74,-42.24,-63.87,-66.76
158,-15.72,1.75,-2.24,-14.94,-17.82,25.04,-16.22,-42.78,-64.22,-66.95
159,-16.15,0.84,-4.88,-16.62,-19.49,24.96,-16.14,-42.00,-63.76,-67.03
160,-14.99,0.00,-5.23,-15.52,-18.07,25.40,-16.86,-42.87,-64.73,-67.32
