serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-63.09,-8.01,-10.13,0.84,7.23,152.72,-47.23,-73.54,-97.80,-86.08
2,-61.86,-4.35,-6.72,-3.17,3.76,162.77,-48.64,-74.24,-95.50,-82.69
3,-65.67,-6.33,-7.44,1.53,7.51,155.53,-52.02,-79.72,-94.77,-81.54
4,-65.31,-5.07,-7.56,-1.69,4.91,160.73,-49.18,-75.11,-96.91,-83.84
5,-68.85,-6.21,-9.90,-2.32,4.24,157.48,-46.52,-72.17,-99.73,-86.64
6,-64.82,-1.80,-4.80,-7.56,-0.71,171.29,-46.40,-70.55,-97.09,-84.09
7,-67.63,-4.25,-6.76,-2.85,3.68,160.92,-49.14,-74.94,-96.77,-83.68
8,-67.09,-2.97,-5.92,-5.57,1.26,167.71,-47.70,-72.81,-96.96,-84.29
9,-64.90,-3.44,-6.72,-5.27,1.68,165.57,-47.32,-72.20,-97.65,-85.25
10,-66.68,-3.41,-6.68,-5.27,1.46,164.79,-47.38,-72.17,-98.29,-86.14
11,-66.36,-5.64,-9.88,-4.34,2.72,158.65,-46.25,-71.18,-100.06,-87.72
12,-69.27,-4.02,-7.98,-5.14,1.88,164.64,-45.85,-71.07,-99.99,-87.66
13,-69.26,-5.56,-10.82,-5.53,1.73,161.35,-43.84,-68.20,-101.80,-89.46
14,-70.63,-5.56,-10.08,-3.99,2.92,158.49,-46.08,-71.38,-100.32,-88.14
15,-71.45,-5.40,-8.28,-4.77,2.30,161.33,-43.09,-68.50,-101.30,-89.30
16,-71.38,-5.21,-8.55,-6.43,0.61,160.68,-42.66,-67.02,-101.80,-89.60
17,-71.59,-5.46,-8.75,-6.39,0.77,158.64,-42.80,-67.88,-101.11,-88.76
18,-72.01,-4.97,-8.95,-7.93,-0.57,163.28,-41.27,-65.66,-102.44,-90.14
19,-71.33,-5.01,-9.16,-7.23,0.14,160.70,-42.05,-66.60,-101.96,-90.13
20,-72.45,-4.60,-8.58,-6.85,0.08,162.48,-42.29,-67.51,-101.93,-89.76
21,-72.03,-4.33,-8.45,-7.33,0.01,164.19,-41.87,-66.68,-101.65,-89.62
22,-70.97,-5.42,-9.66,-6.15,0.93,158.97,-42.47,-67.43,-101.97,-89.41
23,-72.36,-5.80,-10.06,-6.11,1.16,157.06,-42.15,-67.04,-102.09,-90.11
24,-72.55,-5.70,-10.43,-6.66,0.49,157.53,-41.36,-66.25,-102.96,-90.84
25,-72.61,-5.49,-9.79,-5.99,1.26,158.29,-41.72,-67.08,-102.32,-90.04
26,-64.13,-2.68,-4.35,-2.05,1.38,177.25,-46.74,-73.95,-93.52,-83.51
27,-62.31,-4.24,-7.14,-0.97,2.68,172.10,-46.07,-73.10,-94.45,-83.98
28,-63.30,-3.20,-6.02,-0.20,2.80,173.33,-46.31,-75.46,-92.81,-82.52
29,-64.02,-5.93,-9.01,1.53,4.64,164.33,-47.23,-75.94,-93.81,-82.84
30,-64.83,-6.11,-10.20,0.44,3.75,164.00,-45.94,-73.88,-94.83,-84.26
31,-64.94,-5.80,-9.01,1.12,4.48,164.66,-46.80,-75.60,-93.79,-83.25
32,-66.53,-6.04,-9.79,0.40,3.91,163.69,-46.41,-74.26,-95.01,-84.86
33,-65.67,-6.03,-9.70,0.88,4.25,163.62,-46.08,-74.60,-94.41,-83.96
34,-67.33,-5.41,-8.69,0.97,4.19,165.86,-47.37,-75.91,-94.13,-83.89
35,-66.66,-6.20,-9.59,2.04,5.26,162.24,-46.60,-76.13,-94.38,-83.70
36,-63.77,-5.95,-9.50,0.36,3.88,162.16,-46.40,-74.83,-93.58,-82.98
37,-66.36,-5.56,-10.27,-0.65,3.18,165.16,-44.62,-72.56,-95.55,-85.13
38,-66.44,-6.42,-10.87,-0.01,3.55,161.00,-45.58,-73.77,-95.10,-84.86
39,-64.04,-3.09,-6.54,-2.91,0.68,167.80,-45.34,-71.97,-93.64,-83.79
40,-65.95,-4.09,-7.89,-2.85,0.50,167.64,-44.15,-70.87,-94.75,-84.74
41,-64.95,-4.32,-8.35,-2.73,0.79,166.16,-44.73,-71.38,-95.03,-85.13
42,-65.94,-2.00,-5.59,-4.77,-1.61,170.79,-44.44,-70.37,-93.43,-83.89
43,-65.15,-4.14,-5.00,1.48,6.69,166.24,-49.46,-79.00,-92.69,-81.05
44,-64.66,-2.22,-3.60,-3.02,2.63,167.90,-47.38,-75.31,-91.53,-80.16
45,-62.14,-1.28,-2.08,-4.33,1.00,171.79,-48.41,-76.01,-90.93,-80.13
46,-67.51,-1.00,-3.63,-6.09,-0.20,173.53,-44.05,-70.95,-93.82,-83.06
47,-65.48,0.05,-2.65,-7.21,-1.40,175.66,-44.81,-71.16,-92.90,-82.89
48,-63.60,-1.16,-2.97,-4.49,0.78,167.00,-47.72,-75.09,-91.16,-80.99
49,-67.12,-1.79,-4.91,-5.87,-0.39,168.96,-44.87,-71.87,-94.28,-83.97
50,-68.89,-1.02,-5.21,-7.86,-2.42,174.34,-42.31,-68.77,-96.36,-86.26
51,-70.80,-4.44,-8.69,-5.16,0.13,164.13,-42.74,-69.73,-97.76,-87.82
52,-66.94,-1.99,-4.58,-4.25,0.82,171.27,-46.02,-73.65,-94.13,-82.87
53,-67.41,-2.81,-6.93,-5.49,-0.10,168.93,-44.00,-70.77,-96.16,-85.47
54,-69.71,-3.10,-7.34,-3.93,1.06,170.22,-44.41,-72.38,-96.43,-85.74
55,-69.36,-3.72,-8.28,-3.45,1.90,164.42,-44.84,-73.10,-96.12,-85.11
56,-69.41,-2.18,-6.45,-4.89,0.11,172.24,-43.77,-71.76,-95.84,-85.44
57,-68.86,-3.60,-8.25,-4.23,1.19,165.04,-44.05,-72.02,-95.96,-85.26
58,-70.21,-3.62,-8.37,-3.98,1.39,164.81,-44.12,-71.63,-95.96,-85.39
59,-69.40,-2.86,-7.54,-5.58,-0.37,168.18,-43.61,-71.08,-95.96,-85.47
60,-64.90,-4.11,-6.30,-1.70,-1.85,154.90,-47.44,-75.53,-92.16,-79.84
61,-67.15,-4.72,-6.89,-1.41,-2.02,152.62,-48.17,-76.55,-92.86,-80.36
62,-66.76,-4.18,-6.06,-1.07,-1.46,152.98,-48.50,-77.58,-91.63,-79.23
63,-66.45,-5.61,-7.98,0.04,-0.45,148.35,-48.68,-77.41,-92.69,-80.10
64,-67.47,-3.17,-5.48,-1.03,-1.58,153.26,-48.66,-77.74,-91.81,-79.64
65,-66.61,-5.39,-8.82,-0.26,-0.52,147.10,-48.08,-76.44,-93.20,-80.71
66,-66.64,-5.37,-8.42,1.48,1.06,147.09,-48.99,-78.43,-93.34,-80.80
67,-67.07,-4.57,-8.21,-0.30,-0.89,150.15,-47.96,-76.68,-93.65,-80.97
