serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-82.08,11.75,40.88,47.06,52.03,51.42,-3.12,-26.87,-28.17,-34.88
2,-86.35,12.99,42.19,46.86,51.43,84.06,0.35,-20.46,-17.82,-23.47
3,-86.26,11.71,40.22,44.66,49.58,56.02,0.31,-20.08,-18.43,-23.85
4,-78.42,13.06,41.79,47.52,51.42,60.16,-5.11,-30.91,-29.91,-34.98
5,-87.65,12.18,41.17,44.91,49.98,73.33,1.66,-18.26,-15.87,-21.88
6,-85.39,11.71,40.26,44.61,49.94,56.78,-0.20,-21.29,-18.72,-24.77
7,-85.52,12.37,40.62,44.46,49.16,68.23,-0.10,-21.57,-18.53,-23.08
8,-83.29,12.76,41.78,47.02,52.24,69.73,-1.08,-22.71,-20.94,-28.04
9,-84.75,12.50,41.64,46.59,51.76,64.43,-0.20,-21.30,-18.47,-24.95
10,-84.03,12.22,40.90,45.51,50.37,60.17,-0.89,-22.58,-20.29,-26.62
11,-84.60,13.21,42.87,47.55,52.47,73.34,-0.21,-21.32,-18.61,-25.21
12,-82.22,12.72,41.33,45.91,50.77,61.50,-2.06,-24.61,-22.09,-28.43
13,-83.11,12.74,41.46,45.77,50.19,62.32,-1.59,-23.85,-20.95,-27.11
14,-83.65,12.30,41.45,46.25,50.82,54.48,-1.28,-23.82,-20.82,-27.70
15,-81.31,13.40,42.00,46.75,50.92,64.60,-2.74,-26.21,-24.07,-31.52
16,-80.98,12.45,41.09,45.86,50.56,54.55,-2.83,-25.79,-23.46,-30.65
17,-82.81,11.09,39.23,43.85,49.51,42.62,-1.54,-23.71,-21.77,-28.59
18,-82.56,9.72,37.18,42.15,48.73,31.70,-1.71,-23.15,-22.34,-30.44
19,-77.47,10.20,39.50,45.68,51.70,27.44,-5.05,-30.04,-31.08,-39.38
20,-82.26,10.48,38.48,43.04,49.56,35.70,-1.54,-22.80,-21.17,-29.32
21,-82.15,10.25,37.95,42.28,48.45,34.99,-1.77,-22.94,-20.92,-28.81
22,-80.33,15.37,52.38,60.95,63.34,48.08,1.03,-22.60,-28.52,-33.94
23,-82.16,14.73,51.10,59.09,61.52,42.75,2.29,-19.22,-23.90,-28.97
24,-81.36,14.48,50.15,58.21,61.15,41.50,1.12,-21.92,-26.72,-32.14
25,-83.61,16.47,55.46,64.06,67.24,53.84,3.21,-18.36,-23.65,-27.27
26,-86.71,16.84,55.04,63.44,67.11,69.33,5.62,-11.13,-13.10,-17.13
27,-83.35,15.65,53.53,62.29,65.42,47.34,3.17,-17.44,-22.17,-26.61
28,-80.66,14.98,51.91,60.73,63.42,44.94,0.82,-22.92,-29.45,-32.75
29,-81.42,16.62,54.53,63.30,65.36,57.55,1.32,-22.65,-27.82,-31.40
30,-81.54,16.22,53.52,61.87,64.25,54.03,1.51,-21.59,-25.70,-29.29
31,-79.97,15.25,52.09,60.63,63.24,47.33,0.35,-23.76,-29.42,-32.82
32,-81.32,14.76,51.75,60.04,63.17,42.13,1.48,-21.55,-27.08,-31.28
33,-80.18,14.21,51.02,59.26,61.82,33.42,1.27,-22.06,-27.37,-31.48
34,-80.23,13.49,49.78,57.61,60.48,29.76,1.13,-21.88,-27.18,-30.94
35,-81.06,13.76,49.92,57.41,59.80,28.53,1.79,-19.99,-24.53,-28.21
36,-80.13,13.92,50.00,57.97,60.58,33.73,0.89,-22.05,-27.11,-31.00
37,-79.64,11.95,46.83,54.14,57.55,21.87,0.86,-21.74,-26.73,-31.21
38,-79.46,12.44,47.85,54.90,57.61,21.50,0.97,-21.03,-25.23,-29.36
39,-78.29,11.65,47.31,55.05,58.25,17.94,0.65,-21.49,-26.98,-31.48
40,-78.32,11.93,47.30,54.63,57.66,20.90,0.46,-22.04,-27.01,-31.40
41,-78.43,13.31,48.90,56.20,58.86,29.97,-0.23,-23.62,-28.29,-32.49
