serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-33.66,5.46,-51.51,-56.61,-44.99,18.75,-3.89,-13.06,-39.90,-30.75
2,-34.52,5.35,-52.35,-57.29,-44.74,18.43,-3.31,-12.15,-39.09,-29.24
3,-35.14,4.68,-53.66,-58.93,-46.82,17.11,-2.17,-11.21,-39.57,-29.26
4,-32.85,4.05,-53.81,-58.88,-47.60,18.33,-3.03,-13.87,-43.23,-32.36
5,-33.33,3.23,-54.70,-59.64,-48.31,17.05,-2.26,-12.98,-43.48,-31.91
6,-34.43,2.66,-55.59,-60.96,-49.21,15.47,-1.27,-11.50,-42.28,-30.83
7,-32.07,2.23,-54.96,-59.59,-48.46,16.56,-1.95,-14.84,-44.98,-32.81
8,-31.93,1.12,-56.37,-60.51,-48.99,14.71,-1.89,-15.01,-46.73,-33.50
9,-31.03,1.41,-55.36,-59.20,-48.68,16.77,-2.60,-17.24,-48.06,-35.74
10,-33.01,1.43,-56.32,-61.41,-50.54,16.73,-1.34,-13.87,-46.71,-34.70
11,-31.95,-1.30,-58.35,-61.94,-50.66,12.34,-0.38,-15.16,-48.90,-34.64
12,-32.58,-1.97,-59.50,-63.50,-52.22,11.21,0.25,-13.79,-48.85,-34.69
13,-36.68,0.37,-57.12,-63.22,-50.76,14.38,1.98,-8.46,-41.83,-29.83
14,-31.07,-2.66,-60.22,-63.65,-53.19,11.09,-0.05,-15.91,-52.43,-37.09
15,-28.13,-2.84,-59.16,-60.86,-50.45,12.64,-2.46,-21.76,-55.95,-40.60
16,-30.53,-1.88,-58.09,-61.19,-50.22,14.57,-1.58,-18.00,-51.03,-36.90
17,-33.34,1.87,-52.62,-71.78,-72.12,14.69,0.16,-7.31,-58.13,-82.21
18,-34.41,1.88,-51.62,-71.34,-71.65,15.99,0.64,-7.00,-56.33,-80.03
19,-32.07,0.77,-52.47,-70.27,-69.88,15.42,-0.45,-10.31,-61.75,-83.78
20,-25.28,0.52,-49.86,-64.53,-64.42,18.55,-5.06,-20.30,-66.83,-83.37
21,-29.32,-1.75,-54.34,-69.45,-68.24,13.24,-1.11,-14.01,-70.21,-90.34
22,-31.32,-2.05,-54.98,-71.39,-70.30,12.74,0.38,-10.78,-68.84,-90.70
23,-29.85,-3.53,-56.55,-71.28,-69.45,11.36,0.00,-12.69,-73.81,-94.75
24,-31.98,-3.49,-56.40,-73.59,-71.99,10.52,1.83,-8.53,-70.48,-95.48
25,-27.75,-3.19,-56.25,-67.99,-65.65,12.75,-1.90,-17.87,-77.40,-94.30
26,-32.89,1.73,-51.46,-69.66,-69.58,18.51,-0.72,-10.60,-59.77,-81.36
27,-28.29,-2.80,-55.74,-68.65,-66.58,12.85,-2.09,-16.84,-75.95,-93.52
28,-30.01,-3.02,-55.36,-69.91,-68.16,13.09,-0.82,-13.92,-72.19,-92.27
29,-30.62,-1.35,-55.11,-70.32,-68.87,13.07,-0.79,-12.54,-72.52,-92.28
30,-29.93,-2.56,-55.39,-69.12,-67.67,11.89,-1.01,-14.84,-73.21,-91.43
31,-28.53,-3.73,-56.53,-68.60,-66.76,11.39,-1.56,-16.65,-76.49,-93.42
32,-28.94,-2.69,-55.68,-68.69,-66.58,12.24,-1.57,-16.10,-75.47,-93.66
33,-28.36,-2.46,-55.50,-67.74,-65.37,13.44,-2.22,-17.62,-76.32,-93.56
34,-28.55,-2.26,-55.07,-68.01,-66.04,13.97,-1.82,-16.79,-75.03,-93.20
35,-27.14,-4.37,-57.53,-68.30,-65.24,11.47,-2.08,-18.33,-81.91,-98.83
36,-28.59,-3.69,-56.88,-69.74,-67.17,11.30,-1.03,-15.53,-78.55,-97.83
37,-27.91,-4.01,-56.67,-68.21,-65.52,11.97,-1.81,-17.96,-78.33,-95.88
38,-34.85,3.04,-55.72,-64.38,-66.82,20.38,-2.73,-17.01,-66.02,-77.98
39,-36.75,4.20,-57.41,-67.78,-69.54,19.03,-1.37,-12.54,-69.57,-85.91
40,-30.20,3.05,-57.30,-63.26,-64.82,18.65,-5.18,-22.43,-75.36,-88.80
41,-27.28,2.29,-55.86,-59.85,-61.39,19.20,-6.67,-27.20,-75.92,-87.17
42,-27.55,2.83,-55.64,-60.24,-61.55,20.73,-6.75,-26.81,-76.40,-87.68
43,-27.41,1.74,-56.43,-60.81,-62.26,19.09,-6.54,-26.98,-76.56,-87.69
44,-29.23,2.94,-56.12,-61.50,-63.24,18.99,-5.56,-24.58,-74.84,-87.76
45,-28.56,2.25,-56.83,-60.92,-61.98,17.30,-6.07,-26.59,-78.28,-89.26
