serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-80.75,33.62,-41.00,-47.51,-46.26,78.21,-1.19,-6.24,-22.79,-22.62
2,-72.95,30.27,-40.20,-45.12,-43.70,56.80,-7.53,-15.95,-33.69,-32.87
3,-78.43,28.65,-46.54,-53.66,-52.65,47.83,-1.72,-11.22,-32.10,-33.87
4,-77.39,29.30,-43.68,-49.68,-48.49,47.57,-3.14,-11.97,-30.43,-30.51
5,-77.07,27.82,-44.61,-50.07,-48.57,35.06,-2.23,-13.48,-32.72,-32.52
6,-76.57,29.75,-41.97,-48.09,-47.04,53.93,-3.58,-12.19,-30.26,-29.97
7,-76.65,26.03,-45.34,-51.26,-50.05,36.99,-2.45,-13.63,-33.14,-33.55
8,-76.98,25.49,-45.45,-51.04,-49.11,32.88,-2.07,-13.48,-33.25,-32.78
9,-79.22,26.57,-45.22,-51.76,-50.51,35.90,-0.60,-10.29,-29.15,-29.43
10,-75.39,25.41,-44.11,-49.60,-48.76,37.64,-3.47,-14.71,-34.53,-34.19
11,-74.64,25.84,-43.29,-48.33,-46.86,41.75,-4.38,-15.79,-34.59,-34.26
12,-76.10,24.81,-44.60,-50.13,-48.59,40.29,-2.89,-14.42,-33.98,-33.65
13,-77.78,25.10,-44.43,-50.21,-48.71,39.67,-2.06,-12.08,-31.54,-31.75
14,-74.32,22.82,-45.45,-50.12,-48.26,32.48,-3.43,-16.90,-36.85,-36.07
15,-73.55,24.47,-43.14,-48.95,-47.65,45.72,-5.29,-16.13,-35.43,-35.72
16,-76.74,23.70,-45.82,-51.68,-50.21,36.24,-2.49,-13.45,-33.39,-33.38
17,-74.94,22.56,-45.63,-51.11,-49.78,31.79,-3.41,-15.74,-35.80,-36.05
18,-75.16,23.10,-44.75,-49.97,-48.36,40.53,-3.99,-15.49,-34.75,-34.54
19,-74.24,22.15,-45.18,-50.25,-48.50,35.79,-4.32,-16.11,-35.73,-35.11
20,-74.56,21.97,-45.38,-50.51,-48.97,32.83,-3.91,-15.94,-35.63,-35.40
21,-80.17,23.40,-47.13,-51.60,-56.13,19.62,0.80,-8.24,-27.64,-27.64
22,-79.34,21.06,-49.45,-53.72,-57.98,-2.50,2.60,-7.02,-27.16,-26.54
23,-80.37,22.04,-47.79,-52.35,-57.04,9.52,1.26,-7.03,-26.18,-25.39
24,-80.77,20.25,-51.12,-56.28,-60.89,-19.38,4.39,-3.51,-24.08,-23.50
