serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-70.37,47.64,49.83,-61.67,-59.07,31.93,-14.97,-21.42,-56.21,-48.92
2,-67.89,44.27,46.43,-60.70,-58.10,37.81,-17.51,-25.54,-58.86,-50.78
3,-69.45,51.55,52.77,-60.45,-57.56,37.43,-17.69,-23.35,-53.53,-45.89
4,-69.57,51.59,53.43,-62.10,-59.68,39.08,-15.49,-20.59,-51.30,-44.44
5,-68.07,43.59,46.11,-62.11,-58.90,35.70,-16.93,-23.98,-60.76,-51.15
6,-66.98,43.22,43.56,-62.24,-59.50,33.59,-15.57,-23.43,-59.19,-50.87
7,-67.50,47.99,49.39,-60.43,-57.64,33.54,-16.68,-23.14,-54.83,-46.99
8,-67.56,48.02,49.61,-62.07,-58.93,34.48,-15.36,-21.64,-52.21,-45.00
9,-67.92,46.90,48.38,-62.36,-59.02,34.09,-14.54,-21.27,-50.96,-43.03
10,-67.52,46.01,46.50,-62.61,-59.41,35.65,-13.83,-20.53,-51.70,-43.94
11,-67.02,44.19,44.69,-62.54,-59.48,32.29,-12.47,-19.84,-53.01,-45.65
12,-65.56,42.80,43.35,-61.97,-58.68,33.51,-13.22,-21.31,-54.31,-46.01
13,-65.58,44.43,45.39,-61.51,-58.28,34.45,-13.68,-21.56,-52.62,-45.41
14,-65.31,42.80,43.74,-61.45,-58.21,34.03,-13.73,-22.03,-53.47,-46.26
15,-66.07,43.47,43.84,-62.09,-58.79,33.12,-13.03,-20.73,-53.46,-46.14
16,-65.82,42.90,43.78,-61.41,-58.01,33.98,-12.98,-21.10,-52.71,-45.04
17,-64.54,42.24,42.66,-60.94,-57.87,34.85,-13.68,-22.48,-55.65,-48.34
18,-63.58,41.29,41.66,-61.10,-57.97,33.58,-12.99,-21.61,-55.51,-47.99
19,-63.29,38.93,38.70,-61.16,-57.56,32.81,-12.26,-21.25,-56.38,-48.50
20,-62.99,38.90,38.62,-60.91,-57.68,33.31,-12.53,-21.53,-56.68,-48.68
21,-63.76,38.13,37.70,-61.59,-58.15,32.13,-11.33,-20.26,-56.47,-48.62
22,-57.74,37.08,37.25,-62.02,-61.46,23.76,-11.23,-23.01,-59.46,-47.66
23,-58.57,33.93,33.29,-63.50,-62.82,23.73,-9.69,-21.67,-60.60,-47.12
24,-58.41,35.39,34.90,-62.88,-62.26,24.07,-9.96,-21.72,-59.69,-46.60
25,-58.29,34.76,34.23,-62.77,-62.01,23.84,-9.61,-21.30,-59.41,-46.44
26,-57.20,34.62,33.20,-62.95,-62.83,24.24,-10.08,-21.48,-60.82,-48.58
27,-56.74,33.89,33.29,-63.52,-62.91,22.44,-8.86,-20.35,-61.20,-47.92
28,-56.87,36.49,36.63,-60.47,-59.85,29.29,-11.58,-23.30,-57.64,-46.02
29,-55.25,33.09,31.70,-63.21,-62.65,23.18,-9.70,-21.41,-65.72,-53.18
30,-54.77,36.58,36.82,-62.45,-61.29,29.79,-8.85,-19.99,-56.32,-44.30
31,-55.37,33.54,33.47,-62.72,-61.58,28.88,-8.96,-20.96,-59.48,-46.38
32,-54.95,33.36,33.21,-62.58,-61.49,26.58,-8.46,-20.52,-61.31,-47.39
33,-53.96,33.38,33.41,-62.63,-61.99,28.89,-9.41,-21.55,-61.78,-48.87
34,-54.08,32.62,32.53,-62.94,-62.05,27.27,-8.41,-20.56,-63.46,-50.04
35,-55.60,33.44,33.52,-63.61,-62.62,29.47,-8.39,-20.12,-60.05,-46.33
36,-54.98,33.69,34.22,-63.22,-62.42,26.44,-8.06,-19.85,-58.52,-45.66
37,-54.17,32.11,32.08,-64.01,-63.21,26.82,-8.05,-20.15,-62.22,-48.65
38,-54.28,31.68,31.64,-65.88,-64.99,23.98,-5.41,-17.44,-61.17,-47.01
39,-52.63,30.62,29.61,-66.44,-65.70,21.31,-5.48,-16.97,-68.41,-54.71
40,-52.20,29.51,27.92,-65.08,-64.28,24.40,-6.86,-18.56,-69.26,-54.79
41,-55.92,31.58,29.29,-68.97,-67.83,23.26,-4.13,-14.85,-64.06,-50.83
42,-51.09,28.78,26.54,-65.62,-64.96,22.96,-7.16,-18.65,-70.72,-56.63
43,-61.12,40.93,39.70,-60.79,-60.26,35.46,-12.75,-20.90,-52.87,-49.18
44,-59.37,40.79,39.53,-59.76,-59.37,36.32,-13.60,-21.77,-53.71,-49.68
45,-56.44,39.56,38.26,-59.79,-59.21,36.22,-12.40,-21.49,-53.98,-49.51
46,-55.93,39.35,37.69,-60.17,-59.82,34.77,-11.87,-20.72,-55.84,-50.90
47,-55.52,40.05,38.67,-59.05,-58.71,37.14,-13.17,-21.83,-54.25,-49.43
48,-57.67,39.86,38.22,-62.48,-62.35,34.38,-9.97,-18.19,-53.56,-48.20
49,-58.45,39.58,39.56,-61.42,-60.83,33.87,-11.50,-20.32,-52.25,-45.18
50,-62.59,39.45,38.47,-61.29,-60.54,31.74,-10.47,-19.27,-54.51,-47.72
51,-60.66,38.81,36.63,-60.64,-60.21,36.10,-10.87,-19.69,-54.92,-48.79
52,-61.08,37.97,35.81,-62.02,-61.18,31.50,-9.01,-17.66,-54.96,-48.37
53,-59.41,39.44,37.15,-60.58,-59.76,35.29,-10.59,-18.92,-54.81,-48.92
54,-58.98,34.21,30.75,-62.26,-61.06,32.57,-8.26,-17.47,-58.10,-51.00
55,-58.03,35.89,33.00,-60.85,-59.82,34.25,-9.71,-19.06,-56.77,-49.97
56,-56.76,35.66,33.21,-59.82,-58.97,33.47,-10.34,-19.86,-56.56,-49.79
57,-59.05,37.70,34.83,-61.95,-61.14,34.26,-8.07,-16.69,-53.48,-47.16
58,-57.73,35.86,33.25,-62.01,-60.60,30.15,-7.81,-16.51,-55.40,-48.27
59,-56.68,36.73,33.59,-60.84,-59.65,34.13,-8.91,-17.51,-54.36,-48.00
60,-58.67,37.96,35.24,-61.20,-59.98,37.13,-8.67,-16.50,-48.24,-42.25
61,-56.63,35.97,31.80,-61.12,-60.06,37.49,-9.37,-18.09,-53.45,-46.92
62,-54.36,36.50,34.50,-58.84,-57.79,36.48,-10.68,-19.54,-54.29,-48.16
63,-53.90,34.04,29.99,-61.25,-60.39,33.85,-8.25,-17.00,-58.68,-51.70
64,-52.07,32.41,29.08,-59.52,-58.41,32.42,-9.94,-19.60,-59.91,-53.05
65,-56.73,35.49,37.81,-61.25,-58.85,32.38,-8.14,-19.36,-50.14,-46.36
66,-58.55,35.59,39.17,-61.59,-58.90,28.29,-6.69,-17.97,-47.93,-43.54
67,-56.67,34.26,36.13,-61.33,-58.93,33.78,-7.80,-19.71,-50.92,-46.79
68,-56.29,35.62,39.36,-60.05,-57.90,34.04,-8.66,-20.64,-46.89,-42.79
69,-58.56,35.80,38.37,-61.83,-59.46,33.41,-6.50,-17.40,-46.30,-42.58
70,-60.29,35.49,38.69,-62.52,-60.23,32.00,-4.73,-15.53,-44.18,-40.87
71,-58.77,34.77,36.52,-63.27,-61.39,32.41,-5.84,-16.46,-47.81,-44.32
72,-59.43,33.59,35.14,-64.35,-61.72,29.37,-4.45,-15.03,-47.92,-43.60
73,-58.10,31.06,31.06,-64.74,-62.32,28.98,-4.38,-14.96,-52.30,-47.43
74,-57.63,32.09,33.52,-63.60,-61.09,29.34,-4.84,-16.02,-50.33,-46.38
75,-55.68,30.74,32.38,-63.19,-60.66,26.58,-4.65,-16.04,-53.21,-48.70
76,-58.09,32.86,34.18,-62.87,-60.47,32.52,-4.32,-15.53,-47.73,-44.72
77,-57.45,31.41,31.98,-63.69,-61.18,31.24,-3.30,-14.30,-48.77,-45.32
78,-55.21,30.72,32.40,-61.87,-59.58,30.96,-5.00,-16.59,-52.10,-48.19
79,-58.38,28.95,28.33,-63.07,-60.22,28.47,-3.42,-14.55,-51.35,-46.40
80,-57.50,30.27,31.18,-62.75,-60.05,28.87,-5.01,-16.68,-51.51,-47.30
81,-54.39,29.36,29.13,-62.71,-60.06,31.43,-4.12,-15.89,-51.45,-47.45
82,-54.28,29.11,29.12,-63.72,-60.92,30.67,-3.15,-14.74,-50.99,-46.42
83,-56.26,28.98,29.03,-63.19,-60.47,30.16,-2.92,-13.12,-49.83,-46.44
84,-52.93,28.83,29.21,-63.04,-60.62,30.13,-3.68,-15.15,-50.89,-46.63
85,-54.57,31.14,31.62,-62.83,-60.44,32.05,-2.95,-13.93,-48.18,-45.37
86,-54.77,29.79,30.13,-63.35,-60.72,31.23,-3.42,-14.52,-49.92,-46.78
87,-54.77,30.38,31.47,-63.48,-60.88,31.06,-3.04,-14.36,-46.23,-42.83
88,-55.07,29.51,30.16,-63.22,-60.75,31.28,-3.17,-14.45,-47.96,-44.90
89,-55.17,30.05,30.60,-62.11,-59.45,33.68,-3.87,-14.94,-46.97,-44.09
90,-55.15,28.22,28.28,-64.84,-62.20,28.87,-1.93,-12.87,-48.60,-45.17
91,-54.71,29.42,29.96,-62.75,-60.20,32.21,-3.23,-14.38,-47.23,-43.95
92,-55.82,29.49,29.74,-64.32,-61.78,30.63,-2.02,-12.91,-47.13,-44.31
93,-54.07,29.25,29.67,-62.10,-59.22,32.34,-3.74,-15.09,-48.19,-44.58
94,-53.76,28.06,28.03,-64.35,-61.73,27.63,-2.58,-13.66,-51.14,-47.17
95,-53.91,27.55,27.42,-63.17,-60.28,30.49,-3.40,-14.85,-51.13,-46.93
96,-54.37,29.19,29.69,-63.07,-60.65,31.77,-3.19,-14.37,-47.41,-44.35
97,-57.25,33.52,34.51,-59.33,-59.44,12.35,-16.90,-28.35,-77.45,-68.48
98,-58.05,38.88,39.63,-63.64,-63.13,26.71,-13.54,-23.25,-67.09,-60.05
99,-47.20,32.24,30.95,-62.07,-61.59,27.66,-13.13,-24.26,-72.78,-63.92
100,-48.86,32.47,32.25,-62.45,-61.45,27.29,-11.69,-22.83,-68.53,-59.17
101,-48.20,31.99,30.41,-61.95,-61.06,29.00,-12.59,-23.70,-70.42,-61.51
102,-49.31,33.49,31.59,-64.19,-63.58,27.42,-10.98,-20.82,-69.51,-60.62
103,-47.11,31.15,29.50,-62.26,-61.46,28.50,-12.24,-22.99,-69.72,-59.54
104,-49.15,33.34,31.64,-64.75,-64.28,27.52,-10.47,-20.54,-69.50,-59.09
105,-51.65,33.16,31.85,-63.61,-62.86,26.68,-11.29,-21.68,-67.55,-55.78
106,-61.65,34.51,32.88,-63.72,-63.24,30.89,-11.42,-21.21,-65.20,-54.76
