serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-50.93,51.72,-4.29,-13.41,-12.26,-99.18,6.71,10.41,-0.60,-1.46
2,-48.09,48.27,-7.10,-17.12,-15.80,-98.65,8.30,10.96,-0.56,-1.55
3,-50.05,46.86,-5.55,-15.18,-14.21,-96.89,8.16,10.12,-1.18,-1.86
4,-49.02,45.80,-6.31,-16.52,-15.62,-99.11,10.98,11.64,0.56,-0.05
5,-49.31,51.19,-6.45,-15.17,-13.72,-97.27,8.75,11.36,0.71,-0.14
6,-51.33,53.18,-3.59,-12.66,-11.97,-97.31,7.56,10.93,1.09,0.17
7,-51.75,50.65,-5.34,-15.05,-14.17,-96.88,7.47,10.49,-0.06,-1.34
8,-51.62,50.00,-5.17,-13.92,-12.78,-93.27,7.10,9.80,-0.80,-1.89
9,-50.91,48.97,-5.96,-15.63,-14.49,-95.90,8.19,10.20,-0.46,-1.68
10,-49.97,45.41,-7.21,-16.70,-15.63,-94.69,9.04,10.03,-0.98,-2.25
11,-51.14,45.64,-5.43,-15.26,-14.34,-95.71,8.98,10.20,-0.57,-1.51
12,-50.59,44.67,-6.44,-16.09,-15.02,-96.00,9.24,10.12,-0.60,-1.78
13,-52.09,48.33,-4.21,-13.86,-13.32,-97.54,10.69,11.06,1.10,0.34
14,-50.92,45.64,-6.25,-15.85,-14.69,-95.85,10.49,10.44,-0.20,-1.42
15,-50.44,44.27,-6.71,-16.48,-15.62,-95.08,9.89,10.07,-0.58,-1.85
16,-50.72,44.41,-6.28,-15.92,-14.99,-94.54,9.66,9.83,-0.89,-1.80
17,-50.94,43.97,-6.15,-16.02,-15.16,-95.07,9.85,9.88,-0.61,-1.80
18,-51.70,44.69,-5.58,-15.08,-14.20,-94.83,9.82,9.74,-0.73,-1.67
19,-50.81,43.18,-6.96,-16.12,-14.79,-92.12,8.26,8.33,-2.83,-3.60
20,-51.37,43.90,-6.20,-15.53,-14.80,-92.40,7.89,8.24,-2.71,-3.44
21,-50.07,43.73,-6.45,-16.55,-15.70,-96.80,11.56,11.06,0.76,-0.08
22,-49.94,43.17,-6.89,-16.52,-15.72,-94.05,10.50,9.78,-0.83,-1.94
23,-41.88,37.18,-13.98,-25.29,-24.10,-95.73,14.37,13.04,1.15,-0.41
24,-49.50,44.66,-6.96,-16.63,-15.87,-95.10,10.17,10.44,-0.08,-1.06
25,-51.72,51.80,-5.49,-14.50,-13.46,-93.28,4.61,8.28,-1.96,-3.14
26,-41.68,50.75,-13.80,-24.72,-22.36,-91.80,-3.86,5.93,-6.97,-8.85
27,-42.33,49.51,-14.37,-24.06,-21.16,-88.42,-4.19,4.12,-9.32,-11.24
28,-39.93,46.72,-16.10,-25.45,-22.23,-85.96,-3.18,3.17,-10.75,-12.09
29,-45.13,49.83,-11.57,-21.33,-18.53,-88.14,-5.76,2.91,-10.07,-11.62
30,-43.38,51.20,-13.11,-22.20,-19.11,-87.99,-5.22,3.96,-8.82,-10.15
31,-44.62,51.80,-12.33,-21.37,-17.99,-88.15,-4.46,4.43,-6.92,-8.76
32,-45.92,53.93,-12.66,-22.41,-19.50,-91.02,-6.88,4.68,-6.77,-8.81
33,-44.98,52.94,-13.02,-22.39,-18.85,-90.88,-4.13,5.15,-6.42,-8.37
34,-45.85,54.45,-11.79,-21.25,-18.12,-91.25,-4.83,5.41,-5.42,-7.34
35,-44.60,52.96,-13.20,-22.91,-19.62,-91.42,-4.77,5.17,-6.33,-8.34
36,-45.51,53.61,-12.40,-21.73,-18.44,-90.58,-5.45,4.84,-6.29,-8.32
37,-45.26,51.40,-12.88,-22.39,-19.12,-91.21,-2.87,5.24,-6.08,-7.96
38,-44.23,50.26,-13.77,-23.13,-19.92,-90.26,-1.66,5.29,-6.18,-8.06
39,-44.65,50.29,-13.39,-23.10,-19.58,-91.81,-1.19,5.48,-5.88,-7.92
40,-49.31,55.10,-7.81,-17.51,-14.75,-95.32,-2.55,6.54,-3.01,-4.98
41,-43.66,47.93,-14.03,-23.50,-20.21,-88.91,-0.71,4.68,-6.93,-8.72
42,-56.53,54.19,-3.46,-13.47,-11.40,-92.90,-1.86,6.23,-5.38,-6.50
43,-57.39,53.24,-2.35,-13.03,-11.48,-92.94,-0.66,6.09,-5.10,-5.84
44,-57.38,63.53,-2.69,-13.51,-11.83,-94.54,-8.98,6.20,-4.71,-6.33
45,-54.90,56.82,-6.17,-16.82,-14.54,-90.68,-5.08,5.45,-6.83,-7.92
46,-53.44,54.51,-6.59,-17.60,-15.72,-90.27,-2.59,5.99,-6.16,-7.26
47,-53.86,51.89,-7.08,-17.82,-15.69,-89.52,-1.46,5.35,-7.02,-8.02
48,-53.92,53.87,-6.79,-17.98,-16.06,-91.78,-2.26,6.16,-5.99,-7.07
49,-54.04,55.45,-6.05,-17.42,-15.48,-91.11,-3.47,6.18,-5.55,-6.52
50,-54.33,54.48,-6.03,-17.55,-15.72,-92.47,-2.68,6.37,-5.40,-6.43
51,-52.47,50.97,-7.73,-19.35,-17.35,-90.69,-0.41,6.37,-5.85,-7.03
52,-53.10,53.85,-6.99,-18.73,-16.78,-91.30,-2.20,6.43,-5.57,-6.76
53,-52.69,51.92,-7.76,-18.74,-16.53,-89.36,-1.64,5.62,-6.76,-7.75
54,-52.82,52.86,-7.16,-18.69,-16.75,-90.51,-1.36,6.22,-5.92,-6.88
55,-52.28,50.92,-7.76,-19.22,-17.36,-90.44,0.36,6.51,-5.76,-6.75
56,-52.55,50.03,-7.96,-19.35,-17.31,-90.27,0.19,5.98,-6.30,-7.35
57,-52.10,50.65,-7.73,-19.68,-17.95,-91.45,0.23,6.63,-5.29,-6.30
58,-51.79,49.02,-7.84,-19.63,-18.10,-90.52,2.79,6.47,-5.49,-6.36
59,-51.59,51.59,-8.29,-19.78,-17.72,-90.13,0.26,6.43,-5.81,-6.87
60,-52.20,51.31,-7.86,-19.36,-17.46,-90.04,0.26,6.36,-5.77,-6.77
61,-52.27,50.27,-7.88,-19.40,-17.33,-89.93,1.01,6.09,-6.27,-7.12
62,-51.14,50.47,-9.45,-20.76,-18.54,-89.57,-0.34,5.83,-6.70,-7.74
63,-51.62,50.70,-8.13,-19.89,-17.88,-91.06,0.88,6.45,-5.85,-6.77
64,-52.18,50.99,-7.82,-19.62,-17.94,-91.56,0.78,6.61,-5.43,-6.39
65,-52.20,50.01,-8.00,-20.25,-18.45,-92.08,1.57,6.82,-5.23,-6.18
66,-51.85,51.53,-8.10,-19.98,-17.94,-90.93,0.46,6.58,-5.43,-6.42
67,-51.88,50.27,-8.26,-19.82,-18.02,-89.78,0.69,6.11,-6.21,-7.10
68,-52.13,51.01,-7.65,-19.56,-17.88,-93.47,1.49,7.03,-5.05,-6.17
69,-52.21,50.61,-7.79,-19.58,-17.66,-92.83,1.33,6.78,-5.42,-6.62
70,-52.73,51.67,-6.93,-19.24,-17.40,-94.12,1.54,7.41,-4.32,-5.55
71,-52.11,49.69,-7.62,-19.48,-17.59,-91.47,2.42,6.98,-5.17,-6.16
72,-52.03,50.59,-7.54,-19.49,-17.76,-93.34,1.76,7.11,-4.55,-5.48
73,-52.67,55.25,-6.37,-18.49,-16.97,-94.62,-1.40,7.99,-3.11,-3.93
74,-52.62,50.94,-7.02,-19.62,-18.10,-92.71,1.48,7.72,-5.09,-5.19
75,-49.96,47.39,-10.48,-21.29,-18.88,-89.14,1.27,5.50,-7.53,-8.27
76,-53.22,51.84,-6.18,-17.72,-15.82,-93.03,3.31,7.63,-3.89,-5.18
77,-53.47,51.10,-6.24,-18.03,-16.02,-94.88,3.24,7.92,-3.56,-4.57
78,-52.99,50.42,-6.39,-18.45,-16.80,-92.76,3.00,7.32,-4.11,-5.01
79,-55.16,47.04,-4.27,-12.04,-9.05,-85.92,2.64,5.71,-4.38,-7.09
80,-54.46,46.96,-4.94,-12.84,-9.95,-87.17,4.53,6.77,-3.22,-5.91
81,-54.74,47.18,-4.64,-12.85,-10.01,-86.05,3.37,6.12,-3.53,-6.13
82,-53.87,46.53,-5.12,-13.30,-10.50,-85.93,4.38,6.49,-3.24,-5.90
83,-53.78,45.45,-5.52,-13.89,-10.78,-86.83,5.52,7.16,-2.71,-5.45
84,-53.35,44.96,-5.33,-14.07,-11.27,-89.93,7.49,8.38,-1.21,-4.21
85,-53.27,43.09,-5.71,-14.14,-11.51,-87.20,7.17,7.28,-2.63,-5.23
86,-52.90,43.40,-6.28,-14.63,-11.90,-86.72,7.05,7.23,-2.79,-5.38
