serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-54.73,61.71,43.37,-4.68,-6.55,-89.17,14.44,8.35,2.19,2.60
2,-55.92,68.73,55.91,-0.70,-2.65,-89.06,21.54,6.78,0.14,1.06
3,-52.51,66.04,42.38,-3.12,-4.24,-81.49,12.06,-3.03,-2.22,-1.14
4,-52.03,63.69,31.48,-6.94,-8.56,-84.09,11.11,-2.82,-2.42,-2.15
5,-47.84,59.15,40.37,-9.52,-10.12,-79.15,7.98,-4.90,-5.58,-5.04
6,-48.36,63.01,37.46,-9.72,-11.00,-82.44,9.33,-1.77,-2.21,-2.65
7,-50.38,64.30,40.83,-8.83,-11.40,-88.83,15.82,3.68,2.08,0.80
8,-50.60,62.51,41.38,-7.66,-9.55,-83.15,10.15,-0.10,-1.40,-1.53
9,-50.18,59.91,39.45,-8.88,-10.50,-82.48,8.82,-1.23,-2.38,-2.72
10,-50.14,59.07,38.34,-8.47,-9.96,-82.95,10.87,0.56,-1.80,-2.26
11,-47.88,56.32,36.94,-10.04,-11.33,-81.94,11.19,0.46,-2.53,-2.99
12,-50.22,57.72,38.71,-8.68,-10.70,-86.96,13.53,3.23,0.94,0.48
13,-52.79,59.73,40.23,-8.09,-10.28,-88.35,14.13,3.38,1.72,1.10
14,-49.00,55.31,38.43,-10.66,-11.62,-83.28,12.18,0.86,-1.20,-1.64
15,-50.08,57.42,39.85,-9.44,-11.37,-84.28,11.19,1.34,-0.40,-0.82
16,-48.93,55.65,36.96,-11.44,-13.26,-85.85,13.22,2.50,0.29,-0.19
17,-53.95,58.68,42.01,-5.49,-7.26,-83.79,10.51,1.53,-0.12,-0.20
18,-50.63,54.89,38.25,-9.46,-10.93,-84.27,11.37,1.26,-0.54,-0.94
19,-50.28,54.30,37.53,-10.17,-12.09,-85.77,13.00,2.91,0.62,0.05
20,-51.09,54.47,37.99,-9.56,-11.25,-83.80,12.02,1.98,-0.27,-0.42
21,-53.75,48.94,14.51,-12.78,-10.62,-78.82,6.97,4.39,0.12,-1.73
22,-55.90,51.92,17.51,-12.15,-11.00,-82.75,6.85,4.96,1.35,-1.02
23,-56.42,49.89,17.10,-11.49,-9.93,-80.78,8.18,5.51,1.61,-0.67
24,-55.04,48.66,16.18,-12.34,-10.79,-79.83,7.98,5.06,0.75,-1.40
25,-56.33,50.33,18.13,-11.72,-10.63,-81.34,7.39,4.70,1.17,-1.49
26,-55.89,49.41,18.39,-11.78,-10.53,-81.09,8.93,5.59,1.78,-0.74
27,-53.90,46.82,15.86,-14.67,-13.14,-78.99,7.96,4.33,-0.65,-3.42
28,-57.35,48.83,18.57,-12.06,-11.11,-82.40,10.69,6.94,2.73,0.04
29,-56.01,46.49,17.70,-13.19,-12.62,-81.48,10.41,6.10,1.78,-0.94
30,-54.99,44.39,16.61,-14.31,-13.43,-81.46,11.48,6.78,1.66,-1.02
31,-55.80,44.58,17.48,-13.74,-13.05,-82.16,11.80,7.03,2.20,-0.79
32,-55.89,44.18,17.63,-13.78,-13.18,-81.92,12.08,7.19,2.50,-0.37
33,-55.84,43.72,17.46,-13.68,-13.03,-83.04,13.44,8.16,3.43,0.72
34,-59.23,46.46,20.46,-10.70,-10.31,-87.96,15.34,10.13,6.10,3.39
35,-57.67,45.73,19.99,-12.29,-12.06,-87.23,15.64,9.78,5.49,2.32
36,-55.86,43.39,17.82,-13.96,-13.35,-85.50,15.32,9.49,4.22,1.02
37,-55.85,43.33,17.74,-14.41,-14.11,-86.66,15.79,9.85,4.95,1.64
38,-56.23,43.69,18.40,-13.70,-14.35,-87.36,16.50,10.60,5.41,1.14
39,-56.49,43.56,18.33,-13.72,-14.38,-87.18,15.94,10.18,4.98,0.75
40,-57.48,44.15,19.13,-12.79,-13.53,-87.43,16.02,10.46,5.35,1.49
41,-58.17,44.49,19.49,-12.31,-13.14,-88.18,16.89,11.24,6.40,2.49
42,-53.08,52.36,26.17,-8.76,-10.79,-78.13,6.47,0.76,-1.71,-2.11
43,-54.88,52.68,28.18,-8.37,-10.78,-79.56,9.26,3.13,-0.07,0.19
44,-55.44,52.40,27.83,-8.62,-10.70,-80.62,9.94,3.32,0.04,-0.32
45,-54.88,51.50,26.95,-9.70,-12.06,-81.69,9.90,3.54,0.37,0.19
46,-54.39,51.06,26.83,-9.46,-11.21,-78.51,8.72,2.36,-1.47,-1.54
47,-54.89,52.67,28.41,-8.94,-11.21,-79.36,8.30,2.46,-0.63,-0.51
48,-54.36,51.32,26.71,-9.74,-11.72,-78.86,9.57,2.89,-0.87,-0.59
49,-54.23,51.27,26.88,-9.79,-11.99,-79.65,10.07,3.44,0.01,-0.01
50,-56.74,53.15,29.03,-7.54,-9.88,-79.61,8.35,2.79,-0.30,-0.01
51,-55.03,51.48,27.16,-9.72,-12.05,-81.38,9.75,3.58,0.26,0.28
52,-54.88,51.12,27.43,-9.48,-12.10,-80.26,9.93,3.54,0.36,0.49
53,-54.34,49.36,26.30,-10.17,-12.25,-80.42,11.18,3.85,0.19,0.24
54,-54.78,49.82,26.27,-11.26,-13.40,-82.51,12.61,5.20,2.36,2.00
55,-53.80,49.47,26.40,-10.68,-12.78,-81.28,11.61,4.59,1.91,1.59
56,-55.18,50.62,27.43,-10.08,-12.20,-82.06,12.07,4.96,2.02,2.01
57,-55.69,51.06,27.97,-9.20,-11.67,-81.94,11.49,5.14,2.02,1.74
58,-59.64,52.84,29.75,-6.09,-8.66,-78.18,8.31,3.16,0.25,0.25
59,-58.76,51.23,29.90,-5.51,-7.37,-80.17,11.17,4.98,1.91,2.04
60,-55.91,48.90,26.52,-10.49,-13.03,-86.36,15.81,8.20,4.92,4.61
61,-55.40,47.30,26.01,-10.31,-12.66,-85.05,15.24,7.43,3.74,3.46
62,-54.58,45.60,24.21,-12.40,-14.87,-86.60,14.84,7.41,3.63,3.13
63,-54.90,45.18,25.74,-9.33,-11.06,-74.38,8.75,1.44,-2.59,-2.40
64,-57.01,47.22,29.60,-8.27,-10.41,-80.36,11.86,4.59,1.39,1.59
65,-55.63,47.66,31.85,-9.69,-11.96,-78.03,8.12,1.52,-0.40,0.00
66,-53.37,54.50,27.55,-11.46,-12.82,-74.89,5.06,0.32,-0.95,-0.99
67,-56.95,55.78,30.96,-8.59,-10.83,-76.31,6.44,1.90,0.87,1.10
68,-56.57,55.00,30.46,-9.48,-11.83,-79.27,8.98,3.66,2.33,2.15
69,-54.98,51.89,27.94,-11.40,-13.16,-78.87,9.35,3.36,1.35,1.22
70,-55.23,52.81,29.12,-11.69,-13.77,-80.42,10.74,4.31,2.38,2.13
71,-53.85,51.40,28.63,-12.31,-14.11,-76.43,7.16,1.61,-0.57,-0.45
72,-55.17,50.41,28.70,-11.53,-13.49,-77.27,9.00,2.65,0.30,0.16
73,-54.84,48.30,28.14,-12.41,-14.53,-79.39,12.15,4.86,2.49,2.39
74,-55.29,48.05,28.88,-11.34,-13.38,-78.49,11.53,4.19,1.59,1.57
75,-55.09,62.02,38.91,-6.12,-9.33,-72.03,7.45,-1.57,-4.87,-2.15
76,-56.18,63.53,39.78,-5.46,-9.17,-75.32,11.04,0.74,-2.26,0.83
77,-56.58,62.97,39.32,-5.02,-8.06,-74.18,9.89,-0.33,-3.09,-0.17
78,-54.77,63.76,39.74,-6.05,-9.79,-76.70,12.85,1.96,-0.54,2.45
79,-56.78,64.03,41.80,-6.27,-9.21,-77.91,12.52,2.42,-0.51,2.24
80,-55.07,62.39,40.28,-6.80,-9.23,-75.93,12.22,1.17,-1.11,1.16
81,-56.35,61.66,39.41,-6.94,-9.41,-75.95,13.01,1.97,-0.39,2.12
82,-54.27,60.21,38.27,-8.10,-10.63,-75.23,10.03,-0.24,-1.92,0.62
83,-54.80,59.98,37.98,-7.92,-10.50,-75.21,10.09,0.19,-1.52,0.95
84,-54.32,58.75,36.51,-9.62,-11.88,-78.23,14.91,2.71,0.18,2.54
85,-56.07,58.88,38.28,-7.22,-9.57,-74.66,10.11,-0.34,-1.72,0.71
86,-54.61,58.54,37.95,-8.19,-10.57,-76.33,11.31,0.95,-0.83,1.84
87,-55.05,57.79,38.46,-7.13,-9.36,-76.09,14.28,2.64,0.29,3.24
88,-56.26,60.33,39.13,-6.37,-9.06,-76.90,15.40,2.39,0.19,3.34
89,-55.75,57.04,37.96,-7.29,-9.77,-77.40,13.57,2.59,0.26,2.81
90,-54.95,55.08,36.73,-8.79,-11.32,-78.48,14.29,2.80,0.58,2.87
91,-54.55,54.23,36.66,-9.19,-11.97,-78.21,14.20,2.66,0.67,3.34
92,-54.69,52.60,36.35,-8.72,-11.14,-77.46,13.69,2.56,0.64,3.13
93,-54.78,52.05,36.21,-8.84,-11.41,-79.15,14.32,3.14,1.01,3.36
94,-54.42,51.31,35.38,-8.90,-11.25,-78.12,14.70,3.11,0.84,3.39
