serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,0.41,-12.67,-16.05,-7.35,-4.64,53.44,-38.85,-67.44,-85.03,-81.94
2,-1.18,-15.08,-19.26,-10.24,-7.34,50.40,-38.03,-67.38,-84.97,-82.20
3,1.49,-12.99,-16.04,-7.57,-5.08,52.48,-38.58,-67.11,-84.43,-81.74
4,-4.03,-14.53,-20.14,-12.69,-9.91,52.19,-34.91,-63.27,-82.49,-81.16
5,-0.48,-15.49,-19.49,-10.65,-7.54,49.82,-38.01,-67.62,-85.50,-83.35
6,-0.70,-16.54,-20.35,-10.87,-7.68,48.09,-38.08,-68.13,-86.17,-83.81
7,-1.33,-16.33,-20.76,-11.75,-8.74,48.56,-37.57,-67.58,-85.95,-84.22
8,-1.07,-16.52,-20.87,-11.67,-8.58,47.92,-37.75,-67.85,-86.52,-84.81
9,-0.55,-17.17,-21.14,-11.58,-8.33,47.39,-38.35,-68.69,-87.22,-85.08
10,-2.20,-17.10,-21.75,-12.52,-9.29,47.28,-37.09,-67.47,-86.33,-84.47
11,-1.19,-16.85,-21.13,-11.77,-8.48,47.65,-37.77,-68.22,-86.83,-84.92
12,-1.19,-16.48,-20.74,-11.47,-8.05,48.19,-37.86,-68.44,-86.99,-84.96
13,-0.51,-16.59,-20.63,-11.36,-8.16,48.27,-38.30,-68.96,-87.60,-85.64
14,-0.70,-16.90,-21.18,-11.92,-8.57,47.49,-38.33,-68.58,-87.24,-85.13
15,-0.77,-17.72,-21.96,-12.40,-9.12,46.77,-38.24,-68.94,-87.17,-85.42
16,-2.64,-17.23,-22.23,-13.10,-9.87,47.85,-36.91,-67.32,-86.12,-84.47
17,-1.07,-17.74,-22.08,-12.58,-9.10,46.58,-38.11,-68.94,-87.64,-85.76
18,-1.29,-16.92,-21.18,-11.86,-8.69,47.79,-37.71,-68.30,-87.02,-85.27
19,-2.07,-18.01,-22.88,-13.74,-10.27,46.24,-37.22,-68.18,-87.31,-85.72
20,0.23,-18.69,-22.69,-12.70,-9.13,44.94,-39.28,-70.88,-89.51,-88.03
21,-0.82,-17.66,-21.95,-12.29,-8.93,46.38,-38.28,-69.42,-88.27,-86.30
22,-1.82,-12.73,-17.84,-10.55,-7.30,54.21,-36.31,-64.15,-82.26,-80.92
23,-0.15,-12.33,-16.33,-8.52,-5.27,53.81,-37.88,-66.18,-83.62,-82.20
24,0.58,-11.26,-14.80,-6.82,-3.49,55.13,-38.30,-66.28,-83.87,-82.05
25,0.57,-13.20,-17.26,-9.23,-5.48,52.57,-38.57,-67.08,-84.86,-83.07
26,-1.31,-12.77,-17.41,-9.89,-6.61,53.10,-36.97,-64.95,-83.09,-81.85
27,-0.74,-12.49,-16.83,-9.34,-6.11,53.48,-37.84,-65.76,-83.71,-82.21
28,-1.15,-14.27,-19.13,-11.10,-7.17,51.06,-37.53,-66.62,-85.24,-84.16
29,-0.93,-13.55,-18.31,-10.43,-6.90,52.32,-37.42,-65.85,-84.16,-83.01
30,-0.10,-13.69,-18.34,-10.60,-6.89,51.90,-38.16,-66.56,-84.96,-83.72
31,2.17,-13.62,-16.90,-8.48,-4.56,51.31,-40.04,-68.80,-86.41,-84.80
32,-0.33,-15.70,-20.36,-12.03,-7.56,49.63,-38.35,-68.03,-86.75,-85.52
33,-3.13,-15.46,-21.33,-13.86,-10.24,49.62,-36.22,-65.42,-84.15,-83.66
34,-1.10,-14.43,-19.15,-11.22,-7.86,50.87,-37.72,-66.68,-84.92,-83.91
35,-1.22,-15.10,-19.91,-11.87,-8.02,50.02,-37.92,-66.99,-85.52,-84.74
36,-1.02,-15.25,-20.16,-11.96,-8.01,49.48,-37.87,-67.53,-86.22,-85.19
37,-2.19,-15.04,-20.14,-12.21,-8.29,49.42,-36.88,-66.25,-85.37,-84.49
38,-1.99,-16.57,-21.79,-13.19,-8.98,47.72,-37.25,-67.54,-86.76,-85.69
39,-1.73,-16.12,-21.38,-12.94,-8.74,48.55,-37.39,-67.43,-86.61,-86.01
40,-0.71,-17.04,-21.95,-13.10,-8.63,46.81,-38.34,-69.26,-88.21,-87.51
41,-2.26,-17.27,-22.87,-14.26,-9.65,46.40,-37.04,-67.94,-87.95,-87.57
42,-1.26,-17.74,-22.93,-16.19,-13.84,48.16,-35.27,-64.18,-81.14,-84.12
43,0.35,-18.28,-22.96,-15.95,-12.94,46.66,-36.55,-65.93,-82.47,-85.36
44,0.15,-18.25,-23.20,-16.11,-13.23,47.29,-36.55,-65.98,-82.51,-85.41
45,-0.98,-19.02,-24.30,-17.31,-14.17,46.03,-35.80,-65.44,-82.74,-86.08
46,-4.71,-18.26,-24.73,-18.53,-15.97,47.49,-33.04,-62.06,-80.35,-84.51
47,-0.96,-19.54,-24.91,-17.68,-14.41,45.14,-36.19,-66.18,-83.55,-86.85
48,-0.67,-19.04,-24.21,-16.93,-13.79,45.50,-36.27,-66.14,-83.36,-86.87
49,-1.82,-19.41,-25.06,-17.86,-14.91,45.62,-35.48,-65.36,-83.00,-86.65
50,-1.36,-18.66,-24.14,-17.31,-14.50,46.22,-35.63,-65.15,-82.80,-86.42
51,-2.25,-19.56,-25.40,-18.62,-15.57,45.15,-35.14,-64.99,-82.93,-86.69
52,-2.43,-19.53,-25.29,-18.51,-15.57,45.59,-35.02,-64.85,-82.24,-86.38
53,-1.58,-20.13,-25.76,-18.48,-15.24,44.75,-35.81,-66.19,-83.87,-87.79
54,-3.46,-20.05,-25.99,-19.37,-16.39,45.18,-34.14,-63.88,-82.02,-85.95
55,-2.04,-20.08,-25.88,-18.84,-15.67,44.73,-35.52,-65.74,-83.35,-87.26
56,-2.28,-19.54,-25.45,-18.73,-15.72,45.97,-35.31,-65.04,-82.94,-86.80
57,-1.85,-19.82,-25.42,-18.63,-15.50,45.09,-35.64,-65.46,-83.11,-87.11
58,-3.30,-20.73,-26.87,-20.14,-17.04,43.95,-34.66,-64.77,-82.74,-87.22
59,-3.04,-19.32,-25.40,-18.92,-16.20,46.18,-34.88,-64.17,-81.96,-85.87
60,-3.74,-19.86,-25.96,-19.53,-16.64,45.00,-34.50,-64.10,-81.95,-86.48
61,-3.81,-19.91,-26.21,-19.81,-17.07,45.23,-34.42,-64.01,-82.19,-86.67
62,-3.12,-20.04,-26.03,-19.38,-16.41,44.75,-34.99,-64.95,-82.80,-87.38
63,-3.90,-19.69,-26.05,-19.66,-16.74,45.63,-34.31,-63.68,-81.83,-86.52
64,-3.24,-20.89,-27.31,-20.45,-17.25,44.01,-34.51,-64.93,-83.43,-88.14
65,-2.37,-20.69,-26.69,-19.71,-16.65,43.77,-35.32,-65.68,-83.84,-88.50
66,-3.29,-21.03,-27.43,-20.49,-17.23,43.77,-34.64,-65.50,-83.75,-88.60
67,-2.71,-20.78,-26.81,-19.86,-16.76,43.93,-35.08,-65.47,-83.67,-88.20
68,-3.53,-20.96,-27.54,-20.73,-17.52,43.89,-34.51,-64.95,-83.57,-88.22
69,-3.19,-20.63,-27.12,-20.48,-17.27,44.16,-34.85,-65.05,-83.30,-88.22
70,-3.95,-20.87,-27.44,-20.84,-17.56,43.88,-34.29,-64.74,-83.28,-88.38
71,-3.37,-21.08,-27.40,-20.80,-17.50,43.79,-34.69,-65.28,-83.54,-88.50
72,-4.48,-21.23,-28.08,-21.45,-18.29,43.73,-33.77,-64.13,-82.73,-87.86
73,-3.38,-22.05,-28.46,-21.38,-17.91,42.32,-34.75,-65.67,-84.39,-89.24
74,-1.02,-21.97,-27.89,-20.59,-17.13,42.99,-36.67,-67.48,-84.52,-90.20
75,-3.20,-22.39,-28.69,-20.83,-16.79,41.56,-35.17,-66.64,-84.50,-90.10
76,-0.28,-21.68,-26.92,-19.11,-15.08,42.64,-37.52,-68.69,-85.39,-90.49
77,0.21,-22.00,-27.29,-19.30,-14.86,41.80,-37.71,-69.49,-86.53,-91.59
78,1.84,-22.40,-26.94,-18.47,-13.97,41.05,-39.21,-71.30,-87.64,-92.51
79,0.79,-22.43,-27.54,-19.39,-15.10,41.43,-38.26,-70.37,-87.49,-92.49
80,0.32,-21.89,-27.08,-19.02,-14.70,41.86,-37.98,-69.81,-86.81,-91.72
81,-0.55,-21.43,-29.22,-21.43,-15.96,41.85,-33.70,-67.46,-89.35,-91.40
82,2.18,-22.15,-29.16,-20.76,-14.94,41.24,-35.01,-68.89,-90.53,-92.28
83,0.25,-22.74,-30.73,-22.25,-16.26,40.41,-33.68,-68.15,-90.45,-92.40
84,0.44,-22.29,-30.08,-21.71,-15.78,40.93,-33.90,-68.24,-90.70,-92.91
85,2.00,-23.12,-30.65,-21.89,-15.56,39.95,-35.16,-69.88,-91.90,-93.67
86,3.31,-20.49,-27.19,-19.06,-13.35,43.74,-36.32,-69.62,-90.04,-91.44
87,-1.76,-21.23,-29.65,-22.40,-16.94,42.67,-32.31,-65.26,-87.94,-90.19
88,-0.66,-21.52,-29.42,-21.78,-16.18,42.54,-33.27,-66.49,-88.43,-90.60
89,0.06,-23.17,-30.85,-22.75,-16.95,40.37,-33.57,-67.76,-89.39,-91.35
90,2.77,-22.09,-28.59,-19.79,-13.70,41.29,-35.72,-69.53,-90.62,-91.81
91,1.80,-21.82,-29.03,-20.53,-14.46,42.16,-34.58,-68.76,-90.44,-91.81
92,1.59,-21.48,-28.55,-20.08,-14.07,41.84,-34.60,-68.64,-90.64,-92.43
93,3.21,-21.51,-28.07,-19.36,-13.09,41.68,-35.93,-70.02,-91.44,-92.46
94,2.12,-22.55,-29.43,-20.60,-14.44,40.20,-35.13,-69.49,-91.27,-92.53
