serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,-61.56,-9.48,-6.22,3.25,4.33,103.32,-54.27,-79.59,-87.35,-89.44
2,-58.06,-7.61,-5.03,4.02,4.50,106.70,-53.10,-77.47,-84.63,-86.28
3,-57.19,-6.98,-3.38,6.06,6.76,104.04,-54.77,-79.01,-85.66,-86.74
4,-58.01,-7.64,-3.98,5.38,6.10,103.16,-54.80,-79.14,-86.05,-87.21
5,-58.24,-7.45,-3.60,5.98,7.15,101.68,-55.36,-79.71,-86.79,-87.79
6,-57.85,-6.52,-2.69,6.48,7.21,100.24,-55.87,-79.76,-86.36,-87.34
7,-58.15,-6.73,-2.85,6.58,7.41,102.60,-54.74,-79.43,-86.40,-87.22
8,-58.07,-6.88,-2.66,6.78,7.62,97.32,-56.59,-80.81,-86.45,-87.24
9,-57.18,-6.58,-2.17,7.34,8.14,100.51,-56.14,-80.38,-86.58,-87.33
10,-57.61,-6.62,-2.03,7.54,8.62,96.74,-56.98,-81.10,-87.18,-87.58
11,-57.96,-6.73,-2.16,7.32,8.69,97.56,-57.52,-81.87,-87.86,-88.36
12,-57.81,-6.80,-2.08,7.52,8.61,98.51,-56.48,-80.86,-87.20,-87.85
13,-57.04,-6.33,-1.03,8.05,9.24,97.17,-57.77,-81.88,-87.49,-88.05
14,-58.59,-7.55,-2.28,6.99,8.37,96.73,-57.89,-82.37,-87.60,-88.37
15,-58.86,-7.51,-2.63,6.41,7.84,100.64,-56.97,-81.63,-87.59,-88.32
16,-58.76,-6.81,-1.80,7.24,8.45,99.08,-57.18,-81.51,-87.40,-88.38
17,-58.62,-6.96,-1.59,7.54,9.05,98.20,-57.75,-82.32,-88.01,-88.88
18,-57.60,-6.84,-1.98,7.21,8.62,100.15,-56.78,-81.62,-87.60,-88.27
19,-55.72,-4.24,1.70,10.58,11.64,93.88,-59.34,-82.79,-88.25,-88.00
20,-55.35,-5.09,0.31,9.67,10.47,97.55,-57.80,-81.95,-87.60,-87.24
21,-52.94,-4.48,-0.12,8.80,8.47,122.02,-57.43,-76.85,-79.37,-81.30
22,-52.48,-3.96,0.60,9.47,9.74,117.46,-57.49,-77.92,-80.68,-81.97
23,-51.84,-3.60,0.97,9.76,10.01,113.78,-58.46,-78.81,-81.61,-82.94
24,-54.14,-4.92,-0.47,8.29,8.76,113.74,-58.92,-79.27,-82.14,-83.88
25,-52.64,-4.09,0.78,9.80,10.37,109.93,-59.09,-79.68,-82.29,-83.63
26,-52.56,-4.14,0.75,9.81,10.86,106.44,-59.43,-80.28,-83.00,-84.31
27,-53.75,-3.71,1.42,10.43,11.11,104.98,-59.92,-80.06,-83.00,-84.09
28,-54.25,-4.11,1.11,10.26,11.04,103.62,-60.55,-81.00,-83.68,-84.69
29,-53.49,-3.87,1.45,10.54,11.50,101.82,-60.88,-81.63,-84.09,-84.84
30,-52.90,-3.55,2.05,11.33,12.35,100.98,-61.28,-81.98,-84.57,-85.18
31,-53.32,-4.02,1.41,10.42,11.70,100.43,-60.94,-81.91,-84.77,-85.84
32,-54.65,-4.51,0.99,10.05,11.10,105.93,-61.51,-82.32,-84.74,-85.84
33,-53.71,-3.96,1.64,10.70,11.86,103.51,-61.26,-82.02,-84.61,-85.73
34,-53.56,-4.54,0.95,10.33,11.72,102.65,-61.15,-82.48,-85.17,-86.16
35,-54.39,-4.57,0.88,10.26,11.60,102.30,-60.77,-82.47,-85.61,-86.94
36,-54.31,-4.35,1.20,10.49,11.93,99.59,-61.81,-82.50,-85.45,-86.54
37,-53.92,-4.57,0.89,10.15,11.66,99.39,-61.61,-82.78,-85.55,-86.66
38,-54.71,-5.02,0.47,9.77,11.10,103.58,-60.14,-81.69,-85.13,-86.56
39,-52.82,-4.30,1.06,10.20,11.53,103.28,-60.60,-82.40,-85.56,-86.69
40,-54.61,-5.26,-0.11,9.04,10.32,101.92,-60.59,-81.99,-85.17,-86.50
41,-53.63,-4.00,1.17,9.90,10.99,101.89,-60.81,-81.76,-84.44,-86.09
42,-54.13,-3.23,2.12,10.29,9.51,101.73,-60.96,-80.09,-80.62,-82.57
43,-62.36,-12.68,-9.32,-1.17,-0.85,118.28,-56.50,-78.01,-81.12,-86.82
44,-62.42,-15.35,-13.51,-5.23,-4.74,129.83,-52.90,-75.89,-80.43,-87.11
45,-62.10,-11.68,-7.63,1.02,1.67,109.08,-59.22,-81.27,-83.95,-88.49
46,-64.56,-17.36,-15.55,-6.83,-5.80,124.28,-55.08,-78.78,-83.01,-89.74
47,-66.95,-17.77,-15.60,-6.58,-5.85,126.41,-54.59,-78.18,-82.75,-89.31
48,-65.62,-16.57,-14.19,-5.31,-4.23,121.26,-55.85,-79.74,-83.83,-90.01
49,-64.81,-15.83,-13.27,-4.44,-3.46,119.76,-56.16,-79.68,-83.84,-90.14
