serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,20.31,4.38,10.66,17.74,17.99,65.96,-54.69,-75.67,-80.58,-74.71
2,12.26,-1.14,3.64,10.99,11.96,63.73,-50.24,-72.91,-79.5,-75.44
3,18.43,2.86,8.47,15.67,16.24,65.8,-53.39,-74.81,-80.47,-75.08
4,19.5,2.91,8.87,16.25,17.21,64.13,-54.8,-76.67,-82.38,-76.63
5,19.57,2.73,8.48,15.76,16.76,64.9,-54.82,-76.67,-82.37,-76.71
6,16.84,2.25,7.49,14.49,14.74,65.83,-52.37,-73.67,-79.22,-74.06
7,17.27,1.18,6.52,14,15.38,63.75,-53.57,-75.95,-82.07,-77.2
8,18.97,1.71,7.47,14.87,16.35,62.04,-55.73,-78.1,-83.75,-78.41
9,19,1.76,7.62,15.03,16.54,62.19,-55.44,-77.82,-83.41,-78.21
10,18.88,1.71,7.33,14.58,15.96,62.24,-55.67,-78.01,-83.79,-78.76
11,19.09,1.27,7.63,15.12,16.96,61,-56.05,-78.95,-84.65,-79.46
12,19.08,1.53,7.64,15.19,16.86,61.7,-55.65,-78.08,-84.03,-78.79
13,19.56,1.68,7.93,15.27,16.79,60.95,-56.4,-78.7,-84,-78.21
14,19.2,1.96,7.98,15.42,16.89,62.12,-55.62,-77.9,-83.49,-78.11
15,19.69,1.97,8.01,15.32,16.92,61.14,-56.49,-78.34,-83.68,-78.41
16,20.15,1.43,7.34,14.93,17.04,60.67,-56.88,-79.49,-84.82,-79.51
17,19.77,2.18,8.12,15.47,17.05,62.44,-55.74,-77.95,-83.71,-78.19
18,20.07,1.54,7.9,15.46,17.42,60.59,-56.74,-79.45,-85.17,-79.51
19,21.46,2.78,8.91,16.34,18.28,62.25,-57.36,-79.94,-85.47,-79.99
20,18,-0.7,5.43,13.4,15.81,58.28,-55.06,-79.85,-86.33,-81.12
21,22.51,5.46,11.87,19.45,20.56,64.8,-55.93,-77.47,-82.9,-76.5
22,19.99,2.53,8.79,16.13,17.68,62.45,-55.45,-77.88,-83.44,-77.87
23,21.22,1.75,8.06,15.32,17.39,60,-56.83,-79.5,-85.26,-79.77
24,23.12,2.43,8.73,16,18.04,61.11,-57.69,-80.18,-85.35,-79.27
25,22.69,3.72,10.36,17.64,19.35,62.56,-56.91,-78.8,-84.32,-78.04
26,22.9,2.7,9.45,16.84,18.87,61.27,-57.86,-80.61,-86.12,-80.32
27,22.83,1.34,8.05,15.58,18.53,57.75,-59.19,-82.76,-88.17,-82.34
28,23.01,1.63,8.62,16.31,19.13,58.13,-59.18,-82.17,-87.81,-81.84
29,22.78,2.41,9.2,16.72,19.21,59.43,-58.37,-81.62,-87.41,-81.8
30,23.48,2.4,8.9,16.39,18.61,60.31,-58.15,-81.17,-86.81,-81.37
31,7.62,1.43,8.95,16.25,20.82,57.18,-55.89,-78.74,-88.93,-83.65
32,6.53,-0.29,7.18,14.31,18.65,54.25,-56.7,-79.07,-88.3,-82.76
33,2.81,-3.2,3.49,10.69,14.95,54.11,-55.37,-78.53,-87.79,-83.33
34,3.87,-2.44,4.31,11.48,15.95,54.44,-55.82,-79.1,-88.14,-83.48
35,4.22,-1.61,5.23,12.42,16.58,55.61,-55.57,-78.55,-87.79,-82.91
36,2.37,-2.66,4,11.49,15.99,55.02,-54.26,-78.42,-88.27,-83.93
37,5.12,-1.46,5.79,12.84,17.4,55.1,-55.83,-79.17,-88.42,-83.65
38,3.94,-1.56,5.2,12.62,17.14,55.82,-54.51,-77.61,-87.35,-82.53
39,6.29,-2.12,5.38,12.49,17.35,53.06,-57.89,-81.65,-90.99,-86.13
