serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
1,66.88,-70.69,-71.98,61.79,68.58,-152.76,-17.10,135.95,154.60,154.17
2,64.21,-71.55,-70.46,61.32,68.39,-148.45,-7.68,133.84,155.00,154.80
3,67.57,-68.51,-69.96,62.94,69.98,-152.30,-3.12,140.83,160.25,162.39
4,71.95,-65.36,-75.68,58.49,65.02,-139.47,-5.49,143.05,170.53,174.84
5,70.44,-68.46,-72.38,57.67,64.49,-133.79,1.24,141.94,166.35,169.10
6,69.48,-67.18,-74.64,54.49,61.61,-129.72,-1.00,133.70,167.84,171.13
7,66.78,-68.43,-73.35,56.05,63.35,-132.21,1.31,134.05,167.29,170.33
8,67.43,-70.08,-71.39,55.13,62.37,-129.72,-1.30,141.40,169.87,173.33
9,71.13,-70.93,-70.04,57.78,64.59,-134.06,-9.33,154.27,173.88,178.91
10,71.53,-70.66,-69.60,58.07,65.04,-136.59,-9.74,154.36,173.86,178.26
11,68.72,-71.26,-71.66,55.85,63.11,-125.14,2.26,144.21,172.65,176.37
12,71.39,-73.45,-70.52,57.15,64.02,-117.21,0.63,148.47,172.67,178.12
13,69.97,-71.41,-69.08,57.30,64.22,-126.73,6.77,144.47,171.24,176.80
14,72.98,-69.01,-69.45,56.58,63.18,-121.71,6.04,144.88,175.58,-177.88
15,71.57,-68.41,-67.19,57.33,64.15,-127.05,0.88,146.76,170.41,175.41
16,71.72,-71.28,-67.89,56.25,63.18,-120.82,0.90,152.57,172.83,177.49
17,65.68,-69.20,-66.49,56.57,63.90,-127.74,7.69,147.26,169.37,172.63
18,64.43,-71.81,-61.74,59.48,66.45,-139.50,12.57,144.15,166.31,169.78
19,66.72,-72.35,-62.93,58.96,66.15,-137.70,10.77,144.55,167.67,171.72
20,67.16,-72.34,-60.72,59.71,66.60,-137.05,4.21,153.56,169.42,172.77
21,68.20,-71.11,-62.65,57.55,64.37,-133.75,5.92,152.05,170.68,173.66
22,78.38,-67.96,-62.48,73.10,80.69,-177.13,-11.75,154.38,164.00,155.95
23,76.20,-66.01,-68.29,70.34,78.43,-178.63,-14.72,150.05,164.30,158.46
24,77.10,-67.80,-66.75,69.87,77.60,-170.36,-6.53,143.69,162.06,155.88
25,75.71,-68.05,-65.69,69.46,76.85,-168.42,-4.56,140.29,155.69,145.84
26,77.07,-67.70,-68.17,69.39,76.83,178.37,-12.93,143.81,156.14,147.01
27,79.36,-66.90,-69.83,68.90,76.24,-161.27,-4.19,134.47,151.62,140.50
28,81.16,-66.02,-67.71,68.41,75.72,-167.22,-2.55,142.03,159.12,152.53
29,82.02,-66.98,-67.41,67.86,75.04,-161.11,-5.89,147.00,161.18,154.16
30,80.44,-67.31,-67.00,66.91,74.55,-153.04,-2.40,147.28,159.76,152.42
31,81.35,-67.77,-68.19,67.33,74.96,-157.59,4.46,153.31,163.11,155.89
32,81.78,-69.44,-66.22,67.12,74.76,-155.08,5.82,151.76,160.85,152.07
33,80.58,-69.88,-63.05,66.28,73.62,-149.04,13.44,146.73,156.30,147.00
34,80.76,-70.59,-61.99,66.41,73.28,-150.97,11.94,149.37,155.65,147.34
35,81.55,-67.83,-65.61,64.73,71.74,-137.88,13.26,143.12,157.35,148.26
36,82.15,-68.85,-65.50,65.84,73.36,-145.64,7.78,149.16,158.14,147.93
37,81.03,-71.72,-61.20,66.62,73.24,-146.73,12.80,146.72,152.45,141.58
38,78.84,-73.98,-59.21,66.83,73.70,-159.39,11.89,149.92,152.28,141.64
39,87.15,-64.52,-66.59,65.01,71.90,171.16,0.49,137.25,154.42,146.15
40,87.34,-64.36,-67.62,65.23,72.52,170.07,3.25,136.82,155.97,145.64
41,83.84,-68.72,-62.91,67.67,74.39,160.54,4.26,142.12,148.22,134.00
42,82.68,-70.81,-59.91,68.58,75.08,157.88,5.81,146.06,147.94,133.21
43,87.87,-67.33,-64.59,65.27,72.68,171.25,4.55,145.14,156.30,145.72
44,86.93,-66.57,-64.25,63.27,70.33,-118.86,9.51,143.17,156.46,147.59
45,87.27,-66.75,-63.70,62.53,69.79,-116.42,12.69,141.64,157.56,149.04
46,85.07,-65.81,-66.11,60.48,68.01,-70.86,11.97,142.67,160.95,153.78
47,84.01,-66.58,-65.89,59.15,66.46,-59.24,15.13,141.97,161.49,155.69
48,82.60,-66.30,-65.70,59.42,66.47,-56.66,11.93,146.74,162.67,156.17
49,84.21,-65.90,-64.94,59.19,66.08,-48.09,11.46,147.96,163.34,156.94
50,83.45,-67.48,-64.16,57.94,65.30,-57.34,14.63,147.07,162.41,156.82
51,82.32,-67.83,-63.97,57.94,64.98,-50.74,14.76,146.47,162.11,156.77
52,82.55,-67.80,-63.91,57.25,64.58,-59.47,14.78,146.28,162.43,157.01
53,79.38,-64.74,-67.49,56.15,63.74,-51.06,12.17,144.81,165.60,160.84
54,81.78,-68.23,-65.64,57.56,64.87,-51.94,10.48,151.00,166.36,161.48
55,81.01,-65.49,-66.90,56.98,64.60,-50.28,12.53,146.36,165.37,160.41
56,77.76,-65.54,-65.45,54.28,61.46,-61.69,20.91,137.94,161.29,156.33
57,78.74,-65.79,-64.63,54.68,61.54,-68.02,20.76,139.11,160.15,155.19
58,77.73,-65.95,-64.16,54.37,61.22,-67.80,21.27,138.86,160.03,154.90
59,79.97,-67.05,-64.71,55.81,63.15,-68.48,19.21,143.80,161.48,156.48
60,80.04,-66.83,-63.49,55.96,63.09,-72.16,22.36,139.45,158.68,152.69
61,80.12,-67.55,-64.65,56.03,63.07,-64.18,18.86,141.88,161.16,155.22
62,79.01,-68.10,-61.58,55.48,62.51,-74.59,23.68,141.86,159.23,154.10
63,77.95,-67.42,-64.25,54.33,61.50,-64.25,20.90,142.50,161.69,156.31
64,79.25,-68.90,-62.64,55.26,62.45,-67.20,23.71,144.03,160.96,155.31
65,78.93,-67.89,-62.41,54.82,62.03,-67.16,24.36,141.37,160.30,155.04
66,79.39,-70.11,-62.06,55.29,62.46,-66.72,21.16,146.33,162.20,156.26
67,78.49,-68.96,-63.06,54.55,61.88,-64.17,21.00,144.44,163.10,157.98
68,79.65,-70.19,-62.27,54.76,62.07,-65.85,22.11,145.92,162.77,157.32
69,55.99,-58.92,-72.46,52.16,58.36,31.54,-1.67,162.23,-178.27,-179.22
70,60.71,-60.13,-73.36,50.37,57.34,26.96,12.37,130.91,170.32,167.00
71,60.74,-59.49,-74.86,49.37,56.41,23.34,11.87,131.97,173.02,169.84
72,71.02,-59.32,-63.74,49.34,55.83,15.90,20.81,119.70,157.49,153.09
73,70.36,-60.70,-62.15,50.10,55.76,11.11,22.03,125.95,155.72,150.71
74,71.31,-59.90,-61.51,48.73,54.60,8.54,27.86,120.96,155.79,150.75
75,69.44,-62.53,-64.47,58.65,64.65,11.81,22.51,131.34,156.14,149.35
76,70.40,-63.81,-63.88,58.83,64.72,12.04,25.20,133.95,158.03,151.90
77,67.60,-65.38,-66.04,58.06,63.82,12.22,23.79,134.61,160.12,153.83
78,67.59,-65.56,-64.18,55.18,60.60,3.04,27.85,135.40,158.93,152.56
79,58.32,-59.52,-71.28,47.69,53.40,-2.89,19.41,125.52,170.03,166.77
80,55.70,-59.78,-74.33,45.95,52.42,-3.23,14.99,130.57,172.40,169.32
81,57.21,-61.92,-68.96,46.65,52.16,-5.05,20.83,132.71,168.34,164.15
82,59.67,-63.77,-68.37,47.03,52.85,-7.17,24.87,134.33,167.27,163.20
83,59.90,-61.75,-67.50,46.97,53.54,-6.14,27.12,126.97,166.83,163.14
