p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label,label_encoded
-63.13,14.39,10.51,10.48,7.95,-7.79,13.0,9.4,1.86,14.52,ক,10
-62.75,13.98,9.9,9.69,7.12,-10.77,13.53,9.89,2.49,15.02,ক,10
-61.61,12.87,8.72,8.73,6.34,-10.84,12.92,9.27,1.52,13.91,ক,10
-61.56,13.07,8.65,8.25,5.79,-10.07,13.18,9.68,2.0,14.46,ক,10
-61.68,13.2,9.16,9.4,6.76,-9.2,13.24,9.6,2.09,14.78,ক,10
-63.04,15.55,12.47,12.7,9.44,-1.72,13.11,9.94,3.44,16.8,ক,10
-62.77,14.22,10.17,9.69,6.93,-6.67,13.4,10.06,2.8,15.2,ক,10
-67.65,22.3,16.66,14.01,11.18,-21.52,19.18,16.93,8.65,16.15,ক,10
-64.92,18.56,12.57,10.93,9.83,-22.01,17.98,15.32,6.87,14.07,ক,10
-64.85,19.41,14.46,13.12,11.06,-16.45,17.99,15.4,6.98,14.16,ক,10
-66.0,19.0,13.81,12.04,10.29,-15.43,18.44,15.82,7.42,14.57,ক,10
-64.94,18.33,12.54,10.19,8.15,-13.85,18.12,15.56,7.19,13.96,ক,10
-65.55,18.48,13.11,11.06,9.33,-5.62,17.87,15.35,7.19,14.43,ক,10
-63.6,18.7,14.07,12.52,11.25,-2.52,15.87,13.46,5.77,13.25,ক,10
-64.68,17.23,11.65,8.96,7.07,-7.59,17.42,15.12,7.53,14.52,ক,10
-62.37,15.81,10.84,8.9,7.72,-7.86,17.47,14.92,6.96,13.94,ক,10
-63.85,16.31,10.98,8.86,7.62,-7.43,17.58,15.26,7.44,14.21,ক,10
-64.52,16.02,10.4,7.22,5.28,-9.63,17.83,15.52,7.85,14.28,ক,10
-62.95,13.9,7.67,4.35,2.77,-16.37,19.53,17.57,9.51,15.16,ক,10
-62.26,14.29,8.75,6.15,4.7,-10.8,17.77,15.71,8.07,14.36,ক,10
-63.7,14.88,9.68,7.04,5.29,-10.07,18.46,16.35,8.5,14.91,ক,10
-63.16,14.61,9.26,6.47,4.42,-9.39,18.99,16.99,9.49,15.48,ক,10
-65.56,16.5,11.62,8.76,6.59,-5.5,18.12,16.22,9.21,15.33,ক,10
-70.42,15.71,7.15,5.78,2.89,-31.31,21.7,19.65,8.13,17.34,ক,10
-68.77,14.5,6.87,6.62,4.06,-25.74,20.63,18.25,6.86,16.44,ক,10
-68.8,13.9,6.25,6.37,3.97,-19.9,20.3,17.81,6.47,15.76,ক,10
-66.98,12.08,4.37,4.47,2.08,-20.46,19.95,17.48,6.29,14.93,ক,10
-66.1,11.82,3.82,3.64,1.27,-20.43,20.93,18.37,7.1,15.69,ক,10
-66.65,12.9,5.47,5.41,2.91,-17.63,21.0,18.85,8.22,16.32,ক,10
-68.52,13.52,5.97,5.35,2.3,-17.9,20.96,19.21,9.16,17.25,ক,10
-66.29,13.91,6.57,6.67,3.89,-6.59,19.56,17.67,7.78,15.99,ক,10
-64.67,12.62,4.33,3.59,0.93,-11.89,19.35,16.87,6.17,14.03,ক,10
-63.3,12.28,4.68,4.91,2.78,-8.41,19.92,17.36,6.7,14.53,ক,10
-63.93,12.35,4.83,4.89,2.46,-8.86,20.87,18.45,8.08,15.79,ক,10
-61.4,12.96,5.28,5.17,2.59,0.67,19.85,17.2,6.62,14.38,ক,10
-61.84,12.64,4.91,4.8,2.3,-0.21,19.72,17.16,6.96,14.6,ক,10
-61.24,11.8,3.59,2.97,0.48,-3.73,19.48,16.95,6.11,13.49,ক,10
-60.92,11.04,2.86,2.72,0.47,-3.68,20.27,17.68,6.82,14.09,ক,10
-61.61,12.08,4.08,3.62,1.07,-1.72,20.05,17.66,7.35,14.53,ক,10
-61.34,11.97,4.07,3.55,0.79,-3.04,20.41,18.03,7.72,14.96,ক,10
-61.65,12.55,4.55,3.91,0.59,-1.41,20.07,17.75,7.67,14.95,ক,10
-60.77,11.12,3.03,2.7,0.12,-3.68,20.35,17.9,7.29,14.39,ক,10
-61.37,11.96,4.36,4.25,1.6,-0.06,20.27,17.83,7.55,14.72,ক,10
-60.75,11.28,3.32,2.86,0.03,-0.11,20.1,17.8,7.57,14.65,ক,10
-61.76,12.23,4.3,4.17,0.92,-1.62,20.42,18.03,7.51,15.35,ক,10
-64.63,17.96,10.61,8.25,5.19,-33.01,18.25,14.74,3.42,15.69,ক,10
-67.37,19.39,12.04,9.36,6.53,-18.26,17.28,14.36,3.68,15.98,ক,10
-65.02,17.58,10.48,7.92,4.54,-17.55,17.94,14.66,4.27,16.34,ক,10
-64.4,16.83,9.18,6.27,2.87,-15.75,17.68,14.84,4.73,16.66,ক,10
-63.15,16.02,8.56,5.98,2.66,-11.47,17.17,14.21,4.22,15.75,ক,10
-60.68,14.39,6.99,4.08,0.79,-9.1,18.38,15.57,5.4,16.53,ক,10
-63.03,14.48,6.74,3.67,0.59,-7.88,18.26,15.65,5.71,16.86,ক,10
-66.1,15.36,7.76,4.21,0.39,-14.19,18.12,15.8,6.17,17.16,ক,10
-64.11,13.98,6.01,2.89,-0.72,-16.15,18.29,15.57,5.92,16.99,ক,10
-64.44,14.2,6.14,2.88,-0.59,-13.52,17.71,15.26,6.34,16.74,ক,10
-63.58,14.35,6.34,3.54,0.07,-10.69,17.65,14.94,6.19,17.03,ক,10
-63.98,14.65,7.0,4.25,0.62,-11.24,17.64,14.99,6.25,16.95,ক,10
-63.56,13.47,5.57,2.98,-0.44,-12.41,17.94,15.54,6.67,16.9,ক,10
-63.65,13.34,5.37,2.42,-1.54,-12.31,18.36,15.98,7.28,17.41,ক,10
-63.38,14.94,7.66,5.34,1.67,-4.11,16.44,13.76,5.37,15.85,ক,10
-63.64,13.23,5.5,2.42,-1.51,-11.29,18.38,16.12,7.61,17.84,ক,10
-65.43,14.94,7.34,4.37,0.52,-6.89,17.55,15.27,6.95,17.4,ক,10
-65.46,14.29,6.95,4.29,0.49,-11.79,20.01,18.08,10.52,20.68,ক,10
-63.85,12.55,4.55,1.68,-1.74,-12.28,18.68,16.39,8.41,18.23,ক,10
-62.28,11.98,3.96,1.17,-2.07,-12.85,18.53,15.77,7.35,17.26,ক,10
-63.87,12.74,4.99,2.12,-1.55,-10.67,18.95,16.81,9.11,19.05,ক,10
-62.09,11.27,2.88,-1.04,-4.9,-13.1,19.54,17.59,9.43,18.71,ক,10
-60.71,9.54,0.84,-3.03,-6.55,-16.65,19.66,17.38,8.31,18.24,ক,10
-60.69,10.27,1.58,-2.52,-6.33,-14.06,19.28,17.17,8.72,18.52,ক,10
-62.35,10.54,1.91,-1.67,-5.15,-14.08,19.78,17.56,9.35,18.88,ক,10
-63.21,11.24,2.44,-1.75,-5.78,-14.32,18.95,17.15,9.26,18.93,ক,10
-60.64,13.66,6.33,4.16,0.83,-2.45,15.06,12.09,4.63,14.98,ক,10
-68.76,18.28,12.13,10.66,7.57,-18.9,21.93,19.51,12.65,18.43,ক,10
-66.58,15.53,8.88,6.55,3.78,-20.26,20.88,18.52,10.91,16.95,ক,10
-64.63,14.36,7.87,4.32,0.44,-26.95,21.19,18.66,10.43,16.58,ক,10
-67.59,16.05,10.52,7.86,4.01,-17.42,21.45,19.15,11.01,17.15,ক,10
-62.67,10.81,3.5,-0.2,-3.67,-25.98,21.93,19.53,10.32,15.31,ক,10
-63.12,9.08,1.63,-2.93,-6.95,-28.6,23.51,22.08,14.08,18.7,ক,10
-62.67,9.12,1.53,-3.12,-7.2,-35.41,24.56,23.2,15.11,19.28,ক,10
-62.47,8.44,1.92,-2.6,-6.87,-36.13,25.01,22.62,13.5,18.49,ক,10
-60.38,8.3,0.68,-3.92,-7.51,-29.87,22.56,19.93,10.73,15.34,ক,10
-61.86,8.09,0.6,-4.26,-8.33,-34.19,23.92,21.82,13.07,17.56,ক,10
-63.04,9.2,1.8,-2.99,-6.89,-30.59,23.21,20.87,12.37,16.66,ক,10
-63.66,9.67,2.61,-2.37,-6.76,-30.05,23.45,21.39,12.99,17.12,ক,10
-62.14,9.09,1.53,-3.44,-7.45,-28.78,22.67,20.44,11.97,16.2,ক,10
-64.13,10.51,3.57,-1.09,-5.3,-27.06,23.38,21.3,13.24,17.52,ক,10
-63.19,11.29,4.49,0.29,-3.87,-20.85,21.04,18.14,9.75,14.29,ক,10
-61.4,8.81,1.42,-2.94,-6.93,-23.33,21.91,19.4,10.82,14.92,ক,10
-62.22,9.73,2.99,-1.38,-5.97,-30.12,23.66,21.02,12.77,16.81,ক,10
-62.6,10.01,3.6,-0.3,-4.5,-22.49,22.62,19.87,11.42,16.6,ক,10
-62.04,9.19,2.64,-1.53,-5.61,-27.16,23.42,21.12,12.34,17.13,ক,10
-62.4,9.1,2.09,-2.01,-5.74,-25.56,22.96,20.43,11.66,16.06,ক,10
-62.23,9.01,1.93,-2.31,-6.17,-24.97,22.73,20.27,11.65,16.29,ক,10
-60.84,8.61,1.47,-3.19,-7.13,-25.0,22.86,20.29,11.83,16.26,ক,10
-62.01,11.25,4.8,0.95,-2.97,-16.53,21.4,18.32,9.81,14.5,ক,10
-62.41,10.5,4.07,0.6,-3.24,-18.28,22.07,19.23,10.94,15.57,ক,10
-63.21,11.97,5.95,2.44,-1.3,-14.24,21.7,18.78,10.87,15.82,ক,10
-62.98,11.45,5.19,1.52,-2.8,-15.93,22.43,19.7,12.33,16.63,ক,10
-62.94,11.22,4.47,0.08,-4.28,-13.46,22.11,19.35,11.36,16.18,ক,10
-62.69,11.04,4.37,0.04,-4.4,-15.02,22.25,19.43,11.55,15.97,ক,10
-63.47,10.81,3.6,-0.98,-5.61,-15.29,22.33,19.59,11.83,16.04,ক,10
-63.52,11.76,5.12,0.86,-3.62,-12.61,22.05,19.42,11.76,16.54,ক,10
-62.45,10.31,3.61,-0.26,-4.65,-13.92,22.02,19.1,11.23,15.57,ক,10
-61.69,10.5,4.19,0.33,-4.16,-13.92,21.95,19.07,11.55,15.98,ক,10
-63.6,11.46,4.58,0.48,-4.08,-13.89,22.27,19.94,12.61,17.04,ক,10
-63.19,11.28,4.8,0.8,-3.59,-11.55,22.13,19.58,12.13,16.4,ক,10
-62.81,11.32,4.71,1.04,-3.43,-11.07,22.08,19.52,11.96,16.31,ক,10
-62.74,11.51,5.23,1.79,-1.82,-10.83,21.96,19.17,11.6,15.5,ক,10
-62.54,10.99,4.14,0.07,-3.95,-10.64,21.42,18.73,10.78,15.06,ক,10
-65.71,11.11,4.03,-0.16,-4.32,-27.23,22.56,19.83,11.92,16.19,ক,10
-62.34,9.65,2.52,-1.38,-5.25,-23.39,22.09,19.24,11.04,15.27,ক,10
-63.96,10.52,3.69,-0.45,-4.91,-24.39,22.3,19.77,11.98,16.31,ক,10
-64.72,15.12,8.77,6.71,6.55,-28.65,19.03,16.19,5.17,14.55,ক,10
-69.07,17.93,12.86,11.83,11.72,-14.91,17.58,14.3,3.73,12.64,ক,10
-70.35,14.74,8.45,5.85,4.99,-25.66,21.23,18.57,8.67,16.46,ক,10
-65.53,11.58,5.39,2.81,2.04,-33.85,23.68,21.36,11.21,18.23,ক,10
-66.72,11.91,6.78,4.94,4.43,-30.53,23.7,21.64,12.08,19.1,ক,10
-67.7,12.04,7.13,5.07,4.01,-30.31,24.47,22.48,13.31,19.93,ক,10
-63.58,12.19,6.48,4.71,4.76,-26.44,21.56,18.1,7.49,15.11,ক,10
-61.25,13.88,9.73,10.37,10.91,-12.77,17.34,12.93,2.23,10.57,ক,10
-63.43,13.09,6.64,4.07,3.26,-13.41,19.44,15.83,5.33,12.56,ক,10
-59.11,10.34,4.85,3.89,3.67,-17.03,19.02,14.69,4.31,10.61,ক,10
-60.46,11.02,4.43,2.26,1.24,-11.89,18.38,14.15,6.18,11.65,ক,10
-58.01,10.42,3.2,-1.01,-3.63,-5.52,20.6,16.66,7.72,12.4,ক,10
-65.6,12.44,5.1,1.07,-0.54,-16.86,20.58,17.23,8.27,14.3,ক,10
-64.81,13.68,7.81,6.24,3.27,-18.57,19.03,14.37,3.41,10.25,ক,10
-63.48,12.7,6.7,5.03,2.58,-18.22,19.69,15.22,5.01,10.76,ক,10
-55.89,16.37,10.98,10.53,7.1,0.9,15.86,11.72,2.34,10.43,ক,10
-56.03,16.73,11.86,11.38,7.5,3.69,16.62,12.33,3.41,11.16,ক,10
-53.51,16.53,10.97,10.31,6.38,4.46,15.51,11.53,2.59,10.39,ক,10
-53.8,16.51,11.07,10.2,6.45,6.62,15.88,11.77,3.45,11.03,ক,10
-56.83,16.5,10.48,9.1,4.87,3.17,17.0,13.4,5.24,12.53,ক,10
-54.64,14.27,8.43,6.86,2.66,1.53,16.94,13.21,4.71,11.27,ক,10
-55.26,13.63,7.58,5.9,1.83,1.52,17.45,13.85,5.65,12.11,ক,10
-54.71,14.24,8.48,6.78,2.44,2.85,17.52,13.89,6.0,12.41,ক,10
