p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-84.9,38.27,50.36,51.78,50.63,-109.67,-51.29,-91.57,-114.73,-121.49,আ
-82.31,37.45,49.03,49.53,48.0,-158.31,-55.07,-96.33,-119.31,-126.3,আ
-83.15,37.41,49.22,49.78,49.07,-161.49,-56.56,-98.41,-119.12,-124.08,আ
-81.82,36.45,47.08,47.38,46.01,-155.38,-56.22,-96.82,-116.78,-123.91,আ
-85.0,36.43,47.5,48.41,47.31,-137.19,-52.89,-92.24,-113.58,-120.15,আ
-61.2,41.8,49.53,47.64,45.9,-169.31,-73.92,-123.2,-142.33,-147.34,আ
-68.64,40.24,48.89,47.39,45.31,-169.91,-68.17,-114.98,-133.76,-139.76,আ
-65.83,38.51,47.82,48.46,47.39,-165.84,-65.14,-109.57,-128.94,-135.21,আ
-67.98,41.46,51.72,51.91,50.35,-156.7,-62.19,-106.11,-127.41,-133.95,আ
-73.62,41.3,51.23,50.81,49.07,-164.2,-61.23,-106.8,-127.45,-133.28,আ
-64.3,41.67,51.48,49.47,49.95,-170.93,-73.22,-120.27,-138.27,-143.6,আ
-65.18,44.66,54.17,50.01,49.38,-164.88,-71.78,-120.69,-138.27,-144.34,আ
-64.47,45.78,56.03,52.74,52.46,-162.79,-69.34,-118.42,-136.96,-143.47,আ
-63.82,47.69,58.12,53.88,53.1,-160.73,-68.67,-120.04,-139.92,-146.14,আ
-63.5,46.53,55.87,51.22,50.13,-161.53,-72.65,-125.24,-143.59,-149.8,আ
-68.07,34.92,42.89,42.94,45.32,-155.5,-73.81,-119.61,-129.85,-131.27,আ
-72.26,34.19,42.73,43.64,44.99,-138.02,-63.45,-108.0,-120.36,-124.82,আ
-71.35,36.08,44.99,46.36,47.92,-141.35,-63.35,-107.39,-120.49,-125.56,আ
-73.11,35.47,43.83,45.04,46.25,-152.03,-68.04,-112.95,-125.09,-128.96,আ
-71.2,33.63,42.36,44.75,46.4,-156.51,-65.25,-106.77,-117.51,-122.0,আ
-72.86,32.9,42.49,44.06,45.42,-156.01,-62.85,-104.73,-117.94,-123.1,আ
-71.13,36.56,46.86,48.17,48.88,-153.45,-64.35,-108.13,-122.56,-128.75,আ
-70.44,36.02,43.54,43.92,44.26,-161.75,-68.9,-116.54,-129.31,-132.4,আ
-68.09,37.93,47.25,48.56,49.43,-154.82,-61.67,-106.18,-120.66,-125.85,আ
-70.25,36.63,45.64,46.59,47.58,-156.68,-64.49,-109.15,-123.96,-129.08,আ
-68.74,36.57,46.05,47.76,49.28,-154.78,-61.04,-103.99,-118.51,-123.37,আ
-67.06,40.53,48.44,47.02,46.34,-154.23,-68.92,-120.31,-135.47,-139.86,আ
-66.22,36.63,46.31,48.01,49.51,-136.68,-59.47,-101.07,-115.39,-119.76,আ
-65.84,34.64,44.42,47.59,50.16,-138.82,-57.45,-97.1,-110.66,-115.91,আ
