p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-61.48,43.65,-7.17,-9.32,1.79,-61.17,10.44,8.92,3.56,3.9,উ
-62.89,52.34,-6.29,-8.36,2.38,-62.03,5.48,9.06,4.47,4.75,উ
-63.16,51.96,-6.39,-8.74,1.61,-62.32,6.24,9.31,4.66,4.72,উ
-60.8,50.37,-7.99,-10.46,-0.07,-62.76,7.74,9.69,5.2,5.48,উ
-62.47,50.89,-6.88,-9.03,1.44,-61.42,6.49,9.1,4.46,4.96,উ
-63.55,50.77,-5.95,-7.91,2.23,-62.63,9.29,10.03,6.0,6.14,উ
-63.28,49.86,-6.13,-8.06,2.46,-61.16,7.07,8.93,4.65,4.84,উ
-57.97,45.72,-11.21,-13.59,-3.18,-64.49,10.1,10.54,6.29,6.04,উ
-56.21,42.49,-14.04,-16.82,-5.28,-63.58,7.6,7.33,1.49,1.15,উ
-60.92,45.93,-8.53,-10.33,0.18,-54.9,4.72,6.43,1.86,2.23,উ
-62.4,48.29,-6.95,-8.42,2.07,-58.45,7.61,8.11,3.59,3.9,উ
-62.79,48.0,-6.62,-8.02,2.9,-60.5,8.89,9.01,4.12,4.34,উ
-60.76,45.91,-9.23,-11.65,-1.21,-60.68,9.08,8.97,3.58,3.7,উ
-60.92,46.7,-9.43,-11.23,-0.26,-59.71,9.57,9.02,3.88,3.99,উ
-62.24,47.69,-7.98,-9.86,0.82,-61.31,9.29,9.58,4.92,4.78,উ
-60.56,46.82,-8.84,-10.44,0.29,-56.2,7.53,7.6,2.33,2.17,উ
-60.98,46.01,-9.18,-10.61,0.27,-57.81,9.29,8.28,3.26,3.16,উ
-63.59,48.23,-6.48,-7.81,2.81,-57.73,7.8,8.13,3.34,3.23,উ
-61.33,46.32,-8.58,-10.05,0.58,-56.75,7.79,7.45,2.59,2.6,উ
-59.61,45.0,-10.26,-11.96,-0.68,-53.32,5.69,6.16,1.41,1.21,উ
-56.33,41.66,-12.87,-14.83,-3.19,-53.51,7.56,6.94,1.82,1.76,উ
-55.63,41.55,-12.62,-13.92,-1.73,-54.63,8.62,7.43,2.35,2.01,উ
-57.03,41.97,-12.46,-14.23,-2.49,-60.77,11.3,10.03,5.38,5.06,উ
-58.18,42.84,-11.6,-13.32,-1.79,-59.82,10.33,9.53,4.84,4.59,উ
-57.04,43.06,-12.38,-14.09,-2.41,-58.71,10.66,9.64,4.78,4.3,উ
-57.27,42.31,-12.62,-14.09,-2.57,-54.84,7.82,7.41,2.88,2.54,উ
-58.72,43.88,-10.85,-12.53,-1.37,-54.57,8.05,7.88,3.36,2.99,উ
-60.61,56.49,-9.09,-10.08,1.15,-47.37,-0.71,5.42,0.88,0.07,উ
-56.73,51.94,-11.45,-11.99,-0.16,-43.51,-1.42,3.43,-1.6,-1.57,উ
-58.45,50.68,-10.96,-12.09,-0.47,-55.56,9.89,9.76,5.48,4.83,উ
-56.48,48.46,-13.83,-15.91,-4.58,-56.72,9.72,9.54,5.16,4.23,উ
-58.55,48.8,-12.26,-14.24,-2.95,-60.86,11.28,11.56,7.64,6.48,উ
-58.39,51.58,-11.75,-12.88,-1.35,-55.96,8.1,9.29,5.23,4.54,উ
